2020-02-27 17:43:54:108, no_human
2020-02-27 17:43:54:119, no_human
2020-02-27 17:43:54:408, no_human
2020-02-27 17:43:54:482, no_human
2020-02-27 17:43:54:499, no_human
2020-02-27 17:43:54:516, no_human
2020-02-27 17:43:54:533, no_human
2020-02-27 17:43:54:549, no_human
2020-02-27 17:43:54:565, no_human
2020-02-27 17:43:54:582, no_human
2020-02-27 17:43:54:599, no_human
2020-02-27 17:43:54:615, no_human
2020-02-27 17:43:54:658, no_human
2020-02-27 17:43:54:667, no_human
2020-02-27 17:43:54:682, no_human
2020-02-27 17:43:54:699, no_human
2020-02-27 17:43:54:759, no_human
2020-02-27 17:43:54:793, no_human
2020-02-27 17:43:54:828, no_human
2020-02-27 17:43:54:860, no_human
2020-02-27 17:43:54:893, no_human
2020-02-27 17:43:54:928, no_human
2020-02-27 17:43:54:961, no_human
2020-02-27 17:43:54:992, no_human
2020-02-27 17:43:55:025, no_human
2020-02-27 17:43:55:059, no_human
2020-02-27 17:43:55:094, no_human
2020-02-27 17:43:55:199, no_human
2020-02-27 17:43:55:251, no_human
2020-02-27 17:43:55:289, no_human
2020-02-27 17:43:55:335, no_human
2020-02-27 17:43:55:378, no_human
2020-02-27 17:43:55:416, no_human
2020-02-27 17:43:55:464, no_human
2020-02-27 17:43:55:499, no_human
2020-02-27 17:43:55:533, no_human
2020-02-27 17:43:55:565, no_human
2020-02-27 17:43:55:597, no_human
2020-02-27 17:43:55:628, no_human
2020-02-27 17:43:55:666, no_human
2020-02-27 17:43:55:702, no_human
2020-02-27 17:43:55:737, no_human
2020-02-27 17:43:55:767, no_human
2020-02-27 17:43:55:796, no_human
2020-02-27 17:43:55:826, no_human
2020-02-27 17:43:55:860, no_human
2020-02-27 17:43:55:892, no_human
2020-02-27 17:43:55:924, no_human
2020-02-27 17:43:55:959, no_human
2020-02-27 17:43:55:992, no_human
2020-02-27 17:43:56:026, no_human
2020-02-27 17:43:56:060, no_human
2020-02-27 17:43:56:092, no_human
2020-02-27 17:43:56:127, no_human
2020-02-27 17:43:56:160, no_human
2020-02-27 17:43:56:193, no_human
2020-02-27 17:43:56:225, no_human
2020-02-27 17:43:56:260, no_human
2020-02-27 17:43:56:296, no_human
2020-02-27 17:43:56:329, no_human
2020-02-27 17:43:56:363, no_human
2020-02-27 17:43:56:397, no_human
2020-02-27 17:43:56:438, no_human
2020-02-27 17:43:56:579, no_human
2020-02-27 17:43:56:684, no_human
2020-02-27 17:43:56:737, no_human
2020-02-27 17:43:56:779, no_human
2020-02-27 17:43:56:812, no_human
2020-02-27 17:43:56:847, no_human
2020-02-27 17:43:57:103, no_human
2020-02-27 17:43:57:326, no_human
2020-02-27 17:43:57:368, no_human
2020-02-27 17:43:57:408, no_human
2020-02-27 17:43:57:444, no_human
2020-02-27 17:43:57:480, no_human
2020-02-27 17:43:57:510, no_human
2020-02-27 17:43:57:575, no_human
2020-02-27 17:43:57:752, no_human
2020-02-27 17:43:57:831, no_human
2020-02-27 17:43:57:879, no_human
2020-02-27 17:43:57:917, no_human
2020-02-27 17:43:57:947, no_human
2020-02-27 17:43:57:982, no_human
2020-02-27 17:43:58:011, no_human
2020-02-27 17:43:58:044, no_human
2020-02-27 17:43:58:078, no_human
2020-02-27 17:43:58:106, no_human
2020-02-27 17:43:58:137, no_human
2020-02-27 17:43:58:173, no_human
2020-02-27 17:43:58:209, no_human
2020-02-27 17:43:58:243, no_human
2020-02-27 17:43:58:279, no_human
2020-02-27 17:43:58:327, no_human
2020-02-27 17:43:58:357, no_human
2020-02-27 17:43:58:366, no_human
2020-02-27 17:43:58:404, no_human
2020-02-27 17:43:58:434, no_human
2020-02-27 17:43:58:467, no_human
2020-02-27 17:43:58:503, no_human
2020-02-27 17:43:58:542, no_human
2020-02-27 17:43:58:577, no_human
2020-02-27 17:43:58:608, no_human
2020-02-27 17:43:58:637, no_human
2020-02-27 17:43:58:672, no_human
2020-02-27 17:43:58:716, no_human
2020-02-27 17:43:58:723, no_human
2020-02-27 17:43:58:769, no_human
2020-02-27 17:43:58:800, no_human
2020-02-27 17:43:58:829, no_human
2020-02-27 17:43:58:863, no_human
2020-02-27 17:43:58:896, no_human
2020-02-27 17:43:58:924, no_human
2020-02-27 17:43:58:956, no_human
2020-02-27 17:43:58:964, no_human
2020-02-27 17:43:59:001, no_human
2020-02-27 17:43:59:027, no_human
2020-02-27 17:43:59:054, no_human
2020-02-27 17:43:59:060, no_human
2020-02-27 17:43:59:098, no_human
2020-02-27 17:43:59:126, no_human
2020-02-27 17:43:59:162, no_human
2020-02-27 17:43:59:192, no_human
2020-02-27 17:43:59:222, no_human
2020-02-27 17:43:59:255, no_human
2020-02-27 17:43:59:264, no_human
2020-02-27 17:43:59:300, no_human
2020-02-27 17:43:59:328, no_human
2020-02-27 17:43:59:357, no_human
2020-02-27 17:43:59:390, no_human
2020-02-27 17:43:59:419, no_human
2020-02-27 17:43:59:424, no_human
2020-02-27 17:43:59:464, no_human
2020-02-27 17:43:59:494, no_human
2020-02-27 17:43:59:522, no_human
2020-02-27 17:43:59:557, no_human
2020-02-27 17:43:59:569, no_human
2020-02-27 17:43:59:604, no_human
2020-02-27 17:43:59:618, no_human
2020-02-27 17:43:59:630, no_human
2020-02-27 17:43:59:666, no_human
2020-02-27 17:43:59:692, no_human
2020-02-27 17:43:59:719, no_human
2020-02-27 17:43:59:725, no_human
2020-02-27 17:43:59:767, no_human
2020-02-27 17:43:59:793, no_human
2020-02-27 17:43:59:819, no_human
2020-02-27 17:43:59:829, no_human
2020-02-27 17:43:59:869, no_human
2020-02-27 17:43:59:898, no_human
2020-02-27 17:43:59:932, no_human
2020-02-27 17:43:59:969, no_human
2020-02-27 17:44:00:004, no_human
2020-02-27 17:44:00:036, no_human
2020-02-27 17:44:00:072, no_human
2020-02-27 17:44:00:103, no_human
2020-02-27 17:44:00:131, no_human
2020-02-27 17:44:00:182,3.553118,2.702907
2020-02-27 17:44:00:225,3.553928,2.694866
2020-02-27 17:44:00:269,3.555325,2.688916
2020-02-27 17:44:00:306,3.558348,2.681722
2020-02-27 17:44:00:351,3.564931,2.671973
2020-02-27 17:44:00:399,3.568714,2.665329
2020-02-27 17:44:00:437,3.57224,2.660208
2020-02-27 17:44:00:479,3.574699,2.654952
2020-02-27 17:44:00:517,3.578402,2.64549
2020-02-27 17:44:00:555,3.578848,2.640483
2020-02-27 17:44:00:598,3.578996,2.637736
2020-02-27 17:44:00:642,3.577715,2.629493
2020-02-27 17:44:00:687,3.575906,2.624928
2020-02-27 17:44:00:727,3.573869,2.622715
2020-02-27 17:44:00:778,3.571632,2.621126
2020-02-27 17:44:00:810,3.561425,2.617509
2020-02-27 17:44:00:823,3.561425,2.617509
2020-02-27 17:44:00:872,3.547503,2.616058
2020-02-27 17:44:00:907,3.540321,2.615959
2020-02-27 17:44:00:941,3.532423,2.615896
2020-02-27 17:44:00:985,3.525806,2.615864
2020-02-27 17:44:01:029,3.518598,2.615833
2020-02-27 17:44:01:072,3.512206,2.61616
2020-02-27 17:44:01:109,3.50141,2.615658
2020-02-27 17:44:01:144,3.497227,2.615981
2020-02-27 17:44:01:193,3.493477,2.615943
2020-02-27 17:44:01:236,3.489934,2.616429
2020-02-27 17:44:01:277,3.487149,2.6163
2020-02-27 17:44:01:332,3.483749,2.616178
2020-02-27 17:44:01:375,3.482337,2.615978
2020-02-27 17:44:01:420,3.480639,2.616079
2020-02-27 17:44:01:459,3.480247,2.616358
2020-02-27 17:44:01:494,3.480107,2.616349
2020-02-27 17:44:01:530,3.480131,2.616416
2020-02-27 17:44:01:574,3.480355,2.616616
2020-02-27 17:44:01:612,3.48255,2.617694
2020-02-27 17:44:01:651,3.484202,2.618293
