2020-02-27 17:43:54:108, no_human
2020-02-27 17:43:54:119, no_human
2020-02-27 17:43:54:408, no_human
2020-02-27 17:43:54:482, no_human
2020-02-27 17:43:54:499, no_human
2020-02-27 17:43:54:516, no_human
2020-02-27 17:43:54:533, no_human
2020-02-27 17:43:54:549, no_human
2020-02-27 17:43:54:565, no_human
2020-02-27 17:43:54:582, no_human
2020-02-27 17:43:54:599, no_human
2020-02-27 17:43:54:615, no_human
2020-02-27 17:43:54:658, no_human
2020-02-27 17:43:54:667, no_human
2020-02-27 17:43:54:682, no_human
2020-02-27 17:43:54:699, no_human
2020-02-27 17:43:54:759, no_human
2020-02-27 17:43:54:793, no_human
2020-02-27 17:43:54:828, no_human
2020-02-27 17:43:54:860, no_human
2020-02-27 17:43:54:893, no_human
2020-02-27 17:43:54:928, no_human
2020-02-27 17:43:54:961, no_human
2020-02-27 17:43:54:992, no_human
2020-02-27 17:43:55:025, no_human
2020-02-27 17:43:55:059, no_human
2020-02-27 17:43:55:094, no_human
2020-02-27 17:43:55:199, no_human
2020-02-27 17:43:55:251, no_human
2020-02-27 17:43:55:289, no_human
2020-02-27 17:43:55:335, no_human
2020-02-27 17:43:55:378, no_human
2020-02-27 17:43:55:416, no_human
2020-02-27 17:43:55:464, no_human
2020-02-27 17:43:55:499, no_human
2020-02-27 17:43:55:533, no_human
2020-02-27 17:43:55:565, no_human
2020-02-27 17:43:55:597, no_human
2020-02-27 17:43:55:628, no_human
2020-02-27 17:43:55:666, no_human
2020-02-27 17:43:55:702, no_human
2020-02-27 17:43:55:737, no_human
2020-02-27 17:43:55:767, no_human
2020-02-27 17:43:55:796, no_human
2020-02-27 17:43:55:826, no_human
2020-02-27 17:43:55:860, no_human
2020-02-27 17:43:55:892, no_human
2020-02-27 17:43:55:924, no_human
2020-02-27 17:43:55:959, no_human
2020-02-27 17:43:55:992, no_human
2020-02-27 17:43:56:026, no_human
2020-02-27 17:43:56:060, no_human
2020-02-27 17:43:56:092, no_human
2020-02-27 17:43:56:127, no_human
2020-02-27 17:43:56:160, no_human
2020-02-27 17:43:56:193, no_human
2020-02-27 17:43:56:225, no_human
2020-02-27 17:43:56:260, no_human
2020-02-27 17:43:56:296, no_human
2020-02-27 17:43:56:329, no_human
2020-02-27 17:43:56:363, no_human
2020-02-27 17:43:56:397, no_human
2020-02-27 17:43:56:438, no_human
2020-02-27 17:43:56:579, no_human
2020-02-27 17:43:56:684, no_human
2020-02-27 17:43:56:737, no_human
2020-02-27 17:43:56:779, no_human
2020-02-27 17:43:56:812, no_human
2020-02-27 17:43:56:847, no_human
2020-02-27 17:43:57:103, no_human
2020-02-27 17:43:57:326, no_human
2020-02-27 17:43:57:368, no_human
2020-02-27 17:43:57:408, no_human
2020-02-27 17:43:57:444, no_human
2020-02-27 17:43:57:480, no_human
2020-02-27 17:43:57:510, no_human
2020-02-27 17:43:57:575, no_human
2020-02-27 17:43:57:752, no_human
2020-02-27 17:43:57:831, no_human
2020-02-27 17:43:57:879, no_human
2020-02-27 17:43:57:917, no_human
2020-02-27 17:43:57:947, no_human
2020-02-27 17:43:57:982, no_human
2020-02-27 17:43:58:011, no_human
2020-02-27 17:43:58:044, no_human
2020-02-27 17:43:58:078, no_human
2020-02-27 17:43:58:106, no_human
2020-02-27 17:43:58:137, no_human
2020-02-27 17:43:58:173, no_human
2020-02-27 17:43:58:209, no_human
2020-02-27 17:43:58:243, no_human
2020-02-27 17:43:58:279, no_human
2020-02-27 17:43:58:327, no_human
2020-02-27 17:43:58:357, no_human
2020-02-27 17:43:58:366, no_human
2020-02-27 17:43:58:404, no_human
2020-02-27 17:43:58:434, no_human
2020-02-27 17:43:58:467, no_human
2020-02-27 17:43:58:503, no_human
2020-02-27 17:43:58:542, no_human
2020-02-27 17:43:58:577, no_human
2020-02-27 17:43:58:608, no_human
2020-02-27 17:43:58:637, no_human
2020-02-27 17:43:58:672, no_human
2020-02-27 17:43:58:716, no_human
2020-02-27 17:43:58:723, no_human
2020-02-27 17:43:58:769, no_human
2020-02-27 17:43:58:800, no_human
2020-02-27 17:43:58:829, no_human
2020-02-27 17:43:58:863, no_human
2020-02-27 17:43:58:896, no_human
2020-02-27 17:43:58:924, no_human
2020-02-27 17:43:58:956, no_human
2020-02-27 17:43:58:964, no_human
2020-02-27 17:43:59:001, no_human
2020-02-27 17:43:59:027, no_human
2020-02-27 17:43:59:054, no_human
2020-02-27 17:43:59:060, no_human
2020-02-27 17:43:59:098, no_human
2020-02-27 17:43:59:126, no_human
2020-02-27 17:43:59:162, no_human
2020-02-27 17:43:59:192, no_human
2020-02-27 17:43:59:222, no_human
2020-02-27 17:43:59:255, no_human
2020-02-27 17:43:59:264, no_human
2020-02-27 17:43:59:300, no_human
2020-02-27 17:43:59:328, no_human
2020-02-27 17:43:59:357, no_human
2020-02-27 17:43:59:390, no_human
2020-02-27 17:43:59:419, no_human
2020-02-27 17:43:59:424, no_human
2020-02-27 17:43:59:464, no_human
2020-02-27 17:43:59:494, no_human
2020-02-27 17:43:59:522, no_human
2020-02-27 17:43:59:557, no_human
2020-02-27 17:43:59:569, no_human
2020-02-27 17:43:59:604, no_human
2020-02-27 17:43:59:618, no_human
2020-02-27 17:43:59:630, no_human
2020-02-27 17:43:59:666, no_human
2020-02-27 17:43:59:692, no_human
2020-02-27 17:43:59:719, no_human
2020-02-27 17:43:59:725, no_human
2020-02-27 17:43:59:767, no_human
2020-02-27 17:43:59:793, no_human
2020-02-27 17:43:59:819, no_human
2020-02-27 17:43:59:829, no_human
2020-02-27 17:43:59:869, no_human
2020-02-27 17:43:59:898, no_human
2020-02-27 17:43:59:932, no_human
2020-02-27 17:43:59:969, no_human
2020-02-27 17:44:00:004, no_human
2020-02-27 17:44:00:036, no_human
2020-02-27 17:44:00:072, no_human
2020-02-27 17:44:00:103, no_human
2020-02-27 17:44:00:131, no_human
2020-02-27 17:44:00:182,-0.08311755,1.7395492.702907
2020-02-27 17:44:00:225,-0.08392759,1.7368822.694866
2020-02-27 17:44:00:269,-0.08532443,1.7357742.688916
2020-02-27 17:44:00:306,-0.08834828,1.7342212.681722
2020-02-27 17:44:00:351,-0.09493124,1.731322.671973
2020-02-27 17:44:00:399,-0.09871428,1.7316652.665329
2020-02-27 17:44:00:437,-0.1022396,1.7311482.660208
2020-02-27 17:44:00:479,-0.1046989,1.7304092.654952
2020-02-27 17:44:00:517,-0.1084021,1.730772.64549
2020-02-27 17:44:00:555,-0.1088483,1.731872.640483
2020-02-27 17:44:00:598,-0.1089958,1.7319992.637736
2020-02-27 17:44:00:642,-0.1077147,1.7333952.629493
2020-02-27 17:44:00:687,-0.105906,1.7328272.624928
2020-02-27 17:44:00:727,-0.103869,1.7332012.622715
2020-02-27 17:44:00:778,-0.1016317,1.7332952.621126
2020-02-27 17:44:00:810,-0.09142545,1.7355712.617509
2020-02-27 17:44:00:823,-0.09142545,1.7355712.617509
2020-02-27 17:44:00:872,-0.07750321,1.7367172.616058
2020-02-27 17:44:00:907,-0.07032096,1.7375652.615959
2020-02-27 17:44:00:941,-0.06242336,1.7382252.615896
2020-02-27 17:44:00:985,-0.0558059,1.7384122.615864
2020-02-27 17:44:01:029,-0.04859809,1.7393962.615833
2020-02-27 17:44:01:072,-0.04220559,1.7398832.61616
2020-02-27 17:44:01:109,-0.03140956,1.7400632.615658
2020-02-27 17:44:01:144,-0.02722749,1.7402712.615981
2020-02-27 17:44:01:193,-0.02347684,1.7404172.615943
2020-02-27 17:44:01:236,-0.0199339,1.7409882.616429
2020-02-27 17:44:01:277,-0.01714947,1.7410692.6163
2020-02-27 17:44:01:332,-0.01374931,1.7406582.616178
2020-02-27 17:44:01:375,-0.01233693,1.7405222.615978
