2020-02-27 16:49:41:117, no_human
2020-02-27 16:49:41:129, no_human
2020-02-27 16:49:41:369, no_human
2020-02-27 16:49:41:434, no_human
2020-02-27 16:49:41:455, no_human
2020-02-27 16:49:41:471, no_human
2020-02-27 16:49:41:486, no_human
2020-02-27 16:49:41:504, no_human
2020-02-27 16:49:41:520, no_human
2020-02-27 16:49:41:538, no_human
2020-02-27 16:49:41:554, no_human
2020-02-27 16:49:41:571, no_human
2020-02-27 16:49:41:590, no_human
2020-02-27 16:49:41:631, no_human
2020-02-27 16:49:41:648, no_human
2020-02-27 16:49:41:656, no_human
2020-02-27 16:49:41:681, no_human
2020-02-27 16:49:41:691, no_human
2020-02-27 16:49:41:706, no_human
2020-02-27 16:49:41:723, no_human
2020-02-27 16:49:41:778, no_human
2020-02-27 16:49:41:809, no_human
2020-02-27 16:49:41:838, no_human
2020-02-27 16:49:41:867, no_human
2020-02-27 16:49:41:900, no_human
2020-02-27 16:49:41:940, no_human
2020-02-27 16:49:41:978, no_human
2020-02-27 16:49:42:006, no_human
2020-02-27 16:49:42:036, no_human
2020-02-27 16:49:42:065, no_human
2020-02-27 16:49:42:096, no_human
2020-02-27 16:49:42:123, no_human
2020-02-27 16:49:42:134, no_human
2020-02-27 16:49:42:169, no_human
2020-02-27 16:49:42:230,2.996645,2.720109
2020-02-27 16:49:42:272,2.996817,2.719933
2020-02-27 16:49:42:311,2.997178,2.719732
2020-02-27 16:49:42:351,2.997485,2.719423
2020-02-27 16:49:42:398,2.997852,2.719412
2020-02-27 16:49:42:443,2.998981,2.718675
2020-02-27 16:49:42:486,2.999278,2.718339
2020-02-27 16:49:42:553,2.999803,2.718229
2020-02-27 16:49:42:676,3.001453,2.717019
2020-02-27 16:49:42:728,3.005582,2.714238
2020-02-27 16:49:42:771,3.007357,2.713014
2020-02-27 16:49:42:825,3.009466,2.711087
2020-02-27 16:49:42:868,3.009901,2.710305
2020-02-27 16:49:42:904,3.010576,2.709419
2020-02-27 16:49:42:944,3.011832,2.706988
2020-02-27 16:49:43:009,3.012991,2.70489
2020-02-27 16:49:43:044,3.013543,2.704123
2020-02-27 16:49:43:079,3.013681,2.703432
2020-02-27 16:49:43:116,3.014135,2.702594
2020-02-27 16:49:43:157,3.014349,2.702178
2020-02-27 16:49:43:199,3.014388,2.70149
2020-02-27 16:49:43:236,3.014611,2.701101
2020-02-27 16:49:43:273,3.014734,2.699562
2020-02-27 16:49:43:309,3.014992,2.698704
2020-02-27 16:49:43:342,3.014955,2.698517
2020-02-27 16:49:43:379,3.015016,2.698001
2020-02-27 16:49:43:425,3.015424,2.697301
2020-02-27 16:49:43:461,3.015439,2.697004
2020-02-27 16:49:43:504,3.015325,2.696562
2020-02-27 16:49:43:543,3.015337,2.696148
2020-02-27 16:49:43:577,3.01512,2.696095
2020-02-27 16:49:43:601,3.014894,2.695608
2020-02-27 16:49:43:624,3.014894,2.695608
2020-02-27 16:49:43:659,3.014219,2.695209
2020-02-27 16:49:43:692,3.013999,2.694724
2020-02-27 16:49:43:725,3.013599,2.694236
2020-02-27 16:49:43:760,3.013699,2.693774
2020-02-27 16:49:43:798,3.013576,2.693526
