2020-02-27 16:49:41:117, no_human
2020-02-27 16:49:41:129, no_human
2020-02-27 16:49:41:369, no_human
2020-02-27 16:49:41:434, no_human
2020-02-27 16:49:41:455, no_human
2020-02-27 16:49:41:471, no_human
2020-02-27 16:49:41:486, no_human
2020-02-27 16:49:41:504, no_human
2020-02-27 16:49:41:520, no_human
2020-02-27 16:49:41:538, no_human
2020-02-27 16:49:41:554, no_human
2020-02-27 16:49:41:571, no_human
2020-02-27 16:49:41:590, no_human
2020-02-27 16:49:41:631, no_human
2020-02-27 16:49:41:648, no_human
2020-02-27 16:49:41:656, no_human
2020-02-27 16:49:41:681, no_human
2020-02-27 16:49:41:691, no_human
2020-02-27 16:49:41:706, no_human
2020-02-27 16:49:41:723, no_human
2020-02-27 16:49:41:778, no_human
2020-02-27 16:49:41:809, no_human
2020-02-27 16:49:41:838, no_human
2020-02-27 16:49:41:867, no_human
2020-02-27 16:49:41:900, no_human
2020-02-27 16:49:41:940, no_human
2020-02-27 16:49:41:978, no_human
2020-02-27 16:49:42:006, no_human
2020-02-27 16:49:42:036, no_human
2020-02-27 16:49:42:065, no_human
2020-02-27 16:49:42:096, no_human
2020-02-27 16:49:42:123, no_human
2020-02-27 16:49:42:134, no_human
2020-02-27 16:49:42:169, no_human
2020-02-27 16:49:42:230,0.4733549,1.7659282.720109
2020-02-27 16:49:42:272,0.4731829,1.7665132.719933
2020-02-27 16:49:42:311,0.4728223,1.7665452.719732
2020-02-27 16:49:42:351,0.4725149,1.7671982.719423
2020-02-27 16:49:42:398,0.472148,1.7672042.719412
2020-02-27 16:49:42:443,0.4710184,1.7679632.718675
2020-02-27 16:49:42:486,0.4707217,1.7682022.718339
2020-02-27 16:49:42:553,0.4701968,1.7681072.718229
2020-02-27 16:49:42:676,0.4685473,1.7688192.717019
2020-02-27 16:49:42:728,0.4644185,1.7688812.714238
2020-02-27 16:49:42:771,0.4626432,1.7695272.713014
2020-02-27 16:49:42:825,0.4605341,1.7692092.711087
2020-02-27 16:49:42:868,0.4600994,1.7689262.710305
2020-02-27 16:49:42:904,0.4594235,1.7687732.709419
2020-02-27 16:49:42:944,0.4581675,1.7688262.706988
2020-02-27 16:49:43:009,0.4570093,1.7697172.70489
2020-02-27 16:49:43:044,0.4564574,1.7695072.704123
2020-02-27 16:49:43:079,0.4563192,1.7696212.703432
2020-02-27 16:49:43:116,0.4558648,1.7695322.702594
2020-02-27 16:49:43:157,0.4556512,1.7694992.702178
2020-02-27 16:49:43:199,0.4556117,1.7696832.70149
2020-02-27 16:49:43:236,0.455389,1.7697642.701101
2020-02-27 16:49:43:273,0.4552664,1.7705282.699562
2020-02-27 16:49:43:309,0.4550082,1.7709642.698704
2020-02-27 16:49:43:342,0.4550449,1.7706782.698517
2020-02-27 16:49:43:379,0.4549842,1.7706942.698001
2020-02-27 16:49:43:425,0.4545764,1.7707462.697301
2020-02-27 16:49:43:461,0.4545615,1.7711952.697004
2020-02-27 16:49:43:504,0.4546748,1.7713342.696562
2020-02-27 16:49:43:543,0.4546633,1.7715812.696148
2020-02-27 16:49:43:577,0.4548799,1.7714552.696095
2020-02-27 16:49:43:601,0.4551064,1.7712842.695608
2020-02-27 16:49:43:624,0.4551064,1.7712842.695608
2020-02-27 16:49:43:659,0.4557815,1.7710342.695209
2020-02-27 16:49:43:692,0.4560015,1.7710172.694724
2020-02-27 16:49:43:725,0.4564009,1.7707632.694236
2020-02-27 16:49:43:760,0.4563009,1.7706752.693774
2020-02-27 16:49:43:798,0.456424,1.7705932.693526
2020-02-27 16:49:43:833,0.4569117,1.7705412.693315
2020-02-27 16:49:43:873,0.4570707,1.7704782.693226
2020-02-27 16:49:43:914,0.457412,1.7703472.692971
2020-02-27 16:49:43:967,0.4578159,1.7703782.692469
2020-02-27 16:49:44:009,0.458113,1.7707532.691751
2020-02-27 16:49:44:046,0.4582395,1.770682.691609
2020-02-27 16:49:44:092,0.4582026,1.7706272.691566
2020-02-27 16:49:44:128,0.4581523,1.7706952.691365
2020-02-27 16:49:44:168,0.458133,1.7706612.691199
2020-02-27 16:49:44:211,0.4568892,1.7707962.690619
2020-02-27 16:49:44:247,0.4553828,1.7710822.690263
2020-02-27 16:49:44:292,0.4532514,1.7707822.689282
2020-02-27 16:49:44:332,0.4497632,1.7704262.688344
2020-02-27 16:49:44:371,0.4454935,1.7704422.687308
2020-02-27 16:49:44:423,0.4366352,1.7696692.686314
2020-02-27 16:49:44:471,0.4335717,1.7701182.686197
2020-02-27 16:49:44:529,0.4279628,1.7703222.685955
2020-02-27 16:49:44:575,0.4261479,1.7705462.686701
2020-02-27 16:49:44:629,0.4226168,1.7714842.687629
2020-02-27 16:49:44:670,0.421705,1.7713092.687929
2020-02-27 16:49:44:705,0.4190976,1.7714662.688647
2020-02-27 16:49:44:745,0.4182378,1.771672.688673
2020-02-27 16:49:44:788,0.4166826,1.7721362.688704
2020-02-27 16:49:44:863,0.4157059,1.7724042.688725
2020-02-27 16:49:44:909,0.4136374,1.7725312.688506
2020-02-27 16:49:44:965,0.4115591,1.7731552.688055
2020-02-27 16:49:45:011,0.4107272,1.7734042.687473
2020-02-27 16:49:45:061,0.4094015,1.7733832.687023
2020-02-27 16:49:45:106,0.4089287,1.7734582.686817
2020-02-27 16:49:45:142,0.4073879,1.7732272.686257
2020-02-27 16:49:45:179,0.4068675,1.7733892.68589
2020-02-27 16:49:45:218,0.4066125,1.7734672.685745
2020-02-27 16:49:45:256,0.4062121,1.7733882.685586
2020-02-27 16:49:45:290,0.4059764,1.7734062.685474
2020-02-27 16:49:45:325,0.4057298,1.7734922.685508
2020-02-27 16:49:45:361,0.4054486,1.7735782.685542
2020-02-27 16:49:45:405,0.4050836,1.773722.685404
2020-02-27 16:49:45:445,0.4042943,1.7741452.685476
2020-02-27 16:49:45:482,0.4035881,1.773952.686258
2020-02-27 16:49:45:524,0.4030237,1.7741892.686333
2020-02-27 16:49:45:567,0.4024792,1.7745372.686633
2020-02-27 16:49:45:605,0.4015616,1.7746282.687415
2020-02-27 16:49:45:646,0.4009718,1.7745312.687828
2020-02-27 16:49:45:682,0.4007793,1.7746212.687772
2020-02-27 16:49:45:719,0.4000606,1.7749052.688501
2020-02-27 16:49:45:762,0.3998278,1.7749022.688531
2020-02-27 16:49:45:809,0.3988865,1.7746452.689374
2020-02-27 16:49:45:855,0.3975046,1.7744112.690339
2020-02-27 16:49:45:904,0.396832,1.774492.690522
2020-02-27 16:49:46:093,0.3949273,1.7746552.691938
2020-02-27 16:49:46:226,0.3875681,1.7740912.696385
2020-02-27 16:49:46:275,0.3843048,1.7735182.698107
2020-02-27 16:49:46:313,0.3823783,1.7734962.698982
2020-02-27 16:49:46:353,0.3813201,1.7735662.699407
2020-02-27 16:49:46:903,0.3726005,1.7736442.7031
2020-02-27 16:49:46:971,0.3697253,1.7731892.703346
2020-02-27 16:49:47:038,0.3687934,1.773062.703261
2020-02-27 16:49:47:105,0.3675155,1.7727062.703007
2020-02-27 16:49:47:147,0.3666591,1.7727772.702742
2020-02-27 16:49:47:202,0.3660627,1.7726872.702549
2020-02-27 16:49:47:264,0.3644718,1.772712.702108
2020-02-27 16:49:47:318,0.3640006,1.7725882.702098
2020-02-27 16:49:47:366,0.3630557,1.7727582.702006
2020-02-27 16:49:47:419,0.3622254,1.7726912.701882
2020-02-27 16:49:47:475,0.3608792,1.7731762.700908
2020-02-27 16:49:47:512,0.3598396,1.7731352.700637
2020-02-27 16:49:47:557,0.3590951,1.7729472.700011
2020-02-27 16:49:47:595,0.3583353,1.7729292.699322
2020-02-27 16:49:47:634,0.3574647,1.7730322.698542
2020-02-27 16:49:47:672,0.3566782,1.7730762.697935
2020-02-27 16:49:47:708,0.3548983,1.7732242.69631
2020-02-27 16:49:47:749,0.3538457,1.7731282.695496
