2020-02-27 15:41:42:801, no_human
2020-02-27 15:41:42:812, no_human
2020-02-27 15:41:43:051, no_human
2020-02-27 15:41:43:116, no_human
2020-02-27 15:41:43:129, no_human
2020-02-27 15:41:43:147, no_human
2020-02-27 15:41:43:163, no_human
2020-02-27 15:41:43:181, no_human
2020-02-27 15:41:43:197, no_human
2020-02-27 15:41:43:214, no_human
2020-02-27 15:41:43:231, no_human
2020-02-27 15:41:43:247, no_human
2020-02-27 15:41:43:264, no_human
2020-02-27 15:41:43:281, no_human
2020-02-27 15:41:43:321, no_human
2020-02-27 15:41:43:338, no_human
2020-02-27 15:41:43:344, no_human
2020-02-27 15:41:43:361, no_human
2020-02-27 15:41:43:377, no_human
2020-02-27 15:41:43:394, no_human
2020-02-27 15:41:43:444, no_human
2020-02-27 15:41:43:472, no_human
2020-02-27 15:41:43:499, no_human
2020-02-27 15:41:43:526, no_human
2020-02-27 15:41:43:554, no_human
2020-02-27 15:41:43:573, no_human
2020-02-27 15:41:43:588, no_human
2020-02-27 15:41:43:598, no_human
2020-02-27 15:41:43:640, no_human
2020-02-27 15:41:43:666, no_human
2020-02-27 15:41:43:695, no_human
2020-02-27 15:41:43:726, no_human
2020-02-27 15:41:43:756, no_human
2020-02-27 15:41:43:783, no_human
2020-02-27 15:41:43:790, no_human
2020-02-27 15:41:43:829, no_human
2020-02-27 15:41:43:858, no_human
2020-02-27 15:41:43:886, no_human
2020-02-27 15:41:43:893, no_human
2020-02-27 15:41:43:908, no_human
2020-02-27 15:41:43:968,2.614645,2.608467
2020-02-27 15:41:44:010,2.614663,2.608415
2020-02-27 15:41:44:049,2.614676,2.60839
2020-02-27 15:41:44:091,2.614725,2.608353
2020-02-27 15:41:44:136,2.614757,2.608354
2020-02-27 15:41:44:195,2.614789,2.608296
2020-02-27 15:41:44:234,2.614813,2.608273
2020-02-27 15:41:44:272,2.614938,2.608335
2020-02-27 15:41:44:321,2.61497,2.608425
2020-02-27 15:41:44:356,2.614981,2.608449
2020-02-27 15:41:44:391,2.615047,2.608497
2020-02-27 15:41:44:432,2.615074,2.608465
2020-02-27 15:41:44:467,2.615122,2.60838
2020-02-27 15:41:44:505,2.615117,2.60844
2020-02-27 15:41:44:544,2.61521,2.608488
2020-02-27 15:41:44:591,2.615237,2.608526
2020-02-27 15:41:44:627,2.615391,2.608401
2020-02-27 15:41:44:663,2.615373,2.60838
2020-02-27 15:41:44:700,2.615349,2.608416
2020-02-27 15:41:44:733,2.61535,2.608418
2020-02-27 15:41:44:767,2.61537,2.608397
2020-02-27 15:41:44:807,2.615359,2.608404
2020-02-27 15:41:44:842,2.615378,2.608443
2020-02-27 15:41:44:880,2.615373,2.608444
2020-02-27 15:41:44:924,2.615447,2.608489
2020-02-27 15:41:44:966,2.615487,2.608459
2020-02-27 15:41:45:000,2.615532,2.608461
2020-02-27 15:41:45:039,2.615706,2.608668
2020-02-27 15:41:45:076,2.615934,2.608509
2020-02-27 15:41:45:123,2.616284,2.608602
2020-02-27 15:41:45:156,2.616725,2.60851
2020-02-27 15:41:45:190,2.617227,2.608422
2020-02-27 15:41:45:225,2.618136,2.608454
2020-02-27 15:41:45:264,2.619019,2.608611
2020-02-27 15:41:45:299,2.620081,2.608767
2020-02-27 15:41:45:336,2.624669,2.609514
2020-02-27 15:41:45:378,2.627375,2.610271
2020-02-27 15:41:45:424,2.630299,2.610649
2020-02-27 15:41:45:465,2.633424,2.611194
2020-02-27 15:41:45:501,2.637038,2.61166
2020-02-27 15:41:45:540,2.643974,2.613527
2020-02-27 15:41:45:589,2.647011,2.613899
2020-02-27 15:41:45:629,2.650558,2.614216
2020-02-27 15:41:45:669,2.653624,2.614963
2020-02-27 15:41:45:705,2.65823,2.615597
2020-02-27 15:41:45:741,2.660629,2.615729
2020-02-27 15:41:45:776,2.663411,2.615622
2020-02-27 15:41:45:811,2.665436,2.615947
2020-02-27 15:41:45:858,2.668103,2.615808
2020-02-27 15:41:45:904,2.670822,2.615934
2020-02-27 15:41:45:943,2.677454,2.615054
2020-02-27 15:41:45:994,2.680768,2.613888
2020-02-27 15:41:46:037,2.683781,2.612281
2020-02-27 15:41:46:092,2.691294,2.608207
2020-02-27 15:41:46:137,2.694843,2.605465
2020-02-27 15:41:46:192,2.701449,2.597743
2020-02-27 15:41:46:237,2.706165,2.59119
2020-02-27 15:41:46:336,2.711778,2.579731
2020-02-27 15:41:46:396,2.719071,2.554087
2020-02-27 15:41:46:444,2.720703,2.544359
2020-02-27 15:41:46:496,2.722285,2.527475
2020-02-27 15:41:46:535,2.722858,2.518737
2020-02-27 15:41:46:576,2.724387,2.505259
2020-02-27 15:41:46:613,2.725037,2.500488
2020-02-27 15:41:46:653,2.725657,2.497292
2020-02-27 15:41:46:718,2.726602,2.493954
2020-02-27 15:41:46:763,2.726762,2.493703
2020-02-27 15:41:46:801,2.726913,2.493774
2020-02-27 15:41:46:836,2.727023,2.494817
2020-02-27 15:41:46:877,2.727112,2.499388
2020-02-27 15:41:46:916,2.727602,2.502426
2020-02-27 15:41:46:961,2.727951,2.50495
2020-02-27 15:41:47:000,2.729594,2.509957
2020-02-27 15:41:47:037,2.732868,2.516044
2020-02-27 15:41:47:079,2.740581,2.533896
2020-02-27 15:41:47:119,2.743004,2.53962
2020-02-27 15:41:47:159,2.746389,2.550176
2020-02-27 15:41:47:203,2.750749,2.56503
2020-02-27 15:41:47:243,2.756783,2.586448
2020-02-27 15:41:47:284,2.760341,2.598515
2020-02-27 15:41:47:330,2.762903,2.610193
2020-02-27 15:41:47:367,2.766944,2.621659
2020-02-27 15:41:47:402,2.770295,2.631557
2020-02-27 15:41:47:441,2.776258,2.649367
2020-02-27 15:41:47:480,2.778894,2.656617
2020-02-27 15:41:47:701,2.790817,2.680217
2020-02-27 15:41:47:740,2.792809,2.682846
2020-02-27 15:41:47:781,2.794391,2.68373
2020-02-27 15:41:47:818,2.795392,2.683765
2020-02-27 15:41:47:852,2.796103,2.683554
2020-02-27 15:41:48:358,2.797701,2.682715
2020-02-27 15:41:48:411,2.847943,2.648654
2020-02-27 15:41:48:454,2.860239,2.644649
2020-02-27 15:41:48:499,2.867253,2.642699
2020-02-27 15:41:48:539,2.872171,2.640866
2020-02-27 15:41:48:575,2.880317,2.6385
2020-02-27 15:41:48:612,2.884852,2.638453
2020-02-27 15:41:48:663,2.888732,2.637161
2020-02-27 15:41:48:712,2.893656,2.635551
2020-02-27 15:41:48:769,2.90044,2.634149
2020-02-27 15:41:48:820,2.907951,2.63434
2020-02-27 15:41:48:868,2.91253,2.634475
2020-02-27 15:41:48:903,2.919708,2.635273
2020-02-27 15:41:48:949,2.934249,2.637391
2020-02-27 15:41:49:008,2.940376,2.636791
2020-02-27 15:41:49:043,2.960013,2.640032
2020-02-27 15:41:49:085,2.971344,2.640774
2020-02-27 15:41:49:125,2.98965,2.639761
2020-02-27 15:41:49:161,3.004164,2.639762
2020-02-27 15:41:49:197,3.025184,2.640824
2020-02-27 15:41:49:240,3.05597,2.640501
2020-02-27 15:41:49:277,3.111179,2.636331
2020-02-27 15:41:49:323,3.131241,2.635766
2020-02-27 15:41:49:364,3.175377,2.629367
2020-02-27 15:41:49:399,3.195711,2.628541
2020-02-27 15:41:49:439,3.236858,2.630009
2020-02-27 15:41:49:475,3.267051,2.628747
2020-02-27 15:41:49:517,3.299323,2.628608
2020-02-27 15:41:49:562,3.367864,2.637605
2020-02-27 15:41:49:609,3.382277,2.637125
2020-02-27 15:41:49:650,3.428295,2.644317
2020-02-27 15:41:49:683,3.459177,2.647919
2020-02-27 15:41:49:723,3.504078,2.655445
2020-02-27 15:41:49:762,3.52334,2.652198
2020-02-27 15:41:49:797,3.543645,2.650266
2020-02-27 15:41:49:842,3.56672,2.649679
2020-02-27 15:41:49:878,3.594355,2.638758
2020-02-27 15:41:49:912,3.633874,2.630095
2020-02-27 15:41:49:948,3.657057,2.626042
2020-02-27 15:41:49:998,3.696459,2.625676
2020-02-27 15:41:50:040,3.72107,2.621386
2020-02-27 15:41:50:075,3.805494,2.615076
2020-02-27 15:41:50:110,3.847635,2.608936
2020-02-27 15:41:50:154,3.893042,2.602806
2020-02-27 15:41:50:199,3.943628,2.594817
2020-02-27 15:41:50:250,4.054283,2.583039
2020-02-27 15:41:50:289,4.104421,2.578492
2020-02-27 15:41:50:342,4.151739,2.573809
2020-02-27 15:41:50:377,4.229214,2.576306
2020-02-27 15:41:50:416,4.265991,2.575764
2020-02-27 15:41:50:472,4.291463,2.577164
2020-02-27 15:41:50:518,4.334167,2.577961
2020-02-27 15:41:50:565,4.355139,2.580576
2020-02-27 15:41:50:601,4.370578,2.581613
2020-02-27 15:41:50:640,4.382581,2.58432
2020-02-27 15:41:50:678,4.402517,2.58975
2020-02-27 15:41:50:714,4.410873,2.586862
2020-02-27 15:41:50:758,4.411881,2.589793
2020-02-27 15:41:50:794,4.414155,2.59916
2020-02-27 15:41:50:835,4.426907,2.604756
2020-02-27 15:41:50:870,4.428374,2.60306
2020-02-27 15:41:50:920,4.437299,2.604121
2020-02-27 15:41:50:959,4.439362,2.604932
2020-02-27 15:41:50:999,4.441221,2.604958
2020-02-27 15:41:51:043,4.444869,2.606366
2020-02-27 15:41:51:079,4.445344,2.606288
2020-02-27 15:41:51:122,4.445494,2.606259
2020-02-27 15:41:51:161,4.445557,2.606403
2020-02-27 15:41:51:202,4.44653,2.607415
2020-02-27 15:41:51:256,4.445907,2.607982
2020-02-27 15:41:51:298,4.445627,2.608205
