2020-02-27 15:41:42:801, no_human
2020-02-27 15:41:42:812, no_human
2020-02-27 15:41:43:051, no_human
2020-02-27 15:41:43:116, no_human
2020-02-27 15:41:43:129, no_human
2020-02-27 15:41:43:147, no_human
2020-02-27 15:41:43:163, no_human
2020-02-27 15:41:43:181, no_human
2020-02-27 15:41:43:197, no_human
2020-02-27 15:41:43:214, no_human
2020-02-27 15:41:43:231, no_human
2020-02-27 15:41:43:247, no_human
2020-02-27 15:41:43:264, no_human
2020-02-27 15:41:43:281, no_human
2020-02-27 15:41:43:321, no_human
2020-02-27 15:41:43:338, no_human
2020-02-27 15:41:43:344, no_human
2020-02-27 15:41:43:361, no_human
2020-02-27 15:41:43:377, no_human
2020-02-27 15:41:43:394, no_human
2020-02-27 15:41:43:444, no_human
2020-02-27 15:41:43:472, no_human
2020-02-27 15:41:43:499, no_human
2020-02-27 15:41:43:526, no_human
2020-02-27 15:41:43:554, no_human
2020-02-27 15:41:43:573, no_human
2020-02-27 15:41:43:588, no_human
2020-02-27 15:41:43:598, no_human
2020-02-27 15:41:43:640, no_human
2020-02-27 15:41:43:666, no_human
2020-02-27 15:41:43:695, no_human
2020-02-27 15:41:43:726, no_human
2020-02-27 15:41:43:756, no_human
2020-02-27 15:41:43:783, no_human
2020-02-27 15:41:43:790, no_human
2020-02-27 15:41:43:829, no_human
2020-02-27 15:41:43:858, no_human
2020-02-27 15:41:43:886, no_human
2020-02-27 15:41:43:893, no_human
2020-02-27 15:41:43:908, no_human
2020-02-27 15:41:43:968,0.8553554,1.7828642.608467
2020-02-27 15:41:44:010,0.8553373,1.7828362.608415
2020-02-27 15:41:44:049,0.8553246,1.7828092.60839
2020-02-27 15:41:44:091,0.8552749,1.782752.608353
2020-02-27 15:41:44:136,0.8552433,1.7827652.608354
2020-02-27 15:41:44:195,0.8552108,1.7827942.608296
2020-02-27 15:41:44:234,0.8551868,1.7828162.608273
2020-02-27 15:41:44:272,0.8550625,1.7828312.608335
2020-02-27 15:41:44:321,0.8550299,1.7828882.608425
2020-02-27 15:41:44:356,0.8550192,1.7828812.608449
2020-02-27 15:41:44:391,0.8549531,1.782812.608497
2020-02-27 15:41:44:432,0.8549256,1.7828452.608465
2020-02-27 15:41:44:467,0.8548785,1.782872.60838
2020-02-27 15:41:44:505,0.854883,1.7828272.60844
2020-02-27 15:41:44:544,0.8547899,1.7828292.608488
2020-02-27 15:41:44:591,0.8547632,1.7827722.608526
2020-02-27 15:41:44:627,0.8546091,1.7828282.608401
2020-02-27 15:41:44:663,0.8546269,1.7828352.60838
2020-02-27 15:41:44:700,0.8546509,1.7828692.608416
2020-02-27 15:41:44:733,0.8546503,1.7828812.608418
2020-02-27 15:41:44:767,0.8546305,1.7828682.608397
2020-02-27 15:41:44:807,0.8546413,1.7828362.608404
2020-02-27 15:41:44:842,0.8546218,1.7828812.608443
2020-02-27 15:41:44:880,0.8546269,1.7828812.608444
2020-02-27 15:41:44:924,0.854553,1.782872.608489
2020-02-27 15:41:44:966,0.8545128,1.7828452.608459
2020-02-27 15:41:45:000,0.8544677,1.782872.608461
2020-02-27 15:41:45:039,0.8542942,1.7829082.608668
2020-02-27 15:41:45:076,0.8540661,1.7830262.608509
2020-02-27 15:41:45:123,0.8537161,1.782882.608602
2020-02-27 15:41:45:156,0.8532746,1.782812.60851
2020-02-27 15:41:45:190,0.8527735,1.7828962.608422
2020-02-27 15:41:45:225,0.8518636,1.7827272.608454
2020-02-27 15:41:45:264,0.850981,1.782582.608611
2020-02-27 15:41:45:299,0.849919,1.7823682.608767
2020-02-27 15:41:45:336,0.8453313,1.7820342.609514
2020-02-27 15:41:45:378,0.8426254,1.7818822.610271
2020-02-27 15:41:45:424,0.8397011,1.7815242.610649
2020-02-27 15:41:45:465,0.836576,1.7817462.611194
2020-02-27 15:41:45:501,0.832962,1.7812532.61166
2020-02-27 15:41:45:540,0.8260259,1.7801852.613527
2020-02-27 15:41:45:589,0.8229895,1.7799932.613899
2020-02-27 15:41:45:629,0.8194422,1.7799072.614216
2020-02-27 15:41:45:669,0.8163764,1.7787412.614963
2020-02-27 15:41:45:705,0.8117698,1.7785372.615597
2020-02-27 15:41:45:741,0.8093711,1.7790632.615729
2020-02-27 15:41:45:776,0.8065892,1.7795112.615622
2020-02-27 15:41:45:811,0.8045645,1.7795472.615947
2020-02-27 15:41:45:858,0.8018975,1.7798212.615808
2020-02-27 15:41:45:904,0.7991776,1.7799752.615934
2020-02-27 15:41:45:943,0.7925456,1.7796342.615054
2020-02-27 15:41:45:994,0.7892321,1.7798892.613888
2020-02-27 15:41:46:037,0.786219,1.7794922.612281
2020-02-27 15:41:46:092,0.7787056,1.7790142.608207
2020-02-27 15:41:46:137,0.7751573,1.7790172.605465
2020-02-27 15:41:46:192,0.7685509,1.7781162.597743
2020-02-27 15:41:46:237,0.7638349,1.7774572.59119
2020-02-27 15:41:46:336,0.7582222,1.7757572.579731
2020-02-27 15:41:46:396,0.7509288,1.7753632.554087
2020-02-27 15:41:46:444,0.7492972,1.7773012.544359
2020-02-27 15:41:46:496,0.7477151,1.7800632.527475
2020-02-27 15:41:46:535,0.7471423,1.781562.518737
2020-02-27 15:41:46:576,0.7456133,1.7841762.505259
2020-02-27 15:41:46:613,0.7449626,1.7847982.500488
2020-02-27 15:41:46:653,0.7443424,1.7848982.497292
2020-02-27 15:41:46:718,0.7433982,1.7854712.493954
2020-02-27 15:41:46:763,0.7432381,1.7852962.493703
2020-02-27 15:41:46:801,0.7430871,1.7854312.493774
2020-02-27 15:41:46:836,0.7429771,1.7849882.494817
2020-02-27 15:41:46:877,0.7428879,1.784782.499388
2020-02-27 15:41:46:916,0.7423974,1.7841682.502426
2020-02-27 15:41:46:961,0.7420495,1.7846712.50495
2020-02-27 15:41:47:000,0.7404065,1.7845392.509957
2020-02-27 15:41:47:037,0.7371324,1.7838532.516044
2020-02-27 15:41:47:079,0.7294189,1.7812982.533896
2020-02-27 15:41:47:119,0.7269959,1.7810552.53962
2020-02-27 15:41:47:159,0.723611,1.77972.550176
2020-02-27 15:41:47:203,0.7192507,1.7777592.56503
2020-02-27 15:41:47:243,0.7132169,1.7774472.586448
2020-02-27 15:41:47:284,0.7096586,1.7758612.598515
2020-02-27 15:41:47:330,0.7070966,1.7742672.610193
2020-02-27 15:41:47:367,0.7030555,1.7714922.621659
2020-02-27 15:41:47:402,0.6997049,1.7693222.631557
2020-02-27 15:41:47:441,0.6937423,1.7691562.649367
2020-02-27 15:41:47:480,0.6911058,1.7692052.656617
2020-02-27 15:41:47:701,0.6791829,1.7675162.680217
2020-02-27 15:41:47:740,0.6771907,1.7673052.682846
2020-02-27 15:41:47:781,0.6756091,1.7673062.68373
2020-02-27 15:41:47:818,0.6746083,1.7672082.683765
2020-02-27 15:41:47:852,0.6738969,1.7671692.683554
2020-02-27 15:41:48:358,0.6722993,1.7673142.682715
2020-02-27 15:41:48:411,0.6220569,1.7059872.648654
2020-02-27 15:41:48:454,0.6097611,1.6904652.644649
2020-02-27 15:41:48:499,0.6027471,1.6800442.642699
2020-02-27 15:41:48:539,0.597829,1.6691032.640866
2020-02-27 15:41:48:575,0.5896827,1.6481022.6385
2020-02-27 15:41:48:612,0.5851478,1.6357752.638453
2020-02-27 15:41:48:663,0.5812684,1.625872.637161
2020-02-27 15:41:48:712,0.5763444,1.6150542.635551
2020-02-27 15:41:48:769,0.5695599,1.5900852.634149
2020-02-27 15:41:48:820,0.5620487,1.567132.63434
2020-02-27 15:41:48:868,0.5574703,1.5519412.634475
2020-02-27 15:41:48:903,0.5502926,1.534352.635273
2020-02-27 15:41:48:949,0.535751,1.5030412.637391
2020-02-27 15:41:49:008,0.5296241,1.4842632.636791
2020-02-27 15:41:49:043,0.5099874,1.4389962.640032
2020-02-27 15:41:49:085,0.4986556,1.4173272.640774
2020-02-27 15:41:49:125,0.4803502,1.3906732.639761
2020-02-27 15:41:49:161,0.4658356,1.3717442.639762
2020-02-27 15:41:49:197,0.444816,1.3428482.640824
2020-02-27 15:41:49:240,0.4140299,1.3153862.640501
2020-02-27 15:41:49:277,0.3588209,1.2751192.636331
2020-02-27 15:41:49:323,0.3387592,1.2692152.635766
2020-02-27 15:41:49:364,0.2946227,1.2664792.629367
2020-02-27 15:41:49:399,0.2742895,1.2619722.628541
2020-02-27 15:41:49:439,0.2331417,1.2584862.630009
2020-02-27 15:41:49:475,0.2029487,1.2547542.628747
2020-02-27 15:41:49:517,0.1706769,1.2479252.628608
2020-02-27 15:41:49:562,0.1021356,1.2233162.637605
2020-02-27 15:41:49:609,0.08772278,1.2188042.637125
2020-02-27 15:41:49:650,0.04170467,1.1825182.644317
2020-02-27 15:41:49:683,0.01082281,1.1619352.647919
2020-02-27 15:41:49:723,-0.03407839,1.1329032.655445
2020-02-27 15:41:49:762,-0.05333992,1.1205282.652198
2020-02-27 15:41:49:797,-0.07364499,1.1015222.650266
2020-02-27 15:41:49:842,-0.09671996,1.0823852.649679
2020-02-27 15:41:49:878,-0.1243553,1.0539572.638758
2020-02-27 15:41:49:912,-0.163874,1.0169752.630095
2020-02-27 15:41:49:948,-0.1870565,1.0034052.626042
2020-02-27 15:41:49:998,-0.2264589,0.9612412.625676
2020-02-27 15:41:50:040,-0.2510704,0.95437562.621386
2020-02-27 15:41:50:075,-0.3354944,0.88873472.615076
2020-02-27 15:41:50:110,-0.377635,0.86251622.608936
2020-02-27 15:41:50:154,-0.4230417,0.83317332.602806
2020-02-27 15:41:50:199,-0.4736278,0.79434872.594817
2020-02-27 15:41:50:250,-0.5842831,0.7108222.583039
2020-02-27 15:41:50:289,-0.6344209,0.6743522.578492
2020-02-27 15:41:50:342,-0.6817384,0.64530892.573809
2020-02-27 15:41:50:377,-0.7592139,0.59398512.576306
2020-02-27 15:41:50:416,-0.7959908,0.57351932.575764
2020-02-27 15:41:50:472,-0.8214629,0.55682792.577164
2020-02-27 15:41:50:518,-0.8641677,0.53462.577961
2020-02-27 15:41:50:565,-0.8851389,0.51652252.580576
2020-02-27 15:41:50:601,-0.9005777,0.49926692.581613
2020-02-27 15:41:50:640,-0.9125811,0.47896752.58432
2020-02-27 15:41:50:678,-0.9325167,0.42163862.58975
2020-02-27 15:41:50:714,-0.9408728,0.38244212.586862
2020-02-27 15:41:50:758,-0.9418811,0.36291612.589793
2020-02-27 15:41:50:794,-0.9441554,0.33422222.59916
2020-02-27 15:41:50:835,-0.9569066,0.28633482.604756
2020-02-27 15:41:50:870,-0.9583744,0.2867862.60306
2020-02-27 15:41:50:920,-0.9672986,0.27678722.604121
2020-02-27 15:41:50:959,-0.9693615,0.27445042.604932
2020-02-27 15:41:50:999,-0.971221,0.27217632.604958
2020-02-27 15:41:51:043,-0.9748687,0.26972222.606366
2020-02-27 15:41:51:079,-0.9753437,0.27010862.606288
2020-02-27 15:41:51:122,-0.9754939,0.26944762.606259
2020-02-27 15:41:51:161,-0.9755566,0.26946942.606403
2020-02-27 15:41:51:202,-0.9765297,0.2691472.607415
