2020-02-27 15:22:34:333, no_human
2020-02-27 15:22:34:344, no_human
2020-02-27 15:22:34:664, no_human
2020-02-27 15:22:34:733, no_human
2020-02-27 15:22:34:747, no_human
2020-02-27 15:22:34:765, no_human
2020-02-27 15:22:34:781, no_human
2020-02-27 15:22:34:836, no_human
2020-02-27 15:22:34:865, no_human
2020-02-27 15:22:34:895, no_human
2020-02-27 15:22:34:903, no_human
2020-02-27 15:22:34:918, no_human
2020-02-27 15:22:34:935, no_human
2020-02-27 15:22:34:967, no_human
2020-02-27 15:22:35:008, no_human
2020-02-27 15:22:35:035, no_human
2020-02-27 15:22:35:063, no_human
2020-02-27 15:22:35:090, no_human
2020-02-27 15:22:35:122, no_human
2020-02-27 15:22:35:157, no_human
2020-02-27 15:22:35:191, no_human
2020-02-27 15:22:35:222, no_human
2020-02-27 15:22:35:257, no_human
2020-02-27 15:22:35:295, no_human
2020-02-27 15:22:35:328, no_human
2020-02-27 15:22:35:357, no_human
2020-02-27 15:22:35:391, no_human
2020-02-27 15:22:35:438,3.096798,2.540705
2020-02-27 15:22:35:478,3.098449,2.540929
2020-02-27 15:22:35:523,3.099115,2.541281
2020-02-27 15:22:35:566,3.099216,2.541466
2020-02-27 15:22:35:607,3.100203,2.541891
2020-02-27 15:22:35:660,3.101031,2.54203
2020-02-27 15:22:35:709,3.102548,2.542488
2020-02-27 15:22:35:759,3.103007,2.542558
2020-02-27 15:22:35:802,3.10341,2.542712
2020-02-27 15:22:35:843,3.103941,2.542823
2020-02-27 15:22:35:877,3.104173,2.542862
2020-02-27 15:22:35:912,3.104205,2.543004
2020-02-27 15:22:35:957,3.104207,2.543055
2020-02-27 15:22:35:996,3.104189,2.543127
2020-02-27 15:22:36:033,3.104198,2.543112
2020-02-27 15:22:36:074,3.10413,2.54317
2020-02-27 15:22:36:125,3.10407,2.543183
2020-02-27 15:22:36:166,3.103763,2.543089
2020-02-27 15:22:36:202,3.103581,2.543162
2020-02-27 15:22:36:242,3.103034,2.543068
2020-02-27 15:22:36:278,3.10251,2.542969
2020-02-27 15:22:36:290,3.10251,2.542969
2020-02-27 15:22:36:329,3.102018,2.543197
2020-02-27 15:22:36:364,3.101723,2.543201
2020-02-27 15:22:36:399,3.101383,2.543369
2020-02-27 15:22:36:432,3.101044,2.543619
2020-02-27 15:22:36:469,3.100516,2.544352
2020-02-27 15:22:36:508,3.100023,2.545022
2020-02-27 15:22:36:541,3.099852,2.545394
2020-02-27 15:22:36:578,3.099862,2.545548
2020-02-27 15:22:36:624,3.099749,2.545978
2020-02-27 15:22:36:669,3.099827,2.546541
2020-02-27 15:22:36:706,3.100329,2.547945
2020-02-27 15:22:36:757,3.100559,2.548727
2020-02-27 15:22:36:795,3.100868,2.549186
2020-02-27 15:22:36:836,3.101152,2.549571
2020-02-27 15:22:36:891,3.101516,2.550036
2020-02-27 15:22:36:927,3.101897,2.550343
2020-02-27 15:22:36:966,3.102086,2.550566
2020-02-27 15:22:37:002,3.102544,2.550833
2020-02-27 15:22:37:038,3.103117,2.550966
2020-02-27 15:22:37:076,3.103312,2.551222
2020-02-27 15:22:37:113,3.103518,2.551578
2020-02-27 15:22:37:162,3.103798,2.551829
2020-02-27 15:22:37:202,3.104001,2.552003
