2020-02-27 15:22:34:333, no_human
2020-02-27 15:22:34:344, no_human
2020-02-27 15:22:34:664, no_human
2020-02-27 15:22:34:733, no_human
2020-02-27 15:22:34:747, no_human
2020-02-27 15:22:34:765, no_human
2020-02-27 15:22:34:781, no_human
2020-02-27 15:22:34:836, no_human
2020-02-27 15:22:34:865, no_human
2020-02-27 15:22:34:895, no_human
2020-02-27 15:22:34:903, no_human
2020-02-27 15:22:34:918, no_human
2020-02-27 15:22:34:935, no_human
2020-02-27 15:22:34:967, no_human
2020-02-27 15:22:35:008, no_human
2020-02-27 15:22:35:035, no_human
2020-02-27 15:22:35:063, no_human
2020-02-27 15:22:35:090, no_human
2020-02-27 15:22:35:122, no_human
2020-02-27 15:22:35:157, no_human
2020-02-27 15:22:35:191, no_human
2020-02-27 15:22:35:222, no_human
2020-02-27 15:22:35:257, no_human
2020-02-27 15:22:35:295, no_human
2020-02-27 15:22:35:328, no_human
2020-02-27 15:22:35:357, no_human
2020-02-27 15:22:35:391, no_human
2020-02-27 15:22:35:438,0.3732019,1.7867742.540705
2020-02-27 15:22:35:478,0.3715505,1.7871842.540929
2020-02-27 15:22:35:523,0.3708853,1.7874862.541281
2020-02-27 15:22:35:566,0.3707846,1.7875922.541466
2020-02-27 15:22:35:607,0.3697971,1.7881542.541891
2020-02-27 15:22:35:660,0.3689689,1.7881592.54203
2020-02-27 15:22:35:709,0.3674522,1.7882552.542488
2020-02-27 15:22:35:759,0.3669934,1.7883782.542558
2020-02-27 15:22:35:802,0.3665901,1.7884612.542712
2020-02-27 15:22:35:843,0.3660588,1.7886812.542823
2020-02-27 15:22:35:877,0.3658265,1.7887622.542862
2020-02-27 15:22:35:912,0.3657951,1.7888782.543004
2020-02-27 15:22:35:957,0.3657927,1.78892.543055
2020-02-27 15:22:35:996,0.3658114,1.7890442.543127
2020-02-27 15:22:36:033,0.3658023,1.7891062.543112
2020-02-27 15:22:36:074,0.3658697,1.7892012.54317
2020-02-27 15:22:36:125,0.3659303,1.7893032.543183
2020-02-27 15:22:36:166,0.3662372,1.7896392.543089
2020-02-27 15:22:36:202,0.3664188,1.7896972.543162
2020-02-27 15:22:36:242,0.3669654,1.7900932.543068
2020-02-27 15:22:36:278,0.3674902,1.7904262.542969
2020-02-27 15:22:36:290,0.3674902,1.7904262.542969
2020-02-27 15:22:36:329,0.367982,1.7906542.543197
2020-02-27 15:22:36:364,0.3682773,1.7906112.543201
2020-02-27 15:22:36:399,0.3686167,1.7906492.543369
2020-02-27 15:22:36:432,0.3689556,1.7906622.543619
2020-02-27 15:22:36:469,0.3694845,1.7908792.544352
2020-02-27 15:22:36:508,0.3699768,1.7911072.545022
2020-02-27 15:22:36:541,0.3701479,1.7912152.545394
2020-02-27 15:22:36:578,0.3701382,1.7912212.545548
2020-02-27 15:22:36:624,0.3702512,1.7911532.545978
2020-02-27 15:22:36:669,0.370173,1.7913892.546541
2020-02-27 15:22:36:706,0.3696712,1.7917322.547945
2020-02-27 15:22:36:757,0.369441,1.7916022.548727
2020-02-27 15:22:36:795,0.3691321,1.7915382.549186
2020-02-27 15:22:36:836,0.3688477,1.7916342.549571
2020-02-27 15:22:36:891,0.3684843,1.7916812.550036
2020-02-27 15:22:36:927,0.3681027,1.7916652.550343
2020-02-27 15:22:36:966,0.3679141,1.7917942.550566
2020-02-27 15:22:37:002,0.3674558,1.7918692.550833
2020-02-27 15:22:37:038,0.3668836,1.7918192.550966
2020-02-27 15:22:37:076,0.3666883,1.7917952.551222
2020-02-27 15:22:37:113,0.3664817,1.7918592.551578
2020-02-27 15:22:37:162,0.3662017,1.7915862.551829
2020-02-27 15:22:37:202,0.3659993,1.7915442.552003
2020-02-27 15:22:37:244,0.3658147,1.7916252.55242
2020-02-27 15:22:37:294,0.3657578,1.7916952.552509
2020-02-27 15:22:37:341,0.365608,1.7919112.552635
2020-02-27 15:22:37:393,0.3648458,1.7922352.552824
2020-02-27 15:22:37:440,0.3645202,1.792262.55303
2020-02-27 15:22:37:495,0.3639679,1.7924192.553461
2020-02-27 15:22:37:536,0.3638299,1.7925422.553573
2020-02-27 15:22:37:573,0.3627384,1.7927262.554491
2020-02-27 15:22:37:609,0.3624588,1.7927082.554716
2020-02-27 15:22:37:679,0.3619628,1.7926282.5551
2020-02-27 15:22:37:802,0.3611234,1.7930192.555595
2020-02-27 15:22:37:866,0.3593398,1.7931522.555634
2020-02-27 15:22:37:920,0.359003,1.7931452.555606
