2020-02-27 16:43:40:923, no_human
2020-02-27 16:43:40:936, no_human
2020-02-27 16:43:41:226, no_human
2020-02-27 16:43:41:318, no_human
2020-02-27 16:43:41:352, no_human
2020-02-27 16:43:41:367, no_human
2020-02-27 16:43:41:383, no_human
2020-02-27 16:43:41:400, no_human
2020-02-27 16:43:41:417, no_human
2020-02-27 16:43:41:456, no_human
2020-02-27 16:43:41:473, no_human
2020-02-27 16:43:41:493, no_human
2020-02-27 16:43:41:511, no_human
2020-02-27 16:43:41:525, no_human
2020-02-27 16:43:41:542, no_human
2020-02-27 16:43:41:559, no_human
2020-02-27 16:43:41:604, no_human
2020-02-27 16:43:41:639, no_human
2020-02-27 16:43:41:671, no_human
2020-02-27 16:43:41:701, no_human
2020-02-27 16:43:41:731, no_human
2020-02-27 16:43:41:761, no_human
2020-02-27 16:43:41:791, no_human
2020-02-27 16:43:41:821, no_human
2020-02-27 16:43:41:861, no_human
2020-02-27 16:43:41:896, no_human
2020-02-27 16:43:41:925, no_human
2020-02-27 16:43:41:954, no_human
2020-02-27 16:43:41:987, no_human
2020-02-27 16:43:41:995, no_human
2020-02-27 16:43:42:031, no_human
2020-02-27 16:43:42:087,3.139796,2.715327
2020-02-27 16:43:42:129,3.137696,2.714534
2020-02-27 16:43:42:203,3.132508,2.71296
2020-02-27 16:43:42:244,3.129401,2.712187
2020-02-27 16:43:42:289,3.123638,2.709979
2020-02-27 16:43:42:328,3.121034,2.709026
2020-02-27 16:43:42:387,3.115645,2.706914
2020-02-27 16:43:42:427,3.114005,2.706519
2020-02-27 16:43:42:466,3.112091,2.705552
2020-02-27 16:43:42:507,3.10991,2.704744
2020-02-27 16:43:42:551,3.10565,2.703241
2020-02-27 16:43:42:590,3.104028,2.702955
2020-02-27 16:43:42:626,3.10267,2.702733
2020-02-27 16:43:42:664,3.101172,2.702372
2020-02-27 16:43:42:698,3.099822,2.70209
2020-02-27 16:43:42:732,3.098654,2.702019
2020-02-27 16:43:42:767,3.097453,2.701959
2020-02-27 16:43:42:805,3.096033,2.701396
2020-02-27 16:43:42:841,3.093934,2.700945
2020-02-27 16:43:42:876,3.092455,2.700381
2020-02-27 16:43:42:910,3.09152,2.70015
2020-02-27 16:43:42:947,3.09035,2.699778
2020-02-27 16:43:42:982,3.08941,2.699491
2020-02-27 16:43:43:018,3.088887,2.699305
2020-02-27 16:43:43:056,3.08781,2.699072
2020-02-27 16:43:43:098,3.086488,2.698849
2020-02-27 16:43:43:133,3.086235,2.698841
2020-02-27 16:43:43:170,3.085404,2.698559
2020-02-27 16:43:43:207,3.084678,2.69869
2020-02-27 16:43:43:243,3.083842,2.69896
2020-02-27 16:43:43:278,3.083486,2.698939
2020-02-27 16:43:43:318,3.08274,2.698908
2020-02-27 16:43:43:352,3.082608,2.69895
2020-02-27 16:43:43:388,3.082343,2.698935
2020-02-27 16:43:43:429,3.081831,2.698913
2020-02-27 16:43:43:465,3.081623,2.699035
2020-02-27 16:43:43:503,3.081504,2.699023
2020-02-27 16:43:43:542,3.081438,2.699016
2020-02-27 16:43:43:586,3.081292,2.698843
2020-02-27 16:43:43:631,3.081323,2.698883
2020-02-27 16:43:43:679,3.081512,2.698825
2020-02-27 16:43:43:715,3.081738,2.698824
2020-02-27 16:43:43:749,3.082409,2.698708
2020-02-27 16:43:43:783,3.083107,2.698607
2020-02-27 16:43:43:818,3.083645,2.698528
2020-02-27 16:43:43:852,3.085367,2.698945
2020-02-27 16:43:43:887,3.086239,2.699191
2020-02-27 16:43:43:930,3.087274,2.69942
2020-02-27 16:43:43:966,3.088858,2.699149
2020-02-27 16:43:44:009,3.091211,2.699318
2020-02-27 16:43:44:046,3.093211,2.699044
