2020-02-27 16:43:40:923, no_human
2020-02-27 16:43:40:936, no_human
2020-02-27 16:43:41:226, no_human
2020-02-27 16:43:41:318, no_human
2020-02-27 16:43:41:352, no_human
2020-02-27 16:43:41:367, no_human
2020-02-27 16:43:41:383, no_human
2020-02-27 16:43:41:400, no_human
2020-02-27 16:43:41:417, no_human
2020-02-27 16:43:41:456, no_human
2020-02-27 16:43:41:473, no_human
2020-02-27 16:43:41:493, no_human
2020-02-27 16:43:41:511, no_human
2020-02-27 16:43:41:525, no_human
2020-02-27 16:43:41:542, no_human
2020-02-27 16:43:41:559, no_human
2020-02-27 16:43:41:604, no_human
2020-02-27 16:43:41:639, no_human
2020-02-27 16:43:41:671, no_human
2020-02-27 16:43:41:701, no_human
2020-02-27 16:43:41:731, no_human
2020-02-27 16:43:41:761, no_human
2020-02-27 16:43:41:791, no_human
2020-02-27 16:43:41:821, no_human
2020-02-27 16:43:41:861, no_human
2020-02-27 16:43:41:896, no_human
2020-02-27 16:43:41:925, no_human
2020-02-27 16:43:41:954, no_human
2020-02-27 16:43:41:987, no_human
2020-02-27 16:43:41:995, no_human
2020-02-27 16:43:42:031, no_human
2020-02-27 16:43:42:087,0.3302041,1.73862.715327
2020-02-27 16:43:42:129,0.3323044,1.7389562.714534
2020-02-27 16:43:42:203,0.3374924,1.7390342.71296
2020-02-27 16:43:42:244,0.3405987,1.7394112.712187
2020-02-27 16:43:42:289,0.3463621,1.7391362.709979
2020-02-27 16:43:42:328,0.3489663,1.7387012.709026
2020-02-27 16:43:42:387,0.3543552,1.7390452.706914
2020-02-27 16:43:42:427,0.3559952,1.7389482.706519
2020-02-27 16:43:42:466,0.3579091,1.738762.705552
2020-02-27 16:43:42:507,0.36009,1.7386032.704744
2020-02-27 16:43:42:551,0.3643504,1.7379982.703241
2020-02-27 16:43:42:590,0.3659717,1.7380422.702955
2020-02-27 16:43:42:626,0.3673297,1.7383262.702733
2020-02-27 16:43:42:664,0.3688278,1.7383582.702372
2020-02-27 16:43:42:698,0.3701779,1.7381322.70209
2020-02-27 16:43:42:732,0.3713457,1.7381882.702019
2020-02-27 16:43:42:767,0.3725469,1.7382352.701959
2020-02-27 16:43:42:805,0.3739667,1.7380672.701396
2020-02-27 16:43:42:841,0.3760663,1.7380142.700945
2020-02-27 16:43:42:876,0.377545,1.7381072.700381
2020-02-27 16:43:42:910,0.3784797,1.7382012.70015
2020-02-27 16:43:42:947,0.3796496,1.7380982.699778
2020-02-27 16:43:42:982,0.3805901,1.7382312.699491
2020-02-27 16:43:43:018,0.3811132,1.7383722.699305
2020-02-27 16:43:43:056,0.3821904,1.7384352.699072
2020-02-27 16:43:43:098,0.3835121,1.7384112.698849
2020-02-27 16:43:43:133,0.3837653,1.7383682.698841
2020-02-27 16:43:43:170,0.3845958,1.7385952.698559
2020-02-27 16:43:43:207,0.385322,1.7385562.69869
2020-02-27 16:43:43:243,0.3861579,1.7385342.69896
2020-02-27 16:43:43:278,0.3865138,1.7384922.698939
2020-02-27 16:43:43:318,0.3872597,1.7384672.698908
2020-02-27 16:43:43:352,0.3873915,1.7384852.69895
2020-02-27 16:43:43:388,0.3876569,1.7384532.698935
2020-02-27 16:43:43:429,0.3881691,1.7383342.698913
2020-02-27 16:43:43:465,0.3883773,1.7383132.699035
2020-02-27 16:43:43:503,0.3884958,1.7383252.699023
2020-02-27 16:43:43:542,0.3885623,1.7383342.699016
2020-02-27 16:43:43:586,0.3887082,1.7382112.698843
2020-02-27 16:43:43:631,0.3886766,1.7381442.698883
2020-02-27 16:43:43:679,0.3884878,1.7380552.698825
2020-02-27 16:43:43:715,0.3882623,1.7381072.698824
2020-02-27 16:43:43:749,0.3875913,1.7381912.698708
2020-02-27 16:43:43:783,0.3868932,1.7380572.698607
2020-02-27 16:43:43:818,0.3863552,1.7378712.698528
2020-02-27 16:43:43:852,0.3846332,1.7380442.698945
2020-02-27 16:43:43:887,0.3837614,1.7379092.699191
2020-02-27 16:43:43:930,0.3827264,1.7380012.69942
2020-02-27 16:43:43:966,0.3811423,1.7379712.699149
2020-02-27 16:43:44:009,0.378789,1.737942.699318
2020-02-27 16:43:44:046,0.3767889,1.7375652.699044
2020-02-27 16:43:44:080,0.3755551,1.7373282.699024
2020-02-27 16:43:44:114,0.3733823,1.7369572.69921
2020-02-27 16:43:44:151,0.3715694,1.7366912.698788
2020-02-27 16:43:44:186,0.3694373,1.7365622.698823
2020-02-27 16:43:44:224,0.3673293,1.736412.698656
2020-02-27 16:43:44:272,0.3649248,1.7359492.698305
2020-02-27 16:43:44:309,0.3604122,1.7357592.698035
2020-02-27 16:43:44:344,0.3585251,1.7356272.697852
2020-02-27 16:43:44:384,0.3569412,1.7353952.697718
2020-02-27 16:43:44:428,0.3548068,1.7354392.697187
2020-02-27 16:43:44:463,0.3521402,1.7354212.696726
2020-02-27 16:43:44:498,0.3500936,1.7349452.696615
2020-02-27 16:43:44:538,0.3471307,1.7343932.696341
2020-02-27 16:43:44:575,0.3453748,1.7343852.696132
2020-02-27 16:43:44:614,0.3435742,1.7347852.695371
2020-02-27 16:43:44:647,0.3423916,1.7349982.695041
2020-02-27 16:43:44:683,0.3405143,1.7347812.694509
2020-02-27 16:43:44:727,0.3392733,1.7347172.69447
2020-02-27 16:43:44:761,0.3377394,1.7349692.694262
2020-02-27 16:43:44:796,0.336487,1.7349952.694263
2020-02-27 16:43:44:832,0.334753,1.7348772.694628
2020-02-27 16:43:44:867,0.3332574,1.7347912.694738
2020-02-27 16:43:44:902,0.3322981,1.7350492.694808
2020-02-27 16:43:44:942,0.3295007,1.7351542.694803
2020-02-27 16:43:44:976,0.3283458,1.7352652.695022
2020-02-27 16:43:44:989,0.3283458,1.7352652.695022
2020-02-27 16:43:45:029,0.3274497,1.7352812.695187
2020-02-27 16:43:45:064,0.3261895,1.7352532.695679
2020-02-27 16:43:45:100,0.3247889,1.7351862.696111
2020-02-27 16:43:45:135,0.3237368,1.735172.696741
2020-02-27 16:43:45:169,0.3226516,1.7350882.696964
2020-02-27 16:43:45:204,0.3215687,1.7349252.697632
2020-02-27 16:43:45:236,0.3205764,1.7350572.697859
2020-02-27 16:43:45:278,0.3194882,1.7352172.69837
2020-02-27 16:43:45:312,0.3179119,1.735542.698721
2020-02-27 16:43:45:347,0.3166915,1.7355512.698958
2020-02-27 16:43:45:383,0.3153824,1.73562.699326
2020-02-27 16:43:45:424,0.3138281,1.7354742.699154
2020-02-27 16:43:45:458,0.3122323,1.7352792.699012
2020-02-27 16:43:45:495,0.3106029,1.7352552.698719
2020-02-27 16:43:45:530,0.3085503,1.7347672.698252
2020-02-27 16:43:45:564,0.3064444,1.7343762.697676
2020-02-27 16:43:45:598,0.3047549,1.7342892.69727
2020-02-27 16:43:45:634,0.3023295,1.7338012.696192
2020-02-27 16:43:45:669,0.2995023,1.733142.694801
2020-02-27 16:43:45:705,0.2972175,1.7324732.693878
2020-02-27 16:43:45:743,0.2915735,1.7308882.691811
2020-02-27 16:43:45:786,0.2882016,1.7286752.690078
2020-02-27 16:43:45:830,0.2850956,1.727172.688693
2020-02-27 16:43:45:865,0.2823034,1.7264052.687257
