2020-02-27 15:35:22:844, no_human
2020-02-27 15:35:22:855, no_human
2020-02-27 15:35:23:095, no_human
2020-02-27 15:35:23:163, no_human
2020-02-27 15:35:23:183, no_human
2020-02-27 15:35:23:201, no_human
2020-02-27 15:35:23:217, no_human
2020-02-27 15:35:23:234, no_human
2020-02-27 15:35:23:251, no_human
2020-02-27 15:35:23:271, no_human
2020-02-27 15:35:23:285, no_human
2020-02-27 15:35:23:302, no_human
2020-02-27 15:35:23:319, no_human
2020-02-27 15:35:23:335, no_human
2020-02-27 15:35:23:389, no_human
2020-02-27 15:35:23:409, no_human
2020-02-27 15:35:23:420, no_human
2020-02-27 15:35:23:434, no_human
2020-02-27 15:35:23:450, no_human
2020-02-27 15:35:23:467, no_human
2020-02-27 15:35:23:522, no_human
2020-02-27 15:35:23:550, no_human
2020-02-27 15:35:23:559, no_human
2020-02-27 15:35:23:594, no_human
2020-02-27 15:35:23:621, no_human
2020-02-27 15:35:23:648, no_human
2020-02-27 15:35:23:657, no_human
2020-02-27 15:35:23:695, no_human
2020-02-27 15:35:23:724, no_human
2020-02-27 15:35:23:753, no_human
2020-02-27 15:35:23:765, no_human
2020-02-27 15:35:23:797, no_human
2020-02-27 15:35:23:825, no_human
2020-02-27 15:35:23:850, no_human
2020-02-27 15:35:23:858, no_human
2020-02-27 15:35:23:893, no_human
2020-02-27 15:35:23:920, no_human
2020-02-27 15:35:23:949, no_human
2020-02-27 15:35:23:957, no_human
2020-02-27 15:35:23:991, no_human
2020-02-27 15:35:24:039,2.636227,2.69429
2020-02-27 15:35:24:078,2.636085,2.694219
2020-02-27 15:35:24:116,2.635992,2.694161
2020-02-27 15:35:24:161,2.635772,2.693923
2020-02-27 15:35:24:206,2.63555,2.693869
2020-02-27 15:35:24:249,2.635083,2.693584
2020-02-27 15:35:24:283,2.634489,2.693015
2020-02-27 15:35:24:317,2.634178,2.692835
2020-02-27 15:35:24:353,2.633888,2.692657
2020-02-27 15:35:24:400,2.633763,2.692526
2020-02-27 15:35:24:448,2.633263,2.692051
2020-02-27 15:35:24:497,2.633219,2.691973
2020-02-27 15:35:24:535,2.633209,2.691967
2020-02-27 15:35:24:574,2.633277,2.691931
2020-02-27 15:35:24:617,2.633466,2.691952
2020-02-27 15:35:24:657,2.63371,2.692154
2020-02-27 15:35:24:694,2.63404,2.692627
2020-02-27 15:35:24:729,2.634248,2.692755
2020-02-27 15:35:24:767,2.634513,2.692812
2020-02-27 15:35:24:804,2.635075,2.69312
2020-02-27 15:35:24:839,2.636003,2.693487
2020-02-27 15:35:24:883,2.63655,2.693493
2020-02-27 15:35:24:937,2.636884,2.693493
2020-02-27 15:35:24:981,2.638012,2.693909
2020-02-27 15:35:25:026,2.638384,2.693957
2020-02-27 15:35:25:066,2.63911,2.694145
2020-02-27 15:35:25:101,2.639566,2.694376
2020-02-27 15:35:25:140,2.641425,2.694306
2020-02-27 15:35:25:176,2.642714,2.694852
2020-02-27 15:35:25:215,2.644481,2.695385
