2020-02-27 15:35:22:844, no_human
2020-02-27 15:35:22:855, no_human
2020-02-27 15:35:23:095, no_human
2020-02-27 15:35:23:163, no_human
2020-02-27 15:35:23:183, no_human
2020-02-27 15:35:23:201, no_human
2020-02-27 15:35:23:217, no_human
2020-02-27 15:35:23:234, no_human
2020-02-27 15:35:23:251, no_human
2020-02-27 15:35:23:271, no_human
2020-02-27 15:35:23:285, no_human
2020-02-27 15:35:23:302, no_human
2020-02-27 15:35:23:319, no_human
2020-02-27 15:35:23:335, no_human
2020-02-27 15:35:23:389, no_human
2020-02-27 15:35:23:409, no_human
2020-02-27 15:35:23:420, no_human
2020-02-27 15:35:23:434, no_human
2020-02-27 15:35:23:450, no_human
2020-02-27 15:35:23:467, no_human
2020-02-27 15:35:23:522, no_human
2020-02-27 15:35:23:550, no_human
2020-02-27 15:35:23:559, no_human
2020-02-27 15:35:23:594, no_human
2020-02-27 15:35:23:621, no_human
2020-02-27 15:35:23:648, no_human
2020-02-27 15:35:23:657, no_human
2020-02-27 15:35:23:695, no_human
2020-02-27 15:35:23:724, no_human
2020-02-27 15:35:23:753, no_human
2020-02-27 15:35:23:765, no_human
2020-02-27 15:35:23:797, no_human
2020-02-27 15:35:23:825, no_human
2020-02-27 15:35:23:850, no_human
2020-02-27 15:35:23:858, no_human
2020-02-27 15:35:23:893, no_human
2020-02-27 15:35:23:920, no_human
2020-02-27 15:35:23:949, no_human
2020-02-27 15:35:23:957, no_human
2020-02-27 15:35:23:991, no_human
2020-02-27 15:35:24:039,0.8337731,1.7428442.69429
2020-02-27 15:35:24:078,0.8339151,1.7428462.694219
2020-02-27 15:35:24:116,0.8340082,1.7428542.694161
2020-02-27 15:35:24:161,0.8342281,1.7428512.693923
2020-02-27 15:35:24:206,0.83445,1.7428822.693869
2020-02-27 15:35:24:249,0.8349174,1.7428622.693584
2020-02-27 15:35:24:283,0.8355111,1.7429852.693015
2020-02-27 15:35:24:317,0.8358216,1.7430072.692835
2020-02-27 15:35:24:353,0.8361117,1.7430022.692657
2020-02-27 15:35:24:400,0.8362373,1.742982.692526
2020-02-27 15:35:24:448,0.8367375,1.7428592.692051
2020-02-27 15:35:24:497,0.8367812,1.7428552.691973
2020-02-27 15:35:24:535,0.8367913,1.7428092.691967
2020-02-27 15:35:24:574,0.836723,1.7428352.691931
2020-02-27 15:35:24:617,0.8365341,1.7427962.691952
2020-02-27 15:35:24:657,0.83629,1.7428442.692154
2020-02-27 15:35:24:694,0.8359597,1.742932.692627
2020-02-27 15:35:24:729,0.8357517,1.7428912.692755
2020-02-27 15:35:24:767,0.835487,1.7430062.692812
2020-02-27 15:35:24:804,0.8349246,1.7429372.69312
2020-02-27 15:35:24:839,0.833997,1.7430212.693487
2020-02-27 15:35:24:883,0.8334502,1.7430872.693493
2020-02-27 15:35:24:937,0.8331157,1.7432192.693493
2020-02-27 15:35:24:981,0.8319883,1.7435242.693909
2020-02-27 15:35:25:026,0.831616,1.7435562.693957
2020-02-27 15:35:25:066,0.8308904,1.7435672.694145
2020-02-27 15:35:25:101,0.8304335,1.7435482.694376
2020-02-27 15:35:25:140,0.828575,1.7437812.694306
2020-02-27 15:35:25:176,0.8272861,1.7438472.694852
2020-02-27 15:35:25:215,0.8255189,1.7440082.695385
2020-02-27 15:35:25:249,0.8240387,1.7443492.69561
2020-02-27 15:35:25:283,0.8227926,1.7444062.695939
2020-02-27 15:35:25:319,0.8209392,1.7442722.696286
2020-02-27 15:35:25:362,0.8190261,1.7445632.697179
2020-02-27 15:35:25:396,0.8171797,1.7448872.697674
2020-02-27 15:35:25:432,0.8156151,1.7449042.69787
2020-02-27 15:35:25:474,0.8117779,1.7456652.697861
2020-02-27 15:35:25:507,0.8099611,1.7458282.698429
