2020-02-27 15:00:37:932, no_human
2020-02-27 15:00:37:943, no_human
2020-02-27 15:00:38:239, no_human
2020-02-27 15:00:38:310, no_human
2020-02-27 15:00:38:327, no_human
2020-02-27 15:00:38:343, no_human
2020-02-27 15:00:38:360, no_human
2020-02-27 15:00:38:381, no_human
2020-02-27 15:00:38:395, no_human
2020-02-27 15:00:38:411, no_human
2020-02-27 15:00:38:455, no_human
2020-02-27 15:00:38:473, no_human
2020-02-27 15:00:38:479, no_human
2020-02-27 15:00:38:495, no_human
2020-02-27 15:00:38:512, no_human
2020-02-27 15:00:38:530, no_human
2020-02-27 15:00:38:558, no_human
2020-02-27 15:00:38:591, no_human
2020-02-27 15:00:38:621, no_human
2020-02-27 15:00:38:656, no_human
2020-02-27 15:00:38:689, no_human
2020-02-27 15:00:38:717, no_human
2020-02-27 15:00:38:724, no_human
2020-02-27 15:00:38:774, no_human
2020-02-27 15:00:38:804, no_human
2020-02-27 15:00:38:834, no_human
2020-02-27 15:00:38:866, no_human
2020-02-27 15:00:38:901, no_human
2020-02-27 15:00:38:932, no_human
2020-02-27 15:00:38:967, no_human
2020-02-27 15:00:38:997, no_human
2020-02-27 15:00:39:027, no_human
2020-02-27 15:00:39:055, no_human
2020-02-27 15:00:39:107,3.052063,2.622958
2020-02-27 15:00:39:150,3.052575,2.622755
2020-02-27 15:00:39:197,3.053555,2.622355
2020-02-27 15:00:39:238,3.054621,2.621653
2020-02-27 15:00:39:271,3.05655,2.620785
2020-02-27 15:00:39:311,3.058014,2.620416
2020-02-27 15:00:39:351,3.05928,2.620581
2020-02-27 15:00:39:388,3.06041,2.621016
2020-02-27 15:00:39:422,3.061078,2.621174
2020-02-27 15:00:39:462,3.062356,2.621918
2020-02-27 15:00:39:508,3.06367,2.623432
2020-02-27 15:00:39:562,3.065706,2.626475
2020-02-27 15:00:39:603,3.066611,2.628629
2020-02-27 15:00:39:645,3.068717,2.632643
2020-02-27 15:00:39:689,3.069862,2.635118
2020-02-27 15:00:39:725,3.070464,2.636564
2020-02-27 15:00:39:759,3.070735,2.637296
2020-02-27 15:00:39:795,3.071134,2.639265
2020-02-27 15:00:39:831,3.071339,2.640242
2020-02-27 15:00:39:865,3.07148,2.6415
2020-02-27 15:00:39:898,3.07167,2.642167
2020-02-27 15:00:39:936,3.071852,2.642923
2020-02-27 15:00:39:976,3.072033,2.643826
2020-02-27 15:00:40:013,3.072079,2.643966
2020-02-27 15:00:40:055,3.072053,2.644183
2020-02-27 15:00:40:090,3.072073,2.644227
2020-02-27 15:00:40:130,3.072073,2.644228
2020-02-27 15:00:40:166,3.072077,2.644151
2020-02-27 15:00:40:201,3.072166,2.644111
2020-02-27 15:00:40:238,3.072484,2.643455
2020-02-27 15:00:40:279,3.072733,2.64317
