2020-02-27 15:00:37:932, no_human
2020-02-27 15:00:37:943, no_human
2020-02-27 15:00:38:239, no_human
2020-02-27 15:00:38:310, no_human
2020-02-27 15:00:38:327, no_human
2020-02-27 15:00:38:343, no_human
2020-02-27 15:00:38:360, no_human
2020-02-27 15:00:38:381, no_human
2020-02-27 15:00:38:395, no_human
2020-02-27 15:00:38:411, no_human
2020-02-27 15:00:38:455, no_human
2020-02-27 15:00:38:473, no_human
2020-02-27 15:00:38:479, no_human
2020-02-27 15:00:38:495, no_human
2020-02-27 15:00:38:512, no_human
2020-02-27 15:00:38:530, no_human
2020-02-27 15:00:38:558, no_human
2020-02-27 15:00:38:591, no_human
2020-02-27 15:00:38:621, no_human
2020-02-27 15:00:38:656, no_human
2020-02-27 15:00:38:689, no_human
2020-02-27 15:00:38:717, no_human
2020-02-27 15:00:38:724, no_human
2020-02-27 15:00:38:774, no_human
2020-02-27 15:00:38:804, no_human
2020-02-27 15:00:38:834, no_human
2020-02-27 15:00:38:866, no_human
2020-02-27 15:00:38:901, no_human
2020-02-27 15:00:38:932, no_human
2020-02-27 15:00:38:967, no_human
2020-02-27 15:00:38:997, no_human
2020-02-27 15:00:39:027, no_human
2020-02-27 15:00:39:055, no_human
2020-02-27 15:00:39:107,0.4179375,1.7376282.622958
2020-02-27 15:00:39:150,0.4174248,1.7372722.622755
2020-02-27 15:00:39:197,0.4164451,1.7372512.622355
2020-02-27 15:00:39:238,0.4153789,1.7373912.621653
2020-02-27 15:00:39:271,0.4134497,1.737472.620785
2020-02-27 15:00:39:311,0.4119855,1.7373112.620416
2020-02-27 15:00:39:351,0.4107204,1.7373412.620581
2020-02-27 15:00:39:388,0.4095901,1.737442.621016
2020-02-27 15:00:39:422,0.4089224,1.7375922.621174
2020-02-27 15:00:39:462,0.4076437,1.738062.621918
2020-02-27 15:00:39:508,0.4063298,1.7386052.623432
2020-02-27 15:00:39:562,0.4042942,1.7398712.626475
2020-02-27 15:00:39:603,0.4033888,1.7405542.628629
2020-02-27 15:00:39:645,0.4012828,1.7419152.632643
2020-02-27 15:00:39:689,0.4001378,1.7425092.635118
2020-02-27 15:00:39:725,0.3995363,1.7429482.636564
2020-02-27 15:00:39:759,0.3992654,1.7432762.637296
2020-02-27 15:00:39:795,0.3988665,1.7434512.639265
2020-02-27 15:00:39:831,0.3986611,1.7435882.640242
2020-02-27 15:00:39:865,0.3985206,1.7437582.6415
2020-02-27 15:00:39:898,0.3983299,1.7438352.642167
2020-02-27 15:00:39:936,0.3981482,1.7440362.642923
2020-02-27 15:00:39:976,0.3979672,1.744422.643826
2020-02-27 15:00:40:013,0.3979208,1.744512.643966
2020-02-27 15:00:40:055,0.3979467,1.7445732.644183
2020-02-27 15:00:40:090,0.3979265,1.7446392.644227
2020-02-27 15:00:40:130,0.3979271,1.7446892.644228
2020-02-27 15:00:40:166,0.3979233,1.7447122.644151
2020-02-27 15:00:40:201,0.3978337,1.7446522.644111
2020-02-27 15:00:40:238,0.3975154,1.7447922.643455
2020-02-27 15:00:40:279,0.397267,1.7449742.64317
2020-02-27 15:00:40:322,0.3970959,1.7450222.642838
2020-02-27 15:00:40:356,0.3970026,1.7450522.642685
2020-02-27 15:00:40:389,0.3968289,1.7449442.642408
2020-02-27 15:00:40:422,0.3968493,1.7449092.642073
2020-02-27 15:00:40:459,0.3967882,1.7448972.641784
2020-02-27 15:00:40:495,0.3966004,1.7448442.641495
2020-02-27 15:00:40:532,0.3963611,1.7449372.641088
2020-02-27 15:00:40:570,0.3961006,1.7448012.640734
2020-02-27 15:00:40:607,0.3958326,1.7447452.640031
2020-02-27 15:00:40:657,0.3957691,1.7447362.639956
2020-02-27 15:00:40:706,0.395686,1.7447032.639688
2020-02-27 15:00:40:745,0.3954326,1.7447112.639091
2020-02-27 15:00:40:791,0.3951188,1.7447192.638952
2020-02-27 15:00:40:829,0.3946084,1.7447832.638682
2020-02-27 15:00:40:867,0.3938597,1.7449482.638396
2020-02-27 15:00:40:906,0.3916391,1.7453452.637572
2020-02-27 15:00:40:943,0.390249,1.7452622.637225
2020-02-27 15:00:41:008,0.3872778,1.7454852.636974
2020-02-27 15:00:41:054,0.3854258,1.7455592.636697
2020-02-27 15:00:41:091,0.3821548,1.7454482.636406
2020-02-27 15:00:41:134,0.3782497,1.7451552.635357
2020-02-27 15:00:41:171,0.3696815,1.7446432.63315
2020-02-27 15:00:41:227,0.3647196,1.7440272.63211
2020-02-27 15:00:41:271,0.3597775,1.7437742.631107
2020-02-27 15:00:41:322,0.3484473,1.7411062.626755
2020-02-27 15:00:41:372,0.3431908,1.7396192.624553
2020-02-27 15:00:41:422,0.3320484,1.7368882.618999
2020-02-27 15:00:41:463,0.3270009,1.7367072.615367
2020-02-27 15:00:41:533,0.3226225,1.7367732.612595
2020-02-27 15:00:41:578,0.3158146,1.7367122.607922
2020-02-27 15:00:41:630,0.3130852,1.7373352.603989
2020-02-27 15:00:41:677,0.3130392,1.7371462.600584
2020-02-27 15:00:41:731,0.3194428,1.7371942.590618
2020-02-27 15:00:41:767,0.3264398,1.7379252.583288
2020-02-27 15:00:41:801,0.3367065,1.7376532.574566
2020-02-27 15:00:41:840,0.3594685,1.73822.555986
2020-02-27 15:00:41:875,0.3744285,1.7423662.543176
2020-02-27 15:00:41:912,0.3868335,1.7436572.534064
2020-02-27 15:00:41:956,0.3974022,1.7426832.52499
2020-02-27 15:00:41:997,0.4109111,1.7411532.512227
2020-02-27 15:00:42:034,0.4191608,1.7405982.504558
2020-02-27 15:00:42:074,0.4363336,1.7402232.490214
2020-02-27 15:00:42:110,0.4440852,1.7404352.483393
2020-02-27 15:00:42:155,0.4508365,1.7414862.478345
2020-02-27 15:00:42:193,0.4562756,1.7428542.474982
2020-02-27 15:00:42:231,0.4624372,1.7455592.472666
2020-02-27 15:00:42:268,0.4723996,1.7464962.469535
2020-02-27 15:00:42:307,0.4808358,1.7486622.468074
2020-02-27 15:00:42:344,0.487471,1.7496442.468538
