2020-02-27 17:25:55:224, no_human
2020-02-27 17:25:55:235, no_human
2020-02-27 17:25:55:515, no_human
2020-02-27 17:25:55:580, no_human
2020-02-27 17:25:55:596, no_human
2020-02-27 17:25:55:613, no_human
2020-02-27 17:25:55:629, no_human
2020-02-27 17:25:55:648, no_human
2020-02-27 17:25:55:663, no_human
2020-02-27 17:25:55:680, no_human
2020-02-27 17:25:55:724, no_human
2020-02-27 17:25:55:740, no_human
2020-02-27 17:25:55:747, no_human
2020-02-27 17:25:55:773, no_human
2020-02-27 17:25:55:780, no_human
2020-02-27 17:25:55:797, no_human
2020-02-27 17:25:55:814, no_human
2020-02-27 17:25:55:830, no_human
2020-02-27 17:25:55:870, no_human
2020-02-27 17:25:55:882, no_human
2020-02-27 17:25:55:912, no_human
2020-02-27 17:25:55:917, no_human
2020-02-27 17:25:55:953, no_human
2020-02-27 17:25:55:963, no_human
2020-02-27 17:25:56:003, no_human
2020-02-27 17:25:56:043, no_human
2020-02-27 17:25:56:069, no_human
2020-02-27 17:25:56:097, no_human
2020-02-27 17:25:56:125, no_human
2020-02-27 17:25:56:159, no_human
2020-02-27 17:25:56:191, no_human
2020-02-27 17:25:56:220, no_human
2020-02-27 17:25:56:229, no_human
2020-02-27 17:25:56:262, no_human
2020-02-27 17:25:56:290, no_human
2020-02-27 17:25:56:320, no_human
2020-02-27 17:25:56:330, no_human
2020-02-27 17:25:56:383,3.170385,3.42363
2020-02-27 17:25:56:428,3.170364,3.423865
2020-02-27 17:25:56:473,3.170495,3.42385
2020-02-27 17:25:56:524,3.17099,3.423826
2020-02-27 17:25:56:565,3.171172,3.424041
2020-02-27 17:25:56:605,3.17166,3.424166
2020-02-27 17:25:56:638,3.171823,3.424338
2020-02-27 17:25:56:675,3.172392,3.424273
2020-02-27 17:25:56:711,3.172431,3.424301
2020-02-27 17:25:56:747,3.172495,3.424367
2020-02-27 17:25:56:787,3.172562,3.424436
2020-02-27 17:25:56:821,3.172578,3.424442
2020-02-27 17:25:56:860,3.172596,3.424431
2020-02-27 17:25:56:903,3.172784,3.424588
2020-02-27 17:25:56:944,3.173275,3.425658
2020-02-27 17:25:56:988,3.173369,3.425764
2020-02-27 17:25:57:027,3.173399,3.425956
2020-02-27 17:25:57:066,3.173381,3.425952
2020-02-27 17:25:57:108,3.173148,3.426005
2020-02-27 17:25:57:145,3.172943,3.426337
2020-02-27 17:25:57:183,3.172968,3.426571
2020-02-27 17:25:57:225,3.17284,3.426636
2020-02-27 17:25:57:262,3.172597,3.426641
2020-02-27 17:25:57:303,3.172086,3.427066
2020-02-27 17:25:57:342,3.17199,3.427253
2020-02-27 17:25:57:378,3.172048,3.427235
2020-02-27 17:25:57:414,3.171957,3.427381
2020-02-27 17:25:57:459,3.17185,3.427449
2020-02-27 17:25:57:508,3.171736,3.427996
2020-02-27 17:25:57:556,3.171582,3.428311
2020-02-27 17:25:57:595,3.171892,3.428929
2020-02-27 17:25:57:638,3.171924,3.429131
2020-02-27 17:25:57:678,3.171886,3.429154
2020-02-27 17:25:57:729,3.170287,3.429924
2020-02-27 17:25:57:773,3.169592,3.42977
2020-02-27 17:25:57:811,3.165912,3.43058
2020-02-27 17:25:57:848,3.164681,3.43073
2020-02-27 17:25:57:890,3.163697,3.430843
2020-02-27 17:25:57:958,3.162807,3.431225
2020-02-27 17:25:58:044,3.160465,3.431644
2020-02-27 17:25:58:097,3.158628,3.43157
2020-02-27 17:25:58:143,3.157314,3.432046
2020-02-27 17:25:58:181,3.156183,3.432365
2020-02-27 17:25:58:222,3.155497,3.432507
2020-02-27 17:25:58:260,3.155281,3.432442
2020-02-27 17:25:58:297,3.15457,3.432211
2020-02-27 17:25:58:334,3.153671,3.431299
2020-02-27 17:25:58:372,3.152827,3.430788
2020-02-27 17:25:58:448,3.152251,3.430738
2020-02-27 17:25:58:491,3.151773,3.430519
2020-02-27 17:25:58:530,3.151007,3.430643
2020-02-27 17:25:58:576,3.150433,3.430631
