2020-02-27 17:25:55:224, no_human
2020-02-27 17:25:55:235, no_human
2020-02-27 17:25:55:515, no_human
2020-02-27 17:25:55:580, no_human
2020-02-27 17:25:55:596, no_human
2020-02-27 17:25:55:613, no_human
2020-02-27 17:25:55:629, no_human
2020-02-27 17:25:55:648, no_human
2020-02-27 17:25:55:663, no_human
2020-02-27 17:25:55:680, no_human
2020-02-27 17:25:55:724, no_human
2020-02-27 17:25:55:740, no_human
2020-02-27 17:25:55:747, no_human
2020-02-27 17:25:55:773, no_human
2020-02-27 17:25:55:780, no_human
2020-02-27 17:25:55:797, no_human
2020-02-27 17:25:55:814, no_human
2020-02-27 17:25:55:830, no_human
2020-02-27 17:25:55:870, no_human
2020-02-27 17:25:55:882, no_human
2020-02-27 17:25:55:912, no_human
2020-02-27 17:25:55:917, no_human
2020-02-27 17:25:55:953, no_human
2020-02-27 17:25:55:963, no_human
2020-02-27 17:25:56:003, no_human
2020-02-27 17:25:56:043, no_human
2020-02-27 17:25:56:069, no_human
2020-02-27 17:25:56:097, no_human
2020-02-27 17:25:56:125, no_human
2020-02-27 17:25:56:159, no_human
2020-02-27 17:25:56:191, no_human
2020-02-27 17:25:56:220, no_human
2020-02-27 17:25:56:229, no_human
2020-02-27 17:25:56:262, no_human
2020-02-27 17:25:56:290, no_human
2020-02-27 17:25:56:320, no_human
2020-02-27 17:25:56:330, no_human
2020-02-27 17:25:56:383,0.2996154,1.760323.42363
2020-02-27 17:25:56:428,0.2996362,1.7602483.423865
2020-02-27 17:25:56:473,0.2995052,1.7599553.42385
2020-02-27 17:25:56:524,0.2990096,1.7597073.423826
2020-02-27 17:25:56:565,0.2988282,1.759643.424041
2020-02-27 17:25:56:605,0.2983401,1.7595263.424166
2020-02-27 17:25:56:638,0.2981774,1.7594953.424338
2020-02-27 17:25:56:675,0.2976081,1.7595573.424273
2020-02-27 17:25:56:711,0.2975692,1.7593753.424301
2020-02-27 17:25:56:747,0.2975047,1.7594443.424367
2020-02-27 17:25:56:787,0.2974377,1.7593463.424436
2020-02-27 17:25:56:821,0.2974223,1.7593423.424442
2020-02-27 17:25:56:860,0.2974037,1.7593373.424431
2020-02-27 17:25:56:903,0.2972161,1.7593183.424588
2020-02-27 17:25:56:944,0.2967255,1.7590353.425658
2020-02-27 17:25:56:988,0.2966305,1.7590493.425764
2020-02-27 17:25:57:027,0.2966007,1.7591673.425956
2020-02-27 17:25:57:066,0.2966194,1.7591813.425952
2020-02-27 17:25:57:108,0.2968519,1.7593413.426005
2020-02-27 17:25:57:145,0.2970571,1.7594923.426337
2020-02-27 17:25:57:183,0.2970316,1.7595853.426571
2020-02-27 17:25:57:225,0.2971601,1.7596873.426636
2020-02-27 17:25:57:262,0.2974029,1.7598973.426641
2020-02-27 17:25:57:303,0.2979142,1.760233.427066
2020-02-27 17:25:57:342,0.2980099,1.7604013.427253
2020-02-27 17:25:57:378,0.2979518,1.7603993.427235
2020-02-27 17:25:57:414,0.2980434,1.7603333.427381
2020-02-27 17:25:57:459,0.29815,1.760283.427449
2020-02-27 17:25:57:508,0.2982642,1.7604163.427996
2020-02-27 17:25:57:556,0.2984183,1.7605883.428311
2020-02-27 17:25:57:595,0.2981077,1.760733.428929
2020-02-27 17:25:57:638,0.2980761,1.7609493.429131
2020-02-27 17:25:57:678,0.2981141,1.7610673.429154
2020-02-27 17:25:57:729,0.2997132,1.7606943.429924
2020-02-27 17:25:57:773,0.3004078,1.7605273.42977
2020-02-27 17:25:57:811,0.3040878,1.7600293.43058
2020-02-27 17:25:57:848,0.3053191,1.7598713.43073
2020-02-27 17:25:57:890,0.3063033,1.7597163.430843
2020-02-27 17:25:57:958,0.3071932,1.7592873.431225
2020-02-27 17:25:58:044,0.3095345,1.7587513.431644
2020-02-27 17:25:58:097,0.3113723,1.7582723.43157
2020-02-27 17:25:58:143,0.3126864,1.7582643.432046
2020-02-27 17:25:58:181,0.3138172,1.7577213.432365
2020-02-27 17:25:58:222,0.3145034,1.7573453.432507
2020-02-27 17:25:58:260,0.3147187,1.7572873.432442
2020-02-27 17:25:58:297,0.3154296,1.7570643.432211
2020-02-27 17:25:58:334,0.3163292,1.7565573.431299
2020-02-27 17:25:58:372,0.3171734,1.7564793.430788
2020-02-27 17:25:58:448,0.3177494,1.7567393.430738
2020-02-27 17:25:58:491,0.3182273,1.7566113.430519
2020-02-27 17:25:58:530,0.318993,1.7564693.430643
2020-02-27 17:25:58:576,0.3195667,1.7565233.430631
2020-02-27 17:25:58:627,0.3199964,1.7566253.430218
2020-02-27 17:25:58:669,0.320352,1.7566893.42986
2020-02-27 17:25:58:710,0.320479,1.7564893.42977
2020-02-27 17:25:58:746,0.3206245,1.7565223.429634
2020-02-27 17:25:58:791,0.321131,1.7562733.428797
2020-02-27 17:25:58:832,0.3213823,1.7561733.428394
2020-02-27 17:25:58:871,0.3214094,1.7561823.428374
2020-02-27 17:25:58:910,0.3215016,1.7561263.42823
2020-02-27 17:25:58:944,0.3214957,1.7561183.427978
2020-02-27 17:25:58:983,0.3215351,1.7562363.427193
2020-02-27 17:25:59:019,0.321731,1.7560013.42698
2020-02-27 17:25:59:063,0.3216717,1.755963.426612
2020-02-27 17:25:59:108,0.3217364,1.7556373.426224
2020-02-27 17:25:59:154,0.3212902,1.7547683.424502
2020-02-27 17:25:59:199,0.3210373,1.7542873.42432
2020-02-27 17:25:59:726,0.3191656,1.7537243.422656
2020-02-27 17:25:59:798,0.288253,1.7379363.398308
2020-02-27 17:25:59:846,0.2810634,1.7295133.391137
2020-02-27 17:26:00:049,0.279149,1.726523.388078
2020-02-27 17:26:00:137,0.2664717,1.68363.356382
2020-02-27 17:26:00:242,0.2625879,1.6529173.335932
