2020-01-15 16:42:43:689, no_human
2020-01-15 16:42:43:701, no_human
2020-01-15 16:42:44:025, no_human
2020-01-15 16:42:44:105, no_human
2020-01-15 16:42:44:121, no_human
2020-01-15 16:42:44:138, no_human
2020-01-15 16:42:44:179, no_human
2020-01-15 16:42:44:195, no_human
2020-01-15 16:42:44:203, no_human
2020-01-15 16:42:44:228, no_human
2020-01-15 16:42:44:237, no_human
2020-01-15 16:42:44:252, no_human
2020-01-15 16:42:44:269, no_human
2020-01-15 16:42:44:286, no_human
2020-01-15 16:42:44:337, no_human
2020-01-15 16:42:44:364, no_human
2020-01-15 16:42:44:393, no_human
2020-01-15 16:42:44:423, no_human
2020-01-15 16:42:44:455, no_human
2020-01-15 16:42:44:483, no_human
2020-01-15 16:42:44:510, no_human
2020-01-15 16:42:44:540, no_human
2020-01-15 16:42:44:549, no_human
2020-01-15 16:42:44:585, no_human
2020-01-15 16:42:44:615, no_human
2020-01-15 16:42:44:642, no_human
2020-01-15 16:42:44:669, no_human
2020-01-15 16:42:44:677, no_human
2020-01-15 16:42:44:715, no_human
2020-01-15 16:42:44:764,3.365172,2.133897
2020-01-15 16:42:44:804,3.365754,2.133783
2020-01-15 16:42:44:850,3.366481,2.133372
2020-01-15 16:42:44:892,3.367587,2.132694
2020-01-15 16:42:44:961,3.371272,2.13016
2020-01-15 16:42:45:011,3.375964,2.127457
2020-01-15 16:42:45:054,3.378917,2.124652
2020-01-15 16:42:45:093,3.381974,2.121894
2020-01-15 16:42:45:137,3.387536,2.114994
2020-01-15 16:42:45:177,3.391165,2.111192
2020-01-15 16:42:45:222,3.394521,2.107841
2020-01-15 16:42:45:259,3.402968,2.100026
2020-01-15 16:42:45:297,3.407709,2.095845
2020-01-15 16:42:45:332,3.412211,2.092684
2020-01-15 16:42:45:369,3.416974,2.089484
2020-01-15 16:42:45:406,3.422363,2.086017
2020-01-15 16:42:45:448,3.427194,2.081838
2020-01-15 16:42:45:482,3.431843,2.07781
2020-01-15 16:42:45:522,3.435759,2.074245
2020-01-15 16:42:45:561,3.443471,2.068345
2020-01-15 16:42:45:600,3.446812,2.06592
2020-01-15 16:42:45:637,3.450064,2.064451
2020-01-15 16:42:45:681,3.453195,2.062678
2020-01-15 16:42:45:723,3.456554,2.061122
2020-01-15 16:42:45:763,3.462323,2.058867
2020-01-15 16:42:45:796,3.465405,2.058351
2020-01-15 16:42:45:809,3.465405,2.058351
2020-01-15 16:42:45:849,3.468811,2.057441
2020-01-15 16:42:45:893,3.472127,2.057166
2020-01-15 16:42:45:928,3.479747,2.057378
2020-01-15 16:42:45:963,3.483278,2.057382
2020-01-15 16:42:46:000,3.48697,2.057888
2020-01-15 16:42:46:039,3.489905,2.058457
2020-01-15 16:42:46:075,3.493206,2.058924
2020-01-15 16:42:46:117,3.495531,2.059006
2020-01-15 16:42:46:155,3.497449,2.059648
2020-01-15 16:42:46:192,3.499866,2.060008
2020-01-15 16:42:46:229,3.503056,2.059717
2020-01-15 16:42:46:271,3.50426,2.059737
2020-01-15 16:42:46:313,3.505068,2.0595
2020-01-15 16:42:46:362,3.505753,2.05925
2020-01-15 16:42:46:396,3.507129,2.057443
2020-01-15 16:42:46:409,3.507129,2.057443
2020-01-15 16:42:46:449,3.507707,2.055943
2020-01-15 16:42:46:487,3.508013,2.053974
2020-01-15 16:42:46:523,3.50818,2.052172
2020-01-15 16:42:46:569,3.507656,2.046672
2020-01-15 16:42:46:605,3.507109,2.044015
2020-01-15 16:42:46:640,3.506563,2.041657
2020-01-15 16:42:46:678,3.506089,2.038582
2020-01-15 16:42:46:717,3.505629,2.036996
2020-01-15 16:42:46:754,3.505044,2.03553
2020-01-15 16:42:46:796,3.504225,2.034021
2020-01-15 16:42:46:834,3.502637,2.032333
2020-01-15 16:42:46:872,3.501853,2.031879
2020-01-15 16:42:46:915,3.50074,2.031815
2020-01-15 16:42:46:954,3.499043,2.032286
2020-01-15 16:42:46:990,3.496664,2.033169
2020-01-15 16:42:47:024,3.491213,2.035438
2020-01-15 16:42:47:058,3.487642,2.037321
2020-01-15 16:42:47:094,3.484025,2.038795
2020-01-15 16:42:47:114,3.484025,2.038795
2020-01-15 16:42:47:150,3.479967,2.040506
2020-01-15 16:42:47:186,3.475715,2.0422
2020-01-15 16:42:47:227,3.470815,2.043611
2020-01-15 16:42:47:266,3.46094,2.045002
2020-01-15 16:42:47:278,3.46094,2.045002
2020-01-15 16:42:47:321,3.454896,2.04495
2020-01-15 16:42:47:357,3.448488,2.04458
2020-01-15 16:42:47:397,3.437328,2.041669
2020-01-15 16:42:47:440,3.431131,2.040414
2020-01-15 16:42:47:474,3.424711,2.037538
2020-01-15 16:42:47:508,3.419358,2.035625
2020-01-15 16:42:47:545,3.414046,2.033174
2020-01-15 16:42:47:594,3.409715,2.031127
2020-01-15 16:42:47:637,3.402134,2.02565
2020-01-15 16:42:47:680,3.399978,2.023414
2020-01-15 16:42:47:716,3.398202,2.020683
2020-01-15 16:42:47:750,3.39698,2.017327
2020-01-15 16:42:47:791,3.397006,2.014842
2020-01-15 16:42:47:828,3.400019,2.005205
2020-01-15 16:42:47:864,3.403477,2.000825
2020-01-15 16:42:47:908,3.409636,1.995062
2020-01-15 16:42:47:945,3.417983,1.98857
2020-01-15 16:42:47:979,3.427572,1.983936
2020-01-15 16:42:48:019,3.440671,1.977613
2020-01-15 16:42:48:061,3.473084,1.963641
2020-01-15 16:42:48:094,3.494437,1.956251
2020-01-15 16:42:48:133,3.518918,1.949116
2020-01-15 16:42:48:170,3.546083,1.940675
2020-01-15 16:42:48:211,3.574537,1.929307
2020-01-15 16:42:48:250,3.604154,1.917234
2020-01-15 16:42:48:285,3.637575,1.904531
2020-01-15 16:42:48:321,3.664122,1.892753
2020-01-15 16:42:48:358,3.688058,1.88517
2020-01-15 16:42:48:397,3.734091,1.872542
2020-01-15 16:42:48:444,3.75461,1.867807
2020-01-15 16:42:48:495,3.771987,1.86659
2020-01-15 16:42:48:535,3.804886,1.86724
2020-01-15 16:42:48:577,3.819603,1.870243
2020-01-15 16:42:48:610,3.832747,1.874803
2020-01-15 16:42:48:645,3.844982,1.880132
2020-01-15 16:42:48:680,3.854735,1.887125
2020-01-15 16:42:48:718,3.862718,1.895305
2020-01-15 16:42:48:753,3.869175,1.90849
2020-01-15 16:42:48:791,3.871554,1.923734
2020-01-15 16:42:48:826,3.871037,1.956047
2020-01-15 16:42:48:861,3.871031,1.971857
2020-01-15 16:42:48:899,3.870078,1.988242
2020-01-15 16:42:48:939,3.871181,2.002397
2020-01-15 16:42:48:983,3.873142,2.015761
2020-01-15 16:42:49:025,3.876983,2.031056
2020-01-15 16:42:49:063,3.890209,2.058748
2020-01-15 16:42:49:101,3.899772,2.075213
2020-01-15 16:42:49:134,3.91374,2.089171
2020-01-15 16:42:49:167,3.926233,2.103605
2020-01-15 16:42:49:206,3.931066,2.122876
2020-01-15 16:42:49:243,3.938816,2.131769
2020-01-15 16:42:49:277,3.949955,2.143062
2020-01-15 16:42:49:316,3.961124,2.150231
2020-01-15 16:42:49:355,3.97342,2.155877
2020-01-15 16:42:49:389,3.987654,2.158934
2020-01-15 16:42:49:422,4.000303,2.16091
2020-01-15 16:42:49:460,4.032451,2.161414
2020-01-15 16:42:49:495,4.044165,2.161544
2020-01-15 16:42:49:535,4.060336,2.15936
2020-01-15 16:42:49:580,4.075483,2.157353
2020-01-15 16:42:49:625,4.089865,2.154697
2020-01-15 16:42:49:673,4.116695,2.149264
2020-01-15 16:42:49:716,4.12854,2.146047
2020-01-15 16:42:49:751,4.140055,2.142267
2020-01-15 16:42:49:785,4.151126,2.137833
2020-01-15 16:42:49:822,4.159278,2.134068
2020-01-15 16:42:49:862,4.175548,2.127141
2020-01-15 16:42:49:890,4.182105,2.125429
2020-01-15 16:42:49:934,4.188827,2.12453
2020-01-15 16:42:49:972,4.194367,2.124437
2020-01-15 16:42:50:012,4.201896,2.125079
2020-01-15 16:42:50:062,4.207273,2.126822
2020-01-15 16:42:50:105,4.221706,2.136144
2020-01-15 16:42:50:160,4.229601,2.143696
2020-01-15 16:42:50:199,4.245154,2.167389
2020-01-15 16:42:50:241,4.255441,2.185562
2020-01-15 16:42:50:278,4.266744,2.205799
2020-01-15 16:42:50:316,4.278197,2.227474
2020-01-15 16:42:50:364,4.301093,2.287878
2020-01-15 16:42:50:410,4.315294,2.330322
2020-01-15 16:42:50:462,4.343286,2.418504
2020-01-15 16:42:50:498,4.355434,2.458174
2020-01-15 16:42:50:534,4.367576,2.504175
2020-01-15 16:42:50:575,4.376989,2.53063
2020-01-15 16:42:50:612,4.389536,2.570953
2020-01-15 16:42:50:652,4.397655,2.591848
2020-01-15 16:42:50:687,4.407033,2.618076
2020-01-15 16:42:50:725,4.415699,2.635924
2020-01-15 16:42:50:765,4.447838,2.678106
2020-01-15 16:42:50:817,4.450325,2.683328
2020-01-15 16:42:50:870,4.460456,2.698809
2020-01-15 16:42:50:919,4.46295,2.704086
2020-01-15 16:42:50:959,4.464664,2.706221
2020-01-15 16:42:50:999,4.465572,2.706701
2020-01-15 16:42:51:047,4.465655,2.705367
2020-01-15 16:42:51:085,4.464134,2.700802
2020-01-15 16:42:51:118,4.46141,2.692968
2020-01-15 16:42:51:158,4.457619,2.682209
2020-01-15 16:42:51:198,4.45274,2.671449
2020-01-15 16:42:51:245,4.448291,2.663397
2020-01-15 16:42:51:285,4.44581,2.660454
2020-01-15 16:42:51:317,4.443436,2.658246
2020-01-15 16:42:51:353,4.451284,2.64861
2020-01-15 16:42:51:390,4.452837,2.64674
2020-01-15 16:42:51:424,4.452796,2.646703
2020-01-15 16:42:51:458,4.452425,2.646888
2020-01-15 16:42:51:498,4.452251,2.647092
2020-01-15 16:42:51:535,4.45137,2.648739
2020-01-15 16:42:51:576,4.450415,2.650969
2020-01-15 16:42:51:610,4.44978,2.652246
2020-01-15 16:42:51:642,4.449371,2.654414
2020-01-15 16:42:51:677,4.449077,2.656878
2020-01-15 16:42:51:716,4.449292,2.659193
2020-01-15 16:42:51:751,4.449987,2.660991
2020-01-15 16:42:51:785,4.450346,2.661867
2020-01-15 16:42:51:821,4.451614,2.663358
2020-01-15 16:42:51:860,4.459435,2.664819
2020-01-15 16:42:51:913,4.460428,2.666752
2020-01-15 16:42:51:955,4.457294,2.67268
2020-01-15 16:42:51:989,4.468785,2.676893
2020-01-15 16:42:52:026,4.473881,2.679598
2020-01-15 16:42:52:066,4.475493,2.680568
2020-01-15 16:42:52:112,4.479524,2.681666
2020-01-15 16:42:52:156,4.484591,2.68503
2020-01-15 16:42:52:197,4.486757,2.68642
2020-01-15 16:42:52:230,4.487681,2.68653
2020-01-15 16:42:52:263,4.488536,2.686768
2020-01-15 16:42:52:310,4.487307,2.686879
2020-01-15 16:42:52:353,4.487965,2.686208
2020-01-15 16:42:52:400,4.488493,2.682345
2020-01-15 16:42:52:442,4.488402,2.680006
2020-01-15 16:42:52:476,4.487933,2.676754
2020-01-15 16:42:52:515,4.487688,2.675059
2020-01-15 16:42:52:551,4.487793,2.672929
2020-01-15 16:42:52:586,4.487962,2.671868
2020-01-15 16:42:52:624,4.489608,2.669903
