2020-01-15 16:42:43:689, no_human
2020-01-15 16:42:43:701, no_human
2020-01-15 16:42:44:025, no_human
2020-01-15 16:42:44:105, no_human
2020-01-15 16:42:44:121, no_human
2020-01-15 16:42:44:138, no_human
2020-01-15 16:42:44:179, no_human
2020-01-15 16:42:44:195, no_human
2020-01-15 16:42:44:203, no_human
2020-01-15 16:42:44:228, no_human
2020-01-15 16:42:44:237, no_human
2020-01-15 16:42:44:252, no_human
2020-01-15 16:42:44:269, no_human
2020-01-15 16:42:44:286, no_human
2020-01-15 16:42:44:337, no_human
2020-01-15 16:42:44:364, no_human
2020-01-15 16:42:44:393, no_human
2020-01-15 16:42:44:423, no_human
2020-01-15 16:42:44:455, no_human
2020-01-15 16:42:44:483, no_human
2020-01-15 16:42:44:510, no_human
2020-01-15 16:42:44:540, no_human
2020-01-15 16:42:44:549, no_human
2020-01-15 16:42:44:585, no_human
2020-01-15 16:42:44:615, no_human
2020-01-15 16:42:44:642, no_human
2020-01-15 16:42:44:669, no_human
2020-01-15 16:42:44:677, no_human
2020-01-15 16:42:44:715, no_human
2020-01-15 16:42:44:764,0.1048284,1.6611712.133897
2020-01-15 16:42:44:804,0.1042463,1.6611732.133783
2020-01-15 16:42:44:850,0.1035193,1.6613522.133372
2020-01-15 16:42:44:892,0.1024128,1.6615082.132694
2020-01-15 16:42:44:961,0.0987276,1.6626322.13016
2020-01-15 16:42:45:011,0.0940364,1.6650022.127457
2020-01-15 16:42:45:054,0.09108327,1.6666232.124652
2020-01-15 16:42:45:093,0.08802623,1.6685682.121894
2020-01-15 16:42:45:137,0.08246376,1.6724672.114994
2020-01-15 16:42:45:177,0.07883547,1.6746872.111192
2020-01-15 16:42:45:222,0.07547942,1.6767782.107841
2020-01-15 16:42:45:259,0.0670317,1.6801962.100026
2020-01-15 16:42:45:297,0.0622908,1.6820782.095845
2020-01-15 16:42:45:332,0.05778873,1.6836462.092684
2020-01-15 16:42:45:369,0.05302607,1.6856262.089484
2020-01-15 16:42:45:406,0.0476374,1.6876782.086017
2020-01-15 16:42:45:448,0.04280572,1.6896882.081838
2020-01-15 16:42:45:482,0.03815664,1.6916212.07781
2020-01-15 16:42:45:522,0.03424083,1.6933172.074245
2020-01-15 16:42:45:561,0.02652908,1.6970082.068345
2020-01-15 16:42:45:600,0.02318821,1.6981812.06592
2020-01-15 16:42:45:637,0.01993603,1.6989482.064451
2020-01-15 16:42:45:681,0.01680468,1.7000912.062678
2020-01-15 16:42:45:723,0.01344609,1.7007242.061122
2020-01-15 16:42:45:763,0.007676528,1.7022.058867
2020-01-15 16:42:45:796,0.004594712,1.7028182.058351
2020-01-15 16:42:45:809,0.004594712,1.7028182.058351
2020-01-15 16:42:45:849,0.001188915,1.7032782.057441
2020-01-15 16:42:45:893,-0.002126816,1.7032772.057166
2020-01-15 16:42:45:928,-0.009746913,1.7035672.057378
2020-01-15 16:42:45:963,-0.01327785,1.7033582.057382
2020-01-15 16:42:46:000,-0.01696965,1.7033882.057888
2020-01-15 16:42:46:039,-0.01990526,1.703282.058457
2020-01-15 16:42:46:075,-0.02320551,1.7028022.058924
2020-01-15 16:42:46:117,-0.02553056,1.702672.059006
2020-01-15 16:42:46:155,-0.02744856,1.7024082.059648
2020-01-15 16:42:46:192,-0.02986598,1.7019562.060008
2020-01-15 16:42:46:229,-0.03305594,1.7012692.059717
2020-01-15 16:42:46:271,-0.03425991,1.701012.059737
2020-01-15 16:42:46:313,-0.03506755,1.7007272.0595
2020-01-15 16:42:46:362,-0.03575295,1.7007492.05925
2020-01-15 16:42:46:396,-0.03712889,1.7005482.057443
2020-01-15 16:42:46:409,-0.03712889,1.7005482.057443
2020-01-15 16:42:46:449,-0.03770654,1.7005532.055943
2020-01-15 16:42:46:487,-0.0380125,1.7007772.053974
2020-01-15 16:42:46:523,-0.03818042,1.7012042.052172
2020-01-15 16:42:46:569,-0.03765621,1.7021322.046672
2020-01-15 16:42:46:605,-0.03710863,1.7022042.044015
2020-01-15 16:42:46:640,-0.03656299,1.7021522.041657
2020-01-15 16:42:46:678,-0.03608943,1.7018032.038582
2020-01-15 16:42:46:717,-0.03562928,1.7018942.036996
2020-01-15 16:42:46:754,-0.03504414,1.7013612.03553
2020-01-15 16:42:46:796,-0.03422499,1.700922.034021
2020-01-15 16:42:46:834,-0.03263737,1.7007762.032333
2020-01-15 16:42:46:872,-0.03185351,1.7004622.031879
2020-01-15 16:42:46:915,-0.03074006,1.7000792.031815
2020-01-15 16:42:46:954,-0.02904326,1.699762.032286
2020-01-15 16:42:46:990,-0.02666427,1.699782.033169
2020-01-15 16:42:47:024,-0.02121311,1.699642.035438
2020-01-15 16:42:47:058,-0.01764174,1.6997362.037321
2020-01-15 16:42:47:094,-0.01402518,1.6997322.038795
2020-01-15 16:42:47:114,-0.01402518,1.6997322.038795
2020-01-15 16:42:47:150,-0.009967092,1.6997922.040506
2020-01-15 16:42:47:186,-0.005714609,1.6992162.0422
2020-01-15 16:42:47:227,-0.000814643,1.6988662.043611
2020-01-15 16:42:47:266,0.009060422,1.6977072.045002
2020-01-15 16:42:47:278,0.009060422,1.6977072.045002
2020-01-15 16:42:47:321,0.0151035,1.6965272.04495
2020-01-15 16:42:47:357,0.02151182,1.6951822.04458
2020-01-15 16:42:47:397,0.03267223,1.6903132.041669
2020-01-15 16:42:47:440,0.03886924,1.6876662.040414
2020-01-15 16:42:47:474,0.04528888,1.6849372.037538
2020-01-15 16:42:47:508,0.05064181,1.6831792.035625
2020-01-15 16:42:47:545,0.05595414,1.6814882.033174
2020-01-15 16:42:47:594,0.06028531,1.6814482.031127
2020-01-15 16:42:47:637,0.06786565,1.6813652.02565
2020-01-15 16:42:47:680,0.07002184,1.6814152.023414
2020-01-15 16:42:47:716,0.07179791,1.6814752.020683
2020-01-15 16:42:47:750,0.07302015,1.6821732.017327
2020-01-15 16:42:47:791,0.07299432,1.6824372.014842
2020-01-15 16:42:47:828,0.06998105,1.682962.005205
2020-01-15 16:42:47:864,0.06652249,1.6832032.000825
2020-01-15 16:42:47:908,0.06036367,1.6829291.995062
2020-01-15 16:42:47:945,0.05201699,1.6817521.98857
2020-01-15 16:42:47:979,0.04242858,1.6809051.983936
2020-01-15 16:42:48:019,0.0293291,1.680441.977613
2020-01-15 16:42:48:061,-0.003083796,1.6771361.963641
2020-01-15 16:42:48:094,-0.0244369,1.674381.956251
2020-01-15 16:42:48:133,-0.04891803,1.6712931.949116
2020-01-15 16:42:48:170,-0.07608262,1.6687051.940675
2020-01-15 16:42:48:211,-0.1045366,1.6659861.929307
2020-01-15 16:42:48:250,-0.1341537,1.6667081.917234
2020-01-15 16:42:48:285,-0.1675749,1.6662021.904531
2020-01-15 16:42:48:321,-0.194122,1.6689871.892753
2020-01-15 16:42:48:358,-0.2180583,1.6744121.88517
2020-01-15 16:42:48:397,-0.264091,1.6836921.872542
2020-01-15 16:42:48:444,-0.2846096,1.6863511.867807
2020-01-15 16:42:48:495,-0.3019868,1.6891351.86659
2020-01-15 16:42:48:535,-0.3348855,1.6927431.86724
2020-01-15 16:42:48:577,-0.3496027,1.6932221.870243
2020-01-15 16:42:48:610,-0.3627466,1.6937251.874803
2020-01-15 16:42:48:645,-0.3749818,1.6939851.880132
2020-01-15 16:42:48:680,-0.3847347,1.6936021.887125
2020-01-15 16:42:48:718,-0.392718,1.6937731.895305
2020-01-15 16:42:48:753,-0.3991748,1.6953671.90849
2020-01-15 16:42:48:791,-0.4015541,1.6967791.923734
2020-01-15 16:42:48:826,-0.4010368,1.7006341.956047
2020-01-15 16:42:48:861,-0.4010309,1.6999691.971857
2020-01-15 16:42:48:899,-0.4000782,1.6999231.988242
2020-01-15 16:42:48:939,-0.4011813,1.6991832.002397
2020-01-15 16:42:48:983,-0.4031415,1.6986932.015761
2020-01-15 16:42:49:025,-0.406983,1.6962142.031056
2020-01-15 16:42:49:063,-0.4202086,1.6963232.058748
2020-01-15 16:42:49:101,-0.429772,1.6947892.075213
2020-01-15 16:42:49:134,-0.4437397,1.6943172.089171
2020-01-15 16:42:49:167,-0.4562326,1.6939112.103605
2020-01-15 16:42:49:206,-0.4610658,1.6871372.122876
2020-01-15 16:42:49:243,-0.4688158,1.6832032.131769
2020-01-15 16:42:49:277,-0.4799554,1.679592.143062
2020-01-15 16:42:49:316,-0.4911245,1.6767072.150231
2020-01-15 16:42:49:355,-0.5034202,1.6733912.155877
2020-01-15 16:42:49:389,-0.517654,1.6690622.158934
2020-01-15 16:42:49:422,-0.5303026,1.6661382.16091
2020-01-15 16:42:49:460,-0.5624504,1.6553812.161414
2020-01-15 16:42:49:495,-0.5741649,1.6539852.161544
2020-01-15 16:42:49:535,-0.5903363,1.6519812.15936
2020-01-15 16:42:49:580,-0.6054832,1.6543522.157353
2020-01-15 16:42:49:625,-0.6198654,1.6584842.154697
2020-01-15 16:42:49:673,-0.6466953,1.6665212.149264
2020-01-15 16:42:49:716,-0.6585398,1.6694682.146047
2020-01-15 16:42:49:751,-0.6700549,1.6717382.142267
2020-01-15 16:42:49:785,-0.6811259,1.6738232.137833
2020-01-15 16:42:49:822,-0.6892783,1.6764562.134068
2020-01-15 16:42:49:862,-0.7055474,1.6814132.127141
2020-01-15 16:42:49:890,-0.7121046,1.6836722.125429
2020-01-15 16:42:49:934,-0.7188265,1.6855722.12453
2020-01-15 16:42:49:972,-0.7243675,1.6873122.124437
2020-01-15 16:42:50:012,-0.7318957,1.6889322.125079
2020-01-15 16:42:50:062,-0.7372726,1.6901932.126822
2020-01-15 16:42:50:105,-0.7517059,1.6910972.136144
2020-01-15 16:42:50:160,-0.7596014,1.69022.143696
