2020-01-14 15:16:29:627, no_human
2020-01-14 15:16:29:638, no_human
2020-01-14 15:16:30:247, no_human
2020-01-14 15:16:30:300, no_human
2020-01-14 15:16:30:336, no_human
2020-01-14 15:16:30:363, no_human
2020-01-14 15:16:30:391, no_human
2020-01-14 15:16:30:416, no_human
2020-01-14 15:16:30:434, no_human
2020-01-14 15:16:30:448, no_human
2020-01-14 15:16:30:459, no_human
2020-01-14 15:16:30:494, no_human
2020-01-14 15:16:30:521, no_human
2020-01-14 15:16:30:547, no_human
2020-01-14 15:16:30:553, no_human
2020-01-14 15:16:30:588, no_human
2020-01-14 15:16:30:614, no_human
2020-01-14 15:16:30:664,3.302895,1.831348
2020-01-14 15:16:30:701,3.302904,1.831295
2020-01-14 15:16:30:734,3.302811,1.830984
2020-01-14 15:16:30:777,3.302775,1.830888
2020-01-14 15:16:30:823,3.302685,1.83069
2020-01-14 15:16:30:876,3.302641,1.830514
2020-01-14 15:16:30:923,3.302275,1.830005
2020-01-14 15:16:30:964,3.302061,1.829884
2020-01-14 15:16:31:002,3.301981,1.829812
2020-01-14 15:16:31:037,3.301808,1.829564
2020-01-14 15:16:31:071,3.301739,1.829515
2020-01-14 15:16:31:108,3.301662,1.829408
2020-01-14 15:16:31:144,3.301532,1.829248
2020-01-14 15:16:31:179,3.301464,1.829188
2020-01-14 15:16:31:215,3.301393,1.829105
2020-01-14 15:16:31:248,3.301308,1.829076
2020-01-14 15:16:31:283,3.30121,1.829011
2020-01-14 15:16:31:320,3.301105,1.82895
2020-01-14 15:16:31:355,3.301003,1.828871
2020-01-14 15:16:31:393,3.300882,1.828951
2020-01-14 15:16:31:428,3.300696,1.82901
2020-01-14 15:16:31:464,3.300527,1.829268
2020-01-14 15:16:31:503,3.300059,1.830056
2020-01-14 15:16:31:542,3.299839,1.83063
2020-01-14 15:16:31:579,3.299637,1.831415
2020-01-14 15:16:31:618,3.299423,1.832037
2020-01-14 15:16:31:659,3.299131,1.832569
2020-01-14 15:16:31:693,3.298918,1.833381
2020-01-14 15:16:31:727,3.298536,1.834564
2020-01-14 15:16:31:764,3.298292,1.834969
2020-01-14 15:16:31:798,3.298101,1.835544
2020-01-14 15:16:31:832,3.29788,1.835952
2020-01-14 15:16:31:866,3.297633,1.836352
2020-01-14 15:16:31:901,3.297537,1.836735
2020-01-14 15:16:31:936,3.297146,1.837524
2020-01-14 15:16:31:978,3.296941,1.837833
2020-01-14 15:16:32:017,3.296789,1.837982
2020-01-14 15:16:32:062,3.296693,1.838034
2020-01-14 15:16:32:099,3.29658,1.838209
2020-01-14 15:16:32:132,3.296546,1.838388
2020-01-14 15:16:32:168,3.29632,1.838595
2020-01-14 15:16:32:212,3.296098,1.838785
2020-01-14 15:16:32:246,3.295908,1.838992
2020-01-14 15:16:32:281,3.295712,1.839096
2020-01-14 15:16:32:318,3.295397,1.839171
2020-01-14 15:16:32:360,3.29504,1.839384
2020-01-14 15:16:32:396,3.294151,1.839741
2020-01-14 15:16:32:436,3.293407,1.839602
2020-01-14 15:16:32:477,3.289752,1.838841
2020-01-14 15:16:32:518,3.286403,1.837597
2020-01-14 15:16:32:550,3.281987,1.835624
2020-01-14 15:16:32:585,3.276947,1.832614
2020-01-14 15:16:32:620,3.270724,1.829533
2020-01-14 15:16:32:661,3.264972,1.82683
2020-01-14 15:16:32:698,3.259612,1.823718
2020-01-14 15:16:32:732,3.254416,1.820483
2020-01-14 15:16:32:768,3.250569,1.818088
2020-01-14 15:16:32:807,3.243844,1.812183
2020-01-14 15:16:32:840,3.241497,1.808722
2020-01-14 15:16:32:877,3.240114,1.805348
2020-01-14 15:16:32:916,3.239848,1.80024
2020-01-14 15:16:32:957,3.240678,1.794865
2020-01-14 15:16:33:005,3.243175,1.787802
2020-01-14 15:16:33:049,3.254776,1.772016
2020-01-14 15:16:33:103,3.264957,1.761311
2020-01-14 15:16:33:160,3.285289,1.74317
2020-01-14 15:16:33:213,3.306556,1.727474
2020-01-14 15:16:33:259,3.316071,1.723184
2020-01-14 15:16:33:302,3.324605,1.719666
2020-01-14 15:16:33:338,3.343204,1.719248
2020-01-14 15:16:33:375,3.350552,1.720556
2020-01-14 15:16:33:410,3.356389,1.72264
2020-01-14 15:16:33:448,3.361619,1.726212
2020-01-14 15:16:33:484,3.365211,1.730554
2020-01-14 15:16:33:529,3.368795,1.735419
2020-01-14 15:16:33:568,3.372327,1.740908
2020-01-14 15:16:33:603,3.377854,1.757632
2020-01-14 15:16:33:640,3.379343,1.766702
2020-01-14 15:16:33:676,3.380566,1.776036
2020-01-14 15:16:33:713,3.380845,1.787426
2020-01-14 15:16:33:756,3.381322,1.798271
2020-01-14 15:16:33:796,3.382136,1.809337
2020-01-14 15:16:33:833,3.383361,1.818363
2020-01-14 15:16:33:868,3.38685,1.835649
2020-01-14 15:16:33:902,3.388929,1.841408
2020-01-14 15:16:33:937,3.391461,1.847334
2020-01-14 15:16:33:977,3.393813,1.851689
2020-01-14 15:16:34:013,3.39663,1.855322
2020-01-14 15:16:34:052,3.400058,1.858444
2020-01-14 15:16:34:090,3.403218,1.860041
2020-01-14 15:16:34:124,3.406273,1.860909
2020-01-14 15:16:34:161,3.409569,1.861166
2020-01-14 15:16:34:203,3.412858,1.860004
2020-01-14 15:16:34:239,3.419486,1.85627
2020-01-14 15:16:34:278,3.421941,1.853845
2020-01-14 15:16:34:319,3.428965,1.855682
2020-01-14 15:16:34:365,3.432005,1.855506
2020-01-14 15:16:34:403,3.436724,1.853644
2020-01-14 15:16:34:442,3.438515,1.852223
2020-01-14 15:16:34:476,3.440766,1.849617
2020-01-14 15:16:34:519,3.442925,1.847294
2020-01-14 15:16:34:558,3.445067,1.844159
2020-01-14 15:16:34:596,3.447012,1.841894
2020-01-14 15:16:34:634,3.448689,1.839438
2020-01-14 15:16:34:676,3.452408,1.833944
2020-01-14 15:16:34:713,3.453761,1.831734
2020-01-14 15:16:34:749,3.455499,1.829584
2020-01-14 15:16:34:785,3.45721,1.827776
2020-01-14 15:16:34:820,3.459315,1.825574
2020-01-14 15:16:34:859,3.460962,1.82366
2020-01-14 15:16:34:903,3.462305,1.822278
2020-01-14 15:16:34:948,3.464671,1.819936
2020-01-14 15:16:34:985,3.466051,1.818502
2020-01-14 15:16:35:021,3.467357,1.8176
2020-01-14 15:16:35:056,3.468488,1.816397
2020-01-14 15:16:35:095,3.469288,1.815377
2020-01-14 15:16:35:139,3.470126,1.814518
2020-01-14 15:16:35:182,3.472208,1.811923
2020-01-14 15:16:35:238,3.473418,1.810508
2020-01-14 15:16:35:275,3.474876,1.806826
2020-01-14 15:16:35:315,3.475576,1.804732
2020-01-14 15:16:35:355,3.476281,1.802151
2020-01-14 15:16:35:395,3.475886,1.80018
2020-01-14 15:16:35:438,3.475199,1.798048
2020-01-14 15:16:35:482,3.4736,1.792954
2020-01-14 15:16:35:526,3.472752,1.789835
2020-01-14 15:16:35:571,3.471588,1.786023
2020-01-14 15:16:35:610,3.470724,1.781021
2020-01-14 15:16:35:649,3.470675,1.778765
2020-01-14 15:16:35:686,3.471314,1.777848
2020-01-14 15:16:35:727,3.472007,1.777266
2020-01-14 15:16:35:767,3.473101,1.776696
2020-01-14 15:16:35:809,3.478157,1.776977
2020-01-14 15:16:35:848,3.48161,1.777996
2020-01-14 15:16:35:885,3.482981,1.779979
2020-01-14 15:16:35:924,3.485176,1.783286
2020-01-14 15:16:35:968,3.488415,1.787561
2020-01-14 15:16:36:009,3.493977,1.794192
2020-01-14 15:16:36:050,3.496353,1.797502
2020-01-14 15:16:36:096,3.498767,1.801294
2020-01-14 15:16:36:134,3.503243,1.807502
2020-01-14 15:16:36:180,3.505349,1.811378
2020-01-14 15:16:36:217,3.50707,1.814258
2020-01-14 15:16:36:255,3.508844,1.817894
2020-01-14 15:16:36:292,3.510048,1.819944
2020-01-14 15:16:36:328,3.51154,1.822696
2020-01-14 15:16:36:363,3.512726,1.825089
2020-01-14 15:16:36:404,3.513483,1.827669
2020-01-14 15:16:36:439,3.514822,1.832331
2020-01-14 15:16:36:474,3.515028,1.834502
2020-01-14 15:16:36:508,3.515121,1.836681
2020-01-14 15:16:36:545,3.514525,1.839526
2020-01-14 15:16:36:587,3.514416,1.84114
2020-01-14 15:16:36:639,3.514073,1.842842
2020-01-14 15:16:36:686,3.513197,1.847292
2020-01-14 15:16:36:727,3.515362,1.848723
2020-01-14 15:16:36:765,3.516477,1.849948
2020-01-14 15:16:36:803,3.517522,1.851733
2020-01-14 15:16:36:842,3.518262,1.853589
2020-01-14 15:16:36:877,3.518387,1.854292
2020-01-14 15:16:36:890,3.518387,1.854292
2020-01-14 15:16:36:930,3.518464,1.85538
2020-01-14 15:16:36:965,3.51846,1.856293
2020-01-14 15:16:37:000,3.518553,1.855978
2020-01-14 15:16:37:044,3.518723,1.856804
2020-01-14 15:16:37:082,3.518955,1.856966
2020-01-14 15:16:37:124,3.51903,1.857006
2020-01-14 15:16:37:165,3.519145,1.856782
2020-01-14 15:16:37:206,3.519822,1.856208
2020-01-14 15:16:37:245,3.520023,1.856276
2020-01-14 15:16:37:286,3.520223,1.856241
2020-01-14 15:16:37:333,3.520578,1.856381
2020-01-14 15:16:37:376,3.520974,1.856058
2020-01-14 15:16:37:430,3.521352,1.855945
2020-01-14 15:16:37:477,3.521963,1.855459
2020-01-14 15:16:37:520,3.522134,1.85536
2020-01-14 15:16:37:560,3.522223,1.855308
2020-01-14 15:16:37:599,3.522203,1.85529
2020-01-14 15:16:37:641,3.521662,1.855156
2020-01-14 15:16:37:684,3.521483,1.855132
2020-01-14 15:16:37:727,3.521168,1.855048
2020-01-14 15:16:37:771,3.521245,1.855068
2020-01-14 15:16:37:822,3.520551,1.855592
2020-01-14 15:16:37:869,3.520177,1.855684
2020-01-14 15:16:37:916,3.519435,1.855632
2020-01-14 15:16:37:954,3.518653,1.855422
2020-01-14 15:16:37:991,3.518053,1.855181
2020-01-14 15:16:38:029,3.517637,1.85506
2020-01-14 15:16:38:065,3.517141,1.854436
2020-01-14 15:16:38:106,3.516356,1.852918
2020-01-14 15:16:38:142,3.516387,1.852171
2020-01-14 15:16:38:182,3.516347,1.850791
2020-01-14 15:16:38:222,3.516444,1.849404
2020-01-14 15:16:38:264,3.516503,1.847727
2020-01-14 15:16:38:302,3.516815,1.845352
2020-01-14 15:16:38:346,3.517206,1.841134
2020-01-14 15:16:38:386,3.517557,1.839351
2020-01-14 15:16:38:426,3.518022,1.83716
2020-01-14 15:16:38:470,3.518603,1.834736
2020-01-14 15:16:38:508,3.519609,1.830364
2020-01-14 15:16:38:548,3.520837,1.825734
2020-01-14 15:16:38:585,3.522105,1.822058
2020-01-14 15:16:38:625,3.523089,1.81873
2020-01-14 15:16:38:661,3.523625,1.817183
2020-01-14 15:16:38:698,3.524517,1.814854
2020-01-14 15:16:38:733,3.525139,1.812557
2020-01-14 15:16:38:773,3.526277,1.808656
2020-01-14 15:16:38:808,3.526655,1.807166
2020-01-14 15:16:38:854,3.526869,1.805486
2020-01-14 15:16:38:897,3.527287,1.803799
2020-01-14 15:16:38:989,3.527911,1.800591
2020-01-14 15:16:39:043,3.52843,1.797887
2020-01-14 15:16:39:088,3.528707,1.796897
2020-01-14 15:16:39:124,3.529004,1.795741
2020-01-14 15:16:39:162,3.529189,1.795146
2020-01-14 15:16:39:208,3.529602,1.793486
2020-01-14 15:16:39:260,3.529838,1.792873
2020-01-14 15:16:39:299,3.529916,1.792221
2020-01-14 15:16:39:341,3.530221,1.791083
2020-01-14 15:16:39:387,3.530399,1.790348
2020-01-14 15:16:39:422,3.530362,1.789959
2020-01-14 15:16:39:461,3.530322,1.789635
2020-01-14 15:16:39:500,3.530282,1.788999
2020-01-14 15:16:39:561,3.530312,1.788338
2020-01-14 15:16:39:623,3.530183,1.787761
2020-01-14 15:16:39:663,3.530016,1.787449
2020-01-14 15:16:39:702,3.529874,1.787154
2020-01-14 15:16:39:737,3.529266,1.7864
2020-01-14 15:16:39:772,3.528945,1.78606
2020-01-14 15:16:39:808,3.528737,1.785898
2020-01-14 15:16:39:855,3.528488,1.785736
2020-01-14 15:16:39:893,3.527983,1.785527
2020-01-14 15:16:39:931,3.52756,1.785437
2020-01-14 15:16:39:964,3.527097,1.785343
2020-01-14 15:16:39:998,3.523148,1.786594
2020-01-14 15:16:40:035,3.518927,1.788047
2020-01-14 15:16:40:094,3.51775,1.788366
2020-01-14 15:16:40:141,3.515871,1.789141
2020-01-14 15:16:40:196,3.514862,1.789613
2020-01-14 15:16:40:229,3.513854,1.790038
