2020-01-14 15:16:29:627, no_human
2020-01-14 15:16:29:638, no_human
2020-01-14 15:16:30:247, no_human
2020-01-14 15:16:30:300, no_human
2020-01-14 15:16:30:336, no_human
2020-01-14 15:16:30:363, no_human
2020-01-14 15:16:30:391, no_human
2020-01-14 15:16:30:416, no_human
2020-01-14 15:16:30:434, no_human
2020-01-14 15:16:30:448, no_human
2020-01-14 15:16:30:459, no_human
2020-01-14 15:16:30:494, no_human
2020-01-14 15:16:30:521, no_human
2020-01-14 15:16:30:547, no_human
2020-01-14 15:16:30:553, no_human
2020-01-14 15:16:30:588, no_human
2020-01-14 15:16:30:614, no_human
2020-01-14 15:16:30:664,0.1671051,1.7422311.831348
2020-01-14 15:16:30:701,0.1670964,1.7422131.831295
2020-01-14 15:16:30:734,0.1671886,1.7421141.830984
2020-01-14 15:16:30:777,0.1672252,1.742111.830888
2020-01-14 15:16:30:823,0.1673146,1.7421221.83069
2020-01-14 15:16:30:876,0.1673593,1.7420361.830514
2020-01-14 15:16:30:923,0.1677248,1.7421011.830005
2020-01-14 15:16:30:964,0.1679395,1.7422061.829884
2020-01-14 15:16:31:002,0.1680189,1.7422341.829812
2020-01-14 15:16:31:037,0.1681921,1.7422921.829564
2020-01-14 15:16:31:071,0.1682608,1.7423141.829515
2020-01-14 15:16:31:108,0.1683377,1.7423021.829408
2020-01-14 15:16:31:144,0.1684681,1.7423381.829248
2020-01-14 15:16:31:179,0.1685361,1.7423841.829188
2020-01-14 15:16:31:215,0.1686067,1.7424061.829105
2020-01-14 15:16:31:248,0.168692,1.7424021.829076
2020-01-14 15:16:31:283,0.1687897,1.7424941.829011
2020-01-14 15:16:31:320,0.1688946,1.7425821.82895
2020-01-14 15:16:31:355,0.1689969,1.7426231.828871
2020-01-14 15:16:31:393,0.1691177,1.7426891.828951
2020-01-14 15:16:31:428,0.1693042,1.742861.82901
2020-01-14 15:16:31:464,0.1694732,1.7429111.829268
2020-01-14 15:16:31:503,0.1699406,1.7435521.830056
2020-01-14 15:16:31:542,0.1701608,1.7435961.83063
2020-01-14 15:16:31:579,0.170363,1.7438041.831415
2020-01-14 15:16:31:618,0.1705775,1.744031.832037
2020-01-14 15:16:31:659,0.1708687,1.7443151.832569
2020-01-14 15:16:31:693,0.1710825,1.7446361.833381
2020-01-14 15:16:31:727,0.1714637,1.7451811.834564
2020-01-14 15:16:31:764,0.1717083,1.7453591.834969
2020-01-14 15:16:31:798,0.1718986,1.7455351.835544
2020-01-14 15:16:31:832,0.1721205,1.7457551.835952
2020-01-14 15:16:31:866,0.1723668,1.7457421.836352
2020-01-14 15:16:31:901,0.1724633,1.7458471.836735
2020-01-14 15:16:31:936,0.1728539,1.7459321.837524
2020-01-14 15:16:31:978,0.1730592,1.7460381.837833
2020-01-14 15:16:32:017,0.1732107,1.7461141.837982
2020-01-14 15:16:32:062,0.1733069,1.746141.838034
2020-01-14 15:16:32:099,0.1734203,1.7462661.838209
2020-01-14 15:16:32:132,0.1734538,1.7463381.838388
2020-01-14 15:16:32:168,0.1736801,1.746361.838595
2020-01-14 15:16:32:212,0.173902,1.7464191.838785
2020-01-14 15:16:32:246,0.1740924,1.7464731.838992
2020-01-14 15:16:32:281,0.1742886,1.7465351.839096
2020-01-14 15:16:32:318,0.1746029,1.7465851.839171
2020-01-14 15:16:32:360,0.17496,1.7465641.839384
2020-01-14 15:16:32:396,0.1758492,1.7464971.839741
2020-01-14 15:16:32:436,0.1765933,1.7464881.839602
2020-01-14 15:16:32:477,0.1802475,1.7452021.838841
2020-01-14 15:16:32:518,0.1835968,1.7437331.837597
2020-01-14 15:16:32:550,0.1880133,1.7419431.835624
2020-01-14 15:16:32:585,0.1930527,1.7400031.832614
2020-01-14 15:16:32:620,0.1992763,1.7373551.829533
2020-01-14 15:16:32:661,0.2050279,1.7354391.82683
2020-01-14 15:16:32:698,0.2103885,1.7335131.823718
2020-01-14 15:16:32:732,0.2155844,1.7312781.820483
2020-01-14 15:16:32:768,0.2194306,1.7297331.818088
2020-01-14 15:16:32:807,0.2261565,1.7268361.812183
2020-01-14 15:16:32:840,0.2285031,1.7259011.808722
2020-01-14 15:16:32:877,0.2298859,1.7251651.805348
2020-01-14 15:16:32:916,0.230152,1.7254261.80024
2020-01-14 15:16:32:957,0.2293224,1.7251511.794865
2020-01-14 15:16:33:005,0.2268249,1.7250221.787802
2020-01-14 15:16:33:049,0.2152238,1.7254461.772016
2020-01-14 15:16:33:103,0.2050433,1.7256871.761311
2020-01-14 15:16:33:160,0.1847108,1.7237571.74317
2020-01-14 15:16:33:213,0.1634445,1.7232641.727474
2020-01-14 15:16:33:259,0.1539295,1.7240481.723184
2020-01-14 15:16:33:302,0.1453955,1.7258221.719666
2020-01-14 15:16:33:338,0.1267962,1.7294481.719248
2020-01-14 15:16:33:375,0.1194482,1.733071.720556
2020-01-14 15:16:33:410,0.113611,1.7369171.72264
2020-01-14 15:16:33:448,0.1083809,1.7415151.726212
2020-01-14 15:16:33:484,0.104789,1.745071.730554
2020-01-14 15:16:33:529,0.1012047,1.7480921.735419
2020-01-14 15:16:33:568,0.09767286,1.751231.740908
2020-01-14 15:16:33:603,0.09214638,1.7590161.757632
2020-01-14 15:16:33:640,0.09065688,1.7624691.766702
2020-01-14 15:16:33:676,0.08943364,1.7659771.776036
2020-01-14 15:16:33:713,0.08915509,1.7691871.787426
2020-01-14 15:16:33:756,0.08867788,1.7720781.798271
2020-01-14 15:16:33:796,0.08786397,1.7742771.809337
2020-01-14 15:16:33:833,0.08663908,1.7769691.818363
2020-01-14 15:16:33:868,0.08315036,1.7810911.835649
2020-01-14 15:16:33:902,0.08107099,1.7821871.841408
2020-01-14 15:16:33:937,0.07853895,1.7828111.847334
2020-01-14 15:16:33:977,0.07618714,1.7838991.851689
2020-01-14 15:16:34:013,0.07337046,1.7850621.855322
2020-01-14 15:16:34:052,0.06994183,1.7863661.858444
2020-01-14 15:16:34:090,0.06678183,1.7874941.860041
2020-01-14 15:16:34:124,0.06372719,1.7886751.860909
2020-01-14 15:16:34:161,0.06043158,1.7902731.861166
2020-01-14 15:16:34:203,0.05714228,1.7914061.860004
2020-01-14 15:16:34:239,0.05051457,1.7947441.85627
2020-01-14 15:16:34:278,0.0480592,1.7959111.853845
2020-01-14 15:16:34:319,0.04103468,1.8008661.855682
2020-01-14 15:16:34:365,0.03799485,1.8022341.855506
2020-01-14 15:16:34:403,0.03327629,1.8033421.853644
2020-01-14 15:16:34:442,0.03148488,1.8039971.852223
2020-01-14 15:16:34:476,0.02923414,1.8042991.849617
2020-01-14 15:16:34:519,0.02707459,1.8047761.847294
2020-01-14 15:16:34:558,0.02493303,1.8050541.844159
2020-01-14 15:16:34:596,0.0229879,1.805081.841894
2020-01-14 15:16:34:634,0.02131119,1.8053631.839438
2020-01-14 15:16:34:676,0.01759178,1.8058821.833944
2020-01-14 15:16:34:713,0.01623935,1.8060311.831734
2020-01-14 15:16:34:749,0.01450113,1.8064881.829584
2020-01-14 15:16:34:785,0.01279044,1.8061321.827776
2020-01-14 15:16:34:820,0.01068478,1.8066671.825574
2020-01-14 15:16:34:859,0.009037731,1.8070481.82366
2020-01-14 15:16:34:903,0.00769525,1.807281.822278
2020-01-14 15:16:34:948,0.005329377,1.807691.819936
2020-01-14 15:16:34:985,0.003949278,1.8078641.818502
2020-01-14 15:16:35:021,0.002642741,1.8084791.8176
2020-01-14 15:16:35:056,0.001511746,1.8087611.816397
2020-01-14 15:16:35:095,0.0007116329,1.8091731.815377
2020-01-14 15:16:35:139,-0.0001261143,1.8094761.814518
2020-01-14 15:16:35:182,-0.002207759,1.8104231.811923
2020-01-14 15:16:35:238,-0.003418561,1.8107221.810508
2020-01-14 15:16:35:275,-0.004875759,1.8113041.806826
2020-01-14 15:16:35:315,-0.005575975,1.8115741.804732
2020-01-14 15:16:35:355,-0.006280882,1.8112411.802151
2020-01-14 15:16:35:395,-0.005885531,1.8106291.80018
2020-01-14 15:16:35:438,-0.005198866,1.809861.798048
2020-01-14 15:16:35:482,-0.003600307,1.807961.792954
2020-01-14 15:16:35:526,-0.002752185,1.8066291.789835
2020-01-14 15:16:35:571,-0.001587811,1.8054871.786023
2020-01-14 15:16:35:610,-0.0007242298,1.8042011.781021
2020-01-14 15:16:35:649,-0.0006749015,1.8035641.778765
2020-01-14 15:16:35:686,-0.001314032,1.8030341.777848
2020-01-14 15:16:35:727,-0.002007168,1.8027291.777266
2020-01-14 15:16:35:767,-0.003100983,1.802721.776696
2020-01-14 15:16:35:809,-0.008156604,1.8024331.776977
2020-01-14 15:16:35:848,-0.01161012,1.8023681.777996
2020-01-14 15:16:35:885,-0.01298134,1.8013121.779979
2020-01-14 15:16:35:924,-0.01517633,1.8005791.783286
2020-01-14 15:16:35:968,-0.01841537,1.8005641.787561
2020-01-14 15:16:36:009,-0.02397709,1.8001661.794192
2020-01-14 15:16:36:050,-0.02635324,1.8000091.797502
2020-01-14 15:16:36:096,-0.02876693,1.8000461.801294
2020-01-14 15:16:36:134,-0.03324304,1.7997521.807502
2020-01-14 15:16:36:180,-0.03534919,1.7994191.811378
2020-01-14 15:16:36:217,-0.03706965,1.7996991.814258
2020-01-14 15:16:36:255,-0.03884367,1.8001431.817894
2020-01-14 15:16:36:292,-0.04004847,1.8002121.819944
2020-01-14 15:16:36:328,-0.04153972,1.8002911.822696
2020-01-14 15:16:36:363,-0.04272569,1.8005261.825089
2020-01-14 15:16:36:404,-0.04348263,1.8006431.827669
2020-01-14 15:16:36:439,-0.04482199,1.8011281.832331
2020-01-14 15:16:36:474,-0.04502821,1.8011361.834502
2020-01-14 15:16:36:508,-0.04512104,1.8015351.836681
2020-01-14 15:16:36:545,-0.04452477,1.8019071.839526
2020-01-14 15:16:36:587,-0.0444159,1.8021471.84114
2020-01-14 15:16:36:639,-0.04407341,1.8020261.842842
2020-01-14 15:16:36:686,-0.04319736,1.802151.847292
2020-01-14 15:16:36:727,-0.04536232,1.8044891.848723
2020-01-14 15:16:36:765,-0.0464773,1.8059641.849948
2020-01-14 15:16:36:803,-0.04752237,1.8068111.851733
2020-01-14 15:16:36:842,-0.04826173,1.8082221.853589
2020-01-14 15:16:36:877,-0.04838724,1.8086991.854292
2020-01-14 15:16:36:890,-0.04838724,1.8086991.854292
2020-01-14 15:16:36:930,-0.04846375,1.8088791.85538
2020-01-14 15:16:36:965,-0.04845981,1.8090121.856293
2020-01-14 15:16:37:000,-0.04855309,1.8092641.855978
2020-01-14 15:16:37:044,-0.04872296,1.8098131.856804
2020-01-14 15:16:37:082,-0.04895519,1.8100971.856966
2020-01-14 15:16:37:124,-0.04902994,1.8102491.857006
2020-01-14 15:16:37:165,-0.04914536,1.8105351.856782
2020-01-14 15:16:37:206,-0.04982212,1.8112021.856208
2020-01-14 15:16:37:245,-0.05002314,1.8115371.856276
2020-01-14 15:16:37:286,-0.05022307,1.8117781.856241
2020-01-14 15:16:37:333,-0.05057845,1.8120281.856381
2020-01-14 15:16:37:376,-0.05097444,1.8124861.856058
2020-01-14 15:16:37:430,-0.05135178,1.8127741.855945
2020-01-14 15:16:37:477,-0.051963,1.8132661.855459
2020-01-14 15:16:37:520,-0.05213417,1.8133991.85536
2020-01-14 15:16:37:560,-0.05222274,1.8134681.855308
2020-01-14 15:16:37:599,-0.05220343,1.8135021.85529
2020-01-14 15:16:37:641,-0.05166231,1.8133771.855156
2020-01-14 15:16:37:684,-0.05148349,1.8133771.855132
2020-01-14 15:16:37:727,-0.05116853,1.8134951.855048
2020-01-14 15:16:37:771,-0.05124521,1.8137691.855068
2020-01-14 15:16:37:822,-0.0505514,1.8139871.855592
2020-01-14 15:16:37:869,-0.05017701,1.8140441.855684
2020-01-14 15:16:37:916,-0.04943486,1.814081.855632
2020-01-14 15:16:37:954,-0.0486529,1.813991.855422
2020-01-14 15:16:37:991,-0.04805318,1.8138371.855181
2020-01-14 15:16:38:029,-0.04763708,1.8139721.85506
2020-01-14 15:16:38:065,-0.04714128,1.8141031.854436
2020-01-14 15:16:38:106,-0.04635631,1.8142291.852918
2020-01-14 15:16:38:142,-0.04638647,1.8143511.852171
2020-01-14 15:16:38:182,-0.04634715,1.8143511.850791
2020-01-14 15:16:38:222,-0.04644397,1.8144521.849404
2020-01-14 15:16:38:264,-0.04650263,1.8145011.847727
2020-01-14 15:16:38:302,-0.04681535,1.8147331.845352
2020-01-14 15:16:38:346,-0.0472064,1.8149031.841134
2020-01-14 15:16:38:386,-0.04755673,1.8150861.839351
2020-01-14 15:16:38:426,-0.04802173,1.8151071.83716
2020-01-14 15:16:38:470,-0.04860298,1.8148431.834736
2020-01-14 15:16:38:508,-0.04960935,1.8145211.830364
2020-01-14 15:16:38:548,-0.05083647,1.814621.825734
2020-01-14 15:16:38:585,-0.05210464,1.8149561.822058
2020-01-14 15:16:38:625,-0.05308862,1.814921.81873
