2020-03-02 14:42:38:268, no_human
2020-03-02 14:42:38:280, no_human
2020-03-02 14:42:38:520, no_human
2020-03-02 14:42:38:586, no_human
2020-03-02 14:42:38:604, no_human
2020-03-02 14:42:38:620, no_human
2020-03-02 14:42:38:636, no_human
2020-03-02 14:42:38:653, no_human
2020-03-02 14:42:38:670, no_human
2020-03-02 14:42:38:687, no_human
2020-03-02 14:42:38:705, no_human
2020-03-02 14:42:38:721, no_human
2020-03-02 14:42:38:737, no_human
2020-03-02 14:42:38:780, no_human
2020-03-02 14:42:38:797, no_human
2020-03-02 14:42:38:803, no_human
2020-03-02 14:42:38:820, no_human
2020-03-02 14:42:38:836, no_human
2020-03-02 14:42:38:854, no_human
2020-03-02 14:42:38:893, no_human
2020-03-02 14:42:38:923, no_human
2020-03-02 14:42:38:949, no_human
2020-03-02 14:42:38:982, no_human
2020-03-02 14:42:39:014, no_human
2020-03-02 14:42:39:048, no_human
2020-03-02 14:42:39:082, no_human
2020-03-02 14:42:39:113, no_human
2020-03-02 14:42:39:149, no_human
2020-03-02 14:42:39:182, no_human
2020-03-02 14:42:39:215, no_human
2020-03-02 14:42:39:248, no_human
2020-03-02 14:42:39:281, no_human
2020-03-02 14:42:39:315, no_human
2020-03-02 14:42:39:367,3.681427,3.18232
2020-03-02 14:42:39:418,3.681797,3.182735
2020-03-02 14:42:39:464,3.681942,3.183008
2020-03-02 14:42:39:520,3.682028,3.182957
2020-03-02 14:42:39:565,3.682884,3.183051
2020-03-02 14:42:39:601,3.683216,3.183129
2020-03-02 14:42:39:638,3.683393,3.183183
2020-03-02 14:42:39:682,3.683605,3.183099
2020-03-02 14:42:39:723,3.684239,3.182982
2020-03-02 14:42:39:758,3.684714,3.182662
2020-03-02 14:42:39:792,3.68565,3.182441
2020-03-02 14:42:39:825,3.687348,3.181613
2020-03-02 14:42:39:864,3.688259,3.180942
2020-03-02 14:42:39:921,3.692599,3.178612
2020-03-02 14:42:39:964,3.696831,3.175989
2020-03-02 14:42:40:004,3.700384,3.174077
2020-03-02 14:42:40:051,3.702685,3.17268
2020-03-02 14:42:40:091,3.704361,3.171795
2020-03-02 14:42:40:134,3.705659,3.171317
2020-03-02 14:42:40:183,3.708061,3.170952
2020-03-02 14:42:40:225,3.709808,3.169955
2020-03-02 14:42:40:259,3.710727,3.169662
2020-03-02 14:42:40:297,3.713098,3.16981
2020-03-02 14:42:40:352,3.713715,3.169924
2020-03-02 14:42:40:406,3.71476,3.169302
