2020-03-02 14:42:38:268, no_human
2020-03-02 14:42:38:280, no_human
2020-03-02 14:42:38:520, no_human
2020-03-02 14:42:38:586, no_human
2020-03-02 14:42:38:604, no_human
2020-03-02 14:42:38:620, no_human
2020-03-02 14:42:38:636, no_human
2020-03-02 14:42:38:653, no_human
2020-03-02 14:42:38:670, no_human
2020-03-02 14:42:38:687, no_human
2020-03-02 14:42:38:705, no_human
2020-03-02 14:42:38:721, no_human
2020-03-02 14:42:38:737, no_human
2020-03-02 14:42:38:780, no_human
2020-03-02 14:42:38:797, no_human
2020-03-02 14:42:38:803, no_human
2020-03-02 14:42:38:820, no_human
2020-03-02 14:42:38:836, no_human
2020-03-02 14:42:38:854, no_human
2020-03-02 14:42:38:893, no_human
2020-03-02 14:42:38:923, no_human
2020-03-02 14:42:38:949, no_human
2020-03-02 14:42:38:982, no_human
2020-03-02 14:42:39:014, no_human
2020-03-02 14:42:39:048, no_human
2020-03-02 14:42:39:082, no_human
2020-03-02 14:42:39:113, no_human
2020-03-02 14:42:39:149, no_human
2020-03-02 14:42:39:182, no_human
2020-03-02 14:42:39:215, no_human
2020-03-02 14:42:39:248, no_human
2020-03-02 14:42:39:281, no_human
2020-03-02 14:42:39:315, no_human
2020-03-02 14:42:39:367,-0.2114272,1.7819653.18232
2020-03-02 14:42:39:418,-0.2117972,1.7820713.182735
2020-03-02 14:42:39:464,-0.2119424,1.7819513.183008
2020-03-02 14:42:39:520,-0.2120277,1.7819283.182957
2020-03-02 14:42:39:565,-0.2128836,1.7817033.183051
2020-03-02 14:42:39:601,-0.213216,1.7816543.183129
2020-03-02 14:42:39:638,-0.2133936,1.7815543.183183
2020-03-02 14:42:39:682,-0.2136052,1.7816463.183099
2020-03-02 14:42:39:723,-0.2142388,1.7815893.182982
2020-03-02 14:42:39:758,-0.2147143,1.7813473.182662
2020-03-02 14:42:39:792,-0.2156496,1.7812493.182441
2020-03-02 14:42:39:825,-0.2173484,1.7814773.181613
2020-03-02 14:42:39:864,-0.2182594,1.7812423.180942
2020-03-02 14:42:39:921,-0.2225992,1.7811613.178612
2020-03-02 14:42:39:964,-0.2268314,1.7818143.175989
2020-03-02 14:42:40:004,-0.2303838,1.7819013.174077
2020-03-02 14:42:40:051,-0.2326849,1.7827473.17268
2020-03-02 14:42:40:091,-0.2343613,1.7826943.171795
2020-03-02 14:42:40:134,-0.2356587,1.7831173.171317
2020-03-02 14:42:40:183,-0.2380611,1.7838763.170952
2020-03-02 14:42:40:225,-0.2398076,1.7842493.169955
2020-03-02 14:42:40:259,-0.240727,1.7843813.169662
2020-03-02 14:42:40:297,-0.2430982,1.7855043.16981
2020-03-02 14:42:40:352,-0.2437149,1.785643.169924
2020-03-02 14:42:40:406,-0.2447603,1.7859363.169302
2020-03-02 14:42:40:454,-0.2460887,1.7860473.169539
2020-03-02 14:42:40:500,-0.2464277,1.7861913.169564
2020-03-02 14:42:40:554,-0.2475909,1.7864443.169734
2020-03-02 14:42:40:605,-0.2484716,1.786893.169213
2020-03-02 14:42:40:647,-0.2490105,1.7869593.168964
2020-03-02 14:42:40:683,-0.2494833,1.7869913.168757
2020-03-02 14:42:40:720,-0.2498042,1.7871483.168595
2020-03-02 14:42:40:765,-0.2504287,1.7870633.167988
2020-03-02 14:42:40:816,-0.250499,1.7871153.16788
2020-03-02 14:42:40:852,-0.2505398,1.7871043.167849
