2020-01-15 17:05:52:811, no_human
2020-01-15 17:05:52:822, no_human
2020-01-15 17:05:53:055, no_human
2020-01-15 17:05:53:121, no_human
2020-01-15 17:05:53:137, no_human
2020-01-15 17:05:53:154, no_human
2020-01-15 17:05:53:171, no_human
2020-01-15 17:05:53:188, no_human
2020-01-15 17:05:53:204, no_human
2020-01-15 17:05:53:222, no_human
2020-01-15 17:05:53:239, no_human
2020-01-15 17:05:53:255, no_human
2020-01-15 17:05:53:295, no_human
2020-01-15 17:05:53:311, no_human
2020-01-15 17:05:53:329, no_human
2020-01-15 17:05:53:342, no_human
2020-01-15 17:05:53:367, no_human
2020-01-15 17:05:53:375, no_human
2020-01-15 17:05:53:391, no_human
2020-01-15 17:05:53:407, no_human
2020-01-15 17:05:53:449, no_human
2020-01-15 17:05:53:478, no_human
2020-01-15 17:05:53:507, no_human
2020-01-15 17:05:53:536, no_human
2020-01-15 17:05:53:545, no_human
2020-01-15 17:05:53:580, no_human
2020-01-15 17:05:53:607, no_human
2020-01-15 17:05:53:632, no_human
2020-01-15 17:05:53:639, no_human
2020-01-15 17:05:53:673, no_human
2020-01-15 17:05:53:698, no_human
2020-01-15 17:05:53:705, no_human
2020-01-15 17:05:53:740, no_human
2020-01-15 17:05:53:765, no_human
2020-01-15 17:05:53:770, no_human
2020-01-15 17:05:53:787, no_human
2020-01-15 17:05:53:825, no_human
2020-01-15 17:05:53:858, no_human
2020-01-15 17:05:53:892, no_human
2020-01-15 17:05:53:954,3.368859,1.798952
2020-01-15 17:05:54:011,3.368494,1.799328
2020-01-15 17:05:54:086,3.370969,1.800292
2020-01-15 17:05:54:165,3.393815,1.804243
2020-01-15 17:05:54:210,3.414226,1.806375
2020-01-15 17:05:54:253,3.42326,1.808694
2020-01-15 17:05:54:292,3.438702,1.812388
2020-01-15 17:05:54:334,3.443929,1.814058
2020-01-15 17:05:54:375,3.448086,1.815371
2020-01-15 17:05:54:413,3.451652,1.816258
2020-01-15 17:05:54:452,3.453947,1.817744
2020-01-15 17:05:54:489,3.454737,1.818348
2020-01-15 17:05:54:529,3.453527,1.819563
2020-01-15 17:05:54:573,3.451173,1.819759
2020-01-15 17:05:54:623,3.448565,1.819725
2020-01-15 17:05:54:671,3.438809,1.819407
2020-01-15 17:05:54:712,3.434671,1.818806
2020-01-15 17:05:54:752,3.431735,1.818065
2020-01-15 17:05:54:790,3.429868,1.817656
2020-01-15 17:05:54:826,3.429111,1.817305
2020-01-15 17:05:54:866,3.429147,1.817204
2020-01-15 17:05:54:913,3.429654,1.816967
2020-01-15 17:05:54:950,3.431637,1.81678
2020-01-15 17:05:55:012,3.436629,1.816325
2020-01-15 17:05:55:055,3.439265,1.816189
2020-01-15 17:05:55:107,3.442898,1.815986
2020-01-15 17:05:55:147,3.443417,1.815895
2020-01-15 17:05:55:184,3.443574,1.815865
2020-01-15 17:05:55:218,3.443652,1.815877
2020-01-15 17:05:55:253,3.443636,1.815894
2020-01-15 17:05:55:291,3.443563,1.815929
2020-01-15 17:05:55:327,3.443294,1.816031
2020-01-15 17:05:55:362,3.442868,1.816094
2020-01-15 17:05:55:407,3.442308,1.816111
2020-01-15 17:05:55:444,3.441669,1.816178
2020-01-15 17:05:55:484,3.440565,1.815888
2020-01-15 17:05:55:527,3.437536,1.814011
2020-01-15 17:05:55:574,3.435762,1.812491
2020-01-15 17:05:55:611,3.434301,1.810493
2020-01-15 17:05:55:650,3.433342,1.808
2020-01-15 17:05:55:690,3.433232,1.806062
2020-01-15 17:05:55:742,3.439781,1.801283
2020-01-15 17:05:55:790,3.448718,1.800655
2020-01-15 17:05:55:843,3.481513,1.806302
2020-01-15 17:05:55:884,3.502357,1.81382
2020-01-15 17:05:55:921,3.520586,1.821406
2020-01-15 17:05:55:962,3.556215,1.842092
2020-01-15 17:05:56:008,3.567975,1.850569
2020-01-15 17:05:56:043,3.580644,1.861419
2020-01-15 17:05:56:079,3.588621,1.868798
2020-01-15 17:05:56:118,3.598073,1.875205
2020-01-15 17:05:56:232,3.617882,1.885158
2020-01-15 17:05:56:309,3.655966,1.892964
2020-01-15 17:05:56:354,3.667719,1.892609
2020-01-15 17:05:56:392,3.679859,1.891748
2020-01-15 17:05:56:442,3.679848,1.890182
2020-01-15 17:05:56:481,3.682137,1.887036
