2020-01-15 17:05:52:811, no_human
2020-01-15 17:05:52:822, no_human
2020-01-15 17:05:53:055, no_human
2020-01-15 17:05:53:121, no_human
2020-01-15 17:05:53:137, no_human
2020-01-15 17:05:53:154, no_human
2020-01-15 17:05:53:171, no_human
2020-01-15 17:05:53:188, no_human
2020-01-15 17:05:53:204, no_human
2020-01-15 17:05:53:222, no_human
2020-01-15 17:05:53:239, no_human
2020-01-15 17:05:53:255, no_human
2020-01-15 17:05:53:295, no_human
2020-01-15 17:05:53:311, no_human
2020-01-15 17:05:53:329, no_human
2020-01-15 17:05:53:342, no_human
2020-01-15 17:05:53:367, no_human
2020-01-15 17:05:53:375, no_human
2020-01-15 17:05:53:391, no_human
2020-01-15 17:05:53:407, no_human
2020-01-15 17:05:53:449, no_human
2020-01-15 17:05:53:478, no_human
2020-01-15 17:05:53:507, no_human
2020-01-15 17:05:53:536, no_human
2020-01-15 17:05:53:545, no_human
2020-01-15 17:05:53:580, no_human
2020-01-15 17:05:53:607, no_human
2020-01-15 17:05:53:632, no_human
2020-01-15 17:05:53:639, no_human
2020-01-15 17:05:53:673, no_human
2020-01-15 17:05:53:698, no_human
2020-01-15 17:05:53:705, no_human
2020-01-15 17:05:53:740, no_human
2020-01-15 17:05:53:765, no_human
2020-01-15 17:05:53:770, no_human
2020-01-15 17:05:53:787, no_human
2020-01-15 17:05:53:825, no_human
2020-01-15 17:05:53:858, no_human
2020-01-15 17:05:53:892, no_human
2020-01-15 17:05:53:954,0.1011414,1.617081.798952
2020-01-15 17:05:54:011,0.1015059,1.6203271.799328
2020-01-15 17:05:54:086,0.09903118,1.6246121.800292
2020-01-15 17:05:54:165,0.07618493,1.6401131.804243
2020-01-15 17:05:54:210,0.0557739,1.6393051.806375
2020-01-15 17:05:54:253,0.04673979,1.6375781.808694
2020-01-15 17:05:54:292,0.03129851,1.6328491.812388
2020-01-15 17:05:54:334,0.02607115,1.6325791.814058
2020-01-15 17:05:54:375,0.0219142,1.6326031.815371
2020-01-15 17:05:54:413,0.01834829,1.6337111.816258
2020-01-15 17:05:54:452,0.01605316,1.6357591.817744
2020-01-15 17:05:54:489,0.01526282,1.6368921.818348
2020-01-15 17:05:54:529,0.01647319,1.6396871.819563
2020-01-15 17:05:54:573,0.01882744,1.6406661.819759
2020-01-15 17:05:54:623,0.02143446,1.6408771.819725
2020-01-15 17:05:54:671,0.03119123,1.6390041.819407
2020-01-15 17:05:54:712,0.03532913,1.6360851.818806
2020-01-15 17:05:54:752,0.03826505,1.633441.818065
2020-01-15 17:05:54:790,0.0401317,1.6317831.817656
2020-01-15 17:05:54:826,0.04088956,1.6311731.817305
2020-01-15 17:05:54:866,0.04085359,1.6312931.817204
2020-01-15 17:05:54:913,0.04034614,1.6318091.816967
2020-01-15 17:05:54:950,0.03836291,1.6331561.81678
2020-01-15 17:05:55:012,0.03337118,1.6352691.816325
2020-01-15 17:05:55:055,0.03073555,1.6358781.816189
2020-01-15 17:05:55:107,0.02710194,1.6362771.815986
2020-01-15 17:05:55:147,0.02658324,1.6363051.815895
2020-01-15 17:05:55:184,0.02642637,1.6363471.815865
2020-01-15 17:05:55:218,0.02634795,1.636321.815877
2020-01-15 17:05:55:253,0.02636381,1.6363691.815894
2020-01-15 17:05:55:291,0.02643655,1.6363911.815929
2020-01-15 17:05:55:327,0.02670657,1.6365471.816031
2020-01-15 17:05:55:362,0.02713163,1.6366571.816094
2020-01-15 17:05:55:407,0.02769218,1.6366511.816111
2020-01-15 17:05:55:444,0.02833112,1.6367431.816178
2020-01-15 17:05:55:484,0.02943474,1.6369381.815888
2020-01-15 17:05:55:527,0.03246443,1.6372471.814011
2020-01-15 17:05:55:574,0.03423793,1.6373221.812491
2020-01-15 17:05:55:611,0.03569864,1.6373451.810493
2020-01-15 17:05:55:650,0.03665809,1.6363251.808
2020-01-15 17:05:55:690,0.03676776,1.6354731.806062
2020-01-15 17:05:55:742,0.03021901,1.631741.801283
2020-01-15 17:05:55:790,0.02128169,1.6294331.800655
2020-01-15 17:05:55:843,-0.01151313,1.6244041.806302
2020-01-15 17:05:55:884,-0.03235741,1.6254161.81382
2020-01-15 17:05:55:921,-0.05058591,1.6264991.821406
2020-01-15 17:05:55:962,-0.08621521,1.6263851.842092
2020-01-15 17:05:56:008,-0.09797506,1.6246591.850569
2020-01-15 17:05:56:043,-0.1106444,1.6207061.861419
2020-01-15 17:05:56:079,-0.1186207,1.618411.868798
2020-01-15 17:05:56:118,-0.1280728,1.6174591.875205
2020-01-15 17:05:56:232,-0.1478819,1.622551.885158
2020-01-15 17:05:56:309,-0.1859661,1.6383641.892964
2020-01-15 17:05:56:354,-0.1977193,1.6424341.892609
2020-01-15 17:05:56:392,-0.2098587,1.6569771.891748
2020-01-15 17:05:56:442,-0.2098481,1.6659661.890182
2020-01-15 17:05:56:481,-0.2121374,1.6750011.887036
2020-01-15 17:05:56:518,-0.2186256,1.6803241.870368
2020-01-15 17:05:56:553,-0.2163943,1.6870051.862793
2020-01-15 17:05:56:590,-0.2125004,1.6952391.842532
2020-01-15 17:05:56:628,-0.2177135,1.6994151.802978
2020-01-15 17:05:56:675,-0.2221988,1.6988591.790313
2020-01-15 17:05:56:715,-0.2370711,1.6969471.773185
2020-01-15 17:05:56:754,-0.247458,1.6915291.759899
2020-01-15 17:05:56:789,-0.2793531,1.6874061.743796
2020-01-15 17:05:56:828,-0.2930468,1.6871331.737349
2020-01-15 17:05:56:875,-0.3066503,1.6869451.733244
2020-01-15 17:05:56:918,-0.3186885,1.6861581.732412
2020-01-15 17:05:56:956,-0.3531097,1.6813581.740262
2020-01-15 17:05:56:998,-0.3687775,1.6771521.745678
2020-01-15 17:05:57:040,-0.3874836,1.6739321.755542
2020-01-15 17:05:57:074,-0.4073535,1.6707161.766935
2020-01-15 17:05:57:112,-0.4284979,1.6767451.781242
2020-01-15 17:05:57:150,-0.4387693,1.6547011.790073
2020-01-15 17:05:57:184,-0.4557911,1.6614021.802682
2020-01-15 17:05:57:219,-0.4745091,1.6640231.817775
2020-01-15 17:05:57:254,-0.5025328,1.6660941.843819
2020-01-15 17:05:57:298,-0.5190186,1.6693111.854674
2020-01-15 17:05:57:345,-0.5399626,1.6733561.871487
2020-01-15 17:05:57:383,-0.5507421,1.6696261.877321
2020-01-15 17:05:57:417,-0.5825657,1.6748331.896569
2020-01-15 17:05:57:451,-0.5999838,1.6727591.905377
2020-01-15 17:05:57:484,-0.621192,1.6693571.917928
2020-01-15 17:05:57:519,-0.6446499,1.6664571.933154
2020-01-15 17:05:57:558,-0.7038072,1.662191.971121
