2020-01-14 15:51:08:817, no_human
2020-01-14 15:51:08:827, no_human
2020-01-14 15:51:09:435, no_human
2020-01-14 15:51:09:489, no_human
2020-01-14 15:51:09:527, no_human
2020-01-14 15:51:09:555, no_human
2020-01-14 15:51:09:581, no_human
2020-01-14 15:51:09:589, no_human
2020-01-14 15:51:09:625, no_human
2020-01-14 15:51:09:659, no_human
2020-01-14 15:51:09:686, no_human
2020-01-14 15:51:09:714, no_human
2020-01-14 15:51:09:726, no_human
2020-01-14 15:51:09:759, no_human
2020-01-14 15:51:09:788, no_human
2020-01-14 15:51:09:818, no_human
2020-01-14 15:51:09:849, no_human
2020-01-14 15:51:09:886, no_human
2020-01-14 15:51:09:936,3.491311,1.641923
2020-01-14 15:51:09:980,3.491339,1.641916
2020-01-14 15:51:10:025,3.491365,1.641905
2020-01-14 15:51:10:072,3.491494,1.641796
2020-01-14 15:51:10:109,3.491928,1.641623
2020-01-14 15:51:10:144,3.492464,1.641453
2020-01-14 15:51:10:181,3.492889,1.641446
2020-01-14 15:51:10:223,3.493254,1.641316
2020-01-14 15:51:10:259,3.493771,1.641227
2020-01-14 15:51:10:296,3.494408,1.641201
2020-01-14 15:51:10:336,3.495453,1.640965
2020-01-14 15:51:10:373,3.49579,1.640888
2020-01-14 15:51:10:415,3.496107,1.640633
2020-01-14 15:51:10:456,3.496079,1.640377
2020-01-14 15:51:10:498,3.495946,1.640314
2020-01-14 15:51:10:536,3.494304,1.64054
2020-01-14 15:51:10:573,3.492644,1.640836
2020-01-14 15:51:10:608,3.490633,1.641319
2020-01-14 15:51:10:646,3.488092,1.642559
2020-01-14 15:51:10:687,3.485231,1.644356
2020-01-14 15:51:10:729,3.48263,1.646141
2020-01-14 15:51:10:773,3.47868,1.649549
2020-01-14 15:51:10:808,3.477088,1.65114
2020-01-14 15:51:10:844,3.476245,1.651901
2020-01-14 15:51:10:887,3.475024,1.65316
2020-01-14 15:51:10:930,3.473947,1.654173
2020-01-14 15:51:10:976,3.472732,1.655536
2020-01-14 15:51:11:019,3.472195,1.656106
2020-01-14 15:51:11:056,3.471772,1.656714
2020-01-14 15:51:11:091,3.471208,1.657351
2020-01-14 15:51:11:130,3.47057,1.658286
2020-01-14 15:51:11:166,3.470027,1.658897
2020-01-14 15:51:11:205,3.469009,1.660046
2020-01-14 15:51:11:239,3.4681,1.660911
2020-01-14 15:51:11:275,3.467742,1.661354
2020-01-14 15:51:11:317,3.467504,1.661634
2020-01-14 15:51:11:358,3.467046,1.662077
2020-01-14 15:51:11:399,3.466739,1.662557
2020-01-14 15:51:11:445,3.466346,1.663135
2020-01-14 15:51:11:488,3.46619,1.663353
2020-01-14 15:51:11:535,3.465903,1.663713
2020-01-14 15:51:11:569,3.465724,1.664125
2020-01-14 15:51:11:607,3.465618,1.664207
2020-01-14 15:51:11:650,3.465363,1.664274
2020-01-14 15:51:11:687,3.464326,1.664331
2020-01-14 15:51:11:727,3.459881,1.664436
