2020-01-14 15:51:08:817, no_human
2020-01-14 15:51:08:827, no_human
2020-01-14 15:51:09:435, no_human
2020-01-14 15:51:09:489, no_human
2020-01-14 15:51:09:527, no_human
2020-01-14 15:51:09:555, no_human
2020-01-14 15:51:09:581, no_human
2020-01-14 15:51:09:589, no_human
2020-01-14 15:51:09:625, no_human
2020-01-14 15:51:09:659, no_human
2020-01-14 15:51:09:686, no_human
2020-01-14 15:51:09:714, no_human
2020-01-14 15:51:09:726, no_human
2020-01-14 15:51:09:759, no_human
2020-01-14 15:51:09:788, no_human
2020-01-14 15:51:09:818, no_human
2020-01-14 15:51:09:849, no_human
2020-01-14 15:51:09:886, no_human
2020-01-14 15:51:09:936,-0.02131116,1.7697321.641923
2020-01-14 15:51:09:980,-0.02133865,1.7697441.641916
2020-01-14 15:51:10:025,-0.0213655,1.7697581.641905
2020-01-14 15:51:10:072,-0.0214943,1.7697771.641796
2020-01-14 15:51:10:109,-0.02192768,1.7697711.641623
2020-01-14 15:51:10:144,-0.02246377,1.769831.641453
2020-01-14 15:51:10:181,-0.02288946,1.7700171.641446
2020-01-14 15:51:10:223,-0.02325431,1.7701121.641316
2020-01-14 15:51:10:259,-0.02377136,1.7702381.641227
2020-01-14 15:51:10:296,-0.02440775,1.770191.641201
2020-01-14 15:51:10:336,-0.02545335,1.770271.640965
2020-01-14 15:51:10:373,-0.02579,1.7702991.640888
2020-01-14 15:51:10:415,-0.02610719,1.770171.640633
2020-01-14 15:51:10:456,-0.02607946,1.7701371.640377
2020-01-14 15:51:10:498,-0.02594648,1.7701711.640314
2020-01-14 15:51:10:536,-0.02430399,1.7699891.64054
2020-01-14 15:51:10:573,-0.02264428,1.7696861.640836
2020-01-14 15:51:10:608,-0.02063252,1.7690891.641319
2020-01-14 15:51:10:646,-0.01809175,1.7687511.642559
2020-01-14 15:51:10:687,-0.01523115,1.7685071.644356
2020-01-14 15:51:10:729,-0.01263038,1.7685071.646141
2020-01-14 15:51:10:773,-0.008680283,1.7681231.649549
2020-01-14 15:51:10:808,-0.007088246,1.7681731.65114
2020-01-14 15:51:10:844,-0.006245183,1.7681361.651901
2020-01-14 15:51:10:887,-0.005024359,1.768271.65316
2020-01-14 15:51:10:930,-0.003947132,1.7683151.654173
2020-01-14 15:51:10:976,-0.002731549,1.76841.655536
2020-01-14 15:51:11:019,-0.002194633,1.7684131.656106
2020-01-14 15:51:11:056,-0.001771926,1.7683571.656714
2020-01-14 15:51:11:091,-0.001208244,1.7682691.657351
2020-01-14 15:51:11:130,-0.0005698855,1.7683631.658286
2020-01-14 15:51:11:166,-2.753516E-05,1.7684331.658897
2020-01-14 15:51:11:205,0.0009906311,1.7685511.660046
2020-01-14 15:51:11:239,0.001900336,1.7685951.660911
2020-01-14 15:51:11:275,0.002257634,1.7685951.661354
2020-01-14 15:51:11:317,0.002496586,1.768531.661634
2020-01-14 15:51:11:358,0.002953901,1.7685061.662077
2020-01-14 15:51:11:399,0.003261318,1.7684551.662557
2020-01-14 15:51:11:445,0.003653779,1.7683271.663135
2020-01-14 15:51:11:488,0.003809842,1.7683821.663353
2020-01-14 15:51:11:535,0.004097058,1.7682961.663713
2020-01-14 15:51:11:569,0.004275814,1.7683811.664125
2020-01-14 15:51:11:607,0.004382469,1.7683231.664207
2020-01-14 15:51:11:650,0.004637268,1.7683061.664274
2020-01-14 15:51:11:687,0.005674432,1.7682031.664331
2020-01-14 15:51:11:727,0.01011911,1.7678691.664436
2020-01-14 15:51:11:769,0.02546389,1.7670411.664596
2020-01-14 15:51:11:788,0.02546389,1.7670411.664596
2020-01-14 15:51:11:830,0.03848163,1.76691.664626
2020-01-14 15:51:11:879,0.06458978,1.7661531.665599
2020-01-14 15:51:11:921,0.07900076,1.7662391.666583
2020-01-14 15:51:11:955,0.09331349,1.7666491.667521
2020-01-14 15:51:11:989,0.1070424,1.7659231.667459
2020-01-14 15:51:12:026,0.1187865,1.7652971.668331
2020-01-14 15:51:12:071,0.136466,1.764661.669653
2020-01-14 15:51:12:112,0.1427954,1.7645721.670512
2020-01-14 15:51:12:154,0.1479335,1.7639271.671498
2020-01-14 15:51:12:199,0.1503588,1.7640181.671842
2020-01-14 15:51:12:246,0.1547891,1.7645471.673633
2020-01-14 15:51:12:298,0.1558188,1.7646511.674843
2020-01-14 15:51:12:339,0.1565025,1.7647571.675796
2020-01-14 15:51:12:381,0.1565262,1.764911.67604
2020-01-14 15:51:12:436,0.1563995,1.7652531.676526
2020-01-14 15:51:12:480,0.1563069,1.7652831.676716
2020-01-14 15:51:12:529,0.1567475,1.7651371.676563
2020-01-14 15:51:12:572,0.1615886,1.7641491.675749
2020-01-14 15:51:12:614,0.1692048,1.7632021.674907
2020-01-14 15:51:12:654,0.1780412,1.760621.672907
2020-01-14 15:51:12:691,0.1871481,1.7590071.671298
2020-01-14 15:51:12:732,0.1979316,1.7560631.669599
2020-01-14 15:51:12:772,0.2167057,1.7513171.665373
2020-01-14 15:51:12:808,0.2241265,1.749331.664111
2020-01-14 15:51:12:850,0.2324152,1.7469761.662269
2020-01-14 15:51:12:894,0.2381378,1.7458211.661014
2020-01-14 15:51:12:943,0.2470969,1.7437781.657058
2020-01-14 15:51:12:985,0.2504129,1.7430631.6556
2020-01-14 15:51:13:019,0.2539111,1.7426031.653795
2020-01-14 15:51:13:059,0.2568861,1.7423671.652195
2020-01-14 15:51:13:108,0.2621537,1.7415681.649792
2020-01-14 15:51:13:155,0.2640856,1.7412251.648691
2020-01-14 15:51:13:199,0.2664433,1.7411661.647764
2020-01-14 15:51:13:237,0.2699049,1.7404981.64613
2020-01-14 15:51:13:279,0.271214,1.7401911.645341
2020-01-14 15:51:13:321,0.2725013,1.7401171.644798
2020-01-14 15:51:13:365,0.2737407,1.7398921.644275
2020-01-14 15:51:13:408,0.2750024,1.7400211.644007
2020-01-14 15:51:13:443,0.2751694,1.7400951.64404
2020-01-14 15:51:13:470,0.2752304,1.7401591.644182
2020-01-14 15:51:13:513,0.27502,1.7402491.644522
2020-01-14 15:51:13:554,0.2739534,1.7405341.645761
2020-01-14 15:51:13:595,0.2721191,1.7415021.647803
2020-01-14 15:51:13:636,0.2640118,1.743041.653889
2020-01-14 15:51:13:676,0.2578599,1.7445291.657845
2020-01-14 15:51:13:710,0.2506757,1.7461121.662081
2020-01-14 15:51:13:744,0.2420662,1.7474331.666542
2020-01-14 15:51:13:779,0.2310474,1.7484921.670798
2020-01-14 15:51:13:827,0.22234,1.7492921.674064
2020-01-14 15:51:13:865,0.2099381,1.7490431.678375
2020-01-14 15:51:13:903,0.1920185,1.7506841.685788
2020-01-14 15:51:13:943,0.1849218,1.7531421.689954
2020-01-14 15:51:13:976,0.1770868,1.7560311.695698
2020-01-14 15:51:14:014,0.1721286,1.7578481.700903
2020-01-14 15:51:14:058,0.1667906,1.7603451.70811
2020-01-14 15:51:14:095,0.1622483,1.7621441.714811
2020-01-14 15:51:14:135,0.159735,1.7641561.727291
2020-01-14 15:51:14:167,0.1603714,1.7648261.733982
2020-01-14 15:51:14:200,0.1625996,1.7649731.742553
2020-01-14 15:51:14:232,0.1674247,1.7657631.751698
2020-01-14 15:51:14:270,0.1745574,1.7654081.762885
2020-01-14 15:51:14:305,0.1849073,1.7646951.775657
2020-01-14 15:51:14:341,0.1980076,1.7628881.788579
2020-01-14 15:51:14:400,0.2088125,1.760621.801127
2020-01-14 15:51:14:469,0.243341,1.7553071.831133
2020-01-14 15:51:14:520,0.2865041,1.7489981.861161
2020-01-14 15:51:14:561,0.313745,1.7451861.879428
2020-01-14 15:51:14:596,0.3302301,1.7431651.890856
2020-01-14 15:51:14:630,0.3595506,1.7410841.909641
2020-01-14 15:51:14:665,0.377191,1.7423211.921255
2020-01-14 15:51:14:708,0.4130643,1.7485711.945462
