2019-12-10 22:45:41:051, no_human
2019-12-10 22:45:41:063, no_human
2019-12-10 22:45:41:343, no_human
2019-12-10 22:45:41:438, no_human
2019-12-10 22:45:41:466, no_human
2019-12-10 22:45:41:481, no_human
2019-12-10 22:45:41:498, no_human
2019-12-10 22:45:41:514, no_human
2019-12-10 22:45:41:561, no_human
2019-12-10 22:45:41:582, no_human
2019-12-10 22:45:41:593, no_human
2019-12-10 22:45:41:606, no_human
2019-12-10 22:45:41:622, no_human
2019-12-10 22:45:41:671, no_human
2019-12-10 22:45:41:699, no_human
2019-12-10 22:45:41:733, no_human
2019-12-10 22:45:41:764, no_human
2019-12-10 22:45:41:799, no_human
2019-12-10 22:45:41:832, no_human
2019-12-10 22:45:41:864, no_human
2019-12-10 22:45:41:894, no_human
2019-12-10 22:45:41:923, no_human
2019-12-10 22:45:41:954, no_human
2019-12-10 22:45:41:984, no_human
2019-12-10 22:45:41:991, no_human
2019-12-10 22:45:42:030, no_human
2019-12-10 22:45:42:065, no_human
2019-12-10 22:45:42:102, no_human
2019-12-10 22:45:42:137, no_human
2019-12-10 22:45:42:174, no_human
2019-12-10 22:45:42:242,3.521976,2.293711
2019-12-10 22:45:42:305,3.522191,2.293825
2019-12-10 22:45:42:355,3.522404,2.294037
2019-12-10 22:45:42:397,3.522447,2.294075
2019-12-10 22:45:42:442,3.52264,2.294456
2019-12-10 22:45:42:486,3.522703,2.294764
2019-12-10 22:45:42:539,3.522774,2.295064
2019-12-10 22:45:42:586,3.522826,2.29556
2019-12-10 22:45:42:642,3.522766,2.295707
2019-12-10 22:45:42:685,3.522781,2.296572
2019-12-10 22:45:42:724,3.522806,2.296718
2019-12-10 22:45:42:772,3.522797,2.29683
2019-12-10 22:45:42:819,3.522806,2.297349
2019-12-10 22:45:42:862,3.522834,2.297641
2019-12-10 22:45:42:906,3.522837,2.298136
2019-12-10 22:45:42:948,3.522772,2.298495
2019-12-10 22:45:42:987,3.522996,2.298987
2019-12-10 22:45:43:035,3.523128,2.299528
2019-12-10 22:45:43:075,3.523668,2.300809
2019-12-10 22:45:43:121,3.524032,2.302217
2019-12-10 22:45:43:170,3.525068,2.303776
2019-12-10 22:45:43:215,3.527254,2.308391
