2019-12-10 22:45:41:051, no_human
2019-12-10 22:45:41:063, no_human
2019-12-10 22:45:41:343, no_human
2019-12-10 22:45:41:438, no_human
2019-12-10 22:45:41:466, no_human
2019-12-10 22:45:41:481, no_human
2019-12-10 22:45:41:498, no_human
2019-12-10 22:45:41:514, no_human
2019-12-10 22:45:41:561, no_human
2019-12-10 22:45:41:582, no_human
2019-12-10 22:45:41:593, no_human
2019-12-10 22:45:41:606, no_human
2019-12-10 22:45:41:622, no_human
2019-12-10 22:45:41:671, no_human
2019-12-10 22:45:41:699, no_human
2019-12-10 22:45:41:733, no_human
2019-12-10 22:45:41:764, no_human
2019-12-10 22:45:41:799, no_human
2019-12-10 22:45:41:832, no_human
2019-12-10 22:45:41:864, no_human
2019-12-10 22:45:41:894, no_human
2019-12-10 22:45:41:923, no_human
2019-12-10 22:45:41:954, no_human
2019-12-10 22:45:41:984, no_human
2019-12-10 22:45:41:991, no_human
2019-12-10 22:45:42:030, no_human
2019-12-10 22:45:42:065, no_human
2019-12-10 22:45:42:102, no_human
2019-12-10 22:45:42:137, no_human
2019-12-10 22:45:42:174, no_human
2019-12-10 22:45:42:242,-0.05197584,1.7064372.293711
2019-12-10 22:45:42:305,-0.05219102,1.7064042.293825
2019-12-10 22:45:42:355,-0.05240409,1.7062722.294037
2019-12-10 22:45:42:397,-0.05244683,1.7062762.294075
2019-12-10 22:45:42:442,-0.05264021,1.7064312.294456
2019-12-10 22:45:42:486,-0.05270277,1.7066052.294764
2019-12-10 22:45:42:539,-0.05277348,1.7066252.295064
2019-12-10 22:45:42:586,-0.05282641,1.706742.29556
2019-12-10 22:45:42:642,-0.05276572,1.7068082.295707
2019-12-10 22:45:42:685,-0.05278123,1.7068592.296572
2019-12-10 22:45:42:724,-0.05280556,1.7069492.296718
2019-12-10 22:45:42:772,-0.05279719,1.7069692.29683
2019-12-10 22:45:42:819,-0.05280577,1.7072022.297349
2019-12-10 22:45:42:862,-0.05283374,1.7073152.297641
2019-12-10 22:45:42:906,-0.05283697,1.7074732.298136
2019-12-10 22:45:42:948,-0.05277186,1.7076072.298495
2019-12-10 22:45:42:987,-0.05299565,1.7078862.298987
2019-12-10 22:45:43:035,-0.0531278,1.7080732.299528
2019-12-10 22:45:43:075,-0.05366796,1.7091662.300809
2019-12-10 22:45:43:121,-0.05403223,1.7101522.302217
2019-12-10 22:45:43:170,-0.05506759,1.7111872.303776
2019-12-10 22:45:43:215,-0.0572537,1.7152892.308391
2019-12-10 22:45:43:258,-0.05797584,1.717472.310222
2019-12-10 22:45:43:302,-0.05961025,1.7195692.312677
2019-12-10 22:45:43:345,-0.06205611,1.7248532.317016
2019-12-10 22:45:43:389,-0.06351479,1.7284332.320171
2019-12-10 22:45:43:438,-0.06420796,1.7302892.321704
2019-12-10 22:45:43:485,-0.06535381,1.7325272.32453
2019-12-10 22:45:43:531,-0.0658484,1.7339832.326067
2019-12-10 22:45:43:573,-0.06623301,1.7347352.327648
2019-12-10 22:45:43:619,-0.06653415,1.7364112.329115
2019-12-10 22:45:43:662,-0.0665966,1.7370412.329381
2019-12-10 22:45:43:703,-0.06658335,1.7375162.329532
2019-12-10 22:45:43:748,-0.06639019,1.7381022.328866
2019-12-10 22:45:43:788,-0.06631492,1.7390852.327702
2019-12-10 22:45:43:833,-0.06550267,1.7400132.325958
2019-12-10 22:45:43:874,-0.06443567,1.7408422.324102
2019-12-10 22:45:43:925,-0.05910043,1.7447262.316741
2019-12-10 22:45:43:968,-0.05384308,1.7454492.310682
2019-12-10 22:45:44:014,-0.03792826,1.745662.300299
2019-12-10 22:45:44:053,-0.02341709,1.7451242.296482
2019-12-10 22:45:44:107,-0.009201895,1.7429982.293459
2019-12-10 22:45:44:152,0.03304797,1.7377862.291758
2019-12-10 22:45:44:201,0.05836621,1.7361132.292099
2019-12-10 22:45:44:259,0.1082626,1.7265132.299921
2019-12-10 22:45:44:305,0.1254402,1.7215372.306274
2019-12-10 22:45:44:362,0.1666168,1.7123992.315817
2019-12-10 22:45:44:403,0.1954509,1.7046072.323385
2019-12-10 22:45:44:460,0.2214628,1.716852.332208
2019-12-10 22:45:44:504,0.2345593,1.7221942.337446
2019-12-10 22:45:44:546,0.2662272,1.7292532.34261
2019-12-10 22:45:44:590,0.280557,1.7310972.343524
2019-12-10 22:45:44:632,0.2956947,1.7336912.3435
2019-12-10 22:45:44:693,0.32736,1.7374852.340235
2019-12-10 22:45:44:737,0.3435738,1.739892.336735
2019-12-10 22:45:44:794,0.3769403,1.7448912.326519
2019-12-10 22:45:44:843,0.3960637,1.7462782.320486
2019-12-10 22:45:44:890,0.4341033,1.7487522.306582
2019-12-10 22:45:44:933,0.4518641,1.7514852.300649
2019-12-10 22:45:44:981,0.4931417,1.7580592.282637
2019-12-10 22:45:45:025,0.4940323,1.7718222.286732
2019-12-10 22:45:45:073,0.4997561,1.7837272.282332
2019-12-10 22:45:45:128,0.5390095,1.8000282.26382
2019-12-10 22:45:45:172,0.5542737,1.8050022.25844
2019-12-10 22:45:45:212,0.5819927,1.8132542.252536
2019-12-10 22:45:45:257,0.6144315,1.8149722.257694
2019-12-10 22:45:45:308,0.6324797,1.8155892.262153
2019-12-10 22:45:45:358,0.6619231,1.8168442.280278
2019-12-10 22:45:45:400,0.6700151,1.8192172.287199
2019-12-10 22:45:45:444,0.6909971,1.8158122.320004
2019-12-10 22:45:45:491,0.6886734,1.8140282.330442
2019-12-10 22:45:45:562,0.6894033,1.8084122.36342
2019-12-10 22:45:45:608,0.6914507,1.8033852.385934
2019-12-10 22:45:45:660,0.6793739,1.7904472.429048
2019-12-10 22:45:45:726,0.6638322,1.7781192.475056
2019-12-10 22:45:45:774,0.660196,1.7762592.484193
2019-12-10 22:45:45:823,0.6554437,1.771282.508118
2019-12-10 22:45:45:865,0.6555608,1.7706892.514465
2019-12-10 22:45:45:919,0.6559631,1.7670042.535857
2019-12-10 22:45:45:959,0.6589724,1.7655482.544092
2019-12-10 22:45:46:009,0.6610169,1.7644282.550057
2019-12-10 22:45:46:056,0.6654521,1.7580162.576669
2019-12-10 22:45:46:102,0.6672264,1.7541572.595168
2019-12-10 22:45:46:156,0.6733927,1.7399342.617667
2019-12-10 22:45:46:201,0.6668897,1.7284922.648653
2019-12-10 22:45:46:259,0.6770409,1.7097992.679996
2019-12-10 22:45:46:311,0.6852646,1.7019512.694855
2019-12-10 22:45:46:357,0.704411,1.6998532.733031
2019-12-10 22:45:46:397,0.7136249,1.7006372.750302
2019-12-10 22:45:46:439,0.7291533,1.7016632.781546
2019-12-10 22:45:46:477,0.735892,1.7011862.793904
2019-12-10 22:45:46:522,0.7410554,1.7014472.803847
2019-12-10 22:45:46:565,0.7454838,1.7013372.813389
2019-12-10 22:45:46:611,0.7507464,1.7009692.824949
2019-12-10 22:45:46:660,0.7451135,1.6968372.837452
2019-12-10 22:45:46:699,0.7440099,1.694532.839578
2019-12-10 22:45:46:739,0.7440115,1.6913832.8406
2019-12-10 22:45:46:792,0.7450473,1.6868222.842433
2019-12-10 22:45:46:836,0.7474438,1.6843392.841981
2019-12-10 22:45:46:890,0.7644034,1.6873752.836598
2019-12-10 22:45:46:932,0.7672541,1.6870282.835736
2019-12-10 22:45:46:974,0.7712471,1.6860392.834297
2019-12-10 22:45:47:011,0.7741774,1.6863132.834488
2019-12-10 22:45:47:057,0.7767195,1.6865012.834618
2019-12-10 22:45:47:100,0.7791769,1.6860582.835312
2019-12-10 22:45:47:152,0.7823521,1.6861112.837099
2019-12-10 22:45:47:194,0.7831199,1.6860572.837693
2019-12-10 22:45:47:235,0.7849646,1.6864212.838445
2019-12-10 22:45:47:286,0.787333,1.6864592.840932
2019-12-10 22:45:47:335,0.7885222,1.6862582.841526
2019-12-10 22:45:47:377,0.7889743,1.6863762.843295
2019-12-10 22:45:47:423,0.7894239,1.6865062.844203
2019-12-10 22:45:47:462,0.7889962,1.6861132.845273
2019-12-10 22:45:47:500,0.7899567,1.6860732.846562
2019-12-10 22:45:47:541,0.7888887,1.6856852.850173
2019-12-10 22:45:47:590,0.7886395,1.6852422.852206
2019-12-10 22:45:47:630,0.7888312,1.6844682.853751
2019-12-10 22:45:47:671,0.7886019,1.6841192.855488
2019-12-10 22:45:47:707,0.7879735,1.6846372.861118
2019-12-10 22:45:47:759,0.7880285,1.6844352.862059
2019-12-10 22:45:47:799,0.787915,1.6844952.864859
2019-12-10 22:45:47:842,0.7889796,1.684432.867587
2019-12-10 22:45:47:891,0.7893212,1.6842492.869647
2019-12-10 22:45:47:934,0.7895293,1.6841992.870926
2019-12-10 22:45:47:979,0.7896603,1.6838942.872372
2019-12-10 22:45:48:023,0.7895668,1.6838612.874117
2019-12-10 22:45:48:062,0.7906834,1.6839272.875504
2019-12-10 22:45:48:102,0.791169,1.6839032.8759
2019-12-10 22:45:48:156,0.7929941,1.6837362.876882
2019-12-10 22:45:48:196,0.7935725,1.6839542.877604
2019-12-10 22:45:48:238,0.7947028,1.684022.878573
2019-12-10 22:45:48:296,0.7966633,1.6841252.88037
2019-12-10 22:45:48:339,0.7989448,1.6842452.881595
2019-12-10 22:45:48:388,0.7989857,1.684082.88166
2019-12-10 22:45:48:434,0.7995428,1.6840032.881902
2019-12-10 22:45:48:487,0.8006116,1.6836552.882775
2019-12-10 22:45:48:528,0.8010371,1.6835322.88348
2019-12-10 22:45:48:565,0.8022577,1.6836362.884281
2019-12-10 22:45:48:606,0.8027186,1.6832362.884467
2019-12-10 22:45:48:645,0.803175,1.6832442.88478
2019-12-10 22:45:48:688,0.8031121,1.6831222.88482
2019-12-10 22:45:48:731,0.8039314,1.6830442.884881
2019-12-10 22:45:48:768,0.8043404,1.6828012.885048
2019-12-10 22:45:48:808,0.8047251,1.6827752.88517
2019-12-10 22:45:48:857,0.8050037,1.6828782.885314
2019-12-10 22:45:48:901,0.8049451,1.682732.885354
2019-12-10 22:45:48:945,0.8052591,1.6825312.884979
2019-12-10 22:45:48:989,0.8053597,1.6825882.885031
2019-12-10 22:45:49:032,0.8053569,1.6824862.885072
2019-12-10 22:45:49:078,0.8055258,1.6823222.88503
2019-12-10 22:45:49:123,0.8057281,1.6823392.884914
2019-12-10 22:45:49:164,0.805485,1.6823122.884755
2019-12-10 22:45:49:201,0.8054984,1.6822252.884629
2019-12-10 22:45:49:238,0.8055693,1.6822582.884793
2019-12-10 22:45:49:289,0.805514,1.6822562.88492
2019-12-10 22:45:49:328,0.8051097,1.682152.88514
2019-12-10 22:45:49:366,0.8051574,1.6821032.88507
2019-12-10 22:45:49:404,0.8052799,1.6820932.885282
2019-12-10 22:45:49:456,0.8052022,1.6821392.885502
2019-12-10 22:45:49:501,0.8052338,1.6820572.885739
2019-12-10 22:45:49:544,0.8055719,1.6822842.886083
2019-12-10 22:45:49:589,0.8057582,1.6822052.886301
2019-12-10 22:45:49:627,0.8057208,1.6821712.886315
2019-12-10 22:45:49:664,0.8054293,1.6821392.886828
2019-12-10 22:45:49:705,0.8055162,1.6821992.886926
2019-12-10 22:45:49:746,0.8055974,1.682212.887049
2019-12-10 22:45:49:788,0.8052644,1.6822462.88733
2019-12-10 22:45:49:828,0.8041882,1.6820812.88778
2019-12-10 22:45:49:866,0.8040158,1.682072.888035
2019-12-10 22:45:49:922,0.8037712,1.6819652.888242
2019-12-10 22:45:49:959,0.8038074,1.6820182.888206
2019-12-10 22:45:50:003,0.8039033,1.6820482.888224
2019-12-10 22:45:50:056,0.8039985,1.6820412.888254
2019-12-10 22:45:50:095,0.803988,1.6820912.888452
2019-12-10 22:45:50:132,0.8045463,1.6822372.88867
2019-12-10 22:45:50:173,0.8041254,1.6820762.888988
2019-12-10 22:45:50:231,0.8035803,1.6818842.888862
2019-12-10 22:45:50:266,0.8038618,1.6819592.888701
2019-12-10 22:45:50:305,0.8042484,1.6819622.888547
2019-12-10 22:45:50:356,0.8042917,1.681992.888602
2019-12-10 22:45:50:398,0.804357,1.6819372.888627
2019-12-10 22:45:50:434,0.8050516,1.6820672.888108
2019-12-10 22:45:50:472,0.8050612,1.6819932.888104
2019-12-10 22:45:50:518,0.8052438,1.6819442.887979
2019-12-10 22:45:50:566,0.8047494,1.6818252.887752
2019-12-10 22:45:50:621,0.8050756,1.6818842.887117
2019-12-10 22:45:50:657,0.8054856,1.6819872.887245
2019-12-10 22:45:50:695,0.8054795,1.6819562.887223
2019-12-10 22:45:50:734,0.8054682,1.6819232.887366
