2019-12-10 22:45:41:051, no_human
2019-12-10 22:45:41:063, no_human
2019-12-10 22:45:41:343, no_human
2019-12-10 22:45:41:438, no_human
2019-12-10 22:45:41:466, no_human
2019-12-10 22:45:41:481, no_human
2019-12-10 22:45:41:498, no_human
2019-12-10 22:45:41:514, no_human
2019-12-10 22:45:41:561, no_human
2019-12-10 22:45:41:582, no_human
2019-12-10 22:45:41:593, no_human
2019-12-10 22:45:41:606, no_human
2019-12-10 22:45:41:622, no_human
2019-12-10 22:45:41:671, no_human
2019-12-10 22:45:41:699, no_human
2019-12-10 22:45:41:733, no_human
2019-12-10 22:45:41:764, no_human
2019-12-10 22:45:41:799, no_human
2019-12-10 22:45:41:832, no_human
2019-12-10 22:45:41:864, no_human
2019-12-10 22:45:41:894, no_human
2019-12-10 22:45:41:923, no_human
2019-12-10 22:45:41:954, no_human
2019-12-10 22:45:41:984, no_human
2019-12-10 22:45:41:991, no_human
2019-12-10 22:45:42:030, no_human
2019-12-10 22:45:42:065, no_human
2019-12-10 22:45:42:102, no_human
2019-12-10 22:45:42:137, no_human
2019-12-10 22:45:42:174, no_human
2019-12-10 22:45:42:242,-0.07092447,0.9038819,1.897451,-0.06729904,1.234889,1.947508,-0.06337687,1.551548,1.982678,-0.05197584,1.706437,1.973711,-0.2532036,1.420842,1.958242,-0.2984276,1.144403,1.9201,-0.3010106,0.9127348,1.833788,-0.294695,0.8518479,1.819599,0.1363048,1.415614,1.95957,0.1755001,1.141322,1.932121,0.1731901,0.9105927,1.823262,0.163438,0.8503515,1.803729,-0.1591195,0.9091994,1.856737,-0.1540062,0.5215988,1.842055,-0.1383248,0.1424502,1.854258,-0.134736,0.1375248,1.696624,0.02023972,0.9067448,1.859018,0.04564925,0.4779662,1.835,0.07328743,0.05415452,1.848868,0.100312,0.05280221,1.753685,-0.06441496,1.47423,1.976344,-0.2870875,0.7823426,1.809687,-0.2420521,0.8654913,1.796704,0.1531253,0.7748883,1.784953,0.1146493,1.066425,1.78613
2019-12-10 22:45:42:305,-0.07102496,0.9039186,1.897599,-0.06734028,1.234947,1.947664,-0.06337169,1.551634,1.982841,-0.05219102,1.706404,1.973825,-0.2532547,1.420863,1.958239,-0.2986748,1.145063,1.919696,-0.3017729,0.9151049,1.833467,-0.295485,0.8529285,1.814604,0.1363383,1.415614,1.959751,0.1756443,1.141287,1.932158,0.1730602,0.9103724,1.823103,0.163469,0.850316,1.8059,-0.1592489,0.9092587,1.856989,-0.1538467,0.5209087,1.842152,-0.1387759,0.1411416,1.854258,-0.1350999,0.1362634,1.696662,0.02013121,0.9067659,1.859088,0.04570799,0.4782193,1.834954,0.08836278,0.07031322,1.858867,0.07302069,0.06203198,1.744969,-0.06442506,1.47431,1.976507,-0.2878699,0.7825978,1.807133,-0.2423107,0.8649845,1.798193,0.1514482,0.7717164,1.787929,0.1145557,1.072086,1.787684
2019-12-10 22:45:42:355,-0.071013,0.9039662,1.89774,-0.06734508,1.234974,1.947796,-0.06338888,1.551647,1.982973,-0.05240409,1.706272,1.974037,-0.2533237,1.420894,1.958275,-0.2986996,1.145422,1.919256,-0.3019085,0.9159147,1.832301,-0.295482,0.8550004,1.81073,0.136318,1.415646,1.959842,0.1756715,1.14124,1.93227,0.1729157,0.9099028,1.823328,0.1628959,0.8498559,1.806063,-0.1592436,0.9093103,1.857195,-0.1539802,0.5209066,1.842377,-0.1387652,0.1380818,1.854986,-0.1350713,0.1331237,1.697475,0.02015242,0.9068114,1.859189,0.04570115,0.4784818,1.834998,0.07724439,0.05892801,1.853353,0.1166533,0.05236292,1.768195,-0.06443898,1.474326,1.976638,-0.2899843,0.7866874,1.800722,-0.242113,0.8647621,1.797092,0.1532775,0.7745728,1.786716,0.1149238,1.061458,1.787412
2019-12-10 22:45:42:397,-0.07103298,0.9039721,1.897834,-0.06737293,1.234969,1.947842,-0.06342302,1.551637,1.982992,-0.05244683,1.706276,1.974075,-0.2533641,1.420908,1.958304,-0.2986989,1.145599,1.918893,-0.3021063,0.9167752,1.831658,-0.2959366,0.8552023,1.810582,0.1363043,1.415627,1.959859,0.1757269,1.141247,1.932433,0.1729181,0.9094248,1.823416,0.1628435,0.8498592,1.807192,-0.1592644,0.9093298,1.85732,-0.1537722,0.5199556,1.842598,-0.1386486,0.1376421,1.855645,-0.1349577,0.132625,1.698153,0.02013617,0.906806,1.859254,0.04570196,0.4784818,1.835017,0.07703052,0.05721378,1.853432,0.09879898,0.05370533,1.754262,-0.06447078,1.474317,1.976662,-0.2853952,0.7842559,1.801803,-0.2427852,0.8715793,1.801461,0.151745,0.7743592,1.785398,0.1148653,1.061194,1.787719
2019-12-10 22:45:42:442,-0.07098313,0.9040104,1.897898,-0.06733971,1.235,1.947879,-0.06340234,1.551661,1.983009,-0.05264021,1.706431,1.974456,-0.2533623,1.420947,1.958383,-0.2986247,1.145916,1.918532,-0.3018148,0.9169369,1.830718,-0.2940711,0.8556288,1.808666,0.1362815,1.415617,1.959918,0.175745,1.141259,1.93249,0.1728362,0.908962,1.823495,0.1627004,0.8493016,1.806998,-0.1591868,0.909404,1.857503,-0.1538048,0.5200981,1.842621,-0.1383851,0.1382318,1.855709,-0.1347004,0.1331706,1.698232,0.02016611,0.9068218,1.859259,0.04575731,0.478797,1.835018,0.07721476,0.05669343,1.854324,0.0959479,0.05487168,1.753194,-0.06444726,1.474343,1.976683,-0.2857404,0.7870765,1.797966,-0.2422045,0.8656368,1.798177,0.1536978,0.7753262,1.787135,0.1147135,1.060917,1.78738
2019-12-10 22:45:42:486,-0.0710292,0.9041297,1.89809,-0.06739294,1.235114,1.948071,-0.06346168,1.551772,1.983216,-0.05270277,1.706605,1.974764,-0.2533724,1.420997,1.958395,-0.2985261,1.14607,1.918184,-0.3007348,0.917289,1.82924,-0.2921166,0.8565735,1.80838,0.1364358,1.415746,1.96056,0.175685,1.141268,1.932972,0.1726859,0.9082041,1.823734,0.1623313,0.849255,1.807836,-0.1592215,0.909548,1.85778,-0.1537376,0.5201487,1.842847,-0.1378361,0.1376915,1.856143,-0.1339783,0.1325969,1.698696,0.02011634,0.9069172,1.859378,0.04578773,0.4789264,1.835063,0.08153422,0.05771315,1.859487,0.08883587,0.05793202,1.752843,-0.06450403,1.474454,1.976885,-0.2841516,0.7880803,1.799464,-0.2424789,0.8635555,1.79782,0.1525229,0.774903,1.788717,0.1149911,1.061624,1.788546
2019-12-10 22:45:42:539,-0.0709184,0.904195,1.898196,-0.06732401,1.235128,1.948145,-0.06342009,1.551754,1.983267,-0.05277348,1.706625,1.975064,-0.2533749,1.421005,1.958392,-0.2985519,1.146128,1.917997,-0.2998847,0.9166367,1.828379,-0.2911876,0.8569132,1.807764,0.1365542,1.41577,1.960757,0.175774,1.141271,1.933081,0.1725417,0.9082171,1.824001,0.1621695,0.8488364,1.807344,-0.1591043,0.9096411,1.857874,-0.1537217,0.5203834,1.84286,-0.1377135,0.1391643,1.856328,-0.1337993,0.1340232,1.698884,0.02021764,0.906951,1.859489,0.04580195,0.4789827,1.835096,0.07733108,0.05818117,1.855913,0.09358672,0.05561483,1.755856,-0.06445683,1.474442,1.976941,-0.2848779,0.7884735,1.799203,-0.2431827,0.859013,1.797136,0.1526816,0.7745391,1.787239,0.1147669,1.059836,1.788507
2019-12-10 22:45:42:586,-0.07080591,0.9042956,1.898313,-0.06725488,1.235183,1.948301,-0.0633943,1.551767,1.983484,-0.05282641,1.70674,1.97556,-0.2533353,1.421361,1.958613,-0.2983345,1.146415,1.917846,-0.2989478,0.9164228,1.827668,-0.2879713,0.8577783,1.809948,0.1367733,1.415704,1.961133,0.1758315,1.141158,1.933575,0.1722472,0.9077072,1.824181,0.1623623,0.849303,1.807637,-0.1589864,0.9098114,1.858005,-0.1538152,0.5201443,1.843023,-0.1378805,0.1396303,1.856059,-0.1338862,0.1344856,1.69864,0.02032393,0.9069902,1.859591,0.04582661,0.4791522,1.835217,0.07499726,0.05871248,1.8547,0.1030669,0.05780935,1.758381,-0.06441913,1.474466,1.97714,-0.2832696,0.7876976,1.803719,-0.237934,0.8679609,1.794794,0.1531541,0.7748345,1.787439,0.1153342,1.048945,1.789217
2019-12-10 22:45:42:642,-0.07074043,0.9042891,1.898332,-0.06718664,1.235175,1.948314,-0.06332405,1.551758,1.983489,-0.05276572,1.706808,1.975707,-0.2532599,1.421414,1.958596,-0.2980807,1.146779,1.917687,-0.2987235,0.9169072,1.82749,-0.2870251,0.8585739,1.809376,0.1368607,1.415619,1.961204,0.1757927,1.141015,1.933736,0.1722571,0.9077081,1.824204,0.1627145,0.848273,1.807506,-0.1589253,0.9098247,1.858029,-0.1538158,0.5201389,1.843022,-0.1379585,0.1400217,1.856258,-0.1339274,0.134868,1.698846,0.0203978,0.9069593,1.859602,0.04585043,0.4788811,1.83527,0.07372438,0.05753219,1.853951,0.1029626,0.05685043,1.758395,-0.06434926,1.474458,1.977147,-0.2814807,0.7918885,1.79836,-0.2375872,0.8707939,1.794788,0.151174,0.7711283,1.787301,0.1144454,1.066608,1.78784
2019-12-10 22:45:42:685,-0.0706899,0.9043161,1.898347,-0.06709167,1.235194,1.948377,-0.06316492,1.551755,1.98362,-0.05278123,1.706859,1.976572,-0.2532266,1.421467,1.958746,-0.2977906,1.14696,1.91764,-0.2979791,0.91637,1.827254,-0.2870509,0.8586909,1.811187,0.136911,1.415702,1.961429,0.1757979,1.140997,1.933873,0.172198,0.9079379,1.824427,0.1617339,0.8493752,1.807577,-0.1588542,0.9098936,1.858109,-0.1538573,0.5201808,1.843074,-0.1380915,0.1397944,1.856288,-0.1340386,0.134657,1.69891,0.02044859,0.9069464,1.859579,0.04588283,0.4789724,1.835332,0.073534,0.05725849,1.853833,0.09964561,0.05652869,1.756671,-0.06420752,1.474461,1.977259,-0.2820544,0.7924955,1.799505,-0.239333,0.8677063,1.796029,0.1516133,0.7744346,1.787239,0.1146303,1.058252,1.788409
