2019-12-10 22:45:41:051, no_human
2019-12-10 22:45:41:063, no_human
2019-12-10 22:45:41:343, no_human
2019-12-10 22:45:41:438, no_human
2019-12-10 22:45:41:466, no_human
2019-12-10 22:45:41:481, no_human
2019-12-10 22:45:41:498, no_human
2019-12-10 22:45:41:514, no_human
2019-12-10 22:45:41:561, no_human
2019-12-10 22:45:41:582, no_human
2019-12-10 22:45:41:593, no_human
2019-12-10 22:45:41:606, no_human
2019-12-10 22:45:41:622, no_human
2019-12-10 22:45:41:671, no_human
2019-12-10 22:45:41:699, no_human
2019-12-10 22:45:41:733, no_human
2019-12-10 22:45:41:764, no_human
2019-12-10 22:45:41:799, no_human
2019-12-10 22:45:41:832, no_human
2019-12-10 22:45:41:864, no_human
2019-12-10 22:45:41:894, no_human
2019-12-10 22:45:41:923, no_human
2019-12-10 22:45:41:954, no_human
2019-12-10 22:45:41:984, no_human
2019-12-10 22:45:41:991, no_human
2019-12-10 22:45:42:030, no_human
2019-12-10 22:45:42:065, no_human
2019-12-10 22:45:42:102, no_human
2019-12-10 22:45:42:137, no_human
2019-12-10 22:45:42:174, no_human
2019-12-10 22:45:42:242,-0.1790755,1.896118,-0.05745119,-0.182701,1.565112,-0.1075081,-0.1866231,1.248452,-0.1426781,-0.1980242,1.093563,-0.1337112,0.003203601,1.379158,-0.1182418,0.04842758,1.655597,-0.08009988,0.05101061,1.887265,0.006211817,0.04469499,1.948152,0.02040118,-0.3863048,1.384387,-0.11957,-0.4255002,1.658678,-0.09212059,-0.4231901,1.889407,0.01673812,-0.413438,1.949649,0.03627115,-0.09088047,1.890801,-0.0167374,-0.09599377,2.278401,-0.002054751,-0.1116752,2.65755,-0.01425833,-0.115264,2.662475,0.1433764,-0.2702397,1.893255,-0.01901788,-0.2956493,2.322034,0.005000412,-0.3232874,2.745846,-0.0088678,-0.350312,2.747198,0.08631521,-0.1855851,1.32577,-0.136344,0.03708753,2.017658,0.03031331,-0.007947892,1.934509,0.04329652,-0.4031253,2.025112,0.05504662,-0.3646493,2.033575,0.3838697,
2019-12-10 22:45:42:305,-0.178975,1.896081,-0.05759865,-0.1826597,1.565053,-0.1076639,-0.1866283,1.248366,-0.1428409,-0.197809,1.093596,-0.1338246,0.003254712,1.379137,-0.1182392,0.04867482,1.654938,-0.079696,0.05177286,1.884895,0.006532609,0.04548496,1.947072,0.02539605,-0.3863383,1.384386,-0.1197507,-0.4256443,1.658713,-0.09215754,-0.4230602,1.889628,0.01689667,-0.413469,1.949684,0.03410059,-0.09075114,1.890741,-0.01698917,-0.09615327,2.279091,-0.002151549,-0.1112241,2.658859,-0.01425833,-0.1149001,2.663737,0.143338,-0.2701312,1.893234,-0.01908785,-0.295708,2.321781,0.005045712,-0.3383628,2.729687,-0.01886648,-0.3230207,2.737968,0.09503096,-0.1855749,1.325691,-0.1365066,0.03786987,2.017402,0.0328669,-0.007689282,1.935016,0.04180676,-0.4014482,2.028284,0.0520708,-0.3645557,2.027914,0.3823158,
2019-12-10 22:45:42:355,-0.178987,1.896034,-0.05773979,-0.1826549,1.565027,-0.1077958,-0.1866111,1.248353,-0.142973,-0.1975959,1.093728,-0.1340371,0.003323734,1.379106,-0.1182745,0.04869965,1.654578,-0.07925552,0.05190849,1.884085,0.007699549,0.04548204,1.945,0.02927023,-0.386318,1.384354,-0.1198422,-0.4256715,1.65876,-0.09226972,-0.4229156,1.890097,0.01667196,-0.4128959,1.950144,0.03393692,-0.09075639,1.89069,-0.01719505,-0.09601976,2.279094,-0.002376735,-0.1112348,2.661918,-0.01498598,-0.1149287,2.666876,0.1425254,-0.2701524,1.893189,-0.01918906,-0.2957011,2.321518,0.00500232,-0.3272444,2.741072,-0.01335329,-0.3666533,2.747637,0.0718047,-0.185561,1.325674,-0.1366377,0.03998435,2.013313,0.03927821,-0.007886991,1.935238,0.04290837,-0.4032775,2.025427,0.05328435,-0.3649238,2.038542,0.3825883,
2019-12-10 22:45:42:397,-0.178967,1.896028,-0.05783373,-0.1826271,1.565031,-0.1078416,-0.186577,1.248363,-0.1429918,-0.1975532,1.093724,-0.1340745,0.003364146,1.379092,-0.1183042,0.04869887,1.654401,-0.07889324,0.05210629,1.883225,0.008342326,0.04593661,1.944798,0.02941829,-0.3863043,1.384373,-0.1198586,-0.425727,1.658753,-0.09243256,-0.4229181,1.890575,0.01658374,-0.4128435,1.950141,0.03280848,-0.09073557,1.89067,-0.01731962,-0.09622782,2.280045,-0.00259763,-0.1113514,2.662358,-0.01564485,-0.1150423,2.667375,0.1418466,-0.2701362,1.893194,-0.01925403,-0.295702,2.321518,0.004983366,-0.3270305,2.742786,-0.01343149,-0.348799,2.746295,0.08573765,-0.1855292,1.325683,-0.1366617,0.03539523,2.015744,0.03819746,-0.007214785,1.928421,0.03853911,-0.401745,2.025641,0.05460232,-0.3648653,2.038806,0.3822815,
2019-12-10 22:45:42:442,-0.1790169,1.89599,-0.05789834,-0.1826603,1.565,-0.1078786,-0.1865977,1.248339,-0.1430086,-0.1973598,1.093569,-0.1344556,0.003362268,1.379053,-0.1183828,0.04862472,1.654084,-0.07853156,0.05181476,1.883063,0.009281814,0.04407114,1.944371,0.03133386,-0.3862815,1.384383,-0.1199177,-0.425745,1.658741,-0.09248942,-0.4228362,1.891038,0.01650494,-0.4127004,1.950698,0.03300208,-0.09081322,1.890596,-0.01750284,-0.09619521,2.279902,-0.002620757,-0.1116149,2.661768,-0.01570863,-0.1152996,2.66683,0.1417678,-0.2701661,1.893178,-0.01925939,-0.2957573,2.321203,0.004982412,-0.3272148,2.743307,-0.01432353,-0.3459479,2.745128,0.08680588,-0.1855527,1.325657,-0.1366827,0.03574038,2.012923,0.04203397,-0.007795483,1.934363,0.04182333,-0.4036978,2.024674,0.05286497,-0.3647135,2.039083,0.3826195,
2019-12-10 22:45:42:486,-0.1789708,1.89587,-0.05808979,-0.1826071,1.564886,-0.1080714,-0.1865383,1.248228,-0.1432162,-0.1972972,1.093395,-0.1347634,0.003372401,1.379003,-0.1183949,0.04852614,1.65393,-0.07818395,0.05073476,1.882711,0.01075977,0.04211664,1.943427,0.03162056,-0.3864357,1.384254,-0.12056,-0.425685,1.658732,-0.09297174,-0.4226859,1.891796,0.01626569,-0.4123313,1.950745,0.03216451,-0.09077846,1.890452,-0.01778001,-0.09626241,2.279851,-0.002847016,-0.1121639,2.662309,-0.01614338,-0.1160217,2.667403,0.1413044,-0.2701163,1.893083,-0.01937789,-0.2957877,2.321074,0.004937232,-0.3315342,2.742287,-0.01948696,-0.3388359,2.742068,0.08715659,-0.185496,1.325546,-0.1368852,0.03415155,2.01192,0.04053646,-0.007521108,1.936445,0.04218024,-0.4025229,2.025097,0.05128342,-0.3649911,2.038376,0.3814539,
2019-12-10 22:45:42:539,-0.1790816,1.895805,-0.05819565,-0.182676,1.564872,-0.1081446,-0.1865799,1.248246,-0.1432673,-0.1972265,1.093375,-0.1350637,0.003374875,1.378995,-0.1183918,0.04855195,1.653872,-0.07799739,0.04988468,1.883363,0.01162082,0.04118764,1.943087,0.0322364,-0.3865542,1.38423,-0.1207567,-0.425774,1.65873,-0.09308094,-0.4225417,1.891783,0.01599914,-0.4121695,1.951164,0.03265625,-0.09089568,1.890359,-0.01787406,-0.09627831,2.279617,-0.002859771,-0.1122865,2.660836,-0.01632804,-0.1162007,2.665977,0.1411157,-0.2702176,1.893049,-0.01948911,-0.2958019,2.321017,0.004904449,-0.3273311,2.741819,-0.01591283,-0.3435867,2.744385,0.08414382,-0.1855432,1.325558,-0.1369407,0.03487787,2.011527,0.04079717,-0.006817341,1.940987,0.04286379,-0.4026816,2.025461,0.05276078,-0.3647669,2.040164,0.3814926,
2019-12-10 22:45:42:586,-0.1791941,1.895705,-0.05831319,-0.1827451,1.564818,-0.1083011,-0.1866057,1.248233,-0.1434835,-0.1971736,1.09326,-0.1355599,0.003335267,1.378639,-0.1186132,0.04833448,1.653585,-0.07784635,0.04894775,1.883577,0.01233238,0.03797135,1.942222,0.03005236,-0.3867733,1.384296,-0.1211328,-0.4258315,1.658842,-0.09357494,-0.4222472,1.892293,0.01581889,-0.4123623,1.950697,0.03236264,-0.09101357,1.890189,-0.01800519,-0.09618482,2.279856,-0.003022492,-0.1121195,2.66037,-0.01605886,-0.1161138,2.665514,0.1413599,-0.2703239,1.89301,-0.01959056,-0.2958266,2.320848,0.004783452,-0.3249972,2.741288,-0.01469952,-0.3530669,2.742191,0.08161861,-0.1855809,1.325534,-0.1371395,0.03326961,2.012302,0.03628069,-0.01206602,1.932039,0.04520589,-0.4031541,2.025166,0.05256122,-0.3653342,2.051055,0.3807833,
2019-12-10 22:45:42:642,-0.1792596,1.895711,-0.05833143,-0.1828134,1.564825,-0.1083142,-0.186676,1.248242,-0.1434887,-0.1972343,1.093192,-0.1357071,0.003259867,1.378586,-0.1185961,0.04808071,1.653221,-0.07768661,0.04872355,1.883093,0.01250964,0.03702512,1.941426,0.03062409,-0.3868607,1.384381,-0.1212037,-0.4257927,1.658985,-0.09373575,-0.4222571,1.892292,0.01579624,-0.4127145,1.951727,0.03249425,-0.09107468,1.890175,-0.01802868,-0.09618424,2.279861,-0.003021538,-0.1120415,2.659978,-0.0162583,-0.1160726,2.665132,0.1411541,-0.2703978,1.893041,-0.01960212,-0.2958504,2.321119,0.004729927,-0.3237244,2.742468,-0.01395088,-0.3529626,2.74315,0.08160466,-0.1856507,1.325543,-0.1371469,0.03148067,2.008111,0.04164022,-0.01241279,1.929206,0.04521221,-0.401174,2.028872,0.05269867,-0.3644454,2.033392,0.3821601,
2019-12-10 22:45:42:685,-0.1793101,1.895684,-0.05834657,-0.1829083,1.564806,-0.1083767,-0.1868351,1.248245,-0.1436196,-0.1972188,1.093141,-0.1365718,0.003226578,1.378533,-0.1187463,0.04779059,1.65304,-0.07764012,0.04797915,1.88363,0.0127458,0.0370509,1.941309,0.02881283,-0.386911,1.384298,-0.1214291,-0.4257979,1.659003,-0.0938732,-0.4221981,1.892062,0.01557297,-0.4117339,1.950625,0.03242356,-0.0911458,1.890106,-0.01810914,-0.09614269,2.279819,-0.00307411,-0.1119085,2.660206,-0.01628751,-0.1159614,2.665343,0.1410903,-0.2704486,1.893054,-0.01957887,-0.2958828,2.321028,0.004668415,-0.323534,2.742742,-0.01383334,-0.3496456,2.743471,0.08332938,-0.1857925,1.325539,-0.1372588,0.03205439,2.007504,0.04049522,-0.01066697,1.932294,0.04397124,-0.4016133,2.025566,0.05276138,-0.3646303,2.041748,0.381591,
