2019-12-10 22:48:39:564, no_human
2019-12-10 22:48:39:575, no_human
2019-12-10 22:48:39:822, no_human
2019-12-10 22:48:39:893, no_human
2019-12-10 22:48:39:910, no_human
2019-12-10 22:48:39:926, no_human
2019-12-10 22:48:39:943, no_human
2019-12-10 22:48:39:959, no_human
2019-12-10 22:48:39:976, no_human
2019-12-10 22:48:39:993, no_human
2019-12-10 22:48:40:009, no_human
2019-12-10 22:48:40:048, no_human
2019-12-10 22:48:40:056, no_human
2019-12-10 22:48:40:081, no_human
2019-12-10 22:48:40:089, no_human
2019-12-10 22:48:40:115, no_human
2019-12-10 22:48:40:123, no_human
2019-12-10 22:48:40:137, no_human
2019-12-10 22:48:40:154, no_human
2019-12-10 22:48:40:209, no_human
2019-12-10 22:48:40:247, no_human
2019-12-10 22:48:40:260, no_human
2019-12-10 22:48:40:288, no_human
2019-12-10 22:48:40:314, no_human
2019-12-10 22:48:40:322, no_human
2019-12-10 22:48:40:357, no_human
2019-12-10 22:48:40:382, no_human
2019-12-10 22:48:40:389, no_human
2019-12-10 22:48:40:425, no_human
2019-12-10 22:48:40:453, no_human
2019-12-10 22:48:40:461, no_human
2019-12-10 22:48:40:495, no_human
2019-12-10 22:48:40:522, no_human
2019-12-10 22:48:40:550, no_human
2019-12-10 22:48:40:557, no_human
2019-12-10 22:48:40:595, no_human
2019-12-10 22:48:40:626, no_human
2019-12-10 22:48:40:675,3.774622,2.14669
2019-12-10 22:48:40:713,3.760485,2.147859
2019-12-10 22:48:40:753,3.743386,2.146715
2019-12-10 22:48:40:785,3.7316,2.148138
2019-12-10 22:48:40:818,3.711622,2.148862
2019-12-10 22:48:40:851,3.69627,2.147525
2019-12-10 22:48:40:885,3.676009,2.146852
2019-12-10 22:48:40:918,3.655835,2.146549
2019-12-10 22:48:40:953,3.635506,2.144944
2019-12-10 22:48:40:988,3.61589,2.142564
2019-12-10 22:48:41:022,3.598083,2.14028
2019-12-10 22:48:41:057,3.579406,2.138463
2019-12-10 22:48:41:091,3.562894,2.138288
2019-12-10 22:48:41:132,3.548002,2.137929
2019-12-10 22:48:41:171,3.534995,2.138715
2019-12-10 22:48:41:207,3.51524,2.140242
2019-12-10 22:48:41:249,3.505136,2.143813
2019-12-10 22:48:41:283,3.498516,2.145901
2019-12-10 22:48:41:318,3.491904,2.147915
2019-12-10 22:48:41:353,3.486771,2.150175
2019-12-10 22:48:41:393,3.4825,2.151503
2019-12-10 22:48:41:427,3.479073,2.15395
2019-12-10 22:48:41:461,3.477202,2.155633
2019-12-10 22:48:41:495,3.476252,2.157538
2019-12-10 22:48:41:529,3.476166,2.158764
2019-12-10 22:48:41:566,3.477039,2.160819
2019-12-10 22:48:41:614,3.481531,2.164883
2019-12-10 22:48:41:657,3.485416,2.166984
