2019-12-10 22:48:39:564, no_human
2019-12-10 22:48:39:575, no_human
2019-12-10 22:48:39:822, no_human
2019-12-10 22:48:39:893, no_human
2019-12-10 22:48:39:910, no_human
2019-12-10 22:48:39:926, no_human
2019-12-10 22:48:39:943, no_human
2019-12-10 22:48:39:959, no_human
2019-12-10 22:48:39:976, no_human
2019-12-10 22:48:39:993, no_human
2019-12-10 22:48:40:009, no_human
2019-12-10 22:48:40:048, no_human
2019-12-10 22:48:40:056, no_human
2019-12-10 22:48:40:081, no_human
2019-12-10 22:48:40:089, no_human
2019-12-10 22:48:40:115, no_human
2019-12-10 22:48:40:123, no_human
2019-12-10 22:48:40:137, no_human
2019-12-10 22:48:40:154, no_human
2019-12-10 22:48:40:209, no_human
2019-12-10 22:48:40:247, no_human
2019-12-10 22:48:40:260, no_human
2019-12-10 22:48:40:288, no_human
2019-12-10 22:48:40:314, no_human
2019-12-10 22:48:40:322, no_human
2019-12-10 22:48:40:357, no_human
2019-12-10 22:48:40:382, no_human
2019-12-10 22:48:40:389, no_human
2019-12-10 22:48:40:425, no_human
2019-12-10 22:48:40:453, no_human
2019-12-10 22:48:40:461, no_human
2019-12-10 22:48:40:495, no_human
2019-12-10 22:48:40:522, no_human
2019-12-10 22:48:40:550, no_human
2019-12-10 22:48:40:557, no_human
2019-12-10 22:48:40:595, no_human
2019-12-10 22:48:40:626, no_human
2019-12-10 22:48:40:675,-0.3046225,1.7800452.14669
2019-12-10 22:48:40:713,-0.2904853,1.7784872.147859
2019-12-10 22:48:40:753,-0.2733863,1.7779642.146715
2019-12-10 22:48:40:785,-0.2615997,1.7771992.148138
2019-12-10 22:48:40:818,-0.2416218,1.776862.148862
2019-12-10 22:48:40:851,-0.2262704,1.7777672.147525
2019-12-10 22:48:40:885,-0.206009,1.7790662.146852
2019-12-10 22:48:40:918,-0.1858349,1.7808352.146549
2019-12-10 22:48:40:953,-0.1655062,1.7815662.144944
2019-12-10 22:48:40:988,-0.14589,1.7822092.142564
2019-12-10 22:48:41:022,-0.1280825,1.7815862.14028
2019-12-10 22:48:41:057,-0.1094057,1.7790192.138463
2019-12-10 22:48:41:091,-0.09289394,1.7794772.138288
2019-12-10 22:48:41:132,-0.07800188,1.7798042.137929
2019-12-10 22:48:41:171,-0.06499519,1.7800462.138715
2019-12-10 22:48:41:207,-0.04524015,1.780982.140242
2019-12-10 22:48:41:249,-0.03513594,1.7823082.143813
2019-12-10 22:48:41:283,-0.02851615,1.7823072.145901
2019-12-10 22:48:41:318,-0.02190428,1.7830342.147915
2019-12-10 22:48:41:353,-0.0167709,1.7829912.150175
2019-12-10 22:48:41:393,-0.01249959,1.7831072.151503
2019-12-10 22:48:41:427,-0.009072825,1.7833672.15395
2019-12-10 22:48:41:461,-0.007201664,1.7828582.155633
2019-12-10 22:48:41:495,-0.006252066,1.7830062.157538
2019-12-10 22:48:41:529,-0.006165517,1.783172.158764
2019-12-10 22:48:41:566,-0.007039017,1.7840342.160819
2019-12-10 22:48:41:614,-0.01153054,1.7853272.164883
2019-12-10 22:48:41:657,-0.01541639,1.786832.166984
2019-12-10 22:48:41:694,-0.01944656,1.7873932.169177
2019-12-10 22:48:41:733,-0.02383182,1.7883322.170708
2019-12-10 22:48:41:770,-0.02794421,1.7891012.171859
2019-12-10 22:48:41:814,-0.03608466,1.7903722.173453
2019-12-10 22:48:41:849,-0.03917149,1.7904542.173857
2019-12-10 22:48:41:883,-0.04342944,1.7909672.174205
2019-12-10 22:48:41:916,-0.0469681,1.7916382.174418
2019-12-10 22:48:41:951,-0.05070343,1.7920642.175238
2019-12-10 22:48:41:987,-0.05363388,1.7925862.1754
2019-12-10 22:48:42:031,-0.05727608,1.7926222.175411
2019-12-10 22:48:42:066,-0.06042574,1.7927092.175288
2019-12-10 22:48:42:100,-0.06385195,1.7927092.175185
2019-12-10 22:48:42:133,-0.06662653,1.7925822.175334
2019-12-10 22:48:42:183,-0.07038022,1.7932942.175711
2019-12-10 22:48:42:219,-0.0767618,1.7933582.176425
2019-12-10 22:48:42:253,-0.07990889,1.7933572.176723
2019-12-10 22:48:42:285,-0.08212186,1.7938382.176691
2019-12-10 22:48:42:318,-0.08477038,1.7945532.17654
2019-12-10 22:48:42:351,-0.08687764,1.7951992.176827
2019-12-10 22:48:42:385,-0.08854333,1.7957492.177023
2019-12-10 22:48:42:419,-0.08978209,1.7956982.176706
2019-12-10 22:48:42:457,-0.09110827,1.7955662.176664
2019-12-10 22:48:42:499,-0.09214516,1.7954672.176559
2019-12-10 22:48:42:533,-0.09313124,1.7955572.176531
2019-12-10 22:48:42:571,-0.0938555,1.7955622.176507
2019-12-10 22:48:42:613,-0.09558578,1.7958512.176749
2019-12-10 22:48:42:651,-0.09631342,1.7957882.176751
2019-12-10 22:48:42:685,-0.09709803,1.7956232.177002
2019-12-10 22:48:42:723,-0.09758922,1.795742.177066
2019-12-10 22:48:42:762,-0.0981207,1.795722.177027
2019-12-10 22:48:42:798,-0.09862496,1.795652.176992
2019-12-10 22:48:42:833,-0.098979,1.7956582.177083
2019-12-10 22:48:42:871,-0.09928549,1.7957042.177081
2019-12-10 22:48:42:912,-0.09985635,1.7958832.177124
2019-12-10 22:48:42:952,-0.1004395,1.7958782.176652
2019-12-10 22:48:42:985,-0.1010737,1.7958442.175997
2019-12-10 22:48:43:018,-0.1015195,1.7958482.175428
2019-12-10 22:48:43:052,-0.1022916,1.7961672.173785
2019-12-10 22:48:43:084,-0.103045,1.7965982.171482
2019-12-10 22:48:43:117,-0.1032695,1.7961882.168771
2019-12-10 22:48:43:152,-0.1032333,1.7964292.164692
2019-12-10 22:48:43:185,-0.1021858,1.7961242.161328
2019-12-10 22:48:43:218,-0.09921749,1.7951652.156056
2019-12-10 22:48:43:252,-0.0934963,1.7938632.150105
2019-12-10 22:48:43:284,-0.08596253,1.7917622.14494
2019-12-10 22:48:43:317,-0.07706151,1.7911222.140618
2019-12-10 22:48:43:352,-0.06416289,1.7891542.137074
2019-12-10 22:48:43:385,-0.04780728,1.7869352.133474
2019-12-10 22:48:43:419,-0.03320011,1.7846782.130176
2019-12-10 22:48:43:452,-0.01420886,1.7821072.127584
2019-12-10 22:48:43:492,0.005131218,1.7792112.125384
2019-12-10 22:48:43:524,0.02552713,1.7761012.124833
2019-12-10 22:48:43:562,0.04708907,1.7735712.124317
2019-12-10 22:48:43:596,0.07364622,1.7690122.125196
2019-12-10 22:48:43:629,0.09929089,1.7671542.125751
2019-12-10 22:48:43:664,0.125888,1.7645162.126601
2019-12-10 22:48:43:697,0.1511584,1.7651262.128436
2019-12-10 22:48:43:730,0.177715,1.7641672.129631
2019-12-10 22:48:43:778,0.2013219,1.7650352.131474
2019-12-10 22:48:43:815,0.2459412,1.77042.135825
2019-12-10 22:48:43:848,0.257574,1.7718312.137642
2019-12-10 22:48:43:885,0.2772167,1.7711472.140622
2019-12-10 22:48:43:926,0.2990066,1.774652.142273
2019-12-10 22:48:43:960,0.3246962,1.7711112.140087
2019-12-10 22:48:43:999,0.3392019,1.7691522.141072
2019-12-10 22:48:44:035,0.3554403,1.7678412.141746
2019-12-10 22:48:44:069,0.3715169,1.7675062.141938
2019-12-10 22:48:44:103,0.3868385,1.7681472.142438
2019-12-10 22:48:44:135,0.4018169,1.7674692.14128
2019-12-10 22:48:44:172,0.419496,1.7682432.141962
2019-12-10 22:48:44:216,0.4516476,1.7672462.141042
2019-12-10 22:48:44:255,0.4705301,1.7699252.140789
2019-12-10 22:48:44:287,0.488796,1.7698122.141281
2019-12-10 22:48:44:320,0.5088552,1.7723932.138631
2019-12-10 22:48:44:352,0.529683,1.7736032.139163
2019-12-10 22:48:44:385,0.5472034,1.7740342.137515
2019-12-10 22:48:44:420,0.5674467,1.7745982.134249
2019-12-10 22:48:44:453,0.5869808,1.7745642.132678
2019-12-10 22:48:44:485,0.6062777,1.775512.130316
2019-12-10 22:48:44:520,0.6291421,1.7775992.127471
2019-12-10 22:48:44:553,0.6473417,1.7797892.122909
2019-12-10 22:48:44:586,0.6689838,1.7832532.11755
2019-12-10 22:48:44:624,0.6856133,1.7879432.113808
2019-12-10 22:48:44:657,0.7061659,1.7878732.109896
2019-12-10 22:48:44:691,0.7284157,1.7908332.107561
2019-12-10 22:48:44:725,0.7327704,1.8027022.111587
2019-12-10 22:48:44:757,0.7318574,1.8159322.112117
2019-12-10 22:48:44:791,0.7294719,1.8262272.113864
2019-12-10 22:48:44:832,0.7425246,1.8304882.121981
2019-12-10 22:48:44:871,0.7594905,1.8313212.133868
2019-12-10 22:48:44:904,0.7795361,1.8328652.167373
2019-12-10 22:48:44:940,0.7795361,1.8328652.167373
2019-12-10 22:48:44:979,0.7862908,1.8341032.193771
2019-12-10 22:48:44:991,0.7862908,1.8341032.193771
2019-12-10 22:48:45:031,0.8060059,1.8147862.22566
2019-12-10 22:48:45:066,0.8165836,1.8063832.237738
2019-12-10 22:48:45:100,0.8201128,1.8035912.243847
2019-12-10 22:48:45:134,0.8204584,1.7932392.267549
2019-12-10 22:48:45:169,0.8195227,1.7853782.28686
2019-12-10 22:48:45:203,0.8235645,1.7763872.306817
2019-12-10 22:48:45:238,0.8236425,1.7661482.330869
2019-12-10 22:48:45:280,0.8115996,1.7614412.381938
2019-12-10 22:48:45:315,0.8099901,1.7669842.400177
2019-12-10 22:48:45:350,0.7971935,1.7611472.437438
2019-12-10 22:48:45:389,0.7822951,1.7643242.462713
2019-12-10 22:48:45:422,0.7747958,1.7686352.47545
2019-12-10 22:48:45:456,0.7620174,1.7660842.49538
2019-12-10 22:48:45:492,0.753854,1.7639862.513456
2019-12-10 22:48:45:525,0.7457167,1.7683552.516886
2019-12-10 22:48:45:563,0.7444158,1.7604432.545196
2019-12-10 22:48:45:597,0.733759,1.7600622.553618
2019-12-10 22:48:45:630,0.7260737,1.7522152.584373
2019-12-10 22:48:45:667,0.719501,1.749842.595351
2019-12-10 22:48:45:706,0.7139707,1.7515862.61044
2019-12-10 22:48:45:744,0.7077752,1.7590192.620949
2019-12-10 22:48:45:781,0.6991515,1.7445552.642189
2019-12-10 22:48:45:816,0.6838437,1.7415952.650223
2019-12-10 22:48:45:852,0.6781147,1.7380612.660683
2019-12-10 22:48:45:892,0.6716594,1.7324062.668271
2019-12-10 22:48:45:937,0.6693779,1.7280312.676035
2019-12-10 22:48:45:973,0.6648322,1.7240842.688791
2019-12-10 22:48:46:009,0.6619892,1.7216932.691791
2019-12-10 22:48:46:046,0.6609309,1.7181942.699574
2019-12-10 22:48:46:081,0.6609976,1.7133722.717945
2019-12-10 22:48:46:116,0.6616447,1.7096192.73428
2019-12-10 22:48:46:155,0.6636046,1.7083782.744672
2019-12-10 22:48:46:192,0.6646425,1.7101112.76714
2019-12-10 22:48:46:229,0.6686666,1.7112272.78401
2019-12-10 22:48:46:268,0.6710023,1.7117452.800003
2019-12-10 22:48:46:303,0.6743008,1.7113982.819084
2019-12-10 22:48:46:337,0.6814064,1.7056922.847222
2019-12-10 22:48:46:378,0.6838483,1.7015762.861062
2019-12-10 22:48:46:414,0.6840083,1.7019242.863688
2019-12-10 22:48:46:449,0.6862077,1.7001852.883065
2019-12-10 22:48:46:485,0.6816171,1.6951642.894591
2019-12-10 22:48:46:519,0.6814983,1.6947522.899153
2019-12-10 22:48:46:554,0.681086,1.6935472.903275
2019-12-10 22:48:46:594,0.6810173,1.6932432.90503
2019-12-10 22:48:46:631,0.6806833,1.6927762.906565
2019-12-10 22:48:46:667,0.6811778,1.693122.906769
2019-12-10 22:48:46:705,0.6812457,1.6932952.906859
2019-12-10 22:48:46:744,0.6822393,1.6943032.905975
2019-12-10 22:48:46:778,0.6828064,1.6950042.904719
2019-12-10 22:48:46:813,0.6861719,1.6983282.900096
2019-12-10 22:48:46:850,0.6875538,1.6998032.897919
2019-12-10 22:48:46:885,0.6912089,1.7027612.893984
2019-12-10 22:48:46:918,0.6949211,1.7051122.889326
2019-12-10 22:48:46:956,0.7029042,1.7090982.884446
2019-12-10 22:48:46:994,0.7038648,1.7096912.883804
2019-12-10 22:48:47:034,0.7030854,1.709622.883412
2019-12-10 22:48:47:068,0.7027119,1.709512.883348
2019-12-10 22:48:47:103,0.7043834,1.7103462.881438
2019-12-10 22:48:47:142,0.7051724,1.7109772.881444
2019-12-10 22:48:47:161,0.7051724,1.7109772.881444
2019-12-10 22:48:47:195,0.7048841,1.7108682.881998
2019-12-10 22:48:47:232,0.7043366,1.7106142.883058
2019-12-10 22:48:47:267,0.7078012,1.7119562.882539
2019-12-10 22:48:47:301,0.7088025,1.7118672.882791
2019-12-10 22:48:47:334,0.7097443,1.7121872.883551
2019-12-10 22:48:47:369,0.7085938,1.7115232.885506
2019-12-10 22:48:47:403,0.7075782,1.7110322.888106
2019-12-10 22:48:47:438,0.7122445,1.712772.889437
2019-12-10 22:48:47:474,0.7136713,1.7132082.889943
2019-12-10 22:48:47:493,0.7136713,1.7132082.889943
2019-12-10 22:48:47:530,0.7148228,1.7137632.889645
2019-12-10 22:48:47:564,0.7136759,1.7130372.891177
2019-12-10 22:48:47:597,0.7131033,1.712172.891587
2019-12-10 22:48:47:632,0.7128962,1.7119632.891636
2019-12-10 22:48:47:670,0.7139157,1.7122222.891585
2019-12-10 22:48:47:703,0.7140723,1.7120362.893127
2019-12-10 22:48:47:740,0.7140723,1.7120362.893127
2019-12-10 22:48:47:776,0.714492,1.7119352.893414
2019-12-10 22:48:47:809,0.7146393,1.7116962.893615
2019-12-10 22:48:47:843,0.7148166,1.7116762.893656
2019-12-10 22:48:47:878,0.714685,1.7115842.893775
2019-12-10 22:48:47:912,0.7148727,1.7113362.894634
2019-12-10 22:48:47:946,0.7149298,1.7114112.894806
2019-12-10 22:48:47:983,0.7149067,1.7113472.895228
2019-12-10 22:48:48:021,0.7150862,1.7114022.895479
2019-12-10 22:48:48:056,0.7153117,1.7112912.895688
2019-12-10 22:48:48:098,0.7158028,1.7113892.895971
2019-12-10 22:48:48:132,0.7157603,1.7112672.895945
2019-12-10 22:48:48:168,0.7157506,1.7112312.895932
2019-12-10 22:48:48:202,0.7160092,1.7112642.89656
2019-12-10 22:48:48:235,0.7162229,1.7112632.896695
2019-12-10 22:48:48:269,0.7162211,1.7112742.896567
2019-12-10 22:48:48:308,0.7164819,1.7110512.896778
2019-12-10 22:48:48:353,0.7166042,1.7104842.896816
2019-12-10 22:48:48:394,0.7168539,1.7104772.897265
2019-12-10 22:48:48:428,0.7181419,1.7109912.897417
2019-12-10 22:48:48:462,0.7185547,1.7111032.897705
2019-12-10 22:48:48:497,0.7189527,1.7108242.897841
2019-12-10 22:48:48:536,0.7194541,1.7109962.898097
2019-12-10 22:48:48:569,0.7196912,1.7108952.898181
2019-12-10 22:48:48:602,0.7208158,1.7112162.898167
2019-12-10 22:48:48:635,0.7222456,1.7114562.898164
2019-12-10 22:48:48:677,0.7226379,1.7112392.898156
2019-12-10 22:48:48:710,0.7238662,1.7113822.897705
2019-12-10 22:48:48:746,0.7241921,1.7114062.89795
2019-12-10 22:48:48:782,0.7244862,1.7112922.897981
2019-12-10 22:48:48:822,0.7249542,1.7111412.897745
2019-12-10 22:48:48:858,0.7254246,1.7111662.897579
2019-12-10 22:48:48:898,0.7259558,1.7112052.897515
2019-12-10 22:48:48:932,0.7261772,1.7112382.897307
2019-12-10 22:48:48:969,0.7265601,1.7108472.897495
2019-12-10 22:48:49:002,0.7269046,1.710142.897585
2019-12-10 22:48:49:037,0.7268636,1.7101982.897593
2019-12-10 22:48:49:077,0.7276822,1.7102692.896647
2019-12-10 22:48:49:117,0.727695,1.7100982.896681
2019-12-10 22:48:49:150,0.7277766,1.7100282.8967
2019-12-10 22:48:49:186,0.727805,1.7100042.896711
2019-12-10 22:48:49:219,0.7275616,1.7095762.89699
2019-12-10 22:48:49:256,0.7274476,1.7094552.897001
2019-12-10 22:48:49:297,0.7282726,1.7098122.897431
2019-12-10 22:48:49:331,0.7282543,1.7098022.897453
2019-12-10 22:48:49:366,0.727968,1.7095742.897889
2019-12-10 22:48:49:410,0.7275251,1.709362.89882
2019-12-10 22:48:49:443,0.7275063,1.7090472.898989
2019-12-10 22:48:49:456,0.7275063,1.7090472.898989
2019-12-10 22:48:49:492,0.7273372,1.7088852.89909
2019-12-10 22:48:49:525,0.7271422,1.7087552.899103
2019-12-10 22:48:49:559,0.7269893,1.708642.899184
2019-12-10 22:48:49:594,0.7268485,1.7085412.899267
2019-12-10 22:48:49:632,0.7265939,1.7084022.899455
2019-12-10 22:48:49:668,0.7263816,1.7082312.899368
2019-12-10 22:48:49:701,0.7257682,1.7078912.899363
2019-12-10 22:48:49:735,0.725338,1.7075172.899251
2019-12-10 22:48:49:772,0.7247773,1.707172.899146
2019-12-10 22:48:49:811,0.7236619,1.7067582.898886
2019-12-10 22:48:49:846,0.7220637,1.7057652.899589
2019-12-10 22:48:49:880,0.7210361,1.7050772.900061
2019-12-10 22:48:49:913,0.7204328,1.7047332.900222
2019-12-10 22:48:49:946,0.7204761,1.7047882.899712
2019-12-10 22:48:49:979,0.7195091,1.7043912.899825
2019-12-10 22:48:50:012,0.7180703,1.7038932.899778
2019-12-10 22:48:50:048,0.7174672,1.7037042.899476
2019-12-10 22:48:50:084,0.7176961,1.7038662.899289
2019-12-10 22:48:50:121,0.7164614,1.7035142.899155
2019-12-10 22:48:50:160,0.7173706,1.7044122.897633
2019-12-10 22:48:50:195,0.717398,1.705262.896989
2019-12-10 22:48:50:231,0.7173418,1.7057942.896306
2019-12-10 22:48:50:270,0.7121065,1.7042092.896407
2019-12-10 22:48:50:309,0.7051459,1.7014922.894177
2019-12-10 22:48:50:333,0.7038051,1.7018932.89377
2019-12-10 22:48:50:352,0.7038051,1.7018932.89377
2019-12-10 22:48:50:390,0.7005159,1.7011272.892451
2019-12-10 22:48:50:424,0.6980661,1.7011772.891619
2019-12-10 22:48:50:457,0.6936221,1.700012.892341
2019-12-10 22:48:50:493,0.6877325,1.6987812.892869
2019-12-10 22:48:50:526,0.682634,1.6976372.892331
2019-12-10 22:48:50:560,0.6779554,1.6971572.892853
2019-12-10 22:48:50:592,0.6735145,1.6968872.892668
2019-12-10 22:48:50:625,0.6667578,1.6957612.891759
2019-12-10 22:48:50:659,0.6606278,1.6953332.890538
2019-12-10 22:48:50:697,0.6554731,1.6947872.889893
2019-12-10 22:48:50:731,0.6487552,1.6907062.887786
2019-12-10 22:48:50:770,0.6401622,1.6912192.88736
2019-12-10 22:48:50:803,0.6224174,1.6914822.884054
2019-12-10 22:48:50:839,0.6224174,1.6914822.884054
2019-12-10 22:48:50:887,0.5984812,1.6872442.881769
2019-12-10 22:48:50:923,0.5854948,1.6856792.879644
2019-12-10 22:48:50:956,0.5701439,1.6840992.877519
2019-12-10 22:48:50:990,0.5564941,1.6822522.874112
2019-12-10 22:48:51:029,0.5143536,1.6747552.867141
