2019-12-10 22:48:39:564, no_human
2019-12-10 22:48:39:575, no_human
2019-12-10 22:48:39:822, no_human
2019-12-10 22:48:39:893, no_human
2019-12-10 22:48:39:910, no_human
2019-12-10 22:48:39:926, no_human
2019-12-10 22:48:39:943, no_human
2019-12-10 22:48:39:959, no_human
2019-12-10 22:48:39:976, no_human
2019-12-10 22:48:39:993, no_human
2019-12-10 22:48:40:009, no_human
2019-12-10 22:48:40:048, no_human
2019-12-10 22:48:40:056, no_human
2019-12-10 22:48:40:081, no_human
2019-12-10 22:48:40:089, no_human
2019-12-10 22:48:40:115, no_human
2019-12-10 22:48:40:123, no_human
2019-12-10 22:48:40:137, no_human
2019-12-10 22:48:40:154, no_human
2019-12-10 22:48:40:209, no_human
2019-12-10 22:48:40:247, no_human
2019-12-10 22:48:40:260, no_human
2019-12-10 22:48:40:288, no_human
2019-12-10 22:48:40:314, no_human
2019-12-10 22:48:40:322, no_human
2019-12-10 22:48:40:357, no_human
2019-12-10 22:48:40:382, no_human
2019-12-10 22:48:40:389, no_human
2019-12-10 22:48:40:425, no_human
2019-12-10 22:48:40:453, no_human
2019-12-10 22:48:40:461, no_human
2019-12-10 22:48:40:495, no_human
2019-12-10 22:48:40:522, no_human
2019-12-10 22:48:40:550, no_human
2019-12-10 22:48:40:557, no_human
2019-12-10 22:48:40:595, no_human
2019-12-10 22:48:40:626, no_human
2019-12-10 22:48:40:675,-0.2726949,0.9271653,1.802249,-0.275656,1.286869,1.81734,-0.2761933,1.629096,1.816648,-0.3046225,1.780045,1.82669,-0.456585,1.499638,1.87976,-0.4955723,1.202444,1.87255,-0.5328527,0.9840809,1.787294,-0.5457121,0.913584,1.766712,-0.1144923,1.490019,1.788429,-0.02208619,1.252465,1.821089,-0.08763881,1.064993,1.685274,-0.1464385,1.012217,1.651184,-0.3452575,0.9337218,1.774876,-0.3418415,0.5269942,1.731594,-0.3268117,0.1211551,1.749692,-0.3190167,0.1171344,1.653053,-0.1874713,0.928544,1.746807,-0.1018426,0.4981287,1.732141,-0.02265337,0.1407524,1.773492,-0.0525081,0.1169194,1.624687,-0.2764411,1.54585,1.819315,-0.544426,0.8365108,1.749758,-0.5745169,0.914372,1.750727,-0.1965134,0.991424,1.567685,-0.2050437,1.285032,1.644795
2019-12-10 22:48:40:713,-0.2653245,0.9191882,1.805786,-0.2653391,1.282941,1.819948,-0.2614846,1.629115,1.818216,-0.2904853,1.778487,1.827859,-0.4457842,1.49968,1.879137,-0.4844834,1.206148,1.871825,-0.5226322,0.986355,1.784684,-0.522929,0.9134315,1.761818,-0.1019561,1.488864,1.791704,-0.01496305,1.250283,1.82364,-0.08200198,1.064612,1.687001,-0.1378746,1.014234,1.650823,-0.3384522,0.9263737,1.777817,-0.3407021,0.526722,1.731838,-0.3268965,0.1217523,1.750137,-0.3190584,0.1176293,1.652974,-0.1798329,0.9203196,1.750543,-0.09734231,0.49015,1.741389,-0.02152722,0.1344112,1.778626,-0.05046448,0.112583,1.62901,-0.2629565,1.544822,1.821178,-0.5226296,0.8375796,1.743478,-0.5395132,0.9390557,1.714125,-0.1818239,0.9909176,1.570511,-0.1955068,1.287911,1.649143
2019-12-10 22:48:40:753,-0.2583438,0.9136819,1.810002,-0.255371,1.279786,1.823011,-0.2486268,1.628453,1.81983,-0.2733863,1.777964,1.826715,-0.434035,1.500118,1.878437,-0.4743886,1.207811,1.870659,-0.5111622,0.9885399,1.782054,-0.510887,0.9159051,1.761589,-0.0886892,1.487442,1.793893,-0.005993817,1.248493,1.826108,-0.07724059,1.066549,1.687376,-0.1423448,1.024964,1.650176,-0.3320904,0.9215461,1.781096,-0.3388124,0.525791,1.732385,-0.3266829,0.1220757,1.751392,-0.319524,0.1183111,1.651724,-0.1725259,0.9143556,1.755504,-0.09525581,0.4852183,1.747153,-0.02126755,0.1325894,1.780188,-0.0493938,0.1118924,1.630073,-0.2507716,1.54355,1.823189,-0.5099843,0.8364074,1.742423,-0.5457976,0.8992531,1.757,-0.1672695,0.9887097,1.574152,-0.211736,1.271928,1.645046
2019-12-10 22:48:40:785,-0.2515132,0.9098857,1.813142,-0.2442153,1.277006,1.825332,-0.2333763,1.627017,1.820796,-0.2615997,1.777199,1.828138,-0.4183559,1.499147,1.87811,-0.4597909,1.207631,1.871002,-0.4990659,0.9895734,1.7817,-0.4981117,0.9176554,1.759698,-0.07324459,1.486699,1.796173,0.003953381,1.245274,1.828986,-0.05018996,1.056009,1.693008,-0.1213782,1.012174,1.656388,-0.3252428,0.9175974,1.78451,-0.3359579,0.5254099,1.733119,-0.3265877,0.1205015,1.751531,-0.3021233,0.1090732,1.672749,-0.1660463,0.910915,1.75813,-0.09280765,0.4800774,1.751632,-0.02135935,0.1312643,1.781135,-0.04879624,0.1111819,1.630757,-0.2364825,1.541791,1.824533,-0.498266,0.8383499,1.738964,-0.5212722,0.9237205,1.728361,-0.1521351,0.9845836,1.575912,-0.1213256,1.224498,1.557625
2019-12-10 22:48:40:818,-0.2422828,0.9108641,1.817409,-0.2317086,1.277786,1.828093,-0.2186721,1.627191,1.821788,-0.2416218,1.77686,1.828862,-0.4054393,1.498511,1.87853,-0.4462936,1.209134,1.870185,-0.4845966,0.9892789,1.778346,-0.4852762,0.9191468,1.758323,-0.05668956,1.486056,1.798932,0.01671119,1.243858,1.832186,-0.03989093,1.056586,1.695026,-0.1158072,1.014792,1.657731,-0.3165645,0.9184536,1.788362,-0.3309869,0.5235541,1.734791,-0.3258825,0.1194132,1.751249,-0.3054504,0.1108723,1.666042,-0.1566998,0.9119833,1.762622,-0.09065343,0.4778178,1.755063,-0.0222267,0.128216,1.782842,-0.04881532,0.1087191,1.632085,-0.2222322,1.542174,1.825974,-0.4845493,0.8376505,1.737696,-0.5149505,0.9286815,1.750056,-0.1371049,0.9799702,1.578133,-0.183221,1.261706,1.649072
2019-12-10 22:48:40:851,-0.2320701,0.9129877,1.820538,-0.2176532,1.278402,1.829944,-0.2008459,1.625799,1.822318,-0.2262704,1.777767,1.827525,-0.388516,1.493067,1.874752,-0.4331951,1.209656,1.870308,-0.4743836,0.9900892,1.777078,-0.4686252,0.9211584,1.753157,-0.04200615,1.484443,1.800041,0.03225726,1.242476,1.833875,-0.03032111,1.058159,1.696233,-0.1073302,1.015429,1.659383,-0.3072141,0.9198076,1.790804,-0.3264871,0.5228732,1.735799,-0.3255576,0.118633,1.750491,-0.3061769,0.1104711,1.665717,-0.1460437,0.9148489,1.766391,-0.08777998,0.474969,1.757781,-0.02279356,0.125415,1.784227,-0.04827014,0.1066189,1.633116,-0.2053411,1.54134,1.82684,-0.4705271,0.8385857,1.732044,-0.495224,0.9360843,1.733433,-0.1222184,0.9767525,1.577777,-0.1739824,1.261,1.6516
2019-12-10 22:48:40:885,-0.2209269,0.9134171,1.824163,-0.2034295,1.278124,1.831888,-0.1841969,1.624964,1.82255,-0.206009,1.779066,1.826852,-0.372294,1.493815,1.874986,-0.4163502,1.210848,1.872101,-0.4582861,0.9888591,1.776232,-0.4569971,0.919583,1.751766,-0.02662555,1.482968,1.802176,0.04627935,1.240705,1.835095,-0.01229766,1.056244,1.69661,-0.08747514,1.007999,1.663577,-0.2961631,0.9205612,1.794176,-0.3190255,0.520863,1.738276,-0.3229353,0.1166321,1.749598,-0.3074517,0.11237,1.65754,-0.13539,0.9148974,1.77016,-0.08386547,0.4753407,1.760554,-0.02253105,0.1237589,1.785914,-0.04748999,0.1056033,1.63469,-0.1892195,1.540628,1.827501,-0.4568114,0.8398088,1.729391,-0.4806689,0.9190063,1.7095,-0.1028179,0.9679014,1.582766,-0.1539185,1.257083,1.652976
2019-12-10 22:48:40:918,-0.2079485,0.9172053,1.827493,-0.1879141,1.279688,1.833754,-0.1662977,1.624281,1.823216,-0.1858349,1.780835,1.826549,-0.3595575,1.492845,1.876053,-0.4010971,1.211772,1.873365,-0.4446906,0.9953349,1.778564,-0.4426228,0.9207298,1.751115,-0.007348967,1.483594,1.805613,0.06104207,1.242199,1.835645,-0.003180275,1.057747,1.699974,-0.07672905,1.009444,1.666796,-0.2837645,0.9237977,1.796808,-0.3121886,0.5199264,1.740016,-0.3222474,0.1165168,1.747756,-0.3097946,0.1129742,1.654814,-0.1224342,0.9190552,1.774178,-0.07783831,0.4740137,1.763518,-0.02223755,0.1222458,1.786509,-0.04625406,0.1051024,1.634953,-0.1719004,1.540513,1.828453,-0.4441705,0.8436298,1.726969,-0.4687084,0.9265314,1.727385,-0.08714894,0.9645982,1.582917,-0.1465463,1.253343,1.65523
2019-12-10 22:48:40:953,-0.1971088,0.9157702,1.828505,-0.1740148,1.278242,1.83384,-0.1500118,1.623174,1.822394,-0.1655062,1.781566,1.824944,-0.3409735,1.493032,1.875571,-0.3848227,1.214803,1.874543,-0.4287467,1.001148,1.77914,-0.4289831,0.9211473,1.7486,0.01017708,1.48322,1.807997,0.07653004,1.241253,1.835353,0.000237679,1.052009,1.695143,-0.04459247,1.007096,1.671629,-0.2742609,0.9237887,1.797243,-0.3022503,0.5075938,1.741575,-0.3211247,0.1135669,1.745268,-0.3127904,0.1099476,1.653095,-0.1105372,0.9160266,1.775826,-0.06738288,0.4826638,1.765767,-0.02211077,0.1204201,1.786525,-0.04618814,0.1056376,1.634635,-0.1561392,1.53929,1.827851,-0.4295037,0.8451308,1.726665,-0.449422,0.9351929,1.718885,-0.0630904,0.953216,1.586414,-0.1127891,1.275216,1.661581
2019-12-10 22:48:40:988,-0.1838282,0.9152429,1.831319,-0.1592479,1.277817,1.835817,-0.134166,1.622962,1.823672,-0.14589,1.782209,1.822564,-0.3254547,1.49421,1.875956,-0.369379,1.218709,1.878392,-0.4159012,0.9995528,1.781356,-0.4148263,0.9215975,1.750875,0.0262599,1.482762,1.811703,0.09100015,1.241437,1.836249,0.004819215,1.046434,1.695393,-0.04464989,0.9997802,1.672268,-0.2617306,0.9239383,1.798971,-0.2942097,0.509526,1.743739,-0.3205577,0.1126132,1.744748,-0.3154143,0.1098127,1.651792,-0.09728923,0.9149028,1.779674,-0.06072732,0.4866061,1.766967,-0.02218338,0.1183289,1.787367,-0.04272892,0.1063637,1.634116,-0.1405253,1.539016,1.829294,-0.4139429,0.8446807,1.728156,-0.4273126,0.9262806,1.716817,-0.04950761,0.9500797,1.587234,-0.1134681,1.252186,1.658661
