2019-12-10 22:48:39:564, no_human
2019-12-10 22:48:39:575, no_human
2019-12-10 22:48:39:822, no_human
2019-12-10 22:48:39:893, no_human
2019-12-10 22:48:39:910, no_human
2019-12-10 22:48:39:926, no_human
2019-12-10 22:48:39:943, no_human
2019-12-10 22:48:39:959, no_human
2019-12-10 22:48:39:976, no_human
2019-12-10 22:48:39:993, no_human
2019-12-10 22:48:40:009, no_human
2019-12-10 22:48:40:048, no_human
2019-12-10 22:48:40:056, no_human
2019-12-10 22:48:40:081, no_human
2019-12-10 22:48:40:089, no_human
2019-12-10 22:48:40:115, no_human
2019-12-10 22:48:40:123, no_human
2019-12-10 22:48:40:137, no_human
2019-12-10 22:48:40:154, no_human
2019-12-10 22:48:40:209, no_human
2019-12-10 22:48:40:247, no_human
2019-12-10 22:48:40:260, no_human
2019-12-10 22:48:40:288, no_human
2019-12-10 22:48:40:314, no_human
2019-12-10 22:48:40:322, no_human
2019-12-10 22:48:40:357, no_human
2019-12-10 22:48:40:382, no_human
2019-12-10 22:48:40:389, no_human
2019-12-10 22:48:40:425, no_human
2019-12-10 22:48:40:453, no_human
2019-12-10 22:48:40:461, no_human
2019-12-10 22:48:40:495, no_human
2019-12-10 22:48:40:522, no_human
2019-12-10 22:48:40:550, no_human
2019-12-10 22:48:40:557, no_human
2019-12-10 22:48:40:595, no_human
2019-12-10 22:48:40:626, no_human
2019-12-10 22:48:40:675,0.02269486,1.872835,0.03775078,0.02565596,1.513131,0.02265972,0.02619332,1.170904,0.02335173,0.05462247,1.019955,0.01331025,0.206585,1.300362,-0.03975946,0.2455723,1.597556,-0.03255004,0.2828527,1.815919,0.05270606,0.2957121,1.886416,0.07328802,-0.1355077,1.309981,0.05157119,-0.2279138,1.547535,0.01891154,-0.1623612,1.735007,0.1547258,-0.1035615,1.787783,0.1888162,0.09525752,1.866278,0.06512421,0.09184146,2.273006,0.1084059,0.07681173,2.678845,0.09030837,0.06901672,2.682866,0.186947,-0.06252874,1.871456,0.09319311,-0.1481574,2.301871,0.1078587,-0.2273466,2.659248,0.066508,-0.1974919,2.683081,0.2153127,0.02644113,1.25415,0.0206849,0.294426,1.963489,0.09024256,0.3245169,1.885628,0.08927268,-0.05348659,1.808576,0.2723154,-0.0449563,1.814968,0.525205,
2019-12-10 22:48:40:713,0.01532447,1.880812,0.03421456,0.01533911,1.51706,0.02005225,0.01148462,1.170885,0.02178437,0.04048526,1.021513,0.01214141,0.1957842,1.30032,-0.03913659,0.2344834,1.593852,-0.03182477,0.2726322,1.813645,0.05531627,0.272929,1.886569,0.0781818,-0.1480439,1.311136,0.04829615,-0.235037,1.549717,0.01635987,-0.167998,1.735389,0.1529991,-0.1121254,1.785766,0.1891773,0.08845225,1.873626,0.06218296,0.09070206,2.273278,0.1081616,0.07689646,2.678248,0.08986324,0.06905839,2.682371,0.187026,-0.07016709,1.87968,0.08945662,-0.1526577,2.30985,0.0986113,-0.2284728,2.665589,0.06137425,-0.1995355,2.687417,0.21099,0.01295653,1.255178,0.0188219,0.2726296,1.96242,0.09652239,0.2895132,1.860944,0.1258751,-0.06817606,1.809082,0.2694888,-0.05449323,1.812089,0.5208572,
2019-12-10 22:48:40:753,0.008343786,1.886318,0.02999848,0.005371004,1.520214,0.01698869,-0.001373202,1.171547,0.02017039,0.0233863,1.022037,0.0132851,0.184035,1.299882,-0.03843671,0.2243886,1.592189,-0.03065938,0.2611622,1.81146,0.05794626,0.260887,1.884095,0.0784108,-0.1613108,1.312558,0.04610759,-0.2440062,1.551507,0.01389223,-0.1727594,1.733451,0.1526236,-0.1076552,1.775036,0.1898238,0.08209038,1.878454,0.05890387,0.08881241,2.274209,0.1076148,0.07668293,2.677924,0.08860832,0.06952402,2.681689,0.1882759,-0.07747412,1.885644,0.08449572,-0.1547442,2.314782,0.09284693,-0.2287325,2.667411,0.05981237,-0.2006062,2.688108,0.2099269,0.0007716119,1.25645,0.01681119,0.2599843,1.963593,0.0975768,0.2957976,1.900747,0.083,-0.08273046,1.81129,0.2658486,-0.03826398,1.828072,0.5249543,
2019-12-10 22:48:40:785,0.001513153,1.890114,0.02685803,-0.00578469,1.522994,0.01466805,-0.01662371,1.172983,0.0192036,0.01159972,1.022802,0.01186234,0.1683559,1.300853,-0.03811032,0.2097909,1.592369,-0.03100163,0.2490659,1.810427,0.0583002,0.2481117,1.882345,0.08030206,-0.1767554,1.313301,0.043827,-0.2539534,1.554726,0.01101428,-0.19981,1.743991,0.1469919,-0.1286218,1.787827,0.1836119,0.07524276,1.882403,0.05548984,0.08595794,2.27459,0.1068806,0.07658774,2.679499,0.08846921,0.05212331,2.690927,0.1672508,-0.08395372,1.889085,0.08186978,-0.1571923,2.319923,0.08836824,-0.2286406,2.668736,0.05886465,-0.2012038,2.688818,0.2092435,-0.01351745,1.258209,0.01546735,0.248266,1.96165,0.1010361,0.2712722,1.87628,0.1116393,-0.0978649,1.815416,0.2640881,-0.1286744,1.875502,0.6123747,
2019-12-10 22:48:40:818,-0.007717192,1.889136,0.02259082,-0.01829141,1.522214,0.01190752,-0.03132793,1.172809,0.01821178,-0.008378163,1.02314,0.01113838,0.1554393,1.301489,-0.03852993,0.1962936,1.590867,-0.03018504,0.2345966,1.810721,0.06165367,0.2352762,1.880853,0.08167714,-0.1933104,1.313944,0.04106814,-0.2667112,1.556142,0.007814348,-0.2101091,1.743414,0.1449745,-0.1341928,1.785208,0.1822687,0.06656453,1.881546,0.05163771,0.08098689,2.276446,0.1052093,0.07588252,2.680587,0.0887509,0.05545044,2.689128,0.1739576,-0.09330022,1.888017,0.07737762,-0.1593466,2.322182,0.08493751,-0.2277733,2.671784,0.0571577,-0.2011847,2.691281,0.2079152,-0.02776782,1.257826,0.01402611,0.2345493,1.96235,0.1023045,0.2649505,1.871319,0.08994442,-0.1128951,1.82003,0.2618673,-0.06677899,1.838294,0.5209281,
2019-12-10 22:48:40:851,-0.01792988,1.887012,0.01946229,-0.03234683,1.521598,0.01005632,-0.04915409,1.174201,0.01768225,-0.02372962,1.022233,0.01247495,0.138516,1.306933,-0.03475159,0.1831951,1.590344,-0.03030783,0.2243836,1.809911,0.06292218,0.2186252,1.878842,0.0868426,-0.2079939,1.315557,0.03995937,-0.2822573,1.557524,0.006124914,-0.2196789,1.741841,0.1437668,-0.1426698,1.784571,0.1806172,0.05721414,1.880193,0.04919595,0.07648706,2.277127,0.1042011,0.07555756,2.681367,0.08950871,0.0561769,2.689529,0.1742828,-0.1039563,1.885151,0.07360917,-0.16222,2.325031,0.08221895,-0.2272064,2.674585,0.0557732,-0.2017299,2.693381,0.2068841,-0.04465887,1.25866,0.01316041,0.2205271,1.961414,0.107956,0.245224,1.863916,0.1065667,-0.1277816,1.823248,0.2622229,-0.07601762,1.839,0.5183995,
2019-12-10 22:48:40:885,-0.0290731,1.886583,0.01583749,-0.04657051,1.521876,0.008112133,-0.06580314,1.175037,0.01745027,-0.04399101,1.020934,0.01314837,0.122294,1.306185,-0.0349862,0.1663502,1.589152,-0.03210086,0.2082861,1.811141,0.06376761,0.2069971,1.880417,0.08823436,-0.2233745,1.317032,0.03782374,-0.2962793,1.559295,0.004905164,-0.2377023,1.743756,0.1433905,-0.1625248,1.792001,0.1764228,0.04616314,1.879439,0.04582399,0.06902555,2.279137,0.101724,0.07293534,2.683368,0.09040242,0.0574517,2.68763,0.1824604,-0.11461,1.885103,0.06983989,-0.1661345,2.324659,0.07944602,-0.227469,2.676241,0.05408603,-0.20251,2.694397,0.2053105,-0.06078051,1.259372,0.01249892,0.2068114,1.960191,0.110609,0.2306689,1.880994,0.1305001,-0.1471821,1.832099,0.2572339,-0.09608154,1.842917,0.5170242,
2019-12-10 22:48:40:918,-0.04205152,1.882795,0.01250678,-0.06208594,1.520313,0.006245673,-0.08370233,1.175719,0.01678413,-0.06416507,1.019166,0.01345104,0.1095575,1.307155,-0.03605276,0.1510971,1.588228,-0.03336459,0.1946906,1.804665,0.06143647,0.1926228,1.87927,0.08888537,-0.242651,1.316406,0.03438693,-0.3110421,1.557801,0.004354775,-0.2468197,1.742253,0.1400263,-0.1732709,1.790556,0.1732038,0.03376454,1.876202,0.04319257,0.0621886,2.280074,0.09998411,0.07224742,2.683483,0.09224445,0.0597946,2.687026,0.1851866,-0.1275658,1.880945,0.0658223,-0.1721617,2.325986,0.07648164,-0.2277624,2.677754,0.05349118,-0.2037459,2.694898,0.2050466,-0.07809956,1.259487,0.01154739,0.1941705,1.95637,0.1130314,0.2187084,1.873469,0.1126153,-0.1628511,1.835402,0.2570826,-0.1034537,1.846657,0.5147698,
2019-12-10 22:48:40:953,-0.05289124,1.88423,0.0114947,-0.07598518,1.521758,0.006159604,-0.09998819,1.176826,0.0176062,-0.0844938,1.018434,0.01505607,0.09097347,1.306968,-0.03557056,0.1348227,1.585197,-0.03454334,0.1787467,1.798852,0.06086034,0.1789831,1.878853,0.09140021,-0.2601771,1.31678,0.03200358,-0.32653,1.558748,0.004646838,-0.2502377,1.747991,0.1448566,-0.2054075,1.792904,0.1683711,0.02426088,1.876211,0.04275697,0.05225033,2.292406,0.09842473,0.07112473,2.686433,0.09473234,0.06279036,2.690053,0.1869052,-0.1394628,1.883973,0.06417447,-0.1826171,2.317336,0.074233,-0.2278892,2.67958,0.05347484,-0.2038119,2.694363,0.2053646,-0.09386083,1.26071,0.01214868,0.1795037,1.954869,0.1133354,0.199422,1.864807,0.1211154,-0.1869096,1.846784,0.2535856,-0.1372109,1.824784,0.5084192,
2019-12-10 22:48:40:988,-0.06617175,1.884757,0.008681476,-0.09075207,1.522184,0.004182756,-0.115834,1.177038,0.01632851,-0.10411,1.017791,0.01743597,0.07545465,1.30579,-0.03595632,0.119379,1.581291,-0.03839189,0.1659012,1.800447,0.05864424,0.1648263,1.878402,0.08912498,-0.2762599,1.317239,0.02829677,-0.3410001,1.558563,0.003750741,-0.2548192,1.753566,0.144607,-0.2053501,1.80022,0.1677321,0.01173061,1.876062,0.0410288,0.04420972,2.290474,0.09626061,0.07055774,2.687387,0.09525186,0.06541428,2.690187,0.1882079,-0.1527108,1.885097,0.06032604,-0.1892727,2.313394,0.07303351,-0.2278166,2.681671,0.05263335,-0.2072711,2.693636,0.2058837,-0.1094747,1.260984,0.01070613,0.1639429,1.955319,0.1118445,0.1773126,1.873719,0.123183,-0.2004924,1.84992,0.252766,-0.1365319,1.847814,0.5113389,
