2019-12-10 22:07:56:685, no_human
2019-12-10 22:07:56:696, no_human
2019-12-10 22:07:56:968, no_human
2019-12-10 22:07:57:047, no_human
2019-12-10 22:07:57:064, no_human
2019-12-10 22:07:57:080, no_human
2019-12-10 22:07:57:097, no_human
2019-12-10 22:07:57:113, no_human
2019-12-10 22:07:57:131, no_human
2019-12-10 22:07:57:146, no_human
2019-12-10 22:07:57:163, no_human
2019-12-10 22:07:57:179, no_human
2019-12-10 22:07:57:220, no_human
2019-12-10 22:07:57:238, no_human
2019-12-10 22:07:57:245, no_human
2019-12-10 22:07:57:261, no_human
2019-12-10 22:07:57:276, no_human
2019-12-10 22:07:57:329, no_human
2019-12-10 22:07:57:360, no_human
2019-12-10 22:07:57:386, no_human
2019-12-10 22:07:57:415, no_human
2019-12-10 22:07:57:421, no_human
2019-12-10 22:07:57:459, no_human
2019-12-10 22:07:57:485, no_human
2019-12-10 22:07:57:517, no_human
2019-12-10 22:07:57:528, no_human
2019-12-10 22:07:57:564, no_human
2019-12-10 22:07:57:591, no_human
2019-12-10 22:07:57:619, no_human
2019-12-10 22:07:57:629, no_human
2019-12-10 22:07:57:664, no_human
2019-12-10 22:07:57:693, no_human
2019-12-10 22:07:57:725, no_human
2019-12-10 22:07:57:756, no_human
2019-12-10 22:07:57:765, no_human
2019-12-10 22:07:57:827,3.602074,2.378309
2019-12-10 22:07:57:875,3.605494,2.367667
2019-12-10 22:07:57:920,3.609103,2.351246
2019-12-10 22:07:57:962,3.608139,2.34196
2019-12-10 22:07:58:014,3.606356,2.335582
2019-12-10 22:07:58:055,3.597828,2.325478
2019-12-10 22:07:58:102,3.589899,2.320794
2019-12-10 22:07:58:143,3.580704,2.317202
2019-12-10 22:07:58:181,3.555983,2.313695
2019-12-10 22:07:58:217,3.541045,2.312241
2019-12-10 22:07:58:257,3.52648,2.313679
2019-12-10 22:07:58:297,3.513252,2.315109
2019-12-10 22:07:58:334,3.49929,2.315385
2019-12-10 22:07:58:377,3.489211,2.315524
2019-12-10 22:07:58:415,3.470707,2.31338
2019-12-10 22:07:58:454,3.462328,2.311728
2019-12-10 22:07:58:490,3.454469,2.309221
2019-12-10 22:07:58:527,3.443793,2.30397
2019-12-10 22:07:58:566,3.433495,2.300042
2019-12-10 22:07:58:610,3.421713,2.294355
2019-12-10 22:07:58:645,3.395502,2.284289
2019-12-10 22:07:58:684,3.382809,2.280812
2019-12-10 22:07:58:721,3.367709,2.279862
2019-12-10 22:07:58:766,3.361491,2.280353
2019-12-10 22:07:58:802,3.352977,2.282393
2019-12-10 22:07:58:841,3.346666,2.285696
2019-12-10 22:07:58:881,3.295373,2.311503
2019-12-10 22:07:58:895,3.295373,2.311503
2019-12-10 22:07:58:936,3.281265,2.317228
2019-12-10 22:07:58:974,3.259773,2.32917
2019-12-10 22:07:59:014,3.221069,2.354504
2019-12-10 22:07:59:070,3.204021,2.365357
2019-12-10 22:07:59:114,3.167342,2.387945
2019-12-10 22:07:59:150,3.150597,2.398068
2019-12-10 22:07:59:187,3.132394,2.408584
2019-12-10 22:07:59:222,3.114366,2.416809
2019-12-10 22:07:59:266,3.095895,2.425549
2019-12-10 22:07:59:302,3.078464,2.432709
2019-12-10 22:07:59:337,3.05974,2.439598
2019-12-10 22:07:59:375,3.044215,2.443013
2019-12-10 22:07:59:414,3.002356,2.451999
2019-12-10 22:07:59:452,2.982064,2.453162
2019-12-10 22:07:59:493,2.960056,2.453025
2019-12-10 22:07:59:541,2.936964,2.450643
2019-12-10 22:07:59:577,2.887797,2.439812
2019-12-10 22:07:59:614,2.863746,2.432074
2019-12-10 22:07:59:650,2.837262,2.421707
2019-12-10 22:07:59:687,2.81499,2.411525
2019-12-10 22:07:59:728,2.785995,2.402159
2019-12-10 22:07:59:768,2.755497,2.389269
2019-12-10 22:07:59:805,2.732946,2.381173
2019-12-10 22:07:59:843,2.691506,2.367829
2019-12-10 22:07:59:880,2.670514,2.362649
2019-12-10 22:07:59:915,2.649843,2.360599
2019-12-10 22:07:59:956,2.62947,2.356321
2019-12-10 22:07:59:996,2.610579,2.354639
2019-12-10 22:08:00:036,2.595891,2.352423
2019-12-10 22:08:00:080,2.564268,2.350049
