2019-12-10 22:07:56:685, no_human
2019-12-10 22:07:56:696, no_human
2019-12-10 22:07:56:968, no_human
2019-12-10 22:07:57:047, no_human
2019-12-10 22:07:57:064, no_human
2019-12-10 22:07:57:080, no_human
2019-12-10 22:07:57:097, no_human
2019-12-10 22:07:57:113, no_human
2019-12-10 22:07:57:131, no_human
2019-12-10 22:07:57:146, no_human
2019-12-10 22:07:57:163, no_human
2019-12-10 22:07:57:179, no_human
2019-12-10 22:07:57:220, no_human
2019-12-10 22:07:57:238, no_human
2019-12-10 22:07:57:245, no_human
2019-12-10 22:07:57:261, no_human
2019-12-10 22:07:57:276, no_human
2019-12-10 22:07:57:329, no_human
2019-12-10 22:07:57:360, no_human
2019-12-10 22:07:57:386, no_human
2019-12-10 22:07:57:415, no_human
2019-12-10 22:07:57:421, no_human
2019-12-10 22:07:57:459, no_human
2019-12-10 22:07:57:485, no_human
2019-12-10 22:07:57:517, no_human
2019-12-10 22:07:57:528, no_human
2019-12-10 22:07:57:564, no_human
2019-12-10 22:07:57:591, no_human
2019-12-10 22:07:57:619, no_human
2019-12-10 22:07:57:629, no_human
2019-12-10 22:07:57:664, no_human
2019-12-10 22:07:57:693, no_human
2019-12-10 22:07:57:725, no_human
2019-12-10 22:07:57:756, no_human
2019-12-10 22:07:57:765, no_human
2019-12-10 22:07:57:827,-0.132074,1.6984422.378309
2019-12-10 22:07:57:875,-0.1354945,1.7012172.367667
2019-12-10 22:07:57:920,-0.139103,1.7070242.351246
2019-12-10 22:07:57:962,-0.1381391,1.7093942.34196
2019-12-10 22:07:58:014,-0.1363557,1.7111372.335582
2019-12-10 22:07:58:055,-0.1278279,1.7135472.325478
2019-12-10 22:07:58:102,-0.1198992,1.7139452.320794
2019-12-10 22:07:58:143,-0.1107045,1.7137622.317202
2019-12-10 22:07:58:181,-0.08598319,1.7105742.313695
2019-12-10 22:07:58:217,-0.071045,1.7102952.312241
2019-12-10 22:07:58:257,-0.05647959,1.710692.313679
2019-12-10 22:07:58:297,-0.04325227,1.7106092.315109
2019-12-10 22:07:58:334,-0.02929035,1.7103252.315385
2019-12-10 22:07:58:377,-0.01921114,1.7113472.315524
2019-12-10 22:07:58:415,-0.0007066457,1.7142982.31338
2019-12-10 22:07:58:454,0.007672075,1.7174362.311728
2019-12-10 22:07:58:490,0.01553132,1.7200012.309221
2019-12-10 22:07:58:527,0.02620679,1.7217642.30397
2019-12-10 22:07:58:566,0.03650489,1.7230432.300042
2019-12-10 22:07:58:610,0.04828699,1.7216752.294355
2019-12-10 22:07:58:645,0.07449847,1.7134482.284289
2019-12-10 22:07:58:684,0.08719146,1.7097342.280812
2019-12-10 22:07:58:721,0.1022908,1.7059712.279862
2019-12-10 22:07:58:766,0.108509,1.7057882.280353
2019-12-10 22:07:58:802,0.1170233,1.7062022.282393
2019-12-10 22:07:58:841,0.123334,1.7140242.285696
2019-12-10 22:07:58:881,0.1746269,1.7136832.311503
2019-12-10 22:07:58:895,0.1746269,1.7136832.311503
2019-12-10 22:07:58:936,0.1887347,1.7194982.317228
2019-12-10 22:07:58:974,0.2102264,1.7175232.32917
2019-12-10 22:07:59:014,0.2489306,1.7149882.354504
2019-12-10 22:07:59:070,0.2659796,1.7142962.365357
2019-12-10 22:07:59:114,0.3026584,1.7146282.387945
2019-12-10 22:07:59:150,0.3194034,1.7168962.398068
2019-12-10 22:07:59:187,0.3376063,1.7176092.408584
2019-12-10 22:07:59:222,0.3556345,1.7185892.416809
2019-12-10 22:07:59:266,0.3741054,1.7205742.425549
2019-12-10 22:07:59:302,0.3915361,1.7220662.432709
2019-12-10 22:07:59:337,0.41026,1.7239952.439598
2019-12-10 22:07:59:375,0.4257847,1.723342.443013
2019-12-10 22:07:59:414,0.4676439,1.7221442.451999
2019-12-10 22:07:59:452,0.4879361,1.7197222.453162
2019-12-10 22:07:59:493,0.5099442,1.7169982.453025
2019-12-10 22:07:59:541,0.5330364,1.7134232.450643
2019-12-10 22:07:59:577,0.5822033,1.7034762.439812
2019-12-10 22:07:59:614,0.6062536,1.7011362.432074
2019-12-10 22:07:59:650,0.6327384,1.6968752.421707
2019-12-10 22:07:59:687,0.6550103,1.6958182.411525
2019-12-10 22:07:59:728,0.6840053,1.6965962.402159
2019-12-10 22:07:59:768,0.7145025,1.7014652.389269
2019-12-10 22:07:59:805,0.7370536,1.7060332.381173
2019-12-10 22:07:59:843,0.7784939,1.7143732.367829
2019-12-10 22:07:59:880,0.7994858,1.715872.362649
2019-12-10 22:07:59:915,0.8201575,1.7184982.360599
2019-12-10 22:07:59:956,0.8405302,1.7211772.356321
2019-12-10 22:07:59:996,0.8594215,1.7202032.354639
2019-12-10 22:08:00:036,0.8741084,1.722032.352423
2019-12-10 22:08:00:080,0.9057319,1.7187482.350049
2019-12-10 22:08:00:127,0.9217333,1.717682.3513
2019-12-10 22:08:00:178,0.9629455,1.6823232.322528
2019-12-10 22:08:00:213,0.9791461,1.6806932.326706
2019-12-10 22:08:00:257,0.9878663,1.6746132.329905
