2019-12-10 22:07:56:685, no_human
2019-12-10 22:07:56:696, no_human
2019-12-10 22:07:56:968, no_human
2019-12-10 22:07:57:047, no_human
2019-12-10 22:07:57:064, no_human
2019-12-10 22:07:57:080, no_human
2019-12-10 22:07:57:097, no_human
2019-12-10 22:07:57:113, no_human
2019-12-10 22:07:57:131, no_human
2019-12-10 22:07:57:146, no_human
2019-12-10 22:07:57:163, no_human
2019-12-10 22:07:57:179, no_human
2019-12-10 22:07:57:220, no_human
2019-12-10 22:07:57:238, no_human
2019-12-10 22:07:57:245, no_human
2019-12-10 22:07:57:261, no_human
2019-12-10 22:07:57:276, no_human
2019-12-10 22:07:57:329, no_human
2019-12-10 22:07:57:360, no_human
2019-12-10 22:07:57:386, no_human
2019-12-10 22:07:57:415, no_human
2019-12-10 22:07:57:421, no_human
2019-12-10 22:07:57:459, no_human
2019-12-10 22:07:57:485, no_human
2019-12-10 22:07:57:517, no_human
2019-12-10 22:07:57:528, no_human
2019-12-10 22:07:57:564, no_human
2019-12-10 22:07:57:591, no_human
2019-12-10 22:07:57:619, no_human
2019-12-10 22:07:57:629, no_human
2019-12-10 22:07:57:664, no_human
2019-12-10 22:07:57:693, no_human
2019-12-10 22:07:57:725, no_human
2019-12-10 22:07:57:756, no_human
2019-12-10 22:07:57:765, no_human
2019-12-10 22:07:57:827,-0.08156924,0.8883176,2.03487,-0.1035558,1.223471,2.052768,-0.1240221,1.545472,2.055871,-0.132074,1.698442,2.058309,-0.2976878,1.414519,2.013726,-0.3040729,1.179131,1.941484,-0.2236988,1.019223,1.822272,-0.1892686,0.9457144,1.772765,0.07084505,1.43061,2.028882,0.1107779,1.206668,1.943814,-0.0341972,1.081199,1.87098,-0.1018446,1.024957,1.862118,-0.1646099,0.8887202,1.989361,-0.2101501,0.5070184,1.888719,-0.2327077,0.1173739,1.859785,-0.2242199,0.1251507,1.748439,0.004626192,0.8961262,2.001442,0.05512023,0.4968683,2.017113,0.07285617,0.06100333,2.156674,0.1095581,0.03359377,2.066406,-0.1191319,1.466733,2.057565,-0.2069705,0.8708549,1.72737,-0.2085061,0.9309836,1.701487,-0.1731145,0.954679,1.780746,-0.1571911,1.289364,1.850643
2019-12-10 22:07:57:875,-0.08751828,0.8959255,2.022992,-0.1096538,1.229126,2.041606,-0.1302221,1.549291,2.04545,-0.1354945,1.701217,2.047668,-0.3011504,1.41797,1.990291,-0.3079074,1.182928,1.922132,-0.228874,1.025071,1.811785,-0.1954543,0.953466,1.770257,0.06848354,1.432027,2.026034,0.1098441,1.208892,1.941117,-0.04225807,1.097471,1.860539,-0.1102648,1.039066,1.85137,-0.1710592,0.8971837,1.971167,-0.2118883,0.5095814,1.884827,-0.233386,0.1198815,1.858105,-0.2206521,0.1268073,1.746859,-0.0005543586,0.9026714,1.994633,0.05122849,0.5089155,1.980114,0.05764002,0.06501126,2.135261,0.1017956,0.03901911,2.059068,-0.1253129,1.471001,2.046954,-0.2153564,0.8788944,1.698312,-0.2114638,0.9540931,1.703381,-0.1844745,0.9650096,1.78701,-0.1650442,1.306487,1.820231
2019-12-10 22:07:57:920,-0.09297792,0.9058758,2.004699,-0.114841,1.237321,2.024026,-0.1351068,1.555603,2.028672,-0.139103,1.707024,2.031246,-0.3029362,1.423098,1.964077,-0.3094389,1.18743,1.891089,-0.2290901,1.017763,1.782305,-0.2038454,0.9307968,1.746042,0.06571367,1.434822,2.020529,0.1100354,1.214541,1.935963,-0.04001908,1.108791,1.84356,-0.0931709,1.072491,1.847977,-0.1757134,0.9072156,1.949234,-0.2134518,0.5127111,1.877049,-0.2340358,0.1181707,1.857393,-0.2159799,0.1229525,1.739966,-0.006398198,0.9119896,1.980977,0.04446036,0.5138847,1.947949,0.02818231,0.07164395,2.088523,0.06162164,0.04600608,2.0085,-0.1302791,1.477796,2.029961,-0.2183192,0.8551696,1.693409,-0.1945387,0.9397206,1.679375,-0.1621935,1.031386,1.790608,-0.1498639,1.348818,1.835105
2019-12-10 22:07:57:962,-0.09483546,0.9034172,1.998167,-0.1157007,1.237014,2.016965,-0.1349773,1.557431,2.020395,-0.1381391,1.709394,2.02196,-0.2999711,1.425047,1.951162,-0.3083187,1.190572,1.878157,-0.2269969,1.015327,1.77282,-0.1999656,0.9289294,1.736329,0.06493001,1.435652,2.017704,0.1102476,1.216599,1.934378,-0.04256291,1.118997,1.837699,-0.09971001,1.090979,1.837053,-0.1773616,0.9043991,1.940799,-0.2143513,0.5130528,1.873044,-0.2344372,0.1174565,1.857034,-0.213122,0.1204184,1.735223,-0.008341243,0.9100736,1.976403,0.04087224,0.5099716,1.933724,0.01599577,0.06136835,2.06086,0.05877165,0.04107952,1.980818,-0.1304096,1.479071,2.022046,-0.2121868,0.8509487,1.685824,-0.1834569,0.8787674,1.806625,-0.172065,1.051012,1.762923,-0.1488634,1.365116,1.837508
2019-12-10 22:07:58:014,-0.09426564,0.9040672,1.988488,-0.1150226,1.238303,2.008323,-0.1342356,1.559039,2.013226,-0.1363557,1.711137,2.015583,-0.2981107,1.42675,1.940496,-0.3070512,1.190211,1.867646,-0.2247842,1.020983,1.764714,-0.1937277,0.9353293,1.725461,0.06522071,1.436606,2.016003,0.1104445,1.216943,1.933502,-0.05204326,1.144363,1.830282,-0.1129084,1.118064,1.826329,-0.1761473,0.9051404,1.929061,-0.2147224,0.5115021,1.867827,-0.2355123,0.1116924,1.854732,-0.2113254,0.1136563,1.729893,-0.008430086,0.910671,1.968959,0.03593678,0.5083963,1.919077,0.01154227,0.05738485,2.021414,0.04375647,0.04023242,1.935833,-0.129673,1.480642,2.014471,-0.2066395,0.857712,1.674521,-0.1781674,0.924165,1.811714,-0.1808108,1.058917,1.753127,-0.1609797,1.396988,1.827565
2019-12-10 22:07:58:055,-0.09681056,0.898829,1.97705,-0.11437,1.23725,1.998061,-0.1306798,1.561576,2.002779,-0.1278279,1.713547,2.005478,-0.2915633,1.428851,1.925181,-0.2993248,1.189845,1.845986,-0.2066711,1.02541,1.741949,-0.169804,0.9515799,1.697549,0.06969593,1.436502,2.01026,0.1111206,1.215905,1.930397,-0.03970975,1.120684,1.827708,-0.09457971,1.089725,1.807226,-0.1782971,0.9004222,1.914688,-0.2151309,0.510254,1.859258,-0.2353532,0.1121059,1.854779,-0.2076931,0.1120448,1.725796,-0.01132894,0.9053521,1.960239,0.02773683,0.5009454,1.898537,0.007577206,0.06466615,1.962477,0.0418307,0.04942572,1.878992,-0.1268658,1.482285,2.004189,-0.1834425,0.8708704,1.649938,-0.1600523,0.8814254,1.7033,-0.1616009,1.028978,1.722867,-0.1509638,1.36678,1.803612
2019-12-10 22:07:58:102,-0.096498,0.8996167,1.971355,-0.1115956,1.237942,1.992453,-0.1249156,1.562253,1.997452,-0.1198992,1.713945,2.000794,-0.2858902,1.429056,1.918456,-0.2949,1.191801,1.837092,-0.1873104,1.035131,1.732826,-0.1531153,0.9626886,1.688819,0.07555439,1.435758,2.00625,0.1125027,1.213475,1.927593,-0.02658865,1.093218,1.823884,-0.07513236,1.056112,1.799394,-0.1771496,0.9024351,1.908591,-0.2149342,0.5088735,1.855834,-0.2353291,0.1118862,1.854157,-0.2066299,0.1108283,1.723598,-0.0118436,0.9050023,1.954852,0.02393189,0.4986686,1.89142,0.01179076,0.05676281,1.9402,0.04312664,0.04462051,1.872354,-0.1218918,1.48299,1.998749,-0.1689027,0.8766912,1.639994,-0.155763,0.9474037,1.776889,-0.1349946,0.9985307,1.706925,-0.1430326,1.331261,1.785914
2019-12-10 22:07:58:143,-0.09432092,0.8994296,1.964985,-0.106289,1.237962,1.986895,-0.1157066,1.562504,1.992937,-0.1107045,1.713762,1.997202,-0.2778744,1.428865,1.913645,-0.2888042,1.193624,1.829756,-0.1820593,1.036477,1.726544,-0.1400439,0.9671335,1.676534,0.08300956,1.43454,2.002331,0.1163272,1.20774,1.922648,-0.02646063,1.090132,1.814658,-0.07337651,1.056593,1.789789,-0.1746661,0.9032399,1.902865,-0.214111,0.5082634,1.852276,-0.2351437,0.1124091,1.854262,-0.2058755,0.1103744,1.722355,-0.0101555,0.9037183,1.947878,0.02255484,0.4992723,1.884694,0.01787614,0.08628225,1.914074,0.04283893,0.09452629,1.780838,-0.1137144,1.483198,1.993914,-0.1552576,0.8809302,1.627635,-0.1335322,0.9648417,1.766833,-0.131717,1.007476,1.696255,-0.1407816,1.32606,1.774063
2019-12-10 22:07:58:181,-0.08118547,0.8980114,1.948401,-0.08871049,1.236823,1.977095,-0.09384222,1.561428,1.989972,-0.08598319,1.710574,1.993695,-0.260242,1.428084,1.908816,-0.2751965,1.191466,1.823359,-0.1564686,1.050853,1.720791,-0.1249701,0.9817137,1.673869,0.1056819,1.434998,1.995519,0.1355536,1.201909,1.909437,-0.002159814,1.084634,1.80939,-0.04129997,1.050238,1.787094,-0.1617352,0.9039875,1.887798,-0.2087839,0.5049809,1.841413,-0.234525,0.1152186,1.853636,-0.2056998,0.1110471,1.719201,0.002584079,0.900154,1.929816,0.02426939,0.4992394,1.874945,0.01936787,0.09467793,1.906711,0.04338583,0.09563446,1.771881,-0.0928712,1.482138,1.989202,-0.1426921,0.9015986,1.609802,-0.1661486,0.9146237,1.603455,-0.1090853,1.003925,1.692866,-0.1114923,1.321969,1.77149
2019-12-10 22:07:58:217,-0.06919397,0.8969318,1.937395,-0.07660118,1.235513,1.971574,-0.08188204,1.559802,1.989299,-0.071045,1.710295,1.992241,-0.2590896,1.427926,1.90864,-0.2678285,1.194263,1.821873,-0.1507135,1.050099,1.71591,-0.1251631,0.9787598,1.673598,0.1183259,1.43234,1.99163,0.1500821,1.202463,1.900518,0.006826599,1.11135,1.780496,-0.04982477,1.076353,1.768695,-0.1507847,0.9033486,1.876765,-0.2021047,0.5068735,1.832303,-0.2339301,0.1180828,1.853124,-0.2064482,0.1109976,1.717125,0.01513985,0.8987668,1.918854,0.02933029,0.4976473,1.871673,0.02008996,0.09688401,1.906111,0.04254967,0.09524739,1.770138,-0.08086133,1.480605,1.98738,-0.1466989,0.8963093,1.608006,-0.1124305,0.9735684,1.761182,-0.1186432,1.014503,1.683191,-0.1020147,1.34909,1.774178
2019-12-10 22:07:58:257,-0.06018589,0.8976114,1.933367,-0.06509706,1.236091,1.969091,-0.06858007,1.560203,1.98945,-0.05647959,1.71069,1.993679,-0.2558157,1.428725,1.908868,-0.2612904,1.196959,1.820676,-0.1438091,1.039589,1.70609,-0.1313747,0.9613094,1.669187,0.1209276,1.432686,1.991037,0.1643408,1.20524,1.892967,0.03002742,1.106275,1.768095,-0.02477991,1.071782,1.775235,-0.1426191,0.9038718,1.873956,-0.1946547,0.5089915,1.820182,-0.2330051,0.1227878,1.852716,-0.2056884,0.1110672,1.715866,0.02472568,0.8996414,1.913375,0.03681834,0.4982478,1.870096,0.02071092,0.100787,1.906104,0.04296571,0.0945251,1.76927,-0.06788824,1.481054,1.986811,-0.1495271,0.8787423,1.606642,-0.1283955,0.8859429,1.6595,-0.08944207,1.03332,1.687248,-0.06134019,1.326531,1.731182
2019-12-10 22:07:58:297,-0.04399866,0.9000287,1.924579,-0.05150494,1.237004,1.964931,-0.05739278,1.559923,1.989086,-0.04325227,1.710609,1.995109,-0.2196303,1.435254,1.91108,-0.2471566,1.202719,1.820671,-0.1425545,1.037496,1.70406,-0.1391606,0.9496242,1.665859,0.1377947,1.43322,1.986965,0.1747105,1.206284,1.88789,0.03007201,1.112008,1.771335,-0.02255408,1.079881,1.774465,-0.1278777,0.9067577,1.866047,-0.1852537,0.5122862,1.806847,-0.2318283,0.1291386,1.850799,-0.2049933,0.1119235,1.713508,0.04161938,0.9014872,1.90374,0.04690274,0.5044894,1.869408,0.02177969,0.1069264,1.906001,0.04389417,0.09538305,1.768378,-0.05613384,1.481044,1.985586,-0.1571866,0.8749464,1.608237,-0.1229972,0.9109769,1.7249,-0.09439882,1.045848,1.696712,-0.06863207,1.355301,1.772686
2019-12-10 22:07:58:334,-0.03154897,0.8999308,1.920097,-0.0401604,1.237231,1.962215,-0.04788314,1.560227,1.988507,-0.02929035,1.710325,1.995385,-0.2148171,1.435786,1.910645,-0.2398572,1.20473,1.820317,-0.1522924,1.033948,1.7024,-0.1418581,0.942925,1.667009,0.1474071,1.432297,1.985709,0.1832892,1.207814,1.883776,0.03191772,1.114742,1.77544,-0.02092271,1.083857,1.772452,-0.1150883,0.9067594,1.861698,-0.1783519,0.5136003,1.798716,-0.2303902,0.1335126,1.848584,-0.204355,0.1119805,1.711206,0.05322012,0.9013481,1.899116,0.05159491,0.5027907,1.871377,0.02250733,0.1106234,1.905701,0.04425886,0.09522879,1.767551,-0.04609716,1.481345,1.984472,-0.1611997,0.8695039,1.612379,-0.1293639,0.8971658,1.7211,-0.09458357,1.057215,1.708034,-0.06868853,1.359507,1.771714
2019-12-10 22:07:58:377,-0.01830005,0.9002365,1.916052,-0.0291763,1.237525,1.95933,-0.0392477,1.560406,1.986999,-0.01921114,1.711347,1.995524,-0.2068714,1.435372,1.908709,-0.2277177,1.202745,1.818617,-0.1532449,1.030638,1.701761,-0.1416118,0.9374108,1.668813,0.1567309,1.432425,1.98585,0.190372,1.207998,1.88251,0.0367665,1.11995,1.772683,-0.0151167,1.089937,1.769604,-0.1014342,0.9070059,1.856096,-0.1698182,0.5135826,1.791535,-0.2265905,0.1373843,1.846126,-0.2005626,0.1125575,1.70893,0.06561989,0.9017314,1.896448,0.05552007,0.4997968,1.874033,0.02338265,0.112184,1.905543,0.04564082,0.09498751,1.767094,-0.03684979,1.481559,1.98261,-0.1614871,0.8652617,1.613348,-0.1236207,0.9048271,1.726261,-0.09054179,1.064892,1.708701,-0.06597549,1.365887,1.770136
