2019-12-10 22:07:56:685, no_human
2019-12-10 22:07:56:696, no_human
2019-12-10 22:07:56:968, no_human
2019-12-10 22:07:57:047, no_human
2019-12-10 22:07:57:064, no_human
2019-12-10 22:07:57:080, no_human
2019-12-10 22:07:57:097, no_human
2019-12-10 22:07:57:113, no_human
2019-12-10 22:07:57:131, no_human
2019-12-10 22:07:57:146, no_human
2019-12-10 22:07:57:163, no_human
2019-12-10 22:07:57:179, no_human
2019-12-10 22:07:57:220, no_human
2019-12-10 22:07:57:238, no_human
2019-12-10 22:07:57:245, no_human
2019-12-10 22:07:57:261, no_human
2019-12-10 22:07:57:276, no_human
2019-12-10 22:07:57:329, no_human
2019-12-10 22:07:57:360, no_human
2019-12-10 22:07:57:386, no_human
2019-12-10 22:07:57:415, no_human
2019-12-10 22:07:57:421, no_human
2019-12-10 22:07:57:459, no_human
2019-12-10 22:07:57:485, no_human
2019-12-10 22:07:57:517, no_human
2019-12-10 22:07:57:528, no_human
2019-12-10 22:07:57:564, no_human
2019-12-10 22:07:57:591, no_human
2019-12-10 22:07:57:619, no_human
2019-12-10 22:07:57:629, no_human
2019-12-10 22:07:57:664, no_human
2019-12-10 22:07:57:693, no_human
2019-12-10 22:07:57:725, no_human
2019-12-10 22:07:57:756, no_human
2019-12-10 22:07:57:765, no_human
2019-12-10 22:07:57:827,-0.1684308,1.911682,-0.1948696,-0.1464442,1.576529,-0.2127679,-0.1259779,1.254528,-0.2158707,-0.117926,1.101558,-0.2183087,0.04768777,1.385481,-0.1737259,0.05407292,1.620869,-0.1014842,-0.02630122,1.780777,0.01772779,-0.06073141,1.854286,0.06723517,-0.3208451,1.36939,-0.1888817,-0.3607779,1.593332,-0.1038135,-0.2158028,1.718801,-0.03097993,-0.1481554,1.775043,-0.02211744,-0.08539008,1.91128,-0.1493605,-0.03984994,2.292982,-0.04871887,-0.01729232,2.682626,-0.01978511,-0.02578007,2.67485,0.0915609,-0.2546262,1.903874,-0.1614421,-0.3051202,2.303132,-0.1771126,-0.3228562,2.738997,-0.3166736,-0.3595581,2.766406,-0.2264062,-0.1308681,1.333267,-0.2175654,-0.04302949,1.929145,0.1126304,-0.04149391,1.869016,0.1385134,-0.07688554,1.845321,0.05925399,-0.09280892,1.810636,0.3193572,
2019-12-10 22:07:57:875,-0.1624817,1.904075,-0.1829916,-0.1403462,1.570874,-0.2016056,-0.1197779,1.250709,-0.2054496,-0.1145055,1.098783,-0.2076674,0.05115041,1.38203,-0.1502909,0.05790737,1.617072,-0.08213192,-0.02112596,1.774929,0.02821559,-0.05454569,1.846534,0.06974274,-0.3184835,1.367973,-0.1860343,-0.3598441,1.591108,-0.1011165,-0.2077419,1.702529,-0.02053851,-0.1397353,1.760934,-0.01137012,-0.07894079,1.902816,-0.1311665,-0.0381117,2.290419,-0.04482728,-0.01661399,2.680119,-0.01810509,-0.02934793,2.673193,0.09314126,-0.2494456,1.897329,-0.1546331,-0.3012285,2.291085,-0.1401138,-0.30764,2.734989,-0.295261,-0.3517956,2.760981,-0.2190681,-0.1246871,1.328999,-0.2069538,-0.03464361,1.921106,0.1416877,-0.03853619,1.845907,0.1366193,-0.06552546,1.834991,0.05299014,-0.08495583,1.793513,0.3497693,
2019-12-10 22:07:57:920,-0.1570221,1.894124,-0.1646987,-0.135159,1.56268,-0.1840258,-0.1148932,1.244397,-0.1886721,-0.110897,1.092976,-0.1912459,0.05293623,1.376902,-0.1240771,0.05943885,1.61257,-0.05108899,-0.02090994,1.782237,0.05769497,-0.04615462,1.869203,0.0939576,-0.3157137,1.365178,-0.1805292,-0.3600354,1.585459,-0.09596294,-0.2099809,1.691209,-0.003560007,-0.1568291,1.727509,-0.007977188,-0.07428662,1.892784,-0.1092343,-0.0365482,2.287289,-0.03704923,-0.01596422,2.681829,-0.01739246,-0.03402013,2.677048,0.1000338,-0.2436018,1.888011,-0.1409768,-0.2944604,2.286115,-0.1079488,-0.2781823,2.728356,-0.2485226,-0.3116216,2.753994,-0.1685,-0.1197209,1.322204,-0.1899605,-0.03168076,1.94483,0.146591,-0.05546133,1.860279,0.1606252,-0.08780652,1.768614,0.04939204,-0.1001361,1.751182,0.3348947,
2019-12-10 22:07:57:962,-0.1551645,1.896583,-0.1581666,-0.1342993,1.562986,-0.1769653,-0.1150227,1.242569,-0.1803947,-0.1118609,1.090606,-0.1819602,0.0499711,1.374953,-0.1111615,0.0583187,1.609428,-0.03815717,-0.02300315,1.784673,0.06717998,-0.05003437,1.871071,0.1036707,-0.31493,1.364348,-0.1777037,-0.3602476,1.583401,-0.09437829,-0.2074371,1.681003,0.002301157,-0.15029,1.709021,0.002946913,-0.07263842,1.895601,-0.1007991,-0.03564873,2.286947,-0.0330444,-0.01556276,2.682544,-0.01703387,-0.03687799,2.679582,0.1047767,-0.2416588,1.889926,-0.1364034,-0.2908722,2.290029,-0.09372348,-0.2659958,2.738632,-0.2208601,-0.3087716,2.758921,-0.1408179,-0.1195904,1.320929,-0.1820462,-0.03781316,1.949051,0.1541762,-0.06654307,1.921233,0.03337508,-0.07793495,1.748988,0.07707661,-0.1011366,1.734884,0.332492,
2019-12-10 22:07:58:014,-0.1557344,1.895933,-0.1484881,-0.1349774,1.561697,-0.1683229,-0.1157644,1.240961,-0.1732257,-0.1136443,1.088863,-0.1755825,0.04811072,1.37325,-0.1004964,0.05705121,1.609789,-0.02764565,-0.02521579,1.779017,0.07528597,-0.05627225,1.864671,0.1145396,-0.3152207,1.363394,-0.176003,-0.3604445,1.583057,-0.09350199,-0.1979567,1.655637,0.009717882,-0.1370916,1.681937,0.01367134,-0.07385272,1.89486,-0.08906096,-0.03527763,2.288498,-0.02782732,-0.01448774,2.688308,-0.01473171,-0.03867456,2.686344,0.1101068,-0.2415699,1.889329,-0.1289588,-0.2859368,2.291604,-0.0790773,-0.2615423,2.742615,-0.1814139,-0.2937565,2.759768,-0.09583288,-0.120327,1.319358,-0.1744705,-0.04336047,1.942288,0.1654788,-0.07183264,1.875835,0.02828592,-0.06918921,1.741084,0.08687299,-0.08902027,1.703012,0.3424354,
2019-12-10 22:07:58:055,-0.1531895,1.901171,-0.1370495,-0.13563,1.56275,-0.1580608,-0.1193202,1.238424,-0.1627794,-0.1221721,1.086453,-0.1654783,0.04156333,1.371149,-0.08518094,0.04932484,1.610156,-0.005986154,-0.04332893,1.77459,0.09805089,-0.08019598,1.84842,0.1424512,-0.3196959,1.363499,-0.1702603,-0.3611206,1.584095,-0.09039646,-0.2102903,1.679316,0.01229173,-0.1554203,1.710276,0.03277403,-0.0717029,1.899578,-0.07468814,-0.03486913,2.289746,-0.01925796,-0.01464683,2.687894,-0.01477927,-0.04230694,2.687955,0.1142039,-0.238671,1.894648,-0.120239,-0.2777368,2.299055,-0.05853707,-0.2575772,2.735334,-0.1224769,-0.2918307,2.750574,-0.03899211,-0.1231342,1.317715,-0.1641887,-0.06655754,1.92913,0.1900623,-0.08994769,1.918575,0.1367002,-0.08839907,1.771022,0.117133,-0.09903617,1.73322,0.3663878,
2019-12-10 22:07:58:102,-0.153502,1.900383,-0.1313545,-0.1384044,1.562058,-0.1524531,-0.1250844,1.237747,-0.1574519,-0.1301008,1.086056,-0.1607941,0.03589016,1.370944,-0.07845587,0.04489997,1.608199,0.002908289,-0.06268956,1.764869,0.1071739,-0.09688467,1.837312,0.1511815,-0.3255544,1.364243,-0.1662498,-0.3625028,1.586525,-0.08759338,-0.2234114,1.706782,0.01611573,-0.1748676,1.743888,0.04060596,-0.07285039,1.897565,-0.0685913,-0.03506579,2.291127,-0.0158338,-0.01467094,2.688114,-0.014157,-0.04337014,2.689172,0.1164023,-0.2381564,1.894998,-0.1148518,-0.2739319,2.301332,-0.05141979,-0.2617908,2.743237,-0.1001996,-0.2931266,2.75538,-0.03235358,-0.1281082,1.31701,-0.1587492,-0.08109726,1.923309,0.2000057,-0.09423696,1.852596,0.06311125,-0.1150054,1.801469,0.1330748,-0.1069674,1.768739,0.3840858,
2019-12-10 22:07:58:143,-0.1556791,1.900571,-0.1249847,-0.143711,1.562038,-0.1468949,-0.1342934,1.237496,-0.152937,-0.1392955,1.086238,-0.1572021,0.02787435,1.371135,-0.07364517,0.0388042,1.606376,0.01024431,-0.06794065,1.763523,0.1134557,-0.1099561,1.832867,0.1634658,-0.3330095,1.36546,-0.1623312,-0.3663272,1.59226,-0.08264822,-0.2235394,1.709868,0.02534252,-0.1766235,1.743407,0.05021089,-0.07533386,1.89676,-0.06286448,-0.035889,2.291737,-0.01227587,-0.01485628,2.687591,-0.01426166,-0.04412454,2.689626,0.1176452,-0.2398445,1.896282,-0.1078784,-0.2725548,2.300728,-0.04469353,-0.2678761,2.713718,-0.07407385,-0.2928389,2.705474,0.05916184,-0.1362856,1.316802,-0.1539143,-0.0947424,1.91907,0.212365,-0.1164678,1.835158,0.07316679,-0.118283,1.792524,0.1437449,-0.1092184,1.77394,0.3959375,
2019-12-10 22:07:58:181,-0.1688145,1.901989,-0.1084006,-0.1612895,1.563177,-0.1370949,-0.1561578,1.238572,-0.1499719,-0.1640168,1.089426,-0.1536949,0.01024196,1.371916,-0.06881601,0.02519649,1.608534,0.01664144,-0.09353139,1.749147,0.1192096,-0.1250299,1.818286,0.1661307,-0.3556819,1.365002,-0.1555191,-0.3855536,1.598091,-0.06943697,-0.2478402,1.715366,0.03060967,-0.2087,1.749762,0.05290633,-0.08826476,1.896013,-0.04779786,-0.04121614,2.295019,-0.001412928,-0.01547496,2.684782,-0.01363569,-0.04430018,2.688953,0.1207994,-0.2525841,1.899846,-0.08981591,-0.2742694,2.300761,-0.03494507,-0.2693679,2.705322,-0.06671053,-0.2933858,2.704366,0.06811911,-0.1571288,1.317862,-0.1492017,-0.1073079,1.898401,0.2301986,-0.08385135,1.885376,0.2365455,-0.1409147,1.796075,0.1471344,-0.1385077,1.778031,0.3985095,
2019-12-10 22:07:58:217,-0.180806,1.903068,-0.09739453,-0.1733988,1.564487,-0.1315741,-0.168118,1.240198,-0.1492991,-0.178955,1.089705,-0.1522409,0.009089559,1.372074,-0.06864029,0.01782846,1.605737,0.0181269,-0.09928645,1.749901,0.1240901,-0.1248369,1.82124,0.1664018,-0.3683259,1.36766,-0.15163,-0.4000821,1.597537,-0.06051773,-0.2568266,1.68865,0.05950397,-0.2001752,1.723647,0.07130522,-0.09921534,1.896652,-0.0367648,-0.04789533,2.293127,0.007697165,-0.01606989,2.681917,-0.01312393,-0.04355176,2.689003,0.1228755,-0.2651398,1.901233,-0.07885402,-0.2793303,2.302353,-0.03167313,-0.27009,2.703116,-0.06611127,-0.2925497,2.704753,0.06986254,-0.1691387,1.319395,-0.1473801,-0.1033011,1.903691,0.2319939,-0.1375695,1.826432,0.07881814,-0.1313567,1.785498,0.1568089,-0.1479853,1.75091,0.395822,
