2019-12-10 22:11:47:180, no_human
2019-12-10 22:11:47:191, no_human
2019-12-10 22:11:47:432, no_human
2019-12-10 22:11:47:505, no_human
2019-12-10 22:11:47:523, no_human
2019-12-10 22:11:47:539, no_human
2019-12-10 22:11:47:555, no_human
2019-12-10 22:11:47:572, no_human
2019-12-10 22:11:47:589, no_human
2019-12-10 22:11:47:605, no_human
2019-12-10 22:11:47:621, no_human
2019-12-10 22:11:47:638, no_human
2019-12-10 22:11:47:655, no_human
2019-12-10 22:11:47:671, no_human
2019-12-10 22:11:47:688, no_human
2019-12-10 22:11:47:746, no_human
2019-12-10 22:11:47:755, no_human
2019-12-10 22:11:47:781, no_human
2019-12-10 22:11:47:789, no_human
2019-12-10 22:11:47:831, no_human
2019-12-10 22:11:47:859, no_human
2019-12-10 22:11:47:886, no_human
2019-12-10 22:11:47:893, no_human
2019-12-10 22:11:47:910, no_human
2019-12-10 22:11:47:947, no_human
2019-12-10 22:11:47:980, no_human
2019-12-10 22:11:48:021, no_human
2019-12-10 22:11:48:054, no_human
2019-12-10 22:11:48:082, no_human
2019-12-10 22:11:48:116, no_human
2019-12-10 22:11:48:153, no_human
2019-12-10 22:11:48:181, no_human
2019-12-10 22:11:48:212, no_human
2019-12-10 22:11:48:243, no_human
2019-12-10 22:11:48:272, no_human
2019-12-10 22:11:48:304, no_human
2019-12-10 22:11:48:340, no_human
2019-12-10 22:11:48:370, no_human
2019-12-10 22:11:48:399, no_human
2019-12-10 22:11:48:430, no_human
2019-12-10 22:11:48:478,3.517917,2.653123
2019-12-10 22:11:48:519,3.518499,2.653217
2019-12-10 22:11:48:555,3.519171,2.653318
2019-12-10 22:11:48:598,3.520179,2.653548
2019-12-10 22:11:48:639,3.521664,2.65345
2019-12-10 22:11:48:683,3.524634,2.653736
2019-12-10 22:11:48:721,3.526901,2.653151
2019-12-10 22:11:48:759,3.529433,2.652443
2019-12-10 22:11:48:803,3.531135,2.651568
2019-12-10 22:11:48:840,3.53325,2.651018
2019-12-10 22:11:48:875,3.535161,2.650178
2019-12-10 22:11:48:911,3.537027,2.649525
2019-12-10 22:11:48:947,3.539896,2.647641
2019-12-10 22:11:48:986,3.540891,2.646466
2019-12-10 22:11:49:031,3.541565,2.645842
2019-12-10 22:11:49:074,3.54272,2.644572
2019-12-10 22:11:49:116,3.543852,2.642832
2019-12-10 22:11:49:160,3.545328,2.640817
2019-12-10 22:11:49:199,3.545918,2.639927
2019-12-10 22:11:49:237,3.546196,2.63929
2019-12-10 22:11:49:274,3.546378,2.638926
2019-12-10 22:11:49:312,3.546677,2.637897
2019-12-10 22:11:49:349,3.54669,2.636859
2019-12-10 22:11:49:389,3.546679,2.636359
2019-12-10 22:11:49:426,3.546739,2.636088
2019-12-10 22:11:49:467,3.546731,2.635971
2019-12-10 22:11:49:505,3.546699,2.635864
2019-12-10 22:11:49:541,3.546728,2.63549
2019-12-10 22:11:49:577,3.546688,2.635336
2019-12-10 22:11:49:614,3.546514,2.635099
2019-12-10 22:11:49:650,3.546251,2.633987
2019-12-10 22:11:49:692,3.546031,2.63371
2019-12-10 22:11:49:731,3.545518,2.633395
2019-12-10 22:11:49:770,3.545268,2.633187
2019-12-10 22:11:49:805,3.544939,2.63287
2019-12-10 22:11:49:844,3.544855,2.632818
2019-12-10 22:11:49:883,3.543977,2.63236
2019-12-10 22:11:49:924,3.54362,2.632308
2019-12-10 22:11:49:962,3.543017,2.632143
2019-12-10 22:11:50:004,3.542557,2.631906
2019-12-10 22:11:50:041,3.542014,2.631887
2019-12-10 22:11:50:084,3.541356,2.631872
2019-12-10 22:11:50:127,3.540072,2.632253
2019-12-10 22:11:50:172,3.539366,2.632552
2019-12-10 22:11:50:206,3.538643,2.633115
2019-12-10 22:11:50:243,3.538065,2.632971
2019-12-10 22:11:50:283,3.537519,2.633239
2019-12-10 22:11:50:319,3.537182,2.633197
2019-12-10 22:11:50:360,3.536992,2.633291
2019-12-10 22:11:50:404,3.536845,2.633312
2019-12-10 22:11:50:445,3.536535,2.633175
2019-12-10 22:11:50:481,3.536454,2.633143
2019-12-10 22:11:50:519,3.536473,2.633131
2019-12-10 22:11:50:557,3.536542,2.633037
2019-12-10 22:11:50:595,3.536626,2.633021
2019-12-10 22:11:50:637,3.536626,2.632987
2019-12-10 22:11:50:679,3.536748,2.632972
2019-12-10 22:11:50:725,3.537056,2.632827
