2019-12-10 22:11:47:180, no_human
2019-12-10 22:11:47:191, no_human
2019-12-10 22:11:47:432, no_human
2019-12-10 22:11:47:505, no_human
2019-12-10 22:11:47:523, no_human
2019-12-10 22:11:47:539, no_human
2019-12-10 22:11:47:555, no_human
2019-12-10 22:11:47:572, no_human
2019-12-10 22:11:47:589, no_human
2019-12-10 22:11:47:605, no_human
2019-12-10 22:11:47:621, no_human
2019-12-10 22:11:47:638, no_human
2019-12-10 22:11:47:655, no_human
2019-12-10 22:11:47:671, no_human
2019-12-10 22:11:47:688, no_human
2019-12-10 22:11:47:746, no_human
2019-12-10 22:11:47:755, no_human
2019-12-10 22:11:47:781, no_human
2019-12-10 22:11:47:789, no_human
2019-12-10 22:11:47:831, no_human
2019-12-10 22:11:47:859, no_human
2019-12-10 22:11:47:886, no_human
2019-12-10 22:11:47:893, no_human
2019-12-10 22:11:47:910, no_human
2019-12-10 22:11:47:947, no_human
2019-12-10 22:11:47:980, no_human
2019-12-10 22:11:48:021, no_human
2019-12-10 22:11:48:054, no_human
2019-12-10 22:11:48:082, no_human
2019-12-10 22:11:48:116, no_human
2019-12-10 22:11:48:153, no_human
2019-12-10 22:11:48:181, no_human
2019-12-10 22:11:48:212, no_human
2019-12-10 22:11:48:243, no_human
2019-12-10 22:11:48:272, no_human
2019-12-10 22:11:48:304, no_human
2019-12-10 22:11:48:340, no_human
2019-12-10 22:11:48:370, no_human
2019-12-10 22:11:48:399, no_human
2019-12-10 22:11:48:430, no_human
2019-12-10 22:11:48:478,-0.04791678,1.7018552.653123
2019-12-10 22:11:48:519,-0.04849852,1.7017242.653217
2019-12-10 22:11:48:555,-0.04917083,1.701652.653318
2019-12-10 22:11:48:598,-0.05017857,1.7016342.653548
2019-12-10 22:11:48:639,-0.0516643,1.7013592.65345
2019-12-10 22:11:48:683,-0.05463415,1.701332.653736
2019-12-10 22:11:48:721,-0.05690135,1.7011632.653151
2019-12-10 22:11:48:759,-0.05943339,1.7008542.652443
2019-12-10 22:11:48:803,-0.06113499,1.7002432.651568
2019-12-10 22:11:48:840,-0.06325011,1.6999862.651018
2019-12-10 22:11:48:875,-0.06516153,1.7003552.650178
2019-12-10 22:11:48:911,-0.0670265,1.700192.649525
2019-12-10 22:11:48:947,-0.06989655,1.6998732.647641
2019-12-10 22:11:48:986,-0.07089119,1.6995512.646466
2019-12-10 22:11:49:031,-0.07156459,1.6997572.645842
2019-12-10 22:11:49:074,-0.07271953,1.7000582.644572
2019-12-10 22:11:49:116,-0.07385215,1.7003892.642832
2019-12-10 22:11:49:160,-0.07532827,1.7008342.640817
2019-12-10 22:11:49:199,-0.07591783,1.7012642.639927
2019-12-10 22:11:49:237,-0.07619634,1.7016622.63929
2019-12-10 22:11:49:274,-0.07637827,1.7020242.638926
2019-12-10 22:11:49:312,-0.07667737,1.7022022.637897
2019-12-10 22:11:49:349,-0.07669001,1.7025582.636859
2019-12-10 22:11:49:389,-0.07667925,1.7025482.636359
2019-12-10 22:11:49:426,-0.07673852,1.7024622.636088
2019-12-10 22:11:49:467,-0.0767315,1.7024952.635971
2019-12-10 22:11:49:505,-0.076699,1.7024792.635864
2019-12-10 22:11:49:541,-0.07672807,1.7022642.63549
2019-12-10 22:11:49:577,-0.07668788,1.7022442.635336
2019-12-10 22:11:49:614,-0.07651384,1.7021772.635099
2019-12-10 22:11:49:650,-0.07625121,1.7017912.633987
2019-12-10 22:11:49:692,-0.07603079,1.7016262.63371
2019-12-10 22:11:49:731,-0.07551812,1.7014942.633395
2019-12-10 22:11:49:770,-0.07526791,1.7014882.633187
2019-12-10 22:11:49:805,-0.07493891,1.7014852.63287
2019-12-10 22:11:49:844,-0.07485519,1.7015032.632818
2019-12-10 22:11:49:883,-0.07397673,1.7017452.63236
2019-12-10 22:11:49:924,-0.07362041,1.7018032.632308
2019-12-10 22:11:49:962,-0.07301667,1.7017062.632143
2019-12-10 22:11:50:004,-0.07255717,1.7018362.631906
2019-12-10 22:11:50:041,-0.07201376,1.7019242.631887
2019-12-10 22:11:50:084,-0.07135633,1.7018672.631872
2019-12-10 22:11:50:127,-0.07007249,1.7021952.632253
2019-12-10 22:11:50:172,-0.06936605,1.7023792.632552
2019-12-10 22:11:50:206,-0.06864253,1.7027342.633115
2019-12-10 22:11:50:243,-0.06806532,1.7027322.632971
2019-12-10 22:11:50:283,-0.06751861,1.7026732.633239
2019-12-10 22:11:50:319,-0.06718227,1.7026532.633197
2019-12-10 22:11:50:360,-0.06699201,1.702672.633291
2019-12-10 22:11:50:404,-0.06684523,1.702672.633312
2019-12-10 22:11:50:445,-0.06653501,1.7024462.633175
2019-12-10 22:11:50:481,-0.06645367,1.702482.633143
2019-12-10 22:11:50:519,-0.0664727,1.7024522.633131
2019-12-10 22:11:50:557,-0.06654205,1.7022412.633037
2019-12-10 22:11:50:595,-0.06662585,1.7022942.633021
2019-12-10 22:11:50:637,-0.06662612,1.7022912.632987
2019-12-10 22:11:50:679,-0.06674826,1.7022022.632972
2019-12-10 22:11:50:725,-0.06705569,1.7021642.632827
2019-12-10 22:11:50:770,-0.06728559,1.7021132.632818
2019-12-10 22:11:50:817,-0.06749361,1.7020822.632872
2019-12-10 22:11:50:862,-0.06813578,1.7020652.633175
2019-12-10 22:11:50:906,-0.06826824,1.7020972.633254
2019-12-10 22:11:50:952,-0.06899147,1.7018842.633492
2019-12-10 22:11:50:997,-0.06916744,1.7016562.633505
2019-12-10 22:11:51:038,-0.06922064,1.7015762.633468
2019-12-10 22:11:51:082,-0.06936879,1.7015322.633347
2019-12-10 22:11:51:127,-0.06947591,1.7014162.633247
2019-12-10 22:11:51:173,-0.06954755,1.7014472.633305
2019-12-10 22:11:51:223,-0.06976365,1.7014772.633297
2019-12-10 22:11:51:267,-0.06976592,1.7014582.633282
2019-12-10 22:11:51:314,-0.06969767,1.7013562.633007
2019-12-10 22:11:51:357,-0.0696725,1.7014472.63296
2019-12-10 22:11:51:401,-0.06964301,1.701472.632914
2019-12-10 22:11:51:443,-0.06960701,1.7014672.632874
2019-12-10 22:11:51:490,-0.06947232,1.70152.632649
2019-12-10 22:11:51:535,-0.06935,1.701522.632596
2019-12-10 22:11:51:577,-0.06927367,1.7015552.632595
2019-12-10 22:11:51:617,-0.06889807,1.701582.632303
2019-12-10 22:11:51:655,-0.06878878,1.7016342.632272
2019-12-10 22:11:51:696,-0.06854682,1.7016162.631961
2019-12-10 22:11:51:745,-0.06833015,1.7016962.63179
2019-12-10 22:11:51:787,-0.06754035,1.7016452.630697
2019-12-10 22:11:51:832,-0.06742851,1.7014072.630325
2019-12-10 22:11:51:872,-0.06725825,1.701522.630021
2019-12-10 22:11:51:907,-0.06717417,1.7012972.629746
2019-12-10 22:11:51:949,-0.06687756,1.7011732.629189
2019-12-10 22:11:51:986,-0.06643093,1.7007732.62838
2019-12-10 22:11:52:029,-0.0661715,1.7007682.627908
2019-12-10 22:11:52:069,-0.06599118,1.700592.627515
2019-12-10 22:11:52:107,-0.0658275,1.7006122.627405
2019-12-10 22:11:52:150,-0.0655065,1.7005422.627055
2019-12-10 22:11:52:188,-0.06543832,1.7005562.627041
2019-12-10 22:11:52:222,-0.06526572,1.7006412.627021
2019-12-10 22:11:52:262,-0.06494331,1.7005322.626413
