2019-12-10 22:11:47:180, no_human
2019-12-10 22:11:47:191, no_human
2019-12-10 22:11:47:432, no_human
2019-12-10 22:11:47:505, no_human
2019-12-10 22:11:47:523, no_human
2019-12-10 22:11:47:539, no_human
2019-12-10 22:11:47:555, no_human
2019-12-10 22:11:47:572, no_human
2019-12-10 22:11:47:589, no_human
2019-12-10 22:11:47:605, no_human
2019-12-10 22:11:47:621, no_human
2019-12-10 22:11:47:638, no_human
2019-12-10 22:11:47:655, no_human
2019-12-10 22:11:47:671, no_human
2019-12-10 22:11:47:688, no_human
2019-12-10 22:11:47:746, no_human
2019-12-10 22:11:47:755, no_human
2019-12-10 22:11:47:781, no_human
2019-12-10 22:11:47:789, no_human
2019-12-10 22:11:47:831, no_human
2019-12-10 22:11:47:859, no_human
2019-12-10 22:11:47:886, no_human
2019-12-10 22:11:47:893, no_human
2019-12-10 22:11:47:910, no_human
2019-12-10 22:11:47:947, no_human
2019-12-10 22:11:47:980, no_human
2019-12-10 22:11:48:021, no_human
2019-12-10 22:11:48:054, no_human
2019-12-10 22:11:48:082, no_human
2019-12-10 22:11:48:116, no_human
2019-12-10 22:11:48:153, no_human
2019-12-10 22:11:48:181, no_human
2019-12-10 22:11:48:212, no_human
2019-12-10 22:11:48:243, no_human
2019-12-10 22:11:48:272, no_human
2019-12-10 22:11:48:304, no_human
2019-12-10 22:11:48:340, no_human
2019-12-10 22:11:48:370, no_human
2019-12-10 22:11:48:399, no_human
2019-12-10 22:11:48:430, no_human
2019-12-10 22:11:48:478,-0.06148182,0.8651623,2.214781,-0.06055423,1.215488,2.259921,-0.0592856,1.552406,2.289443,-0.04791678,1.701855,2.333123,-0.2435005,1.421406,2.244069,-0.3059166,1.152012,2.206579,-0.2991828,0.907262,2.122467,-0.2846006,0.8439851,2.115407,0.13222,1.397558,2.260034,0.1806492,1.133196,2.247858,0.1855278,0.8967971,2.171453,0.1761995,0.8175221,2.161079,-0.1466014,0.875033,2.164087,-0.1265093,0.3399442,2.190161,-0.119333,-0.0918256,2.108438,-0.1151042,-0.07332885,2.011084,0.02593242,0.8641606,2.181843,0.009227491,0.3434238,2.192221,0.008131645,-0.09687281,2.091726,-0.03231073,-0.07406819,1.992253,-0.05966355,1.469932,2.284702,-0.2799093,0.7669096,2.107465,-0.2276093,0.863431,2.101955,0.1726838,0.7290756,2.155169,0.1248513,1.019221,2.115667
2019-12-10 22:11:48:519,-0.06176572,0.8650084,2.214888,-0.06105115,1.215352,2.260129,-0.06011792,1.55231,2.289798,-0.04849852,1.701724,2.333217,-0.2436032,1.421388,2.244254,-0.3062103,1.151977,2.206581,-0.3005729,0.9075109,2.122303,-0.2890442,0.8433279,2.114699,0.1320531,1.397794,2.260479,0.1795648,1.133589,2.247616,0.1824526,0.8963445,2.170215,0.1625722,0.8188617,2.15473,-0.1469964,0.8747709,2.164549,-0.1289961,0.3417823,2.190175,-0.1189973,-0.09199166,2.107946,-0.1092047,-0.07332575,2.010671,0.02563796,0.8640407,2.181708,0.007925439,0.3430172,2.19381,0.01033988,-0.09658897,2.092333,-0.02727028,-0.07494593,1.997678,-0.06040179,1.469823,2.285017,-0.2847638,0.7660028,2.104038,-0.2314401,0.8558615,2.104446,0.1503537,0.7317743,2.146772,0.1185022,1.025813,2.113838
2019-12-10 22:11:48:555,-0.06198819,0.8655867,2.21488,-0.06176638,1.2158,2.260353,-0.06174282,1.552604,2.290458,-0.04917083,1.70165,2.333318,-0.2436433,1.421366,2.244248,-0.3065742,1.152133,2.206761,-0.3014341,0.9069141,2.122935,-0.2905082,0.8428556,2.115252,0.1309815,1.398055,2.260704,0.1778676,1.133913,2.246916,0.1796006,0.8958266,2.167904,0.1591267,0.8193452,2.150491,-0.1471869,0.875251,2.164504,-0.1292104,0.3422477,2.190178,-0.1192851,-0.09190786,2.107612,-0.1083093,-0.07312417,2.010351,0.02540355,0.8647181,2.181727,0.007184844,0.3419947,2.194528,0.007731818,-0.09860313,2.091334,-0.02083156,-0.07735467,1.995744,-0.06175831,1.470172,2.285544,-0.2866447,0.7664263,2.103691,-0.2319369,0.8585062,2.105167,0.1478223,0.7299412,2.143903,0.11832,1.019206,2.115353
2019-12-10 22:11:48:598,-0.06255436,0.8659538,2.214739,-0.06292864,1.215944,2.260343,-0.06365489,1.552367,2.290631,-0.05017857,1.701634,2.333548,-0.2458551,1.421536,2.245507,-0.3071587,1.15217,2.206949,-0.3020644,0.9064271,2.123394,-0.2915113,0.8427818,2.116693,0.1300009,1.39823,2.260876,0.175541,1.134286,2.2458,0.1735366,0.88969,2.163465,0.1560138,0.8191232,2.146721,-0.1477108,0.8755926,2.164444,-0.129896,0.3422726,2.19017,-0.1191402,-0.0963707,2.105335,-0.1076488,-0.07577288,2.006265,0.02482657,0.8651058,2.181499,0.006684756,0.3417236,2.194692,0.006640585,-0.09965682,2.091308,-0.01933775,-0.07697964,1.993996,-0.06348128,1.470044,2.285668,-0.2881588,0.7665026,2.101917,-0.2313025,0.8382635,2.097957,0.1465516,0.7306346,2.141727,0.1117884,1.027066,2.1055
2019-12-10 22:11:48:639,-0.06351849,0.8666255,2.214266,-0.06404978,1.216232,2.260325,-0.06497532,1.552325,2.291063,-0.0516643,1.701359,2.33345,-0.2474125,1.422203,2.245943,-0.3075002,1.152015,2.206907,-0.3025644,0.906083,2.1235,-0.2901859,0.8432418,2.116565,0.1290149,1.398273,2.261019,0.1731729,1.134332,2.243909,0.1716761,0.8899782,2.161742,0.1550356,0.8194104,2.142654,-0.1486283,0.8763734,2.164218,-0.1306174,0.3430778,2.189552,-0.1190529,-0.09597051,2.105417,-0.106935,-0.07565415,2.006621,0.02382441,0.8656745,2.180741,0.006725624,0.3418478,2.194759,0.009234849,-0.09606326,2.090754,-0.01947269,-0.07656729,1.998057,-0.06475257,1.470084,2.285981,-0.2835683,0.7651241,2.106434,-0.2311559,0.8555295,2.099083,0.1447093,0.7320018,2.135912,0.1092133,1.025155,2.103235
2019-12-10 22:11:48:683,-0.06531208,0.8674514,2.213431,-0.06616223,1.216578,2.259801,-0.06720667,1.552213,2.290791,-0.05463415,1.70133,2.333736,-0.2505492,1.422733,2.246559,-0.3085956,1.151161,2.207246,-0.3031793,0.905601,2.124901,-0.2877004,0.8428153,2.119195,0.1253714,1.399531,2.260937,0.169533,1.134293,2.241297,0.1673534,0.8878663,2.1574,0.1521958,0.8168901,2.138081,-0.1503322,0.8770812,2.163633,-0.1319433,0.3440348,2.188887,-0.1183704,-0.09460497,2.106138,-0.1075596,-0.07560277,2.008453,0.02204218,0.8665975,2.179665,0.005839734,0.3408296,2.195003,0.009463878,-0.09818041,2.092093,-0.02524314,-0.07671046,2.000192,-0.06697396,1.470077,2.285653,-0.2793591,0.7651064,2.108114,-0.230977,0.8626857,2.096636,0.1451242,0.7316911,2.13521,0.1044404,1.014845,2.102818
2019-12-10 22:11:48:721,-0.06620947,0.8674869,2.212728,-0.06740193,1.216604,2.259318,-0.0687088,1.552242,2.290536,-0.05690135,1.701163,2.333151,-0.2518403,1.422597,2.246449,-0.3093462,1.151097,2.207655,-0.303254,0.9054722,2.125487,-0.2865812,0.8430189,2.118391,0.1240495,1.399948,2.260772,0.1685402,1.134701,2.240439,0.1671712,0.889311,2.156363,0.1522584,0.8173643,2.136213,-0.1511621,0.8770173,2.163132,-0.1324625,0.3444951,2.188254,-0.119061,-0.09344018,2.105555,-0.1065233,-0.07565749,2.009381,0.02111957,0.8667504,2.178738,0.005576779,0.3406417,2.195081,0.009538579,-0.09763026,2.091977,-0.02369349,-0.07690263,2.000423,-0.06841998,1.470101,2.285342,-0.2764432,0.7617028,2.115562,-0.23076,0.8497851,2.092945,0.1442974,0.7330374,2.129903,0.1043256,1.015865,2.102544
2019-12-10 22:11:48:759,-0.06722771,0.8675575,2.212255,-0.06892223,1.216627,2.25895,-0.07063996,1.55222,2.2903,-0.05943339,1.700854,2.332443,-0.253412,1.422923,2.247059,-0.3099859,1.150709,2.208004,-0.3031227,0.9035356,2.126471,-0.2861122,0.8434005,2.119517,0.1235659,1.399909,2.260686,0.167687,1.134287,2.239783,0.167055,0.8895148,2.155912,0.1525013,0.8173612,2.137981,-0.1522988,0.8770903,2.162494,-0.1329602,0.344965,2.188007,-0.1190106,-0.0935204,2.105527,-0.1062948,-0.07595479,2.009553,0.02026987,0.866814,2.178427,0.005579485,0.3403722,2.195145,0.009588751,-0.09785759,2.09178,-0.02308071,-0.07736671,2.000421,-0.07025953,1.470088,2.285072,-0.2785729,0.7656419,2.116943,-0.230893,0.8533264,2.092177,0.1443339,0.732926,2.130526,0.1043663,1.026792,2.101136
2019-12-10 22:11:48:803,-0.06814339,0.8680149,2.211699,-0.0706993,1.216729,2.258333,-0.07350792,1.551776,2.289587,-0.06113499,1.700243,2.331568,-0.2551773,1.422912,2.247192,-0.3106006,1.150049,2.208057,-0.3037554,0.9047037,2.127109,-0.2862943,0.8449267,2.119572,0.1223722,1.400589,2.260555,0.1659115,1.133388,2.23857,0.1662435,0.8906371,2.155204,0.1512832,0.8178014,2.137206,-0.1531523,0.8771412,2.161925,-0.1329428,0.3453069,2.187844,-0.1182895,-0.09360015,2.105678,-0.1121666,-0.0735383,2.006152,0.01925612,0.8677818,2.177871,0.004782643,0.3397584,2.195257,0.009789978,-0.09826386,2.091871,-0.02009949,-0.07697797,1.998702,-0.07283943,1.469797,2.284388,-0.2776072,0.7703332,2.113746,-0.2326382,0.8579893,2.092509,0.1448137,0.7324918,2.130554,0.1042693,1.026314,2.101541
2019-12-10 22:11:48:840,-0.06946748,0.8682089,2.210895,-0.07218269,1.216578,2.257341,-0.07496472,1.55131,2.288378,-0.06325011,1.699986,2.331018,-0.2560491,1.422732,2.246719,-0.3115019,1.149487,2.208103,-0.3043953,0.9061818,2.128085,-0.2874247,0.8462111,2.11961,0.1188349,1.400175,2.259323,0.1654229,1.13311,2.238286,0.1657445,0.8907614,2.154508,0.1510163,0.817867,2.138968,-0.1545132,0.8768975,2.161223,-0.1331849,0.3456362,2.187456,-0.1181432,-0.09359086,2.10551,-0.1142715,-0.07317722,2.005423,0.01797528,0.8684158,2.176953,0.003685704,0.3383903,2.195753,0.008950493,-0.09952986,2.09195,-0.009714451,-0.08292389,2.000992,-0.07431731,1.469404,2.283237,-0.2799565,0.767414,2.119306,-0.2327873,0.8567646,2.094413,0.1444176,0.7326921,2.131893,0.1048618,1.01739,2.104328
