2019-12-10 22:11:47:180, no_human
2019-12-10 22:11:47:191, no_human
2019-12-10 22:11:47:432, no_human
2019-12-10 22:11:47:505, no_human
2019-12-10 22:11:47:523, no_human
2019-12-10 22:11:47:539, no_human
2019-12-10 22:11:47:555, no_human
2019-12-10 22:11:47:572, no_human
2019-12-10 22:11:47:589, no_human
2019-12-10 22:11:47:605, no_human
2019-12-10 22:11:47:621, no_human
2019-12-10 22:11:47:638, no_human
2019-12-10 22:11:47:655, no_human
2019-12-10 22:11:47:671, no_human
2019-12-10 22:11:47:688, no_human
2019-12-10 22:11:47:746, no_human
2019-12-10 22:11:47:755, no_human
2019-12-10 22:11:47:781, no_human
2019-12-10 22:11:47:789, no_human
2019-12-10 22:11:47:831, no_human
2019-12-10 22:11:47:859, no_human
2019-12-10 22:11:47:886, no_human
2019-12-10 22:11:47:893, no_human
2019-12-10 22:11:47:910, no_human
2019-12-10 22:11:47:947, no_human
2019-12-10 22:11:47:980, no_human
2019-12-10 22:11:48:021, no_human
2019-12-10 22:11:48:054, no_human
2019-12-10 22:11:48:082, no_human
2019-12-10 22:11:48:116, no_human
2019-12-10 22:11:48:153, no_human
2019-12-10 22:11:48:181, no_human
2019-12-10 22:11:48:212, no_human
2019-12-10 22:11:48:243, no_human
2019-12-10 22:11:48:272, no_human
2019-12-10 22:11:48:304, no_human
2019-12-10 22:11:48:340, no_human
2019-12-10 22:11:48:370, no_human
2019-12-10 22:11:48:399, no_human
2019-12-10 22:11:48:430, no_human
2019-12-10 22:11:48:478,-0.1885182,1.934838,-0.3747805,-0.1894458,1.584512,-0.4199205,-0.1907144,1.247594,-0.4494427,-0.2020832,1.098145,-0.4931229,-0.006499469,1.378594,-0.4040688,0.05591661,1.647988,-0.3665789,0.0491828,1.892738,-0.2824669,0.03460062,1.956015,-0.2754067,-0.38222,1.402442,-0.4200342,-0.4306492,1.666804,-0.4078575,-0.4355278,1.903203,-0.3314534,-0.4261996,1.982478,-0.3210788,-0.1033986,1.924967,-0.324087,-0.1234907,2.460056,-0.3501607,-0.130667,2.891826,-0.2684382,-0.1348958,2.873329,-0.1710842,-0.2759324,1.935839,-0.3418425,-0.2592275,2.456576,-0.3522206,-0.2581317,2.896873,-0.251726,-0.2176893,2.874068,-0.1522531,-0.1903365,1.330068,-0.444702,0.02990934,2.033091,-0.2674649,-0.02239068,1.936569,-0.2619546,-0.4226838,2.070925,-0.3151684,-0.3748513,2.080779,0.05433336,
2019-12-10 22:11:48:519,-0.1882343,1.934992,-0.3748882,-0.1889489,1.584648,-0.4201291,-0.1898821,1.24769,-0.4497984,-0.2015015,1.098276,-0.4932168,-0.00639683,1.378612,-0.4042543,0.05621028,1.648023,-0.3665813,0.05057293,1.892489,-0.2823024,0.03904423,1.956672,-0.2746988,-0.3820531,1.402206,-0.4204794,-0.4295648,1.666412,-0.4076157,-0.4324526,1.903656,-0.3302153,-0.4125722,1.981138,-0.3147298,-0.1030036,1.925229,-0.3245485,-0.1210039,2.458218,-0.3501752,-0.1310027,2.891992,-0.2679463,-0.1407953,2.873326,-0.1706706,-0.275638,1.935959,-0.3417082,-0.2579255,2.456983,-0.3538094,-0.2603399,2.896589,-0.2523325,-0.2227297,2.874946,-0.1576779,-0.1895982,1.330177,-0.4450174,0.03476378,2.033997,-0.2640384,-0.01855995,1.944139,-0.2644458,-0.4003537,2.068226,-0.3067718,-0.3685022,2.074188,0.05616227,
2019-12-10 22:11:48:555,-0.1880118,1.934413,-0.3748799,-0.1882336,1.5842,-0.4203525,-0.1882572,1.247396,-0.4504583,-0.2008292,1.09835,-0.4933179,-0.006356731,1.378634,-0.4042481,0.05657423,1.647867,-0.366761,0.05143407,1.893086,-0.282935,0.04050815,1.957144,-0.2752514,-0.3809814,1.401945,-0.4207035,-0.4278676,1.666087,-0.4069162,-0.4296007,1.904173,-0.327904,-0.4091267,1.980655,-0.3104907,-0.1028131,1.924749,-0.324504,-0.1207896,2.457752,-0.3501778,-0.1307149,2.891908,-0.2676118,-0.1416907,2.873124,-0.1703511,-0.2754036,1.935282,-0.3417273,-0.2571848,2.458005,-0.354528,-0.2577318,2.898603,-0.251334,-0.2291684,2.877355,-0.1557441,-0.1882417,1.329828,-0.4455438,0.03664467,2.033574,-0.263691,-0.01806305,1.941494,-0.2651666,-0.3978223,2.070059,-0.3039034,-0.36832,2.080794,0.05464688,
2019-12-10 22:11:48:598,-0.1874456,1.934046,-0.3747392,-0.1870714,1.584056,-0.4203432,-0.1863451,1.247633,-0.4506307,-0.1998214,1.098366,-0.4935475,-0.004144937,1.378464,-0.4055071,0.05715871,1.64783,-0.3669491,0.05206442,1.893573,-0.2833944,0.04151133,1.957218,-0.2766927,-0.3800009,1.40177,-0.4208763,-0.425541,1.665714,-0.4057999,-0.4235365,1.91031,-0.3234645,-0.4060138,1.980877,-0.3067213,-0.1022892,1.924407,-0.3244439,-0.120104,2.457727,-0.3501695,-0.1308598,2.896371,-0.2653349,-0.1423512,2.875773,-0.1662651,-0.2748266,1.934894,-0.3414984,-0.2566848,2.458277,-0.3546916,-0.2566406,2.899657,-0.2513083,-0.2306623,2.87698,-0.1539961,-0.1865187,1.329957,-0.4456678,0.0381588,2.033497,-0.2619172,-0.01869754,1.961737,-0.2579566,-0.3965516,2.069366,-0.3017266,-0.3617884,2.072934,0.0645,
2019-12-10 22:11:48:639,-0.1864815,1.933375,-0.3742655,-0.1859502,1.583768,-0.4203249,-0.1850247,1.247675,-0.4510632,-0.1983357,1.098641,-0.4934495,-0.002587467,1.377797,-0.4059427,0.05750015,1.647985,-0.3669072,0.05256444,1.893917,-0.2835,0.04018587,1.956758,-0.2765647,-0.3790149,1.401727,-0.4210194,-0.4231729,1.665668,-0.4039086,-0.4216761,1.910022,-0.3217421,-0.4050356,1.98059,-0.3026543,-0.1013717,1.923627,-0.3242183,-0.1193826,2.456922,-0.3495515,-0.1309471,2.895971,-0.2654174,-0.143065,2.875654,-0.1666208,-0.2738244,1.934326,-0.3407407,-0.2567256,2.458152,-0.3547588,-0.2592348,2.896063,-0.2507542,-0.2305273,2.876567,-0.1580567,-0.1852474,1.329916,-0.4459808,0.03356826,2.034876,-0.2664335,-0.01884414,1.944471,-0.2590826,-0.3947093,2.067998,-0.2959121,-0.3592134,2.074845,0.06676474,
2019-12-10 22:11:48:683,-0.1846879,1.932549,-0.373431,-0.1838378,1.583422,-0.4198013,-0.1827933,1.247787,-0.4507905,-0.1953658,1.09867,-0.4937356,0.000549227,1.377267,-0.4065586,0.05859563,1.648839,-0.367246,0.05317932,1.894399,-0.2849012,0.03770044,1.957185,-0.2791951,-0.3753714,1.400469,-0.4209374,-0.419533,1.665707,-0.4012969,-0.4173534,1.912134,-0.3173996,-0.4021958,1.98311,-0.298081,-0.09966783,1.922919,-0.323633,-0.1180567,2.455965,-0.3488868,-0.1316296,2.894605,-0.2661381,-0.1424404,2.875603,-0.1684533,-0.2720422,1.933403,-0.3396645,-0.2558397,2.45917,-0.3550032,-0.2594639,2.89818,-0.2520929,-0.2247569,2.87671,-0.1601923,-0.183026,1.329923,-0.4456533,0.0293591,2.034894,-0.2681144,-0.01902296,1.937314,-0.256636,-0.3951242,2.068309,-0.2952097,-0.3544404,2.085155,0.06718174,
2019-12-10 22:11:48:721,-0.1837905,1.932513,-0.3727277,-0.1825981,1.583396,-0.4193175,-0.1812912,1.247759,-0.4505361,-0.1930986,1.098837,-0.493151,0.001840264,1.377403,-0.4064487,0.0593462,1.648903,-0.3676551,0.05325404,1.894528,-0.285487,0.03658119,1.956981,-0.2783905,-0.3740495,1.400052,-0.4207714,-0.4185402,1.665299,-0.4004388,-0.4171712,1.910689,-0.3163627,-0.4022584,1.982636,-0.2962125,-0.09883793,1.922983,-0.3231316,-0.1175375,2.455505,-0.3482535,-0.130939,2.89344,-0.2655545,-0.1434767,2.875658,-0.1693805,-0.2711196,1.93325,-0.3387383,-0.2555768,2.459358,-0.3550804,-0.2595386,2.89763,-0.2519768,-0.2263065,2.876903,-0.1604231,-0.18158,1.329899,-0.4453419,0.02644318,2.038297,-0.2755616,-0.01923996,1.950215,-0.2529452,-0.3942974,2.066963,-0.2899025,-0.3543256,2.084135,0.06745616,
2019-12-10 22:11:48:759,-0.1827723,1.932443,-0.3722547,-0.1810778,1.583373,-0.4189494,-0.17936,1.24778,-0.4502996,-0.1905666,1.099146,-0.4924429,0.003412008,1.377077,-0.4070585,0.05998591,1.649291,-0.3680044,0.05312273,1.896464,-0.2864705,0.03611222,1.9566,-0.279517,-0.3735659,1.400091,-0.4206863,-0.417687,1.665713,-0.3997825,-0.417055,1.910485,-0.3159116,-0.4025013,1.982639,-0.2979811,-0.09770116,1.92291,-0.3224939,-0.1170398,2.455035,-0.3480068,-0.1309894,2.89352,-0.2655273,-0.1437052,2.875955,-0.1695531,-0.2702699,1.933186,-0.3384271,-0.2555795,2.459628,-0.3551448,-0.2595887,2.897858,-0.2517796,-0.2269193,2.877367,-0.1604212,-0.1797405,1.329912,-0.4450722,0.02857286,2.034358,-0.2769433,-0.01910695,1.946674,-0.2521773,-0.3943339,2.067074,-0.2905255,-0.3543663,2.073208,0.06886354,
2019-12-10 22:11:48:803,-0.1818566,1.931985,-0.3716984,-0.1793007,1.583272,-0.4183331,-0.1764921,1.248224,-0.4495869,-0.188865,1.099757,-0.4915679,0.005177259,1.377088,-0.4071916,0.06060061,1.649951,-0.3680568,0.05375537,1.895296,-0.2871092,0.03629434,1.955073,-0.2795716,-0.3723722,1.399411,-0.4205547,-0.4159114,1.666612,-0.3985701,-0.4162435,1.909363,-0.3152035,-0.4012832,1.982199,-0.2972057,-0.09684767,1.922859,-0.3219247,-0.1170572,2.454693,-0.3478439,-0.1317105,2.8936,-0.2656778,-0.1378334,2.873538,-0.1661518,-0.2692561,1.932218,-0.3378704,-0.2547826,2.460242,-0.3552571,-0.25979,2.898264,-0.2518709,-0.2299005,2.876978,-0.158702,-0.1771606,1.330203,-0.4443875,0.0276072,2.029667,-0.2737458,-0.01736182,1.942011,-0.2525087,-0.3948137,2.067508,-0.2905541,-0.3542693,2.073687,0.06845918,
2019-12-10 22:11:48:840,-0.1805325,1.931791,-0.3708945,-0.1778173,1.583422,-0.4173406,-0.1750353,1.24869,-0.4483777,-0.1867499,1.100014,-0.4910179,0.006049126,1.377269,-0.406719,0.06150192,1.650513,-0.3681028,0.05439535,1.893818,-0.2880846,0.03742465,1.953789,-0.27961,-0.3688349,1.399825,-0.4193226,-0.4154229,1.666891,-0.3982857,-0.4157445,1.909239,-0.3145083,-0.4010163,1.982133,-0.2989679,-0.09548678,1.923103,-0.3212233,-0.1168151,2.454364,-0.3474556,-0.1318568,2.893591,-0.2655094,-0.1357285,2.873177,-0.1654225,-0.2679753,1.931584,-0.3369527,-0.2536857,2.46161,-0.3557528,-0.2589505,2.89953,-0.2519501,-0.2402855,2.882924,-0.160992,-0.1756827,1.330596,-0.4432369,0.02995652,2.032586,-0.2793055,-0.01721267,1.943236,-0.2544127,-0.3944176,2.067308,-0.2918926,-0.3548618,2.08261,0.06567231,
