2019-12-10 22:15:08:480, no_human
2019-12-10 22:15:08:490, no_human
2019-12-10 22:15:08:738, no_human
2019-12-10 22:15:08:822, no_human
2019-12-10 22:15:08:839, no_human
2019-12-10 22:15:08:854, no_human
2019-12-10 22:15:08:871, no_human
2019-12-10 22:15:08:888, no_human
2019-12-10 22:15:08:905, no_human
2019-12-10 22:15:08:921, no_human
2019-12-10 22:15:08:961, no_human
2019-12-10 22:15:08:968, no_human
2019-12-10 22:15:08:997, no_human
2019-12-10 22:15:09:014, no_human
2019-12-10 22:15:09:023, no_human
2019-12-10 22:15:09:040, no_human
2019-12-10 22:15:09:054, no_human
2019-12-10 22:15:09:071, no_human
2019-12-10 22:15:09:114, no_human
2019-12-10 22:15:09:144, no_human
2019-12-10 22:15:09:176, no_human
2019-12-10 22:15:09:205, no_human
2019-12-10 22:15:09:233, no_human
2019-12-10 22:15:09:264, no_human
2019-12-10 22:15:09:273, no_human
2019-12-10 22:15:09:310, no_human
2019-12-10 22:15:09:337, no_human
2019-12-10 22:15:09:366, no_human
2019-12-10 22:15:09:377, no_human
2019-12-10 22:15:09:413, no_human
2019-12-10 22:15:09:443, no_human
2019-12-10 22:15:09:472, no_human
2019-12-10 22:15:09:500, no_human
2019-12-10 22:15:09:529, no_human
2019-12-10 22:15:09:537, no_human
2019-12-10 22:15:09:604,3.852131,2.585738
2019-12-10 22:15:09:660,3.852054,2.585774
2019-12-10 22:15:09:746,3.851676,2.585274
2019-12-10 22:15:09:792,3.851485,2.584209
2019-12-10 22:15:09:840,3.851588,2.58356
2019-12-10 22:15:09:883,3.851761,2.582302
2019-12-10 22:15:09:925,3.85568,2.574152
2019-12-10 22:15:09:969,3.859597,2.568582
2019-12-10 22:15:10:007,3.865437,2.56302
2019-12-10 22:15:10:046,3.872088,2.557553
2019-12-10 22:15:10:085,3.890018,2.545501
2019-12-10 22:15:10:135,3.896773,2.54263
2019-12-10 22:15:10:177,3.906631,2.53864
2019-12-10 22:15:10:221,3.91681,2.536934
2019-12-10 22:15:10:259,3.941309,2.538274
2019-12-10 22:15:10:304,3.954803,2.54494
2019-12-10 22:15:10:345,3.96761,2.548312
2019-12-10 22:15:10:385,3.982128,2.556967
2019-12-10 22:15:10:423,4.002831,2.574349
2019-12-10 22:15:10:472,4.025719,2.583778
2019-12-10 22:15:10:509,4.034688,2.586899
2019-12-10 22:15:10:550,4.049409,2.595463
2019-12-10 22:15:10:587,4.07046,2.604796
2019-12-10 22:15:10:636,4.078866,2.607037
2019-12-10 22:15:10:682,4.084927,2.608422
2019-12-10 22:15:10:726,4.102732,2.61081
2019-12-10 22:15:10:780,4.11367,2.610443
2019-12-10 22:15:10:818,4.13419,2.60733
2019-12-10 22:15:10:859,4.143127,2.604054
2019-12-10 22:15:10:906,4.152814,2.598473
2019-12-10 22:15:10:949,4.161971,2.591274
2019-12-10 22:15:10:987,4.163439,2.587604
2019-12-10 22:15:11:024,4.162648,2.582321
2019-12-10 22:15:11:070,4.164237,2.574013
2019-12-10 22:15:11:107,4.174417,2.562138
