2019-12-10 22:15:08:480, no_human
2019-12-10 22:15:08:490, no_human
2019-12-10 22:15:08:738, no_human
2019-12-10 22:15:08:822, no_human
2019-12-10 22:15:08:839, no_human
2019-12-10 22:15:08:854, no_human
2019-12-10 22:15:08:871, no_human
2019-12-10 22:15:08:888, no_human
2019-12-10 22:15:08:905, no_human
2019-12-10 22:15:08:921, no_human
2019-12-10 22:15:08:961, no_human
2019-12-10 22:15:08:968, no_human
2019-12-10 22:15:08:997, no_human
2019-12-10 22:15:09:014, no_human
2019-12-10 22:15:09:023, no_human
2019-12-10 22:15:09:040, no_human
2019-12-10 22:15:09:054, no_human
2019-12-10 22:15:09:071, no_human
2019-12-10 22:15:09:114, no_human
2019-12-10 22:15:09:144, no_human
2019-12-10 22:15:09:176, no_human
2019-12-10 22:15:09:205, no_human
2019-12-10 22:15:09:233, no_human
2019-12-10 22:15:09:264, no_human
2019-12-10 22:15:09:273, no_human
2019-12-10 22:15:09:310, no_human
2019-12-10 22:15:09:337, no_human
2019-12-10 22:15:09:366, no_human
2019-12-10 22:15:09:377, no_human
2019-12-10 22:15:09:413, no_human
2019-12-10 22:15:09:443, no_human
2019-12-10 22:15:09:472, no_human
2019-12-10 22:15:09:500, no_human
2019-12-10 22:15:09:529, no_human
2019-12-10 22:15:09:537, no_human
2019-12-10 22:15:09:604,-0.3821307,1.6921932.585738
2019-12-10 22:15:09:660,-0.3820539,1.6923442.585774
2019-12-10 22:15:09:746,-0.3816764,1.6924732.585274
2019-12-10 22:15:09:792,-0.3814851,1.6929232.584209
2019-12-10 22:15:09:840,-0.3815882,1.6931042.58356
2019-12-10 22:15:09:883,-0.3817608,1.6933352.582302
2019-12-10 22:15:09:925,-0.3856805,1.6933942.574152
2019-12-10 22:15:09:969,-0.3895972,1.6937012.568582
2019-12-10 22:15:10:007,-0.3954366,1.6907982.56302
2019-12-10 22:15:10:046,-0.402088,1.6878622.557553
2019-12-10 22:15:10:085,-0.4200184,1.6814772.545501
2019-12-10 22:15:10:135,-0.4267734,1.6796472.54263
2019-12-10 22:15:10:177,-0.4366312,1.6762692.53864
2019-12-10 22:15:10:221,-0.4468099,1.6719472.536934
2019-12-10 22:15:10:259,-0.4713089,1.6677122.538274
2019-12-10 22:15:10:304,-0.4848034,1.6647642.54494
2019-12-10 22:15:10:345,-0.4976096,1.6632592.548312
2019-12-10 22:15:10:385,-0.5121278,1.6614452.556967
2019-12-10 22:15:10:423,-0.5328314,1.66292.574349
2019-12-10 22:15:10:472,-0.5557187,1.6607532.583778
2019-12-10 22:15:10:509,-0.564688,1.6628842.586899
2019-12-10 22:15:10:550,-0.5794091,1.6607172.595463
2019-12-10 22:15:10:587,-0.6004605,1.6651572.604796
2019-12-10 22:15:10:636,-0.6088666,1.6664022.607037
2019-12-10 22:15:10:682,-0.6149268,1.6688592.608422
2019-12-10 22:15:10:726,-0.6327317,1.6723142.61081
2019-12-10 22:15:10:780,-0.6436703,1.6748272.610443
2019-12-10 22:15:10:818,-0.6641898,1.6806642.60733
2019-12-10 22:15:10:859,-0.6731269,1.6805192.604054
2019-12-10 22:15:10:906,-0.6828145,1.6792332.598473
2019-12-10 22:15:10:949,-0.6919712,1.6767892.591274
2019-12-10 22:15:10:987,-0.6934385,1.6880012.587604
2019-12-10 22:15:11:024,-0.6926475,1.6921092.582321
2019-12-10 22:15:11:070,-0.6942371,1.6924892.574013
2019-12-10 22:15:11:107,-0.7044165,1.6904462.562138
2019-12-10 22:15:11:148,-0.7156334,1.6875972.545879
2019-12-10 22:15:11:185,-0.7342278,1.6860812.528512
2019-12-10 22:15:11:237,-0.7451953,1.6854272.521157
2019-12-10 22:15:11:304,-0.7636932,1.6883132.507826
2019-12-10 22:15:11:341,-0.7759232,1.6879842.500282
2019-12-10 22:15:11:380,-0.7961804,1.6922422.489155
2019-12-10 22:15:11:418,-0.82162,1.6892862.476941
2019-12-10 22:15:11:471,-0.8357242,1.6829052.46855
2019-12-10 22:15:11:511,-0.9000595,1.6738432.445305
2019-12-10 22:15:11:547,-0.9045811,1.6705612.445612
2019-12-10 22:15:11:584,-0.9227057,1.6671062.441674
2019-12-10 22:15:11:623,-0.9346272,1.6639472.440737
