2019-12-10 22:15:08:480, no_human
2019-12-10 22:15:08:490, no_human
2019-12-10 22:15:08:738, no_human
2019-12-10 22:15:08:822, no_human
2019-12-10 22:15:08:839, no_human
2019-12-10 22:15:08:854, no_human
2019-12-10 22:15:08:871, no_human
2019-12-10 22:15:08:888, no_human
2019-12-10 22:15:08:905, no_human
2019-12-10 22:15:08:921, no_human
2019-12-10 22:15:08:961, no_human
2019-12-10 22:15:08:968, no_human
2019-12-10 22:15:08:997, no_human
2019-12-10 22:15:09:014, no_human
2019-12-10 22:15:09:023, no_human
2019-12-10 22:15:09:040, no_human
2019-12-10 22:15:09:054, no_human
2019-12-10 22:15:09:071, no_human
2019-12-10 22:15:09:114, no_human
2019-12-10 22:15:09:144, no_human
2019-12-10 22:15:09:176, no_human
2019-12-10 22:15:09:205, no_human
2019-12-10 22:15:09:233, no_human
2019-12-10 22:15:09:264, no_human
2019-12-10 22:15:09:273, no_human
2019-12-10 22:15:09:310, no_human
2019-12-10 22:15:09:337, no_human
2019-12-10 22:15:09:366, no_human
2019-12-10 22:15:09:377, no_human
2019-12-10 22:15:09:413, no_human
2019-12-10 22:15:09:443, no_human
2019-12-10 22:15:09:472, no_human
2019-12-10 22:15:09:500, no_human
2019-12-10 22:15:09:529, no_human
2019-12-10 22:15:09:537, no_human
2019-12-10 22:15:09:604,-0.3804612,0.8850473,2.178674,-0.3826626,1.21935,2.22393,-0.3825471,1.541323,2.254591,-0.3821307,1.692193,2.265738,-0.5641763,1.408393,2.22063,-0.6141586,1.139782,2.180362,-0.6151925,0.9127246,2.101043,-0.5957471,0.8489114,2.090749,-0.1802378,1.405326,2.230035,-0.1301282,1.138964,2.197389,-0.1229682,0.9033744,2.107885,-0.1343915,0.832164,2.085979,-0.4615868,0.889742,2.134576,-0.4634626,0.4733886,2.154664,-0.457538,0.0248934,2.162398,-0.4816895,0.02285159,2.0625,-0.2854896,0.8881526,2.143712,-0.2524157,0.4362215,2.149283,-0.23774,0.008156061,2.123288,-0.2258301,0.01308596,2.048828,-0.3829805,1.462446,2.249422,-0.5888123,0.7748065,2.077245,-0.6441818,0.8463165,2.069034,-0.1391902,0.7468707,2.06648,-0.1837439,1.053104,2.073
2019-12-10 22:15:09:660,-0.3809541,0.8854679,2.178614,-0.3827375,1.219447,2.223834,-0.3824681,1.541306,2.254477,-0.3820539,1.692344,2.265774,-0.5641994,1.408476,2.220723,-0.614124,1.140788,2.180713,-0.6145694,0.9123554,2.100724,-0.5950645,0.8505151,2.090859,-0.1800286,1.405447,2.230225,-0.1299299,1.138119,2.197483,-0.1229859,0.9026768,2.107126,-0.1355272,0.8327875,2.084403,-0.4620681,0.8901327,2.134638,-0.4631705,0.4715412,2.155035,-0.4570598,0.02665889,2.163652,-0.4820358,0.02435458,2.062402,-0.2859975,0.8885998,2.143561,-0.2525658,0.4346958,2.149251,-0.2375795,0.00767374,2.123591,-0.2257876,0.01258492,2.048748,-0.3829446,1.462453,2.249326,-0.5921147,0.7778665,2.073789,-0.6443837,0.8306338,2.073421,-0.1390351,0.7472684,2.06409,-0.1833108,1.042577,2.072375
2019-12-10 22:15:09:746,-0.3812299,0.8858975,2.178346,-0.3827232,1.219559,2.223714,-0.3820809,1.541277,2.254391,-0.3816764,1.692473,2.265274,-0.5639897,1.408621,2.220764,-0.6138151,1.140732,2.180642,-0.614079,0.9145086,2.10104,-0.5947623,0.8489242,2.090417,-0.1794076,1.405951,2.230161,-0.1292127,1.137886,2.19699,-0.1227835,0.9021924,2.106579,-0.1352271,0.8329099,2.084326,-0.4623179,0.8904999,2.134424,-0.4629528,0.4727382,2.15445,-0.4570848,0.0286746,2.163755,-0.4824973,0.02547991,2.062898,-0.2863038,0.8891168,2.143235,-0.25312,0.4335729,2.149091,-0.2362532,0.007935166,2.121884,-0.2175719,0.015957,2.034436,-0.3826985,1.462466,2.249233,-0.5877516,0.7748473,2.07654,-0.6487368,0.8412983,2.080716,-0.1403663,0.747993,2.06472,-0.1835234,1.051114,2.071778
2019-12-10 22:15:09:792,-0.3813627,0.8863136,2.178212,-0.3823882,1.21979,2.223433,-0.3805853,1.541245,2.253652,-0.3814851,1.692923,2.264209,-0.5628348,1.408676,2.221891,-0.6130871,1.140867,2.181467,-0.6128005,0.913853,2.10083,-0.5931056,0.8497877,2.091433,-0.1783287,1.406998,2.228489,-0.1275092,1.137963,2.195281,-0.1225928,0.9024415,2.105355,-0.1358897,0.8332138,2.081578,-0.4624617,0.8908133,2.134687,-0.4628374,0.4716882,2.154825,-0.4571804,0.02832127,2.16375,-0.4822743,0.02517462,2.062486,-0.2864886,0.8899024,2.142492,-0.2532234,0.4337875,2.148681,-0.2362289,0.008542299,2.121806,-0.2209934,0.01388431,2.039933,-0.3815596,1.462535,2.248631,-0.588805,0.7780516,2.07466,-0.6512862,0.8492379,2.0921,-0.140671,0.7477071,2.06918,-0.1832274,1.049001,2.071164
2019-12-10 22:15:09:840,-0.3814025,0.8865531,2.178144,-0.3821061,1.220013,2.223324,-0.3797065,1.541454,2.2535,-0.3815882,1.693104,2.263561,-0.5619206,1.408757,2.223516,-0.6125774,1.139783,2.183247,-0.6118447,0.9169682,2.102458,-0.5916192,0.8514124,2.092524,-0.1768371,1.407851,2.22515,-0.1254349,1.138854,2.19111,-0.1224426,0.9028271,2.103605,-0.1368933,0.8332307,2.078252,-0.4625245,0.8911048,2.135173,-0.4627964,0.4690813,2.15566,-0.457313,0.02801096,2.163671,-0.4821759,0.02524662,2.061792,-0.2865592,0.890423,2.141697,-0.2531688,0.4342213,2.148,-0.2362167,0.009149671,2.121917,-0.2209904,0.01395929,2.04013,-0.3808391,1.462753,2.248484,-0.5837485,0.7794583,2.073959,-0.639966,0.8481336,2.07628,-0.142083,0.7477806,2.062128,-0.1816748,1.029433,2.068471
2019-12-10 22:15:09:883,-0.3816623,0.8867245,2.178189,-0.3819094,1.220167,2.22314,-0.3783866,1.541745,2.252635,-0.3817608,1.693335,2.262302,-0.5613647,1.408089,2.22523,-0.6112154,1.139235,2.186739,-0.6093948,0.9153521,2.104722,-0.5900342,0.8530511,2.096254,-0.175346,1.409401,2.221398,-0.1225657,1.139303,2.185819,-0.1230105,0.9012042,2.097436,-0.1381147,0.8336679,2.073797,-0.4630148,0.8912259,2.135989,-0.4626504,0.4685404,2.155741,-0.4576203,0.02724016,2.163273,-0.4825922,0.02548075,2.060692,-0.2868731,0.890716,2.141279,-0.2535226,0.4360813,2.145996,-0.236245,0.009429693,2.121986,-0.2208712,0.01412189,2.039891,-0.3798608,1.463012,2.24783,-0.5806527,0.7800189,2.079949,-0.6386309,0.8390956,2.082952,-0.143008,0.747305,2.062101,-0.1862187,1.055308,2.063192
2019-12-10 22:15:09:925,-0.383133,0.8871065,2.179035,-0.3813001,1.220583,2.22283,-0.3736854,1.542954,2.250204,-0.3856805,1.693394,2.254152,-0.5573631,1.406381,2.234044,-0.6056611,1.137473,2.203828,-0.6048619,0.9195682,2.119329,-0.5832003,0.8557467,2.110321,-0.1725685,1.413341,2.204925,-0.1158527,1.142901,2.16604,-0.1238486,0.9021645,2.082971,-0.1412287,0.8356284,2.056894,-0.4656742,0.8908933,2.142735,-0.4625534,0.4656875,2.155258,-0.4577213,0.02538788,2.162191,-0.4821304,0.02523243,2.060381,-0.2886585,0.8916433,2.139137,-0.254116,0.4393989,2.139868,-0.2368244,0.01078832,2.12192,-0.2187514,0.01505411,2.035203,-0.3763716,1.46401,2.246055,-0.5802165,0.7886167,2.088017,-0.627807,0.8556976,2.094406,-0.1519957,0.7509148,2.043916,-0.1862825,1.058022,2.058667
2019-12-10 22:15:09:969,-0.3849846,0.8875946,2.180339,-0.3811871,1.220734,2.222778,-0.3719955,1.543287,2.2491,-0.3895972,1.693701,2.248582,-0.5574827,1.40633,2.234261,-0.6021718,1.136331,2.215327,-0.6030871,0.9183044,2.131105,-0.5828592,0.857865,2.124904,-0.1723406,1.414183,2.195281,-0.1138018,1.145117,2.156409,-0.1260223,0.904524,2.072813,-0.1440083,0.8356819,2.045521,-0.4680651,0.8906935,2.148554,-0.4626544,0.4650761,2.15493,-0.4576505,0.02548838,2.161898,-0.4821012,0.0253979,2.060521,-0.2905312,0.8926289,2.137655,-0.2545496,0.4393432,2.137726,-0.2367914,0.01128829,2.122188,-0.2187908,0.01500833,2.035291,-0.3751466,1.464322,2.245294,-0.578217,0.7891521,2.099575,-0.6255944,0.8642603,2.107212,-0.154566,0.7529398,2.033944,-0.1874793,1.054949,2.055992
2019-12-10 22:15:10:007,-0.3890589,0.8881521,2.182515,-0.3811922,1.221023,2.222473,-0.3689306,1.544272,2.245249,-0.3954366,1.690798,2.24302,-0.5528839,1.406141,2.249846,-0.6003113,1.137808,2.225015,-0.6009508,0.9159931,2.145895,-0.5828943,0.8577925,2.140405,-0.1729505,1.416146,2.185347,-0.1083837,1.148975,2.140162,-0.1291157,0.9078165,2.064107,-0.148197,0.8386444,2.033915,-0.4722715,0.8906373,2.156768,-0.4631201,0.4617485,2.153754,-0.4576676,0.02515113,2.160774,-0.4821541,0.025334,2.060522,-0.2952348,0.893711,2.134754,-0.2548087,0.4395016,2.135672,-0.2367756,0.01179981,2.1225,-0.2199159,0.01458311,2.037421,-0.3731101,1.465135,2.242614,-0.5828266,0.7874004,2.117272,-0.6294057,0.8602031,2.136,-0.1613584,0.7535383,2.027102,-0.1917478,1.051629,2.046039
2019-12-10 22:15:10:046,-0.3935719,0.8876853,2.185855,-0.3812492,1.221084,2.222434,-0.367103,1.544708,2.243312,-0.402088,1.687862,2.237553,-0.5505483,1.401625,2.257344,-0.5960881,1.136031,2.238905,-0.6011052,0.9142131,2.167784,-0.5852493,0.8556654,2.160308,-0.1753951,1.416645,2.171789,-0.1077039,1.14888,2.127756,-0.1317663,0.9167434,2.049693,-0.1522442,0.8390641,2.019163,-0.4760054,0.8893077,2.164982,-0.4638799,0.4572223,2.150743,-0.4577532,0.02412391,2.16043,-0.4821366,0.02505958,2.060369,-0.2994247,0.8936837,2.133529,-0.2554955,0.4416616,2.132271,-0.2375139,0.01277125,2.122305,-0.2199705,0.01456082,2.037492,-0.3719094,1.465463,2.241299,-0.5598584,0.7639998,2.139247,-0.62926,0.841043,2.149214,-0.1693474,0.7553673,2.012881,-0.1925188,1.05012,2.035826
