2019-12-10 22:15:08:480, no_human
2019-12-10 22:15:08:490, no_human
2019-12-10 22:15:08:738, no_human
2019-12-10 22:15:08:822, no_human
2019-12-10 22:15:08:839, no_human
2019-12-10 22:15:08:854, no_human
2019-12-10 22:15:08:871, no_human
2019-12-10 22:15:08:888, no_human
2019-12-10 22:15:08:905, no_human
2019-12-10 22:15:08:921, no_human
2019-12-10 22:15:08:961, no_human
2019-12-10 22:15:08:968, no_human
2019-12-10 22:15:08:997, no_human
2019-12-10 22:15:09:014, no_human
2019-12-10 22:15:09:023, no_human
2019-12-10 22:15:09:040, no_human
2019-12-10 22:15:09:054, no_human
2019-12-10 22:15:09:071, no_human
2019-12-10 22:15:09:114, no_human
2019-12-10 22:15:09:144, no_human
2019-12-10 22:15:09:176, no_human
2019-12-10 22:15:09:205, no_human
2019-12-10 22:15:09:233, no_human
2019-12-10 22:15:09:264, no_human
2019-12-10 22:15:09:273, no_human
2019-12-10 22:15:09:310, no_human
2019-12-10 22:15:09:337, no_human
2019-12-10 22:15:09:366, no_human
2019-12-10 22:15:09:377, no_human
2019-12-10 22:15:09:413, no_human
2019-12-10 22:15:09:443, no_human
2019-12-10 22:15:09:472, no_human
2019-12-10 22:15:09:500, no_human
2019-12-10 22:15:09:529, no_human
2019-12-10 22:15:09:537, no_human
2019-12-10 22:15:09:604,0.1304612,1.914953,-0.3386737,0.1326626,1.58065,-0.3839298,0.1325471,1.258677,-0.4145911,0.1321307,1.107807,-0.4257377,0.3141763,1.391607,-0.3806296,0.3641586,1.660218,-0.3403621,0.3651925,1.887275,-0.2610429,0.3457471,1.951089,-0.2507485,-0.06976222,1.394674,-0.3900352,-0.1198718,1.661036,-0.3573888,-0.1270318,1.896626,-0.2678853,-0.1156085,1.967836,-0.2459784,0.2115868,1.910258,-0.2945762,0.2134626,2.326612,-0.3146637,0.207538,2.775107,-0.3223982,0.2316895,2.777148,-0.2224999,0.03548962,1.911847,-0.303712,0.002415746,2.363779,-0.3092826,-0.01225999,2.791844,-0.2832881,-0.02416992,2.786914,-0.208828,0.1329805,1.337554,-0.4094222,0.3388123,2.025194,-0.2372447,0.3941818,1.953684,-0.2290342,-0.1108098,2.053129,-0.2264803,-0.06625612,2.046896,0.09699979,
2019-12-10 22:15:09:660,0.1309541,1.914532,-0.3386138,0.1327375,1.580554,-0.3838337,0.1324681,1.258694,-0.4144765,0.1320539,1.107656,-0.4257742,0.3141994,1.391524,-0.3807231,0.364124,1.659212,-0.3407128,0.3645694,1.887645,-0.2607234,0.3450645,1.949485,-0.2508586,-0.06997135,1.394554,-0.3902245,-0.1200701,1.661881,-0.3574825,-0.1270141,1.897323,-0.2671257,-0.1144728,1.967213,-0.2444029,0.2120681,1.909867,-0.2946375,0.2131705,2.328459,-0.3150349,0.2070598,2.773341,-0.3236523,0.2320358,2.775645,-0.2224017,0.03599754,1.9114,-0.3035606,0.002565801,2.365304,-0.3092514,-0.01242055,2.792326,-0.2835913,-0.02421243,2.787415,-0.2087477,0.1329446,1.337547,-0.4093261,0.3421147,2.022134,-0.2337888,0.3943837,1.969366,-0.2334209,-0.1109649,2.052732,-0.2240897,-0.06668919,2.057423,0.09762493,
2019-12-10 22:15:09:746,0.1312299,1.914103,-0.3383461,0.1327232,1.580441,-0.3837138,0.1320809,1.258723,-0.4143909,0.1316764,1.107527,-0.4252737,0.3139897,1.391379,-0.3807641,0.3638151,1.659268,-0.340642,0.364079,1.885491,-0.2610403,0.3447623,1.951076,-0.2504168,-0.07059245,1.394049,-0.3901611,-0.1207873,1.662114,-0.3569897,-0.1272165,1.897808,-0.266579,-0.1147729,1.96709,-0.2443257,0.2123179,1.9095,-0.2944241,0.2129528,2.327262,-0.3144503,0.2070848,2.771326,-0.3237548,0.2324973,2.77452,-0.2228976,0.03630385,1.910883,-0.3032354,0.003120035,2.366427,-0.3090909,-0.01374675,2.792065,-0.2818835,-0.0324281,2.784043,-0.1944357,0.1326985,1.337534,-0.4092327,0.3377516,2.025153,-0.2365394,0.3987368,1.958702,-0.2407156,-0.1096337,2.052007,-0.2247198,-0.06647658,2.048886,0.09822169,
2019-12-10 22:15:09:792,0.1313627,1.913687,-0.3382118,0.1323882,1.58021,-0.3834324,0.1305853,1.258755,-0.413652,0.1314851,1.107077,-0.4242089,0.3128348,1.391325,-0.3818908,0.3630871,1.659133,-0.3414667,0.3628005,1.886147,-0.2608295,0.3431056,1.950212,-0.251433,-0.07167128,1.393002,-0.3884893,-0.1224908,1.662037,-0.3552805,-0.1274072,1.897559,-0.2653547,-0.1141103,1.966786,-0.2415779,0.2124617,1.909187,-0.2946866,0.2128374,2.328312,-0.3148246,0.2071804,2.771679,-0.3237498,0.2322743,2.774826,-0.2224863,0.03648856,1.910098,-0.3024917,0.00322336,2.366213,-0.3086813,-0.01377109,2.791458,-0.2818058,-0.02900657,2.786116,-0.1999329,0.1315596,1.337466,-0.4086307,0.338805,2.021949,-0.23466,0.4012862,1.950762,-0.2520998,-0.109329,2.052293,-0.2291802,-0.06677255,2.050998,0.09883586,
2019-12-10 22:15:09:840,0.1314025,1.913447,-0.3381439,0.1321061,1.579987,-0.3833242,0.1297065,1.258546,-0.4135001,0.1315882,1.106896,-0.4235604,0.3119206,1.391243,-0.3835164,0.3625774,1.660218,-0.343247,0.3618447,1.883032,-0.2624584,0.3416192,1.948588,-0.252524,-0.07316293,1.392149,-0.38515,-0.1245651,1.661146,-0.3511103,-0.1275574,1.897173,-0.2636052,-0.1131067,1.966769,-0.2382517,0.2125245,1.908895,-0.2951728,0.2127964,2.330919,-0.3156596,0.207313,2.771989,-0.3236709,0.2321759,2.774754,-0.2217923,0.03655916,1.909577,-0.3016968,0.003168762,2.365779,-0.3080001,-0.01378332,2.79085,-0.2819174,-0.02900957,2.786041,-0.20013,0.1308391,1.337247,-0.408484,0.3337485,2.020542,-0.2339588,0.389966,1.951866,-0.23628,-0.107917,2.052219,-0.222128,-0.06832524,2.070567,0.1015293,
2019-12-10 22:15:09:883,0.1316623,1.913276,-0.3381887,0.1319094,1.579833,-0.3831404,0.1283866,1.258255,-0.4126351,0.1317608,1.106665,-0.4223016,0.3113647,1.391911,-0.3852304,0.3612154,1.660765,-0.3467391,0.3593948,1.884648,-0.2647219,0.3400342,1.946949,-0.2562543,-0.07465398,1.390599,-0.3813983,-0.1274343,1.660697,-0.3458193,-0.1269895,1.898796,-0.2574356,-0.1118853,1.966332,-0.2337964,0.2130148,1.908774,-0.2959886,0.2126504,2.33146,-0.3157414,0.2076203,2.77276,-0.3232725,0.2325922,2.774519,-0.2206917,0.03687313,1.909284,-0.3012787,0.003522605,2.363919,-0.3059958,-0.01375496,2.79057,-0.2819856,-0.02912879,2.785878,-0.1998911,0.1298608,1.336988,-0.4078296,0.3306527,2.019981,-0.2399486,0.3886309,1.960904,-0.2429524,-0.106992,2.052695,-0.2221008,-0.06378126,2.044692,0.1068076,
2019-12-10 22:15:09:925,0.133133,1.912894,-0.3390346,0.1313001,1.579417,-0.3828297,0.1236854,1.257046,-0.4102035,0.1356805,1.106606,-0.414152,0.3073631,1.393619,-0.3940435,0.3556611,1.662527,-0.363828,0.3548619,1.880432,-0.2793294,0.3332003,1.944253,-0.270321,-0.07743149,1.386659,-0.3649247,-0.1341473,1.657099,-0.3260396,-0.1261514,1.897836,-0.2429708,-0.1087713,1.964372,-0.216894,0.2156742,1.909107,-0.3027351,0.2125534,2.334313,-0.3152578,0.2077213,2.774612,-0.3221913,0.2321304,2.774768,-0.2203811,0.03865853,1.908357,-0.2991365,0.004115999,2.360601,-0.2998682,-0.01317562,2.789212,-0.28192,-0.03124863,2.784946,-0.1952026,0.1263716,1.335991,-0.4060548,0.3302165,2.011384,-0.2480167,0.377807,1.944302,-0.2544063,-0.09800428,2.049085,-0.2039154,-0.06371753,2.041978,0.1113333,
2019-12-10 22:15:09:969,0.1349846,1.912405,-0.3403392,0.1311871,1.579266,-0.3827782,0.1219955,1.256713,-0.4091004,0.1395972,1.106299,-0.408582,0.3074827,1.39367,-0.3942609,0.3521718,1.663669,-0.3753269,0.3530871,1.881696,-0.2911053,0.3328592,1.942135,-0.2849038,-0.07765935,1.385817,-0.3552805,-0.1361982,1.654883,-0.3164092,-0.1239777,1.895476,-0.2328132,-0.1059917,1.964318,-0.2055205,0.2180651,1.909307,-0.308554,0.2126544,2.334924,-0.31493,0.2076505,2.774512,-0.3218983,0.2321012,2.774602,-0.2205213,0.04053122,1.907371,-0.2976544,0.004549593,2.360657,-0.2977262,-0.01320861,2.788712,-0.2821882,-0.03120917,2.784992,-0.1952909,0.1251466,1.335678,-0.4052935,0.328217,2.010848,-0.2595745,0.3755944,1.93574,-0.2672122,-0.09543397,2.04706,-0.193944,-0.06252073,2.045051,0.1140076,
2019-12-10 22:15:10:007,0.1390589,1.911848,-0.3425148,0.1311922,1.578977,-0.3824726,0.1189306,1.255728,-0.4052487,0.1454366,1.109202,-0.4030202,0.3028839,1.393859,-0.4098457,0.3503113,1.662192,-0.3850153,0.3509508,1.884007,-0.3058944,0.3328943,1.942208,-0.3004053,-0.07704952,1.383854,-0.3453465,-0.1416163,1.651025,-0.3001617,-0.1208843,1.892184,-0.2241068,-0.101803,1.961356,-0.1939149,0.2222715,1.909363,-0.3167675,0.2131201,2.338252,-0.3137537,0.2076676,2.774849,-0.3207739,0.2321541,2.774666,-0.2205222,0.0452348,1.906289,-0.2947541,0.004808694,2.360498,-0.295672,-0.01322444,2.7882,-0.2824998,-0.03008413,2.785417,-0.1974211,0.1231101,1.334865,-0.4026139,0.3328266,2.0126,-0.2772718,0.3794057,1.939797,-0.2960001,-0.08864158,2.046462,-0.1871021,-0.0582522,2.048371,0.1239611,
2019-12-10 22:15:10:046,0.1435719,1.912315,-0.3458553,0.1312492,1.578916,-0.382434,0.117103,1.255292,-0.403312,0.152088,1.112138,-0.3975533,0.3005483,1.398375,-0.4173437,0.3460881,1.663969,-0.3989046,0.3511052,1.885787,-0.3277841,0.3352493,1.944335,-0.3203083,-0.07460485,1.383355,-0.3317891,-0.1422961,1.65112,-0.287756,-0.1182337,1.883257,-0.2096925,-0.09775583,1.960936,-0.1791628,0.2260054,1.910692,-0.324982,0.2138799,2.342778,-0.3107434,0.2077532,2.775876,-0.3204303,0.2321366,2.77494,-0.2203694,0.04942474,1.906316,-0.2935291,0.005495489,2.358338,-0.2922712,-0.01248609,2.787229,-0.2823053,-0.03002948,2.785439,-0.1974915,0.1219094,1.334537,-0.4012986,0.3098584,2.036,-0.2992466,0.37926,1.958957,-0.3092142,-0.08065258,2.044633,-0.1728809,-0.05748115,2.04988,0.1341738,
