2019-12-10 22:21:52:785, no_human
2019-12-10 22:21:52:795, no_human
2019-12-10 22:21:53:056, no_human
2019-12-10 22:21:53:126, no_human
2019-12-10 22:21:53:143, no_human
2019-12-10 22:21:53:159, no_human
2019-12-10 22:21:53:175, no_human
2019-12-10 22:21:53:192, no_human
2019-12-10 22:21:53:208, no_human
2019-12-10 22:21:53:225, no_human
2019-12-10 22:21:53:243, no_human
2019-12-10 22:21:53:282, no_human
2019-12-10 22:21:53:301, no_human
2019-12-10 22:21:53:313, no_human
2019-12-10 22:21:53:337, no_human
2019-12-10 22:21:53:343, no_human
2019-12-10 22:21:53:359, no_human
2019-12-10 22:21:53:375, no_human
2019-12-10 22:21:53:414, no_human
2019-12-10 22:21:53:438, no_human
2019-12-10 22:21:53:443, no_human
2019-12-10 22:21:53:482, no_human
2019-12-10 22:21:53:506, no_human
2019-12-10 22:21:53:511, no_human
2019-12-10 22:21:53:549, no_human
2019-12-10 22:21:53:583, no_human
2019-12-10 22:21:53:617, no_human
2019-12-10 22:21:53:651, no_human
2019-12-10 22:21:53:683, no_human
2019-12-10 22:21:53:717, no_human
2019-12-10 22:21:53:750, no_human
2019-12-10 22:21:53:785, no_human
2019-12-10 22:21:53:815, no_human
2019-12-10 22:21:53:849, no_human
2019-12-10 22:21:53:888, no_human
2019-12-10 22:21:53:916, no_human
2019-12-10 22:21:53:952, no_human
2019-12-10 22:21:53:983, no_human
2019-12-10 22:21:54:017, no_human
2019-12-10 22:21:54:052, no_human
2019-12-10 22:21:54:087, no_human
2019-12-10 22:21:54:117, no_human
2019-12-10 22:21:54:152, no_human
2019-12-10 22:21:54:184, no_human
2019-12-10 22:21:54:217, no_human
2019-12-10 22:21:54:253, no_human
2019-12-10 22:21:54:282, no_human
2019-12-10 22:21:54:306, no_human
2019-12-10 22:21:54:309, no_human
2019-12-10 22:21:54:348, no_human
2019-12-10 22:21:54:384, no_human
2019-12-10 22:21:54:416, no_human
2019-12-10 22:21:54:457, no_human
2019-12-10 22:21:54:494, no_human
2019-12-10 22:21:54:540, no_human
2019-12-10 22:21:54:576, no_human
2019-12-10 22:21:54:610, no_human
2019-12-10 22:21:54:654, no_human
2019-12-10 22:21:54:682, no_human
2019-12-10 22:21:54:705, no_human
2019-12-10 22:21:54:709, no_human
2019-12-10 22:21:54:765,3.380506,2.301836
2019-12-10 22:21:54:801,3.371967,2.318522
2019-12-10 22:21:54:835,3.366494,2.330863
2019-12-10 22:21:54:883,3.364245,2.342942
2019-12-10 22:21:54:915,3.363771,2.355356
2019-12-10 22:21:54:950,3.365805,2.370597
2019-12-10 22:21:54:984,3.369718,2.385479
2019-12-10 22:21:55:024,3.37441,2.396344
2019-12-10 22:21:55:059,3.38333,2.408431
2019-12-10 22:21:55:094,3.393946,2.420543
2019-12-10 22:21:55:128,3.42121,2.442492
2019-12-10 22:21:55:165,3.4343,2.452388
2019-12-10 22:21:55:199,3.447446,2.462351
2019-12-10 22:21:55:218,3.447446,2.462351
2019-12-10 22:21:55:251,3.458993,2.471887
2019-12-10 22:21:55:286,3.467777,2.479045
2019-12-10 22:21:55:322,3.476669,2.489294
2019-12-10 22:21:55:356,3.482717,2.497117
2019-12-10 22:21:55:389,3.487959,2.504694
2019-12-10 22:21:55:423,3.491992,2.511518
2019-12-10 22:21:55:459,3.494609,2.516816
2019-12-10 22:21:55:497,3.498144,2.52749
2019-12-10 22:21:55:533,3.498272,2.531755
2019-12-10 22:21:55:551,3.498272,2.531755
2019-12-10 22:21:55:586,3.497732,2.536518
2019-12-10 22:21:55:623,3.496798,2.540408
2019-12-10 22:21:55:657,3.494825,2.545199
2019-12-10 22:21:55:692,3.492441,2.550175
2019-12-10 22:21:55:723,3.489177,2.554002
2019-12-10 22:21:55:758,3.48564,2.557584
2019-12-10 22:21:55:794,3.482187,2.560958
2019-12-10 22:21:55:834,3.475647,2.566934
2019-12-10 22:21:55:867,3.47293,2.569554
2019-12-10 22:21:55:899,3.470542,2.571262
2019-12-10 22:21:55:935,3.467021,2.574786
2019-12-10 22:21:55:972,3.463391,2.57775
2019-12-10 22:21:56:016,3.46108,2.579978
2019-12-10 22:21:56:054,3.458193,2.582307
2019-12-10 22:21:56:092,3.455257,2.584545
2019-12-10 22:21:56:132,3.453523,2.586073
2019-12-10 22:21:56:170,3.450501,2.589852
2019-12-10 22:21:56:223,3.449198,2.593305
2019-12-10 22:21:56:262,3.448671,2.594522
2019-12-10 22:21:56:304,3.447483,2.596856
2019-12-10 22:21:56:354,3.446707,2.60021
2019-12-10 22:21:56:389,3.446636,2.60052
