2019-12-10 22:21:52:785, no_human
2019-12-10 22:21:52:795, no_human
2019-12-10 22:21:53:056, no_human
2019-12-10 22:21:53:126, no_human
2019-12-10 22:21:53:143, no_human
2019-12-10 22:21:53:159, no_human
2019-12-10 22:21:53:175, no_human
2019-12-10 22:21:53:192, no_human
2019-12-10 22:21:53:208, no_human
2019-12-10 22:21:53:225, no_human
2019-12-10 22:21:53:243, no_human
2019-12-10 22:21:53:282, no_human
2019-12-10 22:21:53:301, no_human
2019-12-10 22:21:53:313, no_human
2019-12-10 22:21:53:337, no_human
2019-12-10 22:21:53:343, no_human
2019-12-10 22:21:53:359, no_human
2019-12-10 22:21:53:375, no_human
2019-12-10 22:21:53:414, no_human
2019-12-10 22:21:53:438, no_human
2019-12-10 22:21:53:443, no_human
2019-12-10 22:21:53:482, no_human
2019-12-10 22:21:53:506, no_human
2019-12-10 22:21:53:511, no_human
2019-12-10 22:21:53:549, no_human
2019-12-10 22:21:53:583, no_human
2019-12-10 22:21:53:617, no_human
2019-12-10 22:21:53:651, no_human
2019-12-10 22:21:53:683, no_human
2019-12-10 22:21:53:717, no_human
2019-12-10 22:21:53:750, no_human
2019-12-10 22:21:53:785, no_human
2019-12-10 22:21:53:815, no_human
2019-12-10 22:21:53:849, no_human
2019-12-10 22:21:53:888, no_human
2019-12-10 22:21:53:916, no_human
2019-12-10 22:21:53:952, no_human
2019-12-10 22:21:53:983, no_human
2019-12-10 22:21:54:017, no_human
2019-12-10 22:21:54:052, no_human
2019-12-10 22:21:54:087, no_human
2019-12-10 22:21:54:117, no_human
2019-12-10 22:21:54:152, no_human
2019-12-10 22:21:54:184, no_human
2019-12-10 22:21:54:217, no_human
2019-12-10 22:21:54:253, no_human
2019-12-10 22:21:54:282, no_human
2019-12-10 22:21:54:306, no_human
2019-12-10 22:21:54:309, no_human
2019-12-10 22:21:54:348, no_human
2019-12-10 22:21:54:384, no_human
2019-12-10 22:21:54:416, no_human
2019-12-10 22:21:54:457, no_human
2019-12-10 22:21:54:494, no_human
2019-12-10 22:21:54:540, no_human
2019-12-10 22:21:54:576, no_human
2019-12-10 22:21:54:610, no_human
2019-12-10 22:21:54:654, no_human
2019-12-10 22:21:54:682, no_human
2019-12-10 22:21:54:705, no_human
2019-12-10 22:21:54:709, no_human
2019-12-10 22:21:54:765,0.0894939,1.7495442.301836
2019-12-10 22:21:54:801,0.09803273,1.7499882.318522
2019-12-10 22:21:54:835,0.1035064,1.7515722.330863
2019-12-10 22:21:54:883,0.1057548,1.7510992.342942
2019-12-10 22:21:54:915,0.1062291,1.7499182.355356
2019-12-10 22:21:54:950,0.1041949,1.7508622.370597
2019-12-10 22:21:54:984,0.1002818,1.7499552.385479
2019-12-10 22:21:55:024,0.09559014,1.7482372.396344
2019-12-10 22:21:55:059,0.08667048,1.7453262.408431
2019-12-10 22:21:55:094,0.0760541,1.743592.420543
2019-12-10 22:21:55:128,0.04879014,1.7438612.442492
2019-12-10 22:21:55:165,0.03569984,1.7437742.452388
2019-12-10 22:21:55:199,0.02255448,1.7441052.462351
2019-12-10 22:21:55:218,0.02255448,1.7441052.462351
2019-12-10 22:21:55:251,0.01100656,1.7458522.471887
2019-12-10 22:21:55:286,0.002222439,1.7481082.479045
2019-12-10 22:21:55:322,-0.006668763,1.7493362.489294
2019-12-10 22:21:55:356,-0.01271655,1.7511832.497117
2019-12-10 22:21:55:389,-0.01795943,1.7511612.504694
2019-12-10 22:21:55:423,-0.02199233,1.7517312.511518
2019-12-10 22:21:55:459,-0.02460852,1.752112.516816
2019-12-10 22:21:55:497,-0.02814363,1.7513722.52749
2019-12-10 22:21:55:533,-0.02827213,1.7515442.531755
2019-12-10 22:21:55:551,-0.02827213,1.7515442.531755
2019-12-10 22:21:55:586,-0.02773209,1.7511112.536518
2019-12-10 22:21:55:623,-0.02679833,1.7505492.540408
2019-12-10 22:21:55:657,-0.02482486,1.7496582.545199
2019-12-10 22:21:55:692,-0.02244149,1.7497732.550175
2019-12-10 22:21:55:723,-0.01917652,1.7495262.554002
2019-12-10 22:21:55:758,-0.01563987,1.7497532.557584
2019-12-10 22:21:55:794,-0.01218734,1.748962.560958
2019-12-10 22:21:55:834,-0.005646645,1.7493472.566934
2019-12-10 22:21:55:867,-0.002929958,1.7492282.569554
2019-12-10 22:21:55:899,-0.0005418084,1.7490352.571262
2019-12-10 22:21:55:935,0.002979028,1.7492922.574786
2019-12-10 22:21:55:972,0.006609314,1.7491522.57775
2019-12-10 22:21:56:016,0.008919643,1.7493892.579978
2019-12-10 22:21:56:054,0.01180663,1.7495062.582307
