2019-12-10 22:21:52:785, no_human
2019-12-10 22:21:52:795, no_human
2019-12-10 22:21:53:056, no_human
2019-12-10 22:21:53:126, no_human
2019-12-10 22:21:53:143, no_human
2019-12-10 22:21:53:159, no_human
2019-12-10 22:21:53:175, no_human
2019-12-10 22:21:53:192, no_human
2019-12-10 22:21:53:208, no_human
2019-12-10 22:21:53:225, no_human
2019-12-10 22:21:53:243, no_human
2019-12-10 22:21:53:282, no_human
2019-12-10 22:21:53:301, no_human
2019-12-10 22:21:53:313, no_human
2019-12-10 22:21:53:337, no_human
2019-12-10 22:21:53:343, no_human
2019-12-10 22:21:53:359, no_human
2019-12-10 22:21:53:375, no_human
2019-12-10 22:21:53:414, no_human
2019-12-10 22:21:53:438, no_human
2019-12-10 22:21:53:443, no_human
2019-12-10 22:21:53:482, no_human
2019-12-10 22:21:53:506, no_human
2019-12-10 22:21:53:511, no_human
2019-12-10 22:21:53:549, no_human
2019-12-10 22:21:53:583, no_human
2019-12-10 22:21:53:617, no_human
2019-12-10 22:21:53:651, no_human
2019-12-10 22:21:53:683, no_human
2019-12-10 22:21:53:717, no_human
2019-12-10 22:21:53:750, no_human
2019-12-10 22:21:53:785, no_human
2019-12-10 22:21:53:815, no_human
2019-12-10 22:21:53:849, no_human
2019-12-10 22:21:53:888, no_human
2019-12-10 22:21:53:916, no_human
2019-12-10 22:21:53:952, no_human
2019-12-10 22:21:53:983, no_human
2019-12-10 22:21:54:017, no_human
2019-12-10 22:21:54:052, no_human
2019-12-10 22:21:54:087, no_human
2019-12-10 22:21:54:117, no_human
2019-12-10 22:21:54:152, no_human
2019-12-10 22:21:54:184, no_human
2019-12-10 22:21:54:217, no_human
2019-12-10 22:21:54:253, no_human
2019-12-10 22:21:54:282, no_human
2019-12-10 22:21:54:306, no_human
2019-12-10 22:21:54:309, no_human
2019-12-10 22:21:54:348, no_human
2019-12-10 22:21:54:384, no_human
2019-12-10 22:21:54:416, no_human
2019-12-10 22:21:54:457, no_human
2019-12-10 22:21:54:494, no_human
2019-12-10 22:21:54:540, no_human
2019-12-10 22:21:54:576, no_human
2019-12-10 22:21:54:610, no_human
2019-12-10 22:21:54:654, no_human
2019-12-10 22:21:54:682, no_human
2019-12-10 22:21:54:705, no_human
2019-12-10 22:21:54:709, no_human
2019-12-10 22:21:54:765,0.07030001,0.9244483,2.029703,0.09132379,1.264555,2.022851,0.1108999,1.590984,2.001239,0.0894939,1.749544,1.981836,-0.06965775,1.475273,2.09651,-0.1145813,1.207059,2.12476,-0.1997643,0.9871382,2.049067,-0.2239643,0.9068447,2.011937,0.2602779,1.456593,1.952462,0.2812644,1.191741,1.922264,0.2527291,0.9227679,1.857472,0.2313711,0.8506423,1.858806,-0.006821068,0.9324365,2.017402,-0.05103663,0.4407195,1.937764,-0.08122452,0.03766489,1.951798,-0.1304747,0.03647768,1.811761,0.1447586,0.9233366,1.9624,0.1818909,0.4811699,1.92614,0.1820873,0.07800043,1.949898,0.130135,0.06970572,1.80957,0.1062215,1.511253,2.009094,-0.2288618,0.8380085,1.987957,-0.2537703,0.9080812,2.002778,0.2229762,0.7615975,1.853689,0.1934523,1.047545,1.839213
2019-12-10 22:21:54:801,0.07312679,0.9230747,2.037076,0.093429,1.264014,2.032909,0.1120863,1.591476,2.014502,0.09803273,1.749988,1.998522,-0.06990548,1.475521,2.0976,-0.1156005,1.207397,2.124591,-0.1986424,0.9844841,2.046598,-0.2119467,0.909147,2.011511,0.2676682,1.45662,1.977685,0.2863838,1.193218,1.951692,0.2635317,0.938934,1.88512,0.2382495,0.8529314,1.8871,-0.005784463,0.9315746,2.020365,-0.05243978,0.4251562,1.965312,-0.09672009,-0.004094958,2.017653,-0.06141428,-0.01990902,1.917829,0.1499317,0.9215426,1.975755,0.1833082,0.4852017,1.928721,0.1815675,0.0761919,1.952714,0.1375093,0.06794333,1.8089,0.1076575,1.511462,2.021516,-0.2158686,0.8323343,1.986544,-0.2446778,0.9053531,1.999155,0.2210681,0.7587649,1.8717,0.1914023,1.065463,1.878647
2019-12-10 22:21:54:835,0.07513198,0.9208735,2.044668,0.09407055,1.262447,2.042072,0.1113119,1.590569,2.025213,0.1035064,1.751572,2.010863,-0.0701176,1.475457,2.098605,-0.1170382,1.207236,2.124331,-0.1950612,0.9869888,2.04436,-0.2064682,0.9090932,2.01107,0.2695904,1.456154,1.995345,0.2884103,1.193455,1.968931,0.2637351,0.909929,1.899794,0.2410751,0.8441287,1.901361,-0.005009769,0.9300053,2.023614,-0.05051544,0.4191453,1.986789,-0.1015957,0.005942583,2.055479,-0.06835219,-0.008077025,1.945436,0.1530719,0.9190137,1.987829,0.1843949,0.4816406,1.93322,0.1848554,0.08065891,1.949478,0.1485657,0.07585025,1.809377,0.1072392,1.510384,2.031849,-0.207467,0.828375,1.986514,-0.235081,0.9052619,1.995913,0.223063,0.7512084,1.887778,0.1959111,1.06465,1.888364
2019-12-10 22:21:54:883,0.07656266,0.916339,2.054592,0.09364741,1.259801,2.054308,0.1089505,1.589953,2.04013,0.1057548,1.751099,2.022942,-0.07181899,1.475331,2.102751,-0.1204897,1.20548,2.125085,-0.1932599,0.9846666,2.04122,-0.2025672,0.9054163,2.009873,0.2703362,1.455929,2.012952,0.2899167,1.191414,1.989072,0.2729033,0.9462272,1.925532,0.2440707,0.8497471,1.917476,-0.004300019,0.9258291,2.03019,-0.05137715,0.4088903,2.020252,-0.1001142,0.0004073381,2.068296,-0.06406653,-0.01927853,1.972655,0.1548831,0.9145324,1.999937,0.185708,0.4759304,1.942256,0.1852897,0.08024001,1.949957,0.1546547,0.07993007,1.812644,0.1053711,1.509234,2.046068,-0.2030148,0.8269248,1.986257,-0.2336776,0.9070061,1.998667,0.2259887,0.7551933,1.900697,0.1953894,1.071481,1.905083
2019-12-10 22:21:54:915,0.07498827,0.9105023,2.06504,0.09188539,1.256555,2.064806,0.1072546,1.58893,2.050166,0.1062291,1.749918,2.035356,-0.07478117,1.474169,2.10645,-0.124027,1.204559,2.126195,-0.1916166,0.9777512,2.038283,-0.2001414,0.9054403,2.006679,0.2699062,1.454843,2.028488,0.2881933,1.189951,2.004035,0.2682978,0.9114223,1.934172,0.2434092,0.8476264,1.929707,-0.006257629,0.9195649,2.038802,-0.05093805,0.3993282,2.048974,-0.09609678,-0.00668025,2.084139,-0.05071186,-0.02302372,1.997467,0.1536206,0.9091789,2.011662,0.1869999,0.4671411,1.952208,0.1838707,0.06993234,1.959642,0.1572895,0.07145584,1.82496,0.1036324,1.507694,2.056262,-0.1977889,0.8242708,1.984876,-0.2278899,0.9105374,1.988769,0.2271347,0.7525318,1.910859,0.1956347,1.034982,1.91179
2019-12-10 22:21:54:950,0.07170667,0.9039941,2.077635,0.08803967,1.2529,2.077765,0.1029657,1.587983,2.063361,0.1041949,1.750862,2.050597,-0.07964501,1.47172,2.114315,-0.1299787,1.20231,2.129517,-0.1905792,0.9755321,2.037749,-0.1983956,0.9024644,2.007184,0.2658605,1.453782,2.048156,0.2849324,1.184452,2.022923,0.2678879,0.908664,1.940682,0.2443877,0.8465186,1.944402,-0.009690339,0.9127402,2.048771,-0.04931309,0.3929445,2.070129,-0.09296156,-0.01082742,2.100804,-0.0505768,-0.02382362,2.009885,0.1505236,0.903089,2.026725,0.1874127,0.4612849,1.959173,0.1856343,0.0704838,1.957934,0.1635072,0.07622242,1.825472,0.09943912,1.50608,2.06941,-0.1958195,0.8233492,1.98348,-0.2343069,0.9094338,1.999221,0.2304528,0.7497045,1.929189,0.1998316,1.030897,1.923667
2019-12-10 22:21:54:984,0.06659449,0.8975649,2.089723,0.08155584,1.24893,2.090451,0.09514672,1.586523,2.076532,0.1002818,1.749955,2.065479,-0.08636089,1.469277,2.121623,-0.1379559,1.19897,2.132741,-0.1897907,0.9714638,2.037218,-0.1971989,0.9031257,2.007207,0.2617956,1.45131,2.061683,0.2796784,1.181142,2.037427,0.267759,0.9175165,1.956668,0.2434764,0.8497545,1.956742,-0.01504079,0.9060258,2.059837,-0.04960817,0.3790278,2.096498,-0.0868931,-0.01354635,2.117162,-0.05015734,-0.02507639,2.020738,0.1458143,0.8970866,2.039256,0.1874381,0.4582596,1.964076,0.1879828,0.06923592,1.954798,0.168548,0.07831037,1.824022,0.09194499,1.503988,2.082475,-0.193885,0.8236865,1.980496,-0.2388222,0.9020821,2.017,0.2296185,0.7537474,1.936203,0.198377,1.060721,1.93731
2019-12-10 22:21:55:024,0.06063218,0.890597,2.1034,0.07498222,1.244787,2.103316,0.08816008,1.584969,2.08841,0.09559014,1.748237,2.076344,-0.09601356,1.46702,2.131559,-0.1473657,1.194777,2.138662,-0.1895656,0.9700038,2.037041,-0.1978913,0.9006453,2.006897,0.2536491,1.448102,2.076825,0.2713377,1.179713,2.055945,0.2647267,0.9412658,1.983913,0.2370735,0.8525094,1.970381,-0.02076671,0.8995541,2.07127,-0.04959982,0.3680742,2.114207,-0.0868793,-0.01578438,2.117157,-0.04956633,-0.02631319,2.022568,0.1397982,0.8897491,2.055026,0.1864242,0.4548906,1.970329,0.1895325,0.0704819,1.954144,0.1722148,0.08200967,1.824744,0.08504015,1.501814,2.094618,-0.1915511,0.821378,1.979216,-0.2309499,0.9035719,1.99425,0.2254643,0.7556638,1.952273,0.1905695,1.057369,1.949462
2019-12-10 22:21:55:059,0.05179907,0.8897603,2.120134,0.06489904,1.242651,2.118454,0.07703768,1.581869,2.101799,0.08667048,1.745326,2.088431,-0.1050651,1.466246,2.139869,-0.1577349,1.19122,2.144729,-0.1901407,0.9672626,2.038221,-0.1998533,0.9005366,2.007984,0.2436315,1.445218,2.089687,0.2649032,1.174846,2.067971,0.2622221,0.9413731,1.989928,0.231343,0.8506968,1.982982,-0.02844444,0.8941802,2.086544,-0.04937294,0.360443,2.127067,-0.08588208,-0.02158797,2.117306,-0.05291,-0.03166974,2.033946,0.1295814,0.8938053,2.07382,0.1842136,0.4493509,1.977219,0.1898415,0.06842685,1.954246,0.1742167,0.08239686,1.826498,0.07414834,1.498928,2.108468,-0.1936102,0.8233422,1.979348,-0.2369911,0.8992633,2.000147,0.2200218,0.7531306,1.961988,0.1864726,1.063248,1.962269
2019-12-10 22:21:55:094,0.04297363,0.8868012,2.135126,0.05400664,1.239975,2.131495,0.06402857,1.57956,2.113014,0.0760541,1.74359,2.100543,-0.116552,1.463704,2.150062,-0.1670785,1.190089,2.151415,-0.1921622,0.9647494,2.04364,-0.2018155,0.8968275,2.010851,0.2321317,1.443504,2.102158,0.2562859,1.172726,2.083559,0.252954,0.9271607,2.001042,0.2232046,0.8469069,1.995932,-0.03658229,0.8887182,2.101152,-0.04966526,0.356252,2.136327,-0.0829592,-0.02873552,2.121906,-0.05246069,-0.03326595,2.032847,0.1208684,0.8931594,2.088183,0.1816275,0.4453986,1.982604,0.1901411,0.03528416,1.951789,0.1392822,0.01894534,1.942383,0.06167126,1.496521,2.12014,-0.1913306,0.8199925,1.980039,-0.2176316,0.884274,1.969255,0.2142218,0.7516533,1.976966,0.1824532,1.047378,1.971441
2019-12-10 22:21:55:128,0.0243029,0.8835804,2.162417,0.03091123,1.23826,2.156351,0.03652888,1.57957,2.135252,0.04879014,1.743861,2.122492,-0.1447674,1.462521,2.170768,-0.1890013,1.188314,2.165311,-0.1984734,0.9590738,2.054587,-0.2095587,0.8902198,2.023909,0.2054792,1.440955,2.126125,0.2337189,1.168864,2.11399,0.232899,0.9175622,2.0283,0.202994,0.842142,2.023678,-0.05435476,0.8843783,2.127031,-0.05599754,0.347541,2.155994,-0.08209374,-0.03205144,2.123505,-0.05027876,-0.03458214,2.034168,0.1020712,0.8909662,2.116477,0.1693505,0.4357398,1.999777,0.1908984,0.01791573,1.952091,0.1444092,0.01894534,1.946289,0.03524923,1.49608,2.143062,-0.1981765,0.8190285,1.995875,-0.246379,0.8757768,2.021077,0.1929553,0.7463266,1.999791,0.1606116,1.031913,1.998556
