2019-12-10 22:21:52:785, no_human
2019-12-10 22:21:52:795, no_human
2019-12-10 22:21:53:056, no_human
2019-12-10 22:21:53:126, no_human
2019-12-10 22:21:53:143, no_human
2019-12-10 22:21:53:159, no_human
2019-12-10 22:21:53:175, no_human
2019-12-10 22:21:53:192, no_human
2019-12-10 22:21:53:208, no_human
2019-12-10 22:21:53:225, no_human
2019-12-10 22:21:53:243, no_human
2019-12-10 22:21:53:282, no_human
2019-12-10 22:21:53:301, no_human
2019-12-10 22:21:53:313, no_human
2019-12-10 22:21:53:337, no_human
2019-12-10 22:21:53:343, no_human
2019-12-10 22:21:53:359, no_human
2019-12-10 22:21:53:375, no_human
2019-12-10 22:21:53:414, no_human
2019-12-10 22:21:53:438, no_human
2019-12-10 22:21:53:443, no_human
2019-12-10 22:21:53:482, no_human
2019-12-10 22:21:53:506, no_human
2019-12-10 22:21:53:511, no_human
2019-12-10 22:21:53:549, no_human
2019-12-10 22:21:53:583, no_human
2019-12-10 22:21:53:617, no_human
2019-12-10 22:21:53:651, no_human
2019-12-10 22:21:53:683, no_human
2019-12-10 22:21:53:717, no_human
2019-12-10 22:21:53:750, no_human
2019-12-10 22:21:53:785, no_human
2019-12-10 22:21:53:815, no_human
2019-12-10 22:21:53:849, no_human
2019-12-10 22:21:53:888, no_human
2019-12-10 22:21:53:916, no_human
2019-12-10 22:21:53:952, no_human
2019-12-10 22:21:53:983, no_human
2019-12-10 22:21:54:017, no_human
2019-12-10 22:21:54:052, no_human
2019-12-10 22:21:54:087, no_human
2019-12-10 22:21:54:117, no_human
2019-12-10 22:21:54:152, no_human
2019-12-10 22:21:54:184, no_human
2019-12-10 22:21:54:217, no_human
2019-12-10 22:21:54:253, no_human
2019-12-10 22:21:54:282, no_human
2019-12-10 22:21:54:306, no_human
2019-12-10 22:21:54:309, no_human
2019-12-10 22:21:54:348, no_human
2019-12-10 22:21:54:384, no_human
2019-12-10 22:21:54:416, no_human
2019-12-10 22:21:54:457, no_human
2019-12-10 22:21:54:494, no_human
2019-12-10 22:21:54:540, no_human
2019-12-10 22:21:54:576, no_human
2019-12-10 22:21:54:610, no_human
2019-12-10 22:21:54:654, no_human
2019-12-10 22:21:54:682, no_human
2019-12-10 22:21:54:705, no_human
2019-12-10 22:21:54:709, no_human
2019-12-10 22:21:54:765,-0.3203,1.875552,-0.1897028,-0.3413238,1.535445,-0.1828509,-0.3608999,1.209016,-0.1612392,-0.3394939,1.050456,-0.1418357,-0.1803423,1.324727,-0.2565098,-0.1354187,1.592941,-0.2847596,-0.05023575,1.812862,-0.2090669,-0.02603573,1.893155,-0.1719366,-0.5102779,1.343407,-0.1124616,-0.5312644,1.608259,-0.08226377,-0.5027291,1.877232,-0.01747197,-0.4813711,1.949358,-0.01880592,-0.2431789,1.867564,-0.1774018,-0.1989634,2.359281,-0.09776348,-0.1687755,2.762335,-0.1117975,-0.1195253,2.763522,0.02823871,-0.3947586,1.876663,-0.1223995,-0.4318909,2.31883,-0.08613974,-0.4320873,2.722,-0.109898,-0.3801349,2.730294,0.03043014,-0.3562216,1.288748,-0.1690941,-0.02113816,1.961992,-0.1479566,0.003770262,1.891919,-0.1627777,-0.4729762,2.038403,-0.01368934,-0.4434522,2.052455,0.3307872,
2019-12-10 22:21:54:801,-0.3231268,1.876925,-0.1970759,-0.343429,1.535986,-0.1929091,-0.3620863,1.208524,-0.174502,-0.3480327,1.050012,-0.1585216,-0.1800945,1.324479,-0.2575999,-0.1343995,1.592603,-0.284591,-0.05135764,1.815516,-0.2065983,-0.0380533,1.890853,-0.171511,-0.5176682,1.34338,-0.1376846,-0.5363839,1.606783,-0.1116919,-0.5135317,1.861066,-0.04511994,-0.4882495,1.947069,-0.04709953,-0.2442155,1.868425,-0.1803647,-0.1975602,2.374844,-0.1253117,-0.1532799,2.804095,-0.1776524,-0.1885857,2.819909,-0.07782871,-0.3999317,1.878457,-0.1357549,-0.4333082,2.314798,-0.08872098,-0.4315675,2.723808,-0.1127135,-0.3875093,2.732057,0.03109998,-0.3576575,1.288538,-0.1815155,-0.03413142,1.967666,-0.1465434,-0.005322203,1.894647,-0.159155,-0.4710681,2.041235,-0.03169984,-0.4414023,2.034537,0.2913529,
2019-12-10 22:21:54:835,-0.325132,1.879127,-0.2046681,-0.3440706,1.537553,-0.2020715,-0.3613119,1.209431,-0.1852134,-0.3535064,1.048428,-0.1708627,-0.1798824,1.324543,-0.2586046,-0.1329618,1.592764,-0.2843307,-0.05493876,1.813011,-0.2043598,-0.04353178,1.890907,-0.1710699,-0.5195904,1.343846,-0.155345,-0.5384103,1.606545,-0.1289313,-0.5137352,1.890071,-0.05979437,-0.4910751,1.955871,-0.06136042,-0.2449902,1.869995,-0.1836143,-0.1994846,2.380855,-0.1467887,-0.1484043,2.794057,-0.2154787,-0.1816478,2.808077,-0.1054354,-0.4030719,1.880986,-0.1478285,-0.4343949,2.318359,-0.09321994,-0.4348554,2.719341,-0.1094777,-0.3985657,2.72415,0.0306235,-0.3572392,1.289616,-0.1918493,-0.04253304,1.971625,-0.1465136,-0.01491897,1.894738,-0.1559131,-0.473063,2.048792,-0.04777759,-0.4459111,2.03535,0.2816361,
2019-12-10 22:21:54:883,-0.3265626,1.883661,-0.214592,-0.3436474,1.540199,-0.2143083,-0.3589505,1.210047,-0.20013,-0.3557548,1.048901,-0.182942,-0.178181,1.324669,-0.2627507,-0.1295103,1.59452,-0.285085,-0.05674013,1.815333,-0.2012196,-0.04743282,1.894584,-0.1698731,-0.5203363,1.344071,-0.172952,-0.5399168,1.608586,-0.1490722,-0.5229033,1.853773,-0.08553189,-0.4940706,1.950253,-0.07747549,-0.2457,1.874171,-0.1901901,-0.1986229,2.39111,-0.1802517,-0.1498858,2.799593,-0.2282956,-0.1859335,2.819279,-0.1326547,-0.4048831,1.885468,-0.1599371,-0.435708,2.32407,-0.1022562,-0.4352897,2.71976,-0.1099573,-0.4046547,2.72007,0.02735633,-0.3553711,1.290766,-0.2060681,-0.04698521,1.973075,-0.1462573,-0.01632237,1.892994,-0.1586664,-0.4759887,2.044807,-0.06069738,-0.4453894,2.028519,0.2649166,
2019-12-10 22:21:54:915,-0.3249883,1.889498,-0.22504,-0.3418854,1.543445,-0.2248064,-0.3572546,1.21107,-0.2101663,-0.3562291,1.050082,-0.1953557,-0.1752188,1.325832,-0.2664497,-0.125973,1.595441,-0.2861949,-0.05838342,1.822249,-0.198283,-0.04985856,1.89456,-0.166679,-0.5199062,1.345157,-0.1884881,-0.5381932,1.610049,-0.1640347,-0.5182978,1.888578,-0.09417182,-0.4934092,1.952374,-0.08970684,-0.2437424,1.880435,-0.1988018,-0.199062,2.400672,-0.2089737,-0.1539032,2.80668,-0.2441388,-0.1992881,2.823024,-0.1574669,-0.4036207,1.890821,-0.1716614,-0.4369999,2.332859,-0.1122081,-0.4338707,2.730068,-0.1196416,-0.4072895,2.728544,0.01503974,-0.3536324,1.292307,-0.2162624,-0.05221108,1.975729,-0.1448755,-0.02211007,1.889463,-0.1487691,-0.4771348,2.047468,-0.07085866,-0.4456347,2.065018,0.2582105,
2019-12-10 22:21:54:950,-0.3217067,1.896006,-0.2376347,-0.3380397,1.547101,-0.2377654,-0.3529657,1.212017,-0.2233611,-0.3541949,1.049138,-0.2105973,-0.170355,1.32828,-0.2743149,-0.1200213,1.59769,-0.2895167,-0.05942078,1.824468,-0.1977492,-0.05160436,1.897536,-0.1671837,-0.5158606,1.346218,-0.2081564,-0.5349324,1.615548,-0.1829227,-0.5178879,1.891336,-0.1006821,-0.4943877,1.953481,-0.1044016,-0.2403097,1.88726,-0.2087713,-0.2006869,2.407056,-0.2301291,-0.1570384,2.810827,-0.2608038,-0.1994232,2.823824,-0.1698852,-0.4005236,1.896911,-0.1867247,-0.4374127,2.338715,-0.1191726,-0.4356343,2.729516,-0.117934,-0.4135072,2.723778,0.01452833,-0.3494391,1.29392,-0.2294102,-0.05418049,1.976651,-0.1434796,-0.01569305,1.890566,-0.1592212,-0.4804528,2.050296,-0.08918875,-0.4498316,2.069103,0.2463334,
2019-12-10 22:21:54:984,-0.3165945,1.902435,-0.2497233,-0.3315558,1.55107,-0.2504507,-0.3451467,1.213477,-0.2365318,-0.3502818,1.050045,-0.2254787,-0.1636391,1.330723,-0.2816227,-0.1120441,1.60103,-0.2927406,-0.0602093,1.828536,-0.1972182,-0.0528011,1.896874,-0.1672068,-0.5117956,1.34869,-0.2216833,-0.5296783,1.618858,-0.1974273,-0.517759,1.882483,-0.1166678,-0.4934764,1.950246,-0.1167415,-0.2349592,1.893974,-0.219837,-0.2003918,2.420972,-0.2564977,-0.1631069,2.813546,-0.2771621,-0.1998427,2.825077,-0.1807376,-0.3958143,1.902914,-0.1992558,-0.4374381,2.341741,-0.1240763,-0.4379827,2.730764,-0.1147977,-0.418548,2.72169,0.01597804,-0.341945,1.296012,-0.2424751,-0.05611502,1.976314,-0.1404961,-0.01117778,1.897918,-0.1769999,-0.4796185,2.046253,-0.09620243,-0.448377,2.039279,0.2326896,
2019-12-10 22:21:55:024,-0.3106322,1.909403,-0.2634001,-0.3249822,1.555213,-0.2633155,-0.3381601,1.215031,-0.2484103,-0.3455901,1.051763,-0.2363444,-0.1539864,1.33298,-0.2915586,-0.1026343,1.605223,-0.2986618,-0.06043436,1.829996,-0.1970413,-0.05210868,1.899355,-0.1668969,-0.5036491,1.351898,-0.236825,-0.5213377,1.620287,-0.2159448,-0.5147268,1.858734,-0.143913,-0.4870735,1.947491,-0.1303807,-0.2292333,1.900446,-0.2312704,-0.2004002,2.431926,-0.2742065,-0.1631207,2.815784,-0.2771564,-0.2004337,2.826313,-0.1825681,-0.3897982,1.910251,-0.215026,-0.4364242,2.345109,-0.1303292,-0.4395325,2.729518,-0.114144,-0.4222148,2.71799,0.01525635,-0.3350402,1.298186,-0.2546175,-0.05844893,1.978622,-0.139216,-0.01905014,1.896428,-0.1542501,-0.4754643,2.044336,-0.112273,-0.4405695,2.042631,0.2205383,
2019-12-10 22:21:55:059,-0.3017991,1.91024,-0.2801343,-0.314899,1.55735,-0.2784534,-0.3270377,1.218131,-0.2617989,-0.3366705,1.054674,-0.248431,-0.1449349,1.333754,-0.2998689,-0.09226514,1.608781,-0.304729,-0.05985931,1.832737,-0.1982208,-0.05014667,1.899463,-0.1679841,-0.4936315,1.354782,-0.2496868,-0.5149032,1.625154,-0.2279709,-0.5122221,1.858627,-0.1499276,-0.481343,1.949303,-0.1429821,-0.2215556,1.90582,-0.2465442,-0.2006271,2.439557,-0.287067,-0.1641179,2.821588,-0.2773061,-0.19709,2.83167,-0.1939457,-0.3795814,1.906195,-0.2338195,-0.4342136,2.350649,-0.1372187,-0.4398415,2.731573,-0.1142455,-0.4242167,2.717603,0.01350206,-0.3241484,1.301072,-0.2684675,-0.05638984,1.976658,-0.1393477,-0.01300886,1.900737,-0.1601465,-0.4700218,2.04687,-0.1219882,-0.4364725,2.036752,0.2077308,
2019-12-10 22:21:55:094,-0.2929736,1.913199,-0.2951255,-0.3040066,1.560025,-0.2914944,-0.3140286,1.22044,-0.2730144,-0.3260541,1.05641,-0.2605432,-0.133448,1.336296,-0.3100618,-0.08292152,1.609911,-0.3114145,-0.05783775,1.835251,-0.2036396,-0.0481845,1.903172,-0.1708513,-0.4821317,1.356496,-0.2621577,-0.5062859,1.627274,-0.2435587,-0.502954,1.872839,-0.1610416,-0.4732046,1.953093,-0.1559315,-0.2134177,1.911282,-0.2611523,-0.2003347,2.443748,-0.2963267,-0.1670408,2.828736,-0.2819055,-0.1975393,2.833266,-0.1928471,-0.3708684,1.906841,-0.2481828,-0.4316275,2.354601,-0.1426035,-0.4401411,2.764716,-0.1117894,-0.3892822,2.781055,-0.1023827,-0.3116713,1.30348,-0.2801395,-0.05866943,1.980008,-0.1400389,-0.03236841,1.915726,-0.1292551,-0.4642218,2.048347,-0.1369659,-0.4324532,2.052622,0.1985588,
