2019-12-23 18:20:19:080, no_human
2019-12-23 18:20:19:093, no_human
2019-12-23 18:20:19:359, no_human
2019-12-23 18:20:19:457, no_human
2019-12-23 18:20:19:476, no_human
2019-12-23 18:20:19:492, no_human
2019-12-23 18:20:19:508, no_human
2019-12-23 18:20:19:525, no_human
2019-12-23 18:20:19:540, no_human
2019-12-23 18:20:19:561, no_human
2019-12-23 18:20:19:574, no_human
2019-12-23 18:20:19:620, no_human
2019-12-23 18:20:19:645, no_human
2019-12-23 18:20:19:654, no_human
2019-12-23 18:20:19:669, no_human
2019-12-23 18:20:19:686, no_human
2019-12-23 18:20:19:719, no_human
2019-12-23 18:20:19:751, no_human
2019-12-23 18:20:19:781, no_human
2019-12-23 18:20:19:814, no_human
2019-12-23 18:20:19:848, no_human
2019-12-23 18:20:19:880, no_human
2019-12-23 18:20:19:914, no_human
2019-12-23 18:20:19:948, no_human
2019-12-23 18:20:19:980, no_human
2019-12-23 18:20:20:014, no_human
2019-12-23 18:20:20:048, no_human
2019-12-23 18:20:20:080, no_human
2019-12-23 18:20:20:091, no_human
2019-12-23 18:20:20:126, no_human
2019-12-23 18:20:20:159, no_human
2019-12-23 18:20:20:193, no_human
2019-12-23 18:20:20:229, no_human
2019-12-23 18:20:20:263, no_human
2019-12-23 18:20:20:332,2.576843,2.868442
2019-12-23 18:20:20:385,2.584205,2.858379
2019-12-23 18:20:20:422,2.589382,2.851569
2019-12-23 18:20:20:458,2.594938,2.844914
2019-12-23 18:20:20:496,2.599509,2.835877
2019-12-23 18:20:20:532,2.605938,2.821177
2019-12-23 18:20:20:568,2.60884,2.810175
2019-12-23 18:20:20:617,2.611215,2.80043
2019-12-23 18:20:20:664,2.613713,2.78694
2019-12-23 18:20:20:738,2.612966,2.746878
2019-12-23 18:20:20:786,2.610433,2.730779
2019-12-23 18:20:20:836,2.608543,2.710479
2019-12-23 18:20:20:889,2.600268,2.671873
2019-12-23 18:20:20:950,2.589748,2.630907
2019-12-23 18:20:20:993,2.581978,2.606429
2019-12-23 18:20:21:028,2.565811,2.563299
2019-12-23 18:20:21:069,2.557906,2.545053
2019-12-23 18:20:21:116,2.551394,2.525325
2019-12-23 18:20:21:160,2.545725,2.510921
2019-12-23 18:20:21:202,2.535361,2.489584
2019-12-23 18:20:21:249,2.532503,2.484727
2019-12-23 18:20:21:293,2.530954,2.481244
2019-12-23 18:20:21:355,2.530504,2.478981
2019-12-23 18:20:21:419,2.532113,2.480454
2019-12-23 18:20:21:471,2.541637,2.492573
2019-12-23 18:20:21:529,2.547625,2.50056
2019-12-23 18:20:21:585,2.565022,2.521594
2019-12-23 18:20:21:651,2.572665,2.529562
2019-12-23 18:20:21:698,2.592171,2.543376
2019-12-23 18:20:21:750,2.610744,2.554481
2019-12-23 18:20:21:872,2.62553,2.564567
2019-12-23 18:20:21:955,2.634933,2.598385
2019-12-23 18:20:22:022,2.630893,2.627152
2019-12-23 18:20:22:104,2.624252,2.65164
2019-12-23 18:20:22:166,2.612604,2.684951
2019-12-23 18:20:22:217,2.599137,2.717952
2019-12-23 18:20:22:266,2.590542,2.736213
2019-12-23 18:20:22:316,2.56929,2.77388
2019-12-23 18:20:22:361,2.560578,2.791064
2019-12-23 18:20:22:420,2.537105,2.828805
2019-12-23 18:20:22:470,2.5133,2.865366
2019-12-23 18:20:22:517,2.502171,2.882698
2019-12-23 18:20:22:557,2.489081,2.900773
2019-12-23 18:20:22:617,2.471425,2.935802
2019-12-23 18:20:22:661,2.46428,2.951514
2019-12-23 18:20:22:702,2.45747,2.974187
2019-12-23 18:20:22:749,2.454738,2.990822
2019-12-23 18:20:22:790,2.453161,3.002117
2019-12-23 18:20:22:833,2.453572,3.026556
2019-12-23 18:20:22:885,2.454414,3.036464
2019-12-23 18:20:22:923,2.456926,3.045017
2019-12-23 18:20:22:963,2.459239,3.057251
2019-12-23 18:20:23:002,2.46994,3.075414
2019-12-23 18:20:23:232,2.476866,3.085255
2019-12-23 18:20:23:347,2.551387,3.127536
2019-12-23 18:20:23:435,2.567408,3.195158
2019-12-23 18:20:23:474,2.56,3.228765
2019-12-23 18:20:24:106,2.566101,3.263437
2019-12-23 18:20:24:167,2.345653,3.543299
2019-12-23 18:20:24:216,2.488277,3.566139
2019-12-23 18:20:24:265,2.50387,3.596474
2019-12-23 18:20:24:314,2.404651,3.640121
2019-12-23 18:20:24:356,2.438625,3.625303
2019-12-23 18:20:24:412,2.520333,3.67947
2019-12-23 18:20:24:469,2.550926,3.708522
2019-12-23 18:20:24:524,2.547247,3.709079
2019-12-23 18:20:24:567,2.536752,3.700433
2019-12-23 18:20:24:616,2.542939,3.718236
2019-12-23 18:20:24:678,2.531524,3.727955
2019-12-23 18:20:24:724,2.530915,3.728313
2019-12-23 18:20:24:772,2.535347,3.735952
2019-12-23 18:20:24:833,2.534692,3.741166
2019-12-23 18:20:24:892,2.41785,3.76066
2019-12-23 18:20:24:941,2.418591,3.760544
2019-12-23 18:20:24:980,2.527794,3.733025
2019-12-23 18:20:25:019,2.526616,3.732908
2019-12-23 18:20:25:059,2.52627,3.73169
2019-12-23 18:20:25:091,2.527321,3.729746
2019-12-23 18:20:25:125,2.527901,3.727541
2019-12-23 18:20:25:159,2.531447,3.730503
2019-12-23 18:20:25:196,2.533086,3.729822
2019-12-23 18:20:25:238,2.536105,3.72928
2019-12-23 18:20:25:273,2.571245,3.701406
2019-12-23 18:20:25:306,2.571014,3.702333
2019-12-23 18:20:25:339,2.570755,3.702154
2019-12-23 18:20:25:379,2.571231,3.70096
2019-12-23 18:20:25:415,2.573498,3.699477
2019-12-23 18:20:25:459,2.574095,3.698379
2019-12-23 18:20:25:491,2.579413,3.699333
2019-12-23 18:20:25:524,2.592171,3.701717
2019-12-23 18:20:25:564,2.548474,3.648215
2019-12-23 18:20:25:596,2.569268,3.662891
2019-12-23 18:20:25:628,2.5683,3.658525
