2019-12-23 18:20:19:080, no_human
2019-12-23 18:20:19:093, no_human
2019-12-23 18:20:19:359, no_human
2019-12-23 18:20:19:457, no_human
2019-12-23 18:20:19:476, no_human
2019-12-23 18:20:19:492, no_human
2019-12-23 18:20:19:508, no_human
2019-12-23 18:20:19:525, no_human
2019-12-23 18:20:19:540, no_human
2019-12-23 18:20:19:561, no_human
2019-12-23 18:20:19:574, no_human
2019-12-23 18:20:19:620, no_human
2019-12-23 18:20:19:645, no_human
2019-12-23 18:20:19:654, no_human
2019-12-23 18:20:19:669, no_human
2019-12-23 18:20:19:686, no_human
2019-12-23 18:20:19:719, no_human
2019-12-23 18:20:19:751, no_human
2019-12-23 18:20:19:781, no_human
2019-12-23 18:20:19:814, no_human
2019-12-23 18:20:19:848, no_human
2019-12-23 18:20:19:880, no_human
2019-12-23 18:20:19:914, no_human
2019-12-23 18:20:19:948, no_human
2019-12-23 18:20:19:980, no_human
2019-12-23 18:20:20:014, no_human
2019-12-23 18:20:20:048, no_human
2019-12-23 18:20:20:080, no_human
2019-12-23 18:20:20:091, no_human
2019-12-23 18:20:20:126, no_human
2019-12-23 18:20:20:159, no_human
2019-12-23 18:20:20:193, no_human
2019-12-23 18:20:20:229, no_human
2019-12-23 18:20:20:263, no_human
2019-12-23 18:20:20:332,0.8931567,1.6465482.868442
2019-12-23 18:20:20:385,0.885795,1.6506422.858379
2019-12-23 18:20:20:422,0.8806177,1.65322.851569
2019-12-23 18:20:20:458,0.8750625,1.6541682.844914
2019-12-23 18:20:20:496,0.8704916,1.6563852.835877
2019-12-23 18:20:20:532,0.864062,1.6582882.821177
2019-12-23 18:20:20:568,0.8611599,1.6594252.810175
2019-12-23 18:20:20:617,0.8587847,1.6599092.80043
2019-12-23 18:20:20:664,0.8562875,1.6612322.78694
2019-12-23 18:20:20:738,0.857034,1.6628582.746878
2019-12-23 18:20:20:786,0.8595667,1.6617492.730779
2019-12-23 18:20:20:836,0.8614573,1.6621452.710479
2019-12-23 18:20:20:889,0.8697318,1.6661472.671873
2019-12-23 18:20:20:950,0.8802519,1.6711662.630907
2019-12-23 18:20:20:993,0.8880219,1.6763422.606429
2019-12-23 18:20:21:028,0.9041887,1.6804412.563299
2019-12-23 18:20:21:069,0.9120945,1.6798332.545053
2019-12-23 18:20:21:116,0.9186066,1.6803662.525325
2019-12-23 18:20:21:160,0.9242753,1.6804552.510921
2019-12-23 18:20:21:202,0.934639,1.680092.489584
2019-12-23 18:20:21:249,0.9374968,1.6806182.484727
2019-12-23 18:20:21:293,0.9390459,1.681212.481244
2019-12-23 18:20:21:355,0.9394961,1.6826432.478981
2019-12-23 18:20:21:419,0.9378872,1.6834352.480454
2019-12-23 18:20:21:471,0.9283627,1.6845032.492573
2019-12-23 18:20:21:529,0.9223748,1.6830122.50056
2019-12-23 18:20:21:585,0.9049777,1.6779432.521594
2019-12-23 18:20:21:651,0.8973348,1.6758692.529562
2019-12-23 18:20:21:698,0.8778294,1.6722862.543376
2019-12-23 18:20:21:750,0.8592555,1.6643222.554481
2019-12-23 18:20:21:872,0.8444698,1.6557482.564567
2019-12-23 18:20:21:955,0.8350676,1.651742.598385
2019-12-23 18:20:22:022,0.8391075,1.6522942.627152
2019-12-23 18:20:22:104,0.8457479,1.652472.65164
2019-12-23 18:20:22:166,0.8573963,1.6505582.684951
2019-12-23 18:20:22:217,0.8708628,1.6484272.717952
2019-12-23 18:20:22:266,0.8794578,1.6489722.736213
2019-12-23 18:20:22:316,0.9007097,1.6455172.77388
2019-12-23 18:20:22:361,0.9094216,1.6415792.791064
2019-12-23 18:20:22:420,0.9328951,1.6319932.828805
2019-12-23 18:20:22:470,0.9566998,1.6247762.865366
2019-12-23 18:20:22:517,0.9678293,1.6196142.882698
2019-12-23 18:20:22:557,0.9809186,1.6153072.900773
2019-12-23 18:20:22:617,0.9985755,1.6052592.935802
2019-12-23 18:20:22:661,1.00572,1.6028322.951514
2019-12-23 18:20:22:702,1.012529,1.6056722.974187
2019-12-23 18:20:22:749,1.015262,1.6088032.990822
2019-12-23 18:20:22:790,1.016839,1.6103743.002117
2019-12-23 18:20:22:833,1.016428,1.6087473.026556
2019-12-23 18:20:22:885,1.015586,1.6083153.036464
2019-12-23 18:20:22:923,1.013074,1.6071083.045017
2019-12-23 18:20:22:963,1.010761,1.6055413.057251
2019-12-23 18:20:23:002,1.00006,1.605313.075414
2019-12-23 18:20:23:232,0.9931345,1.6085963.085255
2019-12-23 18:20:23:347,0.9186126,1.5988483.127536
2019-12-23 18:20:23:435,0.9025919,1.5858993.195158
2019-12-23 18:20:23:474,0.9100003,1.5752963.228765
2019-12-23 18:20:24:106,0.9038995,1.5750043.263437
2019-12-23 18:20:24:167,1.124347,0.35837163.543299
2019-12-23 18:20:24:216,0.9817227,1.1643693.566139
2019-12-23 18:20:24:265,0.9661297,1.2890893.596474
