2019-12-23 18:20:19:080, no_human
2019-12-23 18:20:19:093, no_human
2019-12-23 18:20:19:359, no_human
2019-12-23 18:20:19:457, no_human
2019-12-23 18:20:19:476, no_human
2019-12-23 18:20:19:492, no_human
2019-12-23 18:20:19:508, no_human
2019-12-23 18:20:19:525, no_human
2019-12-23 18:20:19:540, no_human
2019-12-23 18:20:19:561, no_human
2019-12-23 18:20:19:574, no_human
2019-12-23 18:20:19:620, no_human
2019-12-23 18:20:19:645, no_human
2019-12-23 18:20:19:654, no_human
2019-12-23 18:20:19:669, no_human
2019-12-23 18:20:19:686, no_human
2019-12-23 18:20:19:719, no_human
2019-12-23 18:20:19:751, no_human
2019-12-23 18:20:19:781, no_human
2019-12-23 18:20:19:814, no_human
2019-12-23 18:20:19:848, no_human
2019-12-23 18:20:19:880, no_human
2019-12-23 18:20:19:914, no_human
2019-12-23 18:20:19:948, no_human
2019-12-23 18:20:19:980, no_human
2019-12-23 18:20:20:014, no_human
2019-12-23 18:20:20:048, no_human
2019-12-23 18:20:20:080, no_human
2019-12-23 18:20:20:091, no_human
2019-12-23 18:20:20:126, no_human
2019-12-23 18:20:20:159, no_human
2019-12-23 18:20:20:193, no_human
2019-12-23 18:20:20:229, no_human
2019-12-23 18:20:20:263, no_human
2019-12-23 18:20:20:332,-1.190014,1.950865,-0.6203635,-1.175481,1.62056,-0.6685467,-1.156769,1.30012,-0.7028306,-1.143157,1.153452,-0.7084416,-0.9689007,1.426469,-0.717634,-0.9166603,1.705182,-0.6488002,-0.8802538,1.925127,-0.554118,-0.8546935,1.983386,-0.5058215,-1.339404,1.431317,-0.6466816,-1.409678,1.690999,-0.6101492,-1.412751,1.895777,-0.4821835,-1.415913,1.944821,-0.4597059,-1.091387,1.945994,-0.6015974,-1.10075,2.365916,-0.5744603,-1.135503,2.745242,-0.5079628,-1.099101,2.735156,-0.4314056,-1.26008,1.948087,-0.5643113,-1.315488,2.313333,-0.519949,-1.336948,2.711711,-0.7001415,-1.353516,2.753711,-0.6053124,-1.162225,1.378921,-0.6967023,-0.8573408,2.05248,-0.4814101,-0.8087633,1.977742,-0.4969729,-1.418278,2.007487,-0.4394882,-1.350182,2.022714,-0.1543332,
2019-12-23 18:20:20:385,-1.180795,1.951564,-0.6020883,-1.167517,1.61906,-0.6531835,-1.149972,1.29684,-0.6900647,-1.135795,1.149358,-0.6983786,-0.960291,1.422051,-0.7001289,-0.9096572,1.675636,-0.597879,-0.872587,1.873598,-0.4542072,-0.8621992,1.936809,-0.4107903,-1.332117,1.426998,-0.6309465,-1.400396,1.689125,-0.5947788,-1.421541,1.896242,-0.4793032,-1.432498,1.959517,-0.4553443,-1.081345,1.946619,-0.5804403,-1.097702,2.357168,-0.5658165,-1.139079,2.741621,-0.5129595,-1.100354,2.734872,-0.4335554,-1.25164,1.948754,-0.5484856,-1.302639,2.310953,-0.4696031,-1.340942,2.734668,-0.5644735,-1.342773,2.758594,-0.4568749,-1.155143,1.376047,-0.6833237,-0.8723354,2.008726,-0.3866373,-0.8204527,1.953889,-0.4136251,-1.431376,2.028399,-0.4416304,-1.392236,2.072052,-0.1220001,
2019-12-23 18:20:20:422,-1.17918,1.954105,-0.5935662,-1.164495,1.619406,-0.6453517,-1.145412,1.295039,-0.6824613,-1.130618,1.1468,-0.6915691,-0.9578615,1.418503,-0.6891089,-0.9088007,1.660692,-0.5846639,-0.8778678,1.839464,-0.4225207,-0.8748228,1.909452,-0.3754213,-1.322403,1.422578,-0.6178227,-1.399838,1.686006,-0.5898619,-1.423367,1.893942,-0.4787613,-1.434865,1.961499,-0.4527395,-1.079798,1.949242,-0.5710369,-1.096639,2.357323,-0.5626939,-1.140465,2.742383,-0.5126012,-1.101158,2.736109,-0.4338742,-1.249897,1.951077,-0.5409151,-1.299632,2.326617,-0.4464999,-1.341576,2.739218,-0.4863253,-1.329102,2.758594,-0.3709374,-1.150993,1.374793,-0.6756995,-0.8776138,1.972927,-0.3526359,-0.9459076,1.928552,-0.4453333,-1.439488,2.031371,-0.4435013,-1.401025,2.09982,-0.1280001,
2019-12-23 18:20:20:458,-1.177435,1.95525,-0.5873552,-1.162095,1.619323,-0.637096,-1.142392,1.293428,-0.6722866,-1.125062,1.145832,-0.6849139,-0.9563475,1.416808,-0.6839326,-0.9051874,1.641023,-0.574308,-0.8864109,1.821102,-0.4111782,-0.8884745,1.880311,-0.3450962,-1.318334,1.42144,-0.6081038,-1.399833,1.684179,-0.5859466,-1.425184,1.894261,-0.4753402,-1.432517,1.963343,-0.4488459,-1.078374,1.950159,-0.5647371,-1.095946,2.35692,-0.560952,-1.139493,2.732266,-0.5118566,-1.103655,2.69297,-0.3989237,-1.247746,1.952402,-0.5347202,-1.294901,2.325099,-0.4286485,-1.339298,2.712471,-0.4113131,-1.303898,2.702203,-0.2925928,-1.148115,1.373573,-0.6659828,-0.8927647,1.937955,-0.3086084,-0.9706567,1.8916,-0.4224287,-1.430411,2.034262,-0.4357141,-1.395797,2.092781,-0.1241408,
2019-12-23 18:20:20:496,-1.175123,1.959145,-0.5802174,-1.158982,1.620398,-0.6294931,-1.138284,1.291811,-0.6637948,-1.120492,1.143615,-0.6758767,-0.9553623,1.414687,-0.6756993,-0.9033759,1.634426,-0.567932,-0.894725,1.804357,-0.3825727,-0.9012143,1.858283,-0.3165939,-1.316351,1.421823,-0.5990179,-1.400563,1.685618,-0.5798455,-1.426036,1.895157,-0.4708648,-1.428722,1.96398,-0.4419742,-1.076676,1.952958,-0.5596228,-1.095684,2.357396,-0.5598965,-1.138842,2.724379,-0.5119746,-1.103697,2.694038,-0.3973351,-1.244637,1.957394,-0.5250917,-1.289465,2.321496,-0.4107781,-1.32731,2.698416,-0.3588017,-1.29099,2.681949,-0.2452608,-1.144276,1.372635,-0.657754,-0.9094867,1.911852,-0.2794896,-0.9548411,1.912305,-0.3516665,-1.426886,2.032329,-0.4311796,-1.388278,2.100831,-0.110375,
2019-12-23 18:20:20:532,-1.165159,1.962947,-0.5716496,-1.152367,1.62114,-0.6165136,-1.134959,1.289502,-0.6456774,-1.114062,1.141712,-0.6611767,-0.9547473,1.410692,-0.6654163,-0.892785,1.619004,-0.5561593,-0.9081916,1.774083,-0.3673857,-0.9257248,1.825723,-0.2786759,-1.309723,1.420032,-0.5739673,-1.401123,1.678699,-0.5593584,-1.422659,1.897336,-0.4510499,-1.419684,1.966033,-0.4261351,-1.068206,1.956033,-0.5530387,-1.093359,2.353394,-0.556979,-1.139171,2.736438,-0.5068801,-1.131344,2.751227,-0.4167047,-1.233357,1.961645,-0.5143142,-1.278746,2.324325,-0.3735819,-1.315952,2.698074,-0.2539404,-1.270508,2.7,-0.1990624,-1.140087,1.371084,-0.6409915,-0.9400275,1.869454,-0.2424021,-1.003551,1.871762,-0.3554998,-1.417027,2.036646,-0.4166504,-1.390329,2.108991,-0.1018749,
2019-12-23 18:20:20:568,-1.159347,1.96133,-0.5667825,-1.148443,1.619645,-0.6090963,-1.133125,1.288312,-0.63587,-1.11116,1.140575,-0.6501752,-0.9552337,1.409015,-0.6595722,-0.8919953,1.618992,-0.5554059,-0.9152673,1.773625,-0.3588689,-0.9391015,1.819311,-0.2757204,-1.307353,1.418942,-0.5604334,-1.399203,1.677048,-0.5478285,-1.419042,1.899,-0.4425297,-1.413112,1.969539,-0.4160655,-1.063409,1.957577,-0.5490268,-1.09271,2.352481,-0.5557707,-1.140038,2.742677,-0.505852,-1.129799,2.751789,-0.4147473,-1.22563,1.955586,-0.5076926,-1.272078,2.31842,-0.3594151,-1.298708,2.683124,-0.2122613,-1.254937,2.64202,-0.1238094,-1.137718,1.369774,-0.6317609,-0.9559739,1.862503,-0.2380653,-1.012691,1.851727,-0.3509999,-1.40693,2.040059,-0.4048725,-1.376066,2.102253,-0.09559998,
2019-12-23 18:20:20:617,-1.15305,1.959883,-0.5606182,-1.145385,1.618911,-0.6005808,-1.133288,1.288433,-0.6245452,-1.108785,1.14009,-0.6404296,-0.9545516,1.408585,-0.6561866,-0.8909186,1.620167,-0.5548833,-0.9181862,1.773256,-0.3574153,-0.949142,1.82037,-0.2777184,-1.304132,1.417056,-0.5465353,-1.395631,1.677437,-0.529733,-1.412814,1.902831,-0.4267567,-1.405426,1.970363,-0.4027916,-1.058325,1.958474,-0.544642,-1.09209,2.353195,-0.5544172,-1.14152,2.750169,-0.5045279,-1.127589,2.752043,-0.4118939,-1.218676,1.951824,-0.4999366,-1.263892,2.314714,-0.3438926,-1.281365,2.685524,-0.1670061,-1.23682,2.643228,-0.0846445,-1.137046,1.369644,-0.621187,-0.9714187,1.858757,-0.2376962,-1.015521,1.847323,-0.3388,-1.400506,2.044508,-0.3983102,-1.366696,2.104962,-0.07920012,
2019-12-23 18:20:20:664,-1.147466,1.95866,-0.5521992,-1.142,1.617728,-0.5891069,-1.13239,1.287423,-0.610791,-1.106287,1.138769,-0.6269403,-0.9548322,1.408599,-0.6472002,-0.8907117,1.622258,-0.5551394,-0.9215615,1.773119,-0.3601907,-0.9572918,1.828314,-0.2884057,-1.300116,1.41619,-0.5285493,-1.391719,1.678129,-0.5098253,-1.404718,1.906845,-0.4063857,-1.39626,1.972068,-0.3866575,-1.053427,1.958816,-0.5383523,-1.091692,2.352796,-0.5530077,-1.141988,2.753043,-0.5042599,-1.123719,2.751416,-0.4119104,-1.212846,1.949351,-0.4896045,-1.253863,2.308766,-0.3273879,-1.272105,2.673129,-0.1495135,-1.225586,2.648242,-0.07503897,-1.135546,1.368576,-0.6079074,-0.9800012,1.867755,-0.2483817,-1.020685,1.854769,-0.3462225,-1.387394,2.046984,-0.3797908,-1.34573,2.06706,-0.03857145,
2019-12-23 18:20:20:738,-1.138502,1.957972,-0.5274063,-1.138396,1.616516,-0.5567871,-1.133834,1.285781,-0.5716525,-1.107034,1.137142,-0.5868781,-0.9580866,1.41062,-0.6308087,-0.9168215,1.646798,-0.5600484,-0.9270303,1.826993,-0.3958088,-0.9654839,1.891344,-0.3663087,-1.295029,1.414009,-0.4737733,-1.376013,1.677316,-0.4480322,-1.370273,1.906362,-0.3409837,-1.362135,1.973575,-0.3239883,-1.047513,1.960798,-0.5230961,-1.091343,2.354024,-0.5429779,-1.142606,2.753746,-0.5023835,-1.123537,2.750987,-0.4202729,-1.200594,1.945889,-0.4543481,-1.217998,2.306117,-0.2800472,-1.238272,2.672625,-0.1162109,-1.189518,2.653185,-0.05784076,-1.135807,1.367026,-0.5704158,-0.9665883,1.953632,-0.3217545,-0.916999,1.925088,-0.4500001,-1.350768,2.050058,-0.3159495,-1.294142,2.068645,-0.006333441,
2019-12-23 18:20:20:786,-1.133277,1.956312,-0.5091508,-1.136226,1.615974,-0.5385523,-1.134258,1.286392,-0.5535217,-1.109567,1.138251,-0.5707789,-0.9610448,1.409359,-0.6241398,-0.9188294,1.653113,-0.5591832,-0.9181216,1.853715,-0.4194787,-0.9559783,1.910437,-0.3906062,-1.293253,1.41444,-0.4541107,-1.372046,1.674549,-0.4249135,-1.361646,1.904697,-0.3226789,-1.350884,1.975237,-0.2991846,-1.043105,1.960854,-0.5084046,-1.093483,2.355805,-0.5382336,-1.147102,2.754065,-0.5064769,-1.121959,2.751301,-0.4201818,-1.194916,1.942925,-0.4338589,-1.209719,2.309083,-0.2691398,-1.228385,2.678097,-0.1157454,-1.177689,2.665233,-0.0646854,-1.13562,1.367342,-0.5522586,-0.9503372,1.988155,-0.3585313,-1.018466,1.956866,-0.4043637,-1.33656,2.053027,-0.291853,-1.2816,2.042355,0.01766673,
