2019-12-23 17:40:53:849, no_human
2019-12-23 17:40:53:860, no_human
2019-12-23 17:40:54:111, no_human
2019-12-23 17:40:54:187, no_human
2019-12-23 17:40:54:204, no_human
2019-12-23 17:40:54:221, no_human
2019-12-23 17:40:54:237, no_human
2019-12-23 17:40:54:255, no_human
2019-12-23 17:40:54:271, no_human
2019-12-23 17:40:54:288, no_human
2019-12-23 17:40:54:305, no_human
2019-12-23 17:40:54:322, no_human
2019-12-23 17:40:54:338, no_human
2019-12-23 17:40:54:384, no_human
2019-12-23 17:40:54:401, no_human
2019-12-23 17:40:54:407, no_human
2019-12-23 17:40:54:423, no_human
2019-12-23 17:40:54:440, no_human
2019-12-23 17:40:54:457, no_human
2019-12-23 17:40:54:495, no_human
2019-12-23 17:40:54:521, no_human
2019-12-23 17:40:54:550, no_human
2019-12-23 17:40:54:584, no_human
2019-12-23 17:40:54:608, no_human
2019-12-23 17:40:54:613, no_human
2019-12-23 17:40:54:650, no_human
2019-12-23 17:40:54:685, no_human
2019-12-23 17:40:54:719, no_human
2019-12-23 17:40:54:752, no_human
2019-12-23 17:40:54:784, no_human
2019-12-23 17:40:54:820, no_human
2019-12-23 17:40:54:851, no_human
2019-12-23 17:40:54:885, no_human
2019-12-23 17:40:54:918, no_human
2019-12-23 17:40:54:952, no_human
2019-12-23 17:40:54:986, no_human
2019-12-23 17:40:55:018, no_human
2019-12-23 17:40:55:054, no_human
2019-12-23 17:40:55:086, no_human
2019-12-23 17:40:55:118, no_human
2019-12-23 17:40:55:152, no_human
2019-12-23 17:40:55:184, no_human
2019-12-23 17:40:55:218, no_human
2019-12-23 17:40:55:252, no_human
2019-12-23 17:40:55:284, no_human
2019-12-23 17:40:55:319, no_human
2019-12-23 17:40:55:351, no_human
2019-12-23 17:40:55:384, no_human
2019-12-23 17:40:55:418, no_human
2019-12-23 17:40:55:452, no_human
2019-12-23 17:40:55:485, no_human
2019-12-23 17:40:55:518, no_human
2019-12-23 17:40:55:552, no_human
2019-12-23 17:40:55:583, no_human
2019-12-23 17:40:55:619, no_human
2019-12-23 17:40:55:651, no_human
2019-12-23 17:40:55:688, no_human
2019-12-23 17:40:55:718, no_human
2019-12-23 17:40:55:755, no_human
2019-12-23 17:40:55:785, no_human
2019-12-23 17:40:55:821, no_human
2019-12-23 17:40:55:853, no_human
2019-12-23 17:40:55:887, no_human
2019-12-23 17:40:55:920, no_human
2019-12-23 17:40:55:952, no_human
2019-12-23 17:40:55:984, no_human
2019-12-23 17:40:56:021, no_human
2019-12-23 17:40:56:051, no_human
2019-12-23 17:40:56:089, no_human
2019-12-23 17:40:56:137, no_human
2019-12-23 17:40:56:176, no_human
2019-12-23 17:40:56:296,2.566641,2.538435
2019-12-23 17:40:56:354,2.62177,2.515657
2019-12-23 17:40:56:391,2.635576,2.505397
2019-12-23 17:40:56:430,2.646678,2.495531
2019-12-23 17:40:56:467,2.668428,2.466034
2019-12-23 17:40:56:504,2.676174,2.451493
2019-12-23 17:40:56:566,2.683767,2.432649
2019-12-23 17:40:56:673,2.689536,2.374144
2019-12-23 17:40:56:723,2.684898,2.328042
2019-12-23 17:40:56:760,2.679892,2.307092
2019-12-23 17:40:56:795,2.673081,2.281958
2019-12-23 17:40:56:829,2.667314,2.259344
2019-12-23 17:40:56:866,2.65817,2.20988
2019-12-23 17:40:56:908,2.656941,2.191437
2019-12-23 17:40:56:952,2.657995,2.171073
2019-12-23 17:40:56:991,2.661865,2.151979
2019-12-23 17:40:57:031,2.666631,2.137642
2019-12-23 17:40:57:086,2.683251,2.108434
2019-12-23 17:40:57:128,2.693146,2.095453
2019-12-23 17:40:57:172,2.717603,2.072598
2019-12-23 17:40:57:211,2.73187,2.060798
2019-12-23 17:40:57:253,2.74511,2.053787
2019-12-23 17:40:57:295,2.762401,2.043423
2019-12-23 17:40:57:337,2.799324,2.02753
2019-12-23 17:40:57:385,2.817049,2.022497
2019-12-23 17:40:57:421,2.838194,2.017027
2019-12-23 17:40:57:459,2.859448,2.010849
2019-12-23 17:40:57:495,2.88476,2.006093
2019-12-23 17:40:57:533,2.931249,1.995119
2019-12-23 17:40:57:571,2.956676,1.990776
2019-12-23 17:40:57:608,2.983875,1.987899
2019-12-23 17:40:57:654,3.006212,1.982715
2019-12-23 17:40:57:697,3.029599,1.978582
2019-12-23 17:40:57:742,3.068994,1.969541
2019-12-23 17:40:57:787,3.086467,1.967782
2019-12-23 17:40:57:830,3.104718,1.963602
2019-12-23 17:40:57:869,3.134651,1.955838
2019-12-23 17:40:57:920,3.14746,1.953609
2019-12-23 17:40:57:964,3.159703,1.950882
2019-12-23 17:40:58:032,3.186282,1.943643
2019-12-23 17:40:58:095,3.217311,1.934572
2019-12-23 17:40:58:138,3.249903,1.919588
2019-12-23 17:40:58:187,3.267624,1.911763
2019-12-23 17:40:58:233,3.28876,1.900898
2019-12-23 17:40:58:274,3.328906,1.879572
2019-12-23 17:40:58:321,3.349255,1.870004
2019-12-23 17:40:58:358,3.392333,1.838335
2019-12-23 17:40:58:395,3.408585,1.828568
2019-12-23 17:40:58:436,3.453803,1.804578
2019-12-23 17:40:58:486,3.477145,1.793539
2019-12-23 17:40:58:526,3.504449,1.786469
2019-12-23 17:40:58:563,3.526113,1.783211
2019-12-23 17:40:58:599,3.565572,1.784326
