2019-12-23 17:40:53:849, no_human
2019-12-23 17:40:53:860, no_human
2019-12-23 17:40:54:111, no_human
2019-12-23 17:40:54:187, no_human
2019-12-23 17:40:54:204, no_human
2019-12-23 17:40:54:221, no_human
2019-12-23 17:40:54:237, no_human
2019-12-23 17:40:54:255, no_human
2019-12-23 17:40:54:271, no_human
2019-12-23 17:40:54:288, no_human
2019-12-23 17:40:54:305, no_human
2019-12-23 17:40:54:322, no_human
2019-12-23 17:40:54:338, no_human
2019-12-23 17:40:54:384, no_human
2019-12-23 17:40:54:401, no_human
2019-12-23 17:40:54:407, no_human
2019-12-23 17:40:54:423, no_human
2019-12-23 17:40:54:440, no_human
2019-12-23 17:40:54:457, no_human
2019-12-23 17:40:54:495, no_human
2019-12-23 17:40:54:521, no_human
2019-12-23 17:40:54:550, no_human
2019-12-23 17:40:54:584, no_human
2019-12-23 17:40:54:608, no_human
2019-12-23 17:40:54:613, no_human
2019-12-23 17:40:54:650, no_human
2019-12-23 17:40:54:685, no_human
2019-12-23 17:40:54:719, no_human
2019-12-23 17:40:54:752, no_human
2019-12-23 17:40:54:784, no_human
2019-12-23 17:40:54:820, no_human
2019-12-23 17:40:54:851, no_human
2019-12-23 17:40:54:885, no_human
2019-12-23 17:40:54:918, no_human
2019-12-23 17:40:54:952, no_human
2019-12-23 17:40:54:986, no_human
2019-12-23 17:40:55:018, no_human
2019-12-23 17:40:55:054, no_human
2019-12-23 17:40:55:086, no_human
2019-12-23 17:40:55:118, no_human
2019-12-23 17:40:55:152, no_human
2019-12-23 17:40:55:184, no_human
2019-12-23 17:40:55:218, no_human
2019-12-23 17:40:55:252, no_human
2019-12-23 17:40:55:284, no_human
2019-12-23 17:40:55:319, no_human
2019-12-23 17:40:55:351, no_human
2019-12-23 17:40:55:384, no_human
2019-12-23 17:40:55:418, no_human
2019-12-23 17:40:55:452, no_human
2019-12-23 17:40:55:485, no_human
2019-12-23 17:40:55:518, no_human
2019-12-23 17:40:55:552, no_human
2019-12-23 17:40:55:583, no_human
2019-12-23 17:40:55:619, no_human
2019-12-23 17:40:55:651, no_human
2019-12-23 17:40:55:688, no_human
2019-12-23 17:40:55:718, no_human
2019-12-23 17:40:55:755, no_human
2019-12-23 17:40:55:785, no_human
2019-12-23 17:40:55:821, no_human
2019-12-23 17:40:55:853, no_human
2019-12-23 17:40:55:887, no_human
2019-12-23 17:40:55:920, no_human
2019-12-23 17:40:55:952, no_human
2019-12-23 17:40:55:984, no_human
2019-12-23 17:40:56:021, no_human
2019-12-23 17:40:56:051, no_human
2019-12-23 17:40:56:089, no_human
2019-12-23 17:40:56:137, no_human
2019-12-23 17:40:56:176, no_human
2019-12-23 17:40:56:296,0.9033593,1.6471562.538435
2019-12-23 17:40:56:354,0.8482296,1.6498532.515657
2019-12-23 17:40:56:391,0.8344242,1.6522752.505397
2019-12-23 17:40:56:430,0.8233216,1.6536872.495531
2019-12-23 17:40:56:467,0.8015718,1.6594392.466034
2019-12-23 17:40:56:504,0.7938259,1.6606482.451493
2019-12-23 17:40:56:566,0.7862331,1.6621842.432649
2019-12-23 17:40:56:673,0.7804637,1.6620452.374144
2019-12-23 17:40:56:723,0.7851019,1.6619962.328042
2019-12-23 17:40:56:760,0.7901079,1.6625872.307092
2019-12-23 17:40:56:795,0.7969189,1.6613462.281958
2019-12-23 17:40:56:829,0.8026862,1.6604882.259344
2019-12-23 17:40:56:866,0.81183,1.6629952.20988
2019-12-23 17:40:56:908,0.8130593,1.6681772.191437
2019-12-23 17:40:56:952,0.812005,1.6707832.171073
2019-12-23 17:40:56:991,0.8081355,1.6749662.151979
2019-12-23 17:40:57:031,0.8033695,1.6757632.137642
2019-12-23 17:40:57:086,0.7867485,1.678332.108434
2019-12-23 17:40:57:128,0.7768542,1.6785652.095453
2019-12-23 17:40:57:172,0.7523968,1.6810112.072598
2019-12-23 17:40:57:211,0.7381304,1.6821322.060798
2019-12-23 17:40:57:253,0.72489,1.6834652.053787
2019-12-23 17:40:57:295,0.7075995,1.6827382.043423
2019-12-23 17:40:57:337,0.6706762,1.6806852.02753
2019-12-23 17:40:57:385,0.6529511,1.6800642.022497
2019-12-23 17:40:57:421,0.6318064,1.6787672.017027
2019-12-23 17:40:57:459,0.6105517,1.6776352.010849
2019-12-23 17:40:57:495,0.5852398,1.6773752.006093
2019-12-23 17:40:57:533,0.5387509,1.6786841.995119
2019-12-23 17:40:57:571,0.5133241,1.6822261.990776
2019-12-23 17:40:57:608,0.4861246,1.687411.987899
2019-12-23 17:40:57:654,0.4637885,1.6930731.982715
2019-12-23 17:40:57:697,0.4404007,1.6949321.978582
2019-12-23 17:40:57:742,0.401006,1.7028031.969541
2019-12-23 17:40:57:787,0.3835329,1.7013571.967782
2019-12-23 17:40:57:830,0.365282,1.7025571.963602
2019-12-23 17:40:57:869,0.3353487,1.7051711.955838
2019-12-23 17:40:57:920,0.3225402,1.7074731.953609
2019-12-23 17:40:57:964,0.3102968,1.7095671.950882
2019-12-23 17:40:58:032,0.2837178,1.7118921.943643
2019-12-23 17:40:58:095,0.2526894,1.7131721.934572
2019-12-23 17:40:58:138,0.2200973,1.714121.919588
2019-12-23 17:40:58:187,0.2023758,1.7155971.911763
2019-12-23 17:40:58:233,0.1812396,1.7147731.900898
2019-12-23 17:40:58:274,0.1410943,1.7135471.879572
