2019-12-23 17:40:53:849, no_human
2019-12-23 17:40:53:860, no_human
2019-12-23 17:40:54:111, no_human
2019-12-23 17:40:54:187, no_human
2019-12-23 17:40:54:204, no_human
2019-12-23 17:40:54:221, no_human
2019-12-23 17:40:54:237, no_human
2019-12-23 17:40:54:255, no_human
2019-12-23 17:40:54:271, no_human
2019-12-23 17:40:54:288, no_human
2019-12-23 17:40:54:305, no_human
2019-12-23 17:40:54:322, no_human
2019-12-23 17:40:54:338, no_human
2019-12-23 17:40:54:384, no_human
2019-12-23 17:40:54:401, no_human
2019-12-23 17:40:54:407, no_human
2019-12-23 17:40:54:423, no_human
2019-12-23 17:40:54:440, no_human
2019-12-23 17:40:54:457, no_human
2019-12-23 17:40:54:495, no_human
2019-12-23 17:40:54:521, no_human
2019-12-23 17:40:54:550, no_human
2019-12-23 17:40:54:584, no_human
2019-12-23 17:40:54:608, no_human
2019-12-23 17:40:54:613, no_human
2019-12-23 17:40:54:650, no_human
2019-12-23 17:40:54:685, no_human
2019-12-23 17:40:54:719, no_human
2019-12-23 17:40:54:752, no_human
2019-12-23 17:40:54:784, no_human
2019-12-23 17:40:54:820, no_human
2019-12-23 17:40:54:851, no_human
2019-12-23 17:40:54:885, no_human
2019-12-23 17:40:54:918, no_human
2019-12-23 17:40:54:952, no_human
2019-12-23 17:40:54:986, no_human
2019-12-23 17:40:55:018, no_human
2019-12-23 17:40:55:054, no_human
2019-12-23 17:40:55:086, no_human
2019-12-23 17:40:55:118, no_human
2019-12-23 17:40:55:152, no_human
2019-12-23 17:40:55:184, no_human
2019-12-23 17:40:55:218, no_human
2019-12-23 17:40:55:252, no_human
2019-12-23 17:40:55:284, no_human
2019-12-23 17:40:55:319, no_human
2019-12-23 17:40:55:351, no_human
2019-12-23 17:40:55:384, no_human
2019-12-23 17:40:55:418, no_human
2019-12-23 17:40:55:452, no_human
2019-12-23 17:40:55:485, no_human
2019-12-23 17:40:55:518, no_human
2019-12-23 17:40:55:552, no_human
2019-12-23 17:40:55:583, no_human
2019-12-23 17:40:55:619, no_human
2019-12-23 17:40:55:651, no_human
2019-12-23 17:40:55:688, no_human
2019-12-23 17:40:55:718, no_human
2019-12-23 17:40:55:755, no_human
2019-12-23 17:40:55:785, no_human
2019-12-23 17:40:55:821, no_human
2019-12-23 17:40:55:853, no_human
2019-12-23 17:40:55:887, no_human
2019-12-23 17:40:55:920, no_human
2019-12-23 17:40:55:952, no_human
2019-12-23 17:40:55:984, no_human
2019-12-23 17:40:56:021, no_human
2019-12-23 17:40:56:051, no_human
2019-12-23 17:40:56:089, no_human
2019-12-23 17:40:56:137, no_human
2019-12-23 17:40:56:176, no_human
2019-12-23 17:40:56:296,-1.139524,1.945214,-0.395453,-1.132475,1.609805,-0.418932,-1.120536,1.285292,-0.4286097,-1.153359,1.152844,-0.3784345,-0.9318347,1.382862,-0.4107552,-0.860908,1.634439,-0.3831089,-0.8482785,1.879088,-0.2863339,-0.8559502,1.943302,-0.2779227,-1.318659,1.434835,-0.4352742,-1.371883,1.702319,-0.4097181,-1.428493,1.878194,-0.2744046,-1.439397,1.932773,-0.2441466,-1.03652,1.929529,-0.3519083,-1.00772,2.307973,-0.3363243,-1.0435,2.721172,-0.3317998,-1.030273,2.721484,-0.255703,-1.212999,1.952777,-0.3650938,-1.26306,2.310728,-0.3855405,-1.217633,2.727408,-0.5320063,-1.261719,2.751758,-0.4764062,-1.124387,1.36495,-0.4285777,-0.8628144,2.049776,-0.2808667,-0.9102246,1.923686,-0.2743333,-1.461492,1.995088,-0.2178555,-1.437175,2.007455,0.1389998,
2019-12-23 17:40:56:354,-1.123551,1.943509,-0.3557699,-1.111131,1.610561,-0.3873609,-1.093907,1.288526,-0.4042695,-1.09823,1.150147,-0.3556567,-0.9089948,1.386618,-0.4036203,-0.8472021,1.636443,-0.363808,-0.8281156,1.868719,-0.234834,-0.8310849,1.938726,-0.1999932,-1.272439,1.424713,-0.3708346,-1.324035,1.663084,-0.3429018,-1.327109,1.840957,-0.2065518,-1.304161,1.905209,-0.1739114,-1.022911,1.930909,-0.3255675,-1.004932,2.305585,-0.3287278,-1.042407,2.721385,-0.323567,-1.030758,2.721562,-0.2532423,-1.194841,1.947651,-0.3114083,-1.264371,2.285285,-0.2824319,-1.268369,2.695357,-0.4842604,-1.30713,2.733952,-0.4050761,-1.099079,1.367556,-0.4025055,-0.8430185,2.011745,-0.1953543,-0.8043235,1.993164,-0.2237776,-1.293714,1.952824,-0.1037933,-1.311323,1.978449,0.2277309,
2019-12-23 17:40:56:391,-1.11829,1.937797,-0.3433955,-1.103706,1.606596,-0.3754736,-1.084441,1.286384,-0.393179,-1.084424,1.147725,-0.3453968,-0.9015885,1.38648,-0.398408,-0.8428345,1.636545,-0.3587154,-0.8260615,1.864898,-0.2267888,-0.8286101,1.929653,-0.1863084,-1.263885,1.420893,-0.3538216,-1.320245,1.655543,-0.3245788,-1.318162,1.839638,-0.1946486,-1.292259,1.900341,-0.161254,-1.017973,1.926026,-0.3138087,-1.00427,2.302186,-0.3202353,-1.043055,2.721261,-0.3199795,-1.030291,2.721202,-0.2528356,-1.189325,1.941493,-0.2990938,-1.256477,2.285444,-0.2495661,-1.280933,2.695774,-0.4569321,-1.315991,2.732699,-0.3802939,-1.090098,1.364952,-0.3911889,-0.839749,1.997869,-0.1732412,-0.7833979,1.925307,-0.1817618,-1.276419,1.95083,-0.09444445,-1.313692,1.941812,0.2157305,
2019-12-23 17:40:56:430,-1.115489,1.934166,-0.3332003,-1.099077,1.604261,-0.3642421,-1.077893,1.285535,-0.3809894,-1.073322,1.146313,-0.3355313,-0.8959801,1.385949,-0.3942752,-0.8393803,1.634794,-0.3572672,-0.8231459,1.859734,-0.2226844,-0.8274278,1.926145,-0.1775754,-1.264004,1.42068,-0.3537601,-1.315628,1.650733,-0.3095127,-1.312718,1.842473,-0.1740111,-1.287418,1.9027,-0.1487865,-1.01569,1.9233,-0.3073464,-1.003675,2.299531,-0.3108698,-1.044223,2.723828,-0.3181666,-1.030484,2.725944,-0.249353,-1.185922,1.936971,-0.284443,-1.246534,2.275187,-0.2142583,-1.297808,2.690889,-0.3870011,-1.330592,2.717952,-0.2989481,-1.084028,1.363713,-0.3792279,-0.839111,1.991622,-0.1624189,-0.7790917,1.913347,-0.1739443,-1.270925,1.955978,-0.08852988,-1.26085,2.061692,0.1498126,
2019-12-23 17:40:56:467,-1.106532,1.924292,-0.3119684,-1.089577,1.59802,-0.3412204,-1.068077,1.282906,-0.3561237,-1.051572,1.140562,-0.3060344,-0.8856778,1.386454,-0.3820501,-0.8337063,1.63475,-0.3532844,-0.8196467,1.855863,-0.217614,-0.8242391,1.925725,-0.172752,-1.245462,1.406754,-0.3057864,-1.318463,1.647624,-0.2827271,-1.319799,1.841213,-0.1504934,-1.309566,1.896532,-0.1134374,-1.008444,1.916295,-0.2909516,-1.003324,2.29831,-0.2996214,-1.04506,2.724094,-0.3166359,-1.035911,2.730917,-0.2446554,-1.175319,1.924379,-0.2590893,-1.22962,2.271794,-0.1627308,-1.315024,2.677368,-0.2411082,-1.280701,2.704351,-0.113908,-1.07426,1.360178,-0.3548291,-0.8379554,1.986157,-0.1501908,-0.7902093,1.910421,-0.1603852,-1.297403,1.973404,-0.07763439,-1.261257,2.000898,0.1798753,
2019-12-23 17:40:56:504,-1.098798,1.925999,-0.3006161,-1.084061,1.598189,-0.3287581,-1.064694,1.281568,-0.3425885,-1.043826,1.139352,-0.2914932,-0.8814036,1.387523,-0.3742786,-0.8312597,1.636783,-0.3488632,-0.8172212,1.856462,-0.2156919,-0.8216665,1.929603,-0.1755815,-1.241028,1.401614,-0.2853492,-1.323516,1.647304,-0.2621239,-1.332794,1.840833,-0.1328673,-1.325225,1.903345,-0.0954538,-1.000064,1.923877,-0.2813218,-1.003922,2.297321,-0.2926782,-1.044779,2.72497,-0.3174527,-1.056248,2.733701,-0.2518712,-1.16724,1.920012,-0.2444258,-1.222277,2.271953,-0.1431995,-1.312248,2.672797,-0.1733406,-1.27389,2.699827,-0.04450208,-1.070346,1.359219,-0.3415561,-0.8370866,2.001889,-0.1590725,-0.7794651,1.935054,-0.1728399,-1.317779,1.9842,-0.07347935,-1.2629,1.989356,0.1991537,
2019-12-23 17:40:56:566,-1.092194,1.926562,-0.291967,-1.079071,1.598223,-0.315954,-1.061751,1.280952,-0.3246682,-1.036233,1.137816,-0.2726489,-0.8791837,1.388762,-0.3639238,-0.830655,1.642174,-0.342898,-0.8155495,1.861119,-0.2157131,-0.817805,1.940696,-0.1823099,-1.238301,1.399432,-0.2688175,-1.327066,1.644214,-0.2490106,-1.342591,1.840486,-0.1248031,-1.345125,1.9067,-0.08131427,-0.9945309,1.925983,-0.2755278,-1.004084,2.299052,-0.2875591,-1.044324,2.724916,-0.3174234,-1.039038,2.733046,-0.2391906,-1.160648,1.918763,-0.2341741,-1.21695,2.274143,-0.1261757,-1.296835,2.656552,-0.1263445,-1.252228,2.668656,0.003387153,-1.06684,1.358774,-0.324991,-0.8304355,2.02574,-0.1725371,-0.7684563,1.948907,-0.1777778,-1.337217,1.986555,-0.05661279,-1.304776,2.013306,0.2271666,
2019-12-23 17:40:56:673,-1.077804,1.926454,-0.2533959,-1.072544,1.597705,-0.2660409,-1.0632,1.280205,-0.2640579,-1.030464,1.137955,-0.2141443,-0.8789876,1.388847,-0.3161982,-0.8414552,1.671438,-0.3152884,-0.8144885,1.905635,-0.2238243,-0.8168555,1.963903,-0.2186213,-1.235363,1.395812,-0.2043419,-1.34278,1.638172,-0.2004829,-1.387751,1.857351,-0.08655316,-1.398691,1.927675,-0.05792922,-0.9810684,1.927181,-0.2420264,-1.002863,2.296859,-0.2673014,-1.043313,2.722042,-0.3125816,-1.030393,2.734049,-0.2257438,-1.145683,1.917704,-0.1916896,-1.19039,2.258797,-0.06789249,-1.243851,2.623256,0.03841573,-1.186327,2.60316,0.1567286,-1.066333,1.358046,-0.2669547,-0.8323981,2.058131,-0.2074168,-0.7624413,1.968992,-0.2189165,-1.402874,2.008626,-0.03647548,-1.404242,2.079755,0.2626666,
2019-12-23 17:40:56:723,-1.073016,1.928748,-0.2135783,-1.073351,1.599506,-0.2232209,-1.068823,1.281828,-0.2188438,-1.035102,1.138004,-0.1680415,-0.8824984,1.388103,-0.2744799,-0.8484827,1.685682,-0.2965191,-0.8154655,1.917698,-0.2334786,-0.8157145,1.965454,-0.2385982,-1.238512,1.401426,-0.1579913,-1.352263,1.641984,-0.1602905,-1.410809,1.861163,-0.06321937,-1.425255,1.939686,-0.03630012,-0.9763885,1.928918,-0.2033566,-1.002064,2.306193,-0.238736,-1.042977,2.718414,-0.3086467,-1.027879,2.73765,-0.2174531,-1.14045,1.92046,-0.1509992,-1.169546,2.256394,-0.01875502,-1.208316,2.636228,0.09305197,-1.151027,2.598706,0.2027037,-1.070825,1.359676,-0.2222944,-0.8185899,2.042663,-0.2397154,-0.7657009,1.965777,-0.249682,-1.434386,2.024515,-0.02268678,-1.399776,2.090286,0.2794999,
2019-12-23 17:40:56:760,-1.070694,1.927607,-0.1857494,-1.074453,1.59916,-0.1975873,-1.072629,1.282304,-0.1955791,-1.040108,1.137413,-0.1470918,-0.8866432,1.388124,-0.2528706,-0.8523483,1.685824,-0.2879129,-0.8152859,1.915471,-0.2352727,-0.8103851,1.962804,-0.2463039,-1.241338,1.404827,-0.1333277,-1.358033,1.645484,-0.1373609,-1.42003,1.867765,-0.0436607,-1.433393,1.944733,-0.01897866,-0.9735253,1.92748,-0.1759151,-1.001153,2.312109,-0.2102774,-1.041869,2.711944,-0.3043938,-1.027304,2.741158,-0.2158509,-1.138419,1.919574,-0.1229482,-1.1597,2.253471,0.006590188,-1.191246,2.640924,0.1197172,-1.148158,2.630493,0.1815863,-1.074023,1.359945,-0.1984182,-0.8147421,2.030165,-0.2408901,-0.7659347,1.971816,-0.259857,-1.440062,2.025903,0.0008035302,-1.406925,2.099502,0.2987141,
2019-12-23 17:40:56:795,-1.071678,1.926493,-0.1611517,-1.077346,1.598634,-0.1711059,-1.077524,1.282572,-0.1675094,-1.046919,1.138654,-0.1219577,-0.8910429,1.38773,-0.2286192,-0.8571368,1.683116,-0.2706011,-0.813179,1.904763,-0.2370537,-0.8025012,1.957806,-0.2558571,-1.246761,1.407837,-0.1070388,-1.360364,1.647691,-0.1179982,-1.426404,1.868617,-0.02960092,-1.440327,1.949345,-0.0009632707,-0.9741579,1.925671,-0.1507455,-1.001818,2.314364,-0.1822482,-1.041246,2.7079,-0.298631,-1.027463,2.744895,-0.2153211,-1.139429,1.919098,-0.09911364,-1.153835,2.243377,0.03793699,-1.187923,2.621399,0.1130316,-1.131705,2.586625,0.2318599,-1.07842,1.359991,-0.1707087,-0.8187819,2.030061,-0.2523783,-0.7639693,1.951567,-0.262333,-1.449271,2.033744,0.01412457,-1.398946,2.068733,0.3457499,
