2019-12-23 17:34:00:111, no_human
2019-12-23 17:34:00:122, no_human
2019-12-23 17:34:00:350, no_human
2019-12-23 17:34:00:416, no_human
2019-12-23 17:34:00:431, no_human
2019-12-23 17:34:00:448, no_human
2019-12-23 17:34:00:465, no_human
2019-12-23 17:34:00:482, no_human
2019-12-23 17:34:00:499, no_human
2019-12-23 17:34:00:516, no_human
2019-12-23 17:34:00:533, no_human
2019-12-23 17:34:00:550, no_human
2019-12-23 17:34:00:567, no_human
2019-12-23 17:34:00:605, no_human
2019-12-23 17:34:00:610, no_human
2019-12-23 17:34:00:636, no_human
2019-12-23 17:34:00:644, no_human
2019-12-23 17:34:00:671, no_human
2019-12-23 17:34:00:680, no_human
2019-12-23 17:34:00:694, no_human
2019-12-23 17:34:00:713, no_human
2019-12-23 17:34:00:729, no_human
2019-12-23 17:34:00:745, no_human
2019-12-23 17:34:00:782, no_human
2019-12-23 17:34:00:820, no_human
2019-12-23 17:34:00:854, no_human
2019-12-23 17:34:00:886, no_human
2019-12-23 17:34:00:919, no_human
2019-12-23 17:34:00:954, no_human
2019-12-23 17:34:00:985, no_human
2019-12-23 17:34:01:021, no_human
2019-12-23 17:34:01:052, no_human
2019-12-23 17:34:01:088, no_human
2019-12-23 17:34:01:119, no_human
2019-12-23 17:34:01:151, no_human
2019-12-23 17:34:01:184, no_human
2019-12-23 17:34:01:218, no_human
2019-12-23 17:34:01:251, no_human
2019-12-23 17:34:01:287, no_human
2019-12-23 17:34:01:319, no_human
2019-12-23 17:34:01:352, no_human
2019-12-23 17:34:01:385, no_human
2019-12-23 17:34:01:419, no_human
2019-12-23 17:34:01:453, no_human
2019-12-23 17:34:01:496,3.509986,2.65355
2019-12-23 17:34:01:530,3.510973,2.654493
2019-12-23 17:34:01:564,3.515292,2.655328
2019-12-23 17:34:01:597,3.521327,2.65347
2019-12-23 17:34:01:629,3.521327,2.65347
2019-12-23 17:34:01:660,3.527497,2.651998
2019-12-23 17:34:01:694,3.532701,2.650882
2019-12-23 17:34:01:727,3.537722,2.650158
2019-12-23 17:34:01:763,3.541764,2.64894
2019-12-23 17:34:01:806,3.548638,2.64659
2019-12-23 17:34:01:887,3.552578,2.644711
2019-12-23 17:34:01:923,3.554034,2.643033
2019-12-23 17:34:01:956,3.555067,2.641414
2019-12-23 17:34:01:991,3.555409,2.640221
2019-12-23 17:34:02:026,3.555194,2.637175
2019-12-23 17:34:02:060,3.553893,2.633593
2019-12-23 17:34:02:093,3.550431,2.627623
2019-12-23 17:34:02:127,3.546314,2.621478
2019-12-23 17:34:02:160,3.541188,2.616218
2019-12-23 17:34:02:193,3.533598,2.60808
2019-12-23 17:34:02:227,3.52468,2.60031
2019-12-23 17:34:02:263,3.50374,2.580783
2019-12-23 17:34:02:296,3.494193,2.573289
2019-12-23 17:34:02:329,3.48229,2.564891
2019-12-23 17:34:02:362,3.48229,2.564891
2019-12-23 17:34:02:394,3.470154,2.556113
2019-12-23 17:34:02:428,3.456791,2.54632
2019-12-23 17:34:02:461,3.443811,2.539841
2019-12-23 17:34:02:493,3.431786,2.533388
2019-12-23 17:34:02:527,3.418278,2.526349
2019-12-23 17:34:02:561,3.406059,2.520275
2019-12-23 17:34:02:593,3.396243,2.514719
2019-12-23 17:34:02:627,3.389286,2.508822
2019-12-23 17:34:02:660,3.380319,2.501129
2019-12-23 17:34:02:693,3.37243,2.49352
2019-12-23 17:34:02:727,3.365808,2.48429
2019-12-23 17:34:02:761,3.359985,2.473965
2019-12-23 17:34:02:793,3.354706,2.464315
2019-12-23 17:34:02:828,3.349516,2.453766
2019-12-23 17:34:02:861,3.344494,2.444231
2019-12-23 17:34:02:899,3.338554,2.432273
2019-12-23 17:34:02:955,3.322733,2.405505
2019-12-23 17:34:02:996,3.314409,2.390617
2019-12-23 17:34:03:028,3.304904,2.375952
2019-12-23 17:34:03:060,3.293826,2.361567
2019-12-23 17:34:03:093,3.279714,2.343473
2019-12-23 17:34:03:127,3.266424,2.327483
2019-12-23 17:34:03:160,3.254891,2.314767
2019-12-23 17:34:03:194,3.245776,2.298625
2019-12-23 17:34:03:228,3.239556,2.28212
2019-12-23 17:34:03:261,3.235608,2.266583
2019-12-23 17:34:03:293,3.228953,2.253686
2019-12-23 17:34:03:328,3.218691,2.238566
2019-12-23 17:34:03:361,3.218983,2.223071
2019-12-23 17:34:03:395,3.213778,2.21027
2019-12-23 17:34:03:429,3.198431,2.195514
2019-12-23 17:34:03:463,3.186647,2.183208
2019-12-23 17:34:03:496,3.167967,2.160117
2019-12-23 17:34:03:529,3.167967,2.160117
2019-12-23 17:34:03:561,3.157587,2.150354
2019-12-23 17:34:03:595,3.147176,2.142292
2019-12-23 17:34:03:631,3.135113,2.132059
2019-12-23 17:34:03:669,3.10846,2.117979
2019-12-23 17:34:03:702,3.093133,2.113472
2019-12-23 17:34:03:734,3.075184,2.108816
2019-12-23 17:34:03:753,3.075184,2.108816
2019-12-23 17:34:03:788,3.055096,2.105637
2019-12-23 17:34:03:821,3.035814,2.105441
2019-12-23 17:34:03:852,3.011395,2.105473
2019-12-23 17:34:03:884,2.994169,2.107572
2019-12-23 17:34:03:918,2.991893,2.10695
2019-12-23 17:34:03:951,2.980662,2.109019
2019-12-23 17:34:03:984,2.959097,2.11326
2019-12-23 17:34:04:031,2.944863,2.114514
2019-12-23 17:34:04:073,2.909589,2.115369
2019-12-23 17:34:04:109,2.884114,2.118218
2019-12-23 17:34:04:145,2.873278,2.119696
2019-12-23 17:34:04:185,2.83587,2.11925
2019-12-23 17:34:04:218,2.82441,2.119405
2019-12-23 17:34:04:252,2.8043,2.116431
2019-12-23 17:34:04:284,2.791191,2.117099
2019-12-23 17:34:04:318,2.779429,2.118511
2019-12-23 17:34:04:351,2.756157,2.113765
2019-12-23 17:34:04:383,2.740569,2.111165
2019-12-23 17:34:04:418,2.726906,2.106717
2019-12-23 17:34:04:451,2.707,2.098916
2019-12-23 17:34:04:486,2.695207,2.091173
2019-12-23 17:34:04:519,2.681166,2.083232
2019-12-23 17:34:04:551,2.664445,2.074103
2019-12-23 17:34:04:584,2.656949,2.067446
2019-12-23 17:34:04:618,2.641621,2.065936
2019-12-23 17:34:04:652,2.613662,2.062718
2019-12-23 17:34:04:687,2.601791,2.06207
2019-12-23 17:34:04:719,2.588043,2.061158
2019-12-23 17:34:04:751,2.563109,2.072597
2019-12-23 17:34:04:786,2.558261,2.079076
2019-12-23 17:34:04:819,2.536107,2.085065
2019-12-23 17:34:04:851,2.52,2.092855
2019-12-23 17:34:04:885,2.512061,2.099671
2019-12-23 17:34:04:926,2.502546,2.106819
2019-12-23 17:34:04:961,2.480423,2.122072
2019-12-23 17:34:04:993,2.471162,2.134382
2019-12-23 17:34:05:031,2.453927,2.159869
2019-12-23 17:34:05:063,2.442307,2.184906
2019-12-23 17:34:05:099,2.427369,2.204553
2019-12-23 17:34:05:155,2.424903,2.223857
2019-12-23 17:34:05:199,2.424724,2.233983
2019-12-23 17:34:05:234,2.426951,2.272531
2019-12-23 17:34:05:266,2.430822,2.268895
2019-12-23 17:34:05:297,2.438673,2.286195
2019-12-23 17:34:05:331,2.43896,2.307709
2019-12-23 17:34:05:361,2.43896,2.307709
2019-12-23 17:34:05:393,2.436525,2.32093
2019-12-23 17:34:05:428,2.437245,2.343342
2019-12-23 17:34:05:461,2.435404,2.350084
2019-12-23 17:34:05:495,2.435588,2.359176
2019-12-23 17:34:05:529,2.435976,2.368799
2019-12-23 17:34:05:561,2.439572,2.40547
2019-12-23 17:34:05:593,2.439572,2.40547
2019-12-23 17:34:05:627,2.437758,2.417839
2019-12-23 17:34:05:662,2.436114,2.430416
2019-12-23 17:34:05:696,2.433582,2.448768
2019-12-23 17:34:05:728,2.430078,2.463761
2019-12-23 17:34:05:762,2.428246,2.475058
2019-12-23 17:34:05:794,2.424411,2.489918
2019-12-23 17:34:05:827,2.419755,2.500588
2019-12-23 17:34:05:860,2.413492,2.521316
2019-12-23 17:34:05:893,2.407623,2.540493
2019-12-23 17:34:05:929,2.399954,2.556116
2019-12-23 17:34:05:960,2.387405,2.573412
2019-12-23 17:34:05:996,2.367949,2.605889
2019-12-23 17:34:06:033,2.358886,2.618581
2019-12-23 17:34:06:068,2.347416,2.644577
2019-12-23 17:34:06:087,2.347416,2.644577
2019-12-23 17:34:06:121,2.34289,2.657666
2019-12-23 17:34:06:154,2.337353,2.675073
2019-12-23 17:34:06:188,2.332888,2.689884
2019-12-23 17:34:06:232,2.329101,2.717213
2019-12-23 17:34:06:287,2.331027,2.734049
2019-12-23 17:34:06:331,2.331348,2.75208
2019-12-23 17:34:06:368,2.33411,2.769011
2019-12-23 17:34:06:401,2.336932,2.777307
2019-12-23 17:34:06:449,2.342305,2.783738
2019-12-23 17:34:06:491,2.346428,2.788539
2019-12-23 17:34:06:530,2.35302,2.795675
2019-12-23 17:34:06:566,2.359871,2.799221
2019-12-23 17:34:06:602,2.370668,2.801042
2019-12-23 17:34:06:637,2.374586,2.800034
2019-12-23 17:34:06:684,2.377322,2.79901
2019-12-23 17:34:06:736,2.379656,2.798166
2019-12-23 17:34:06:797,2.383704,2.797019
2019-12-23 17:34:06:837,2.384981,2.797048
2019-12-23 17:34:06:876,2.385967,2.798099
2019-12-23 17:34:06:923,2.385555,2.800768
2019-12-23 17:34:06:965,2.386159,2.806225
2019-12-23 17:34:07:005,2.422962,2.82735
2019-12-23 17:34:07:052,2.419642,2.831508
2019-12-23 17:34:07:088,2.415873,2.83714
2019-12-23 17:34:07:124,2.413701,2.849762
2019-12-23 17:34:07:161,2.413059,2.859548
2019-12-23 17:34:07:193,2.410838,2.873445
2019-12-23 17:34:07:228,2.40799,2.88623
2019-12-23 17:34:07:263,2.405813,2.89892
2019-12-23 17:34:07:302,2.40377,2.914635
2019-12-23 17:34:07:354,2.400408,2.945023
2019-12-23 17:34:07:408,2.396394,2.965933
2019-12-23 17:34:07:453,2.393481,2.976629
2019-12-23 17:34:07:490,2.391817,2.982589
2019-12-23 17:34:07:524,2.387734,2.989779
2019-12-23 17:34:07:563,2.383184,2.996261
2019-12-23 17:34:07:598,2.372374,3.007563
2019-12-23 17:34:07:635,2.365942,3.012346
2019-12-23 17:34:07:670,2.360254,3.014836
2019-12-23 17:34:07:704,2.354948,3.016331
2019-12-23 17:34:07:738,2.346228,3.017949
2019-12-23 17:34:07:790,2.337726,3.017223
2019-12-23 17:34:07:840,2.31883,3.015628
2019-12-23 17:34:07:899,2.308072,3.013868
2019-12-23 17:34:07:959,2.287971,3.012275
2019-12-23 17:34:07:996,2.275808,3.011776
2019-12-23 17:34:08:032,2.258104,3.013601
2019-12-23 17:34:08:065,2.25001,3.014481
2019-12-23 17:34:08:120,2.2433,3.016021
2019-12-23 17:34:08:156,2.237298,3.01793
2019-12-23 17:34:08:192,2.231462,3.021811
2019-12-23 17:34:08:237,2.226235,3.025972
2019-12-23 17:34:08:295,2.221503,3.034455
2019-12-23 17:34:08:355,2.221359,3.044846
2019-12-23 17:34:08:427,2.223675,3.051724
2019-12-23 17:34:08:495,2.231615,3.05927
2019-12-23 17:34:08:564,2.24142,3.06197
2019-12-23 17:34:08:600,2.260446,3.05815
2019-12-23 17:34:08:637,2.270149,3.055709
2019-12-23 17:34:08:669,2.289828,3.051512
2019-12-23 17:34:08:705,2.303204,3.049831
2019-12-23 17:34:08:739,2.321249,3.051984
2019-12-23 17:34:08:771,2.339915,3.053031
2019-12-23 17:34:08:803,2.365301,3.055143
2019-12-23 17:34:08:821,2.365301,3.055143
2019-12-23 17:34:08:859,2.388079,3.055944
2019-12-23 17:34:08:893,2.41179,3.0591
2019-12-23 17:34:08:935,2.436452,3.06242
2019-12-23 17:34:08:973,2.490567,3.067631
2019-12-23 17:34:09:022,2.514317,3.071818
2019-12-23 17:34:09:059,2.536332,3.074546
2019-12-23 17:34:09:094,2.557942,3.076915
2019-12-23 17:34:09:134,2.577349,3.078438
2019-12-23 17:34:09:171,2.607354,3.082727
2019-12-23 17:34:09:221,2.623233,3.081672
2019-12-23 17:34:09:255,2.63703,3.082341
2019-12-23 17:34:09:291,2.650033,3.081736
2019-12-23 17:34:09:332,2.663966,3.081502
2019-12-23 17:34:09:367,2.685566,3.078005
2019-12-23 17:34:09:409,2.698099,3.073897
2019-12-23 17:34:09:452,2.709171,3.072551
2019-12-23 17:34:09:491,2.716047,3.070907
2019-12-23 17:34:09:531,2.72178,3.069319
2019-12-23 17:34:09:568,2.729669,3.067347
2019-12-23 17:34:09:624,2.73804,3.061533
2019-12-23 17:34:09:688,2.74309,3.048688
2019-12-23 17:34:09:736,2.745384,3.039168
2019-12-23 17:34:09:773,2.74364,3.016535
2019-12-23 17:34:09:822,2.741062,3.00936
2019-12-23 17:34:09:862,2.738814,3.000532
2019-12-23 17:34:09:896,2.737013,2.991102
2019-12-23 17:34:09:936,2.735331,2.979821
2019-12-23 17:34:09:972,2.735413,2.977065
2019-12-23 17:34:10:023,2.736185,2.97451
2019-12-23 17:34:10:065,2.738553,2.970244
2019-12-23 17:34:10:105,2.74929,2.962651
2019-12-23 17:34:10:153,2.760747,2.95734
2019-12-23 17:34:10:193,2.774594,2.954083
2019-12-23 17:34:10:237,2.791978,2.948955
2019-12-23 17:34:10:286,2.8283,2.942478
2019-12-23 17:34:10:333,2.849164,2.941628
2019-12-23 17:34:10:386,2.885617,2.935087
2019-12-23 17:34:10:427,2.899524,2.932322
2019-12-23 17:34:10:466,2.912759,2.928522
2019-12-23 17:34:10:509,2.924619,2.92421
2019-12-23 17:34:10:567,2.927724,2.922574
2019-12-23 17:34:10:607,2.929317,2.922089
2019-12-23 17:34:10:655,2.929347,2.922631
2019-12-23 17:34:10:700,2.927996,2.925455
2019-12-23 17:34:10:772,2.915812,2.935888
2019-12-23 17:34:10:857,2.878973,2.966086
2019-12-23 17:34:10:899,2.864342,2.972707
2019-12-23 17:34:10:954,2.82718,2.99574
2019-12-23 17:34:10:993,2.810694,3.008074
2019-12-23 17:34:11:033,2.793815,3.01887
2019-12-23 17:34:11:086,2.76626,3.044936
2019-12-23 17:34:11:141,2.742244,3.071523
2019-12-23 17:34:11:185,2.718115,3.09067
2019-12-23 17:34:11:231,2.706547,3.100378
2019-12-23 17:34:11:275,2.68498,3.11486
2019-12-23 17:34:11:325,2.674592,3.120893
2019-12-23 17:34:11:365,2.666015,3.12545
2019-12-23 17:34:11:402,2.641992,3.132621
2019-12-23 17:34:11:441,2.632879,3.13317
2019-12-23 17:34:11:491,2.622136,3.13107
2019-12-23 17:34:11:536,2.61041,3.128861
2019-12-23 17:34:11:586,2.590145,3.120723
2019-12-23 17:34:11:633,2.577866,3.11404
2019-12-23 17:34:11:687,2.559211,3.097768
2019-12-23 17:34:11:735,2.549566,3.089091
2019-12-23 17:34:11:775,2.524275,3.06087
2019-12-23 17:34:11:821,2.51479,3.050954
2019-12-23 17:34:11:889,2.507215,3.036202
2019-12-23 17:34:11:983,2.478935,3.011482
2019-12-23 17:34:12:054,2.460622,2.999818
2019-12-23 17:34:12:093,2.445365,2.991596
2019-12-23 17:34:12:140,2.436706,2.988509
2019-12-23 17:34:12:192,2.425722,2.978488
2019-12-23 17:34:12:255,2.423272,2.974407
2019-12-23 17:34:12:297,2.419429,2.968376
2019-12-23 17:34:12:341,2.406087,2.970387
2019-12-23 17:34:12:385,2.40166,2.973849
2019-12-23 17:34:12:420,2.393504,2.977953
2019-12-23 17:34:12:462,2.374885,2.984942
2019-12-23 17:34:12:497,2.345281,2.996586
2019-12-23 17:34:12:531,2.336239,3.000456
2019-12-23 17:34:12:571,2.313807,3.008888
2019-12-23 17:34:12:606,2.301405,3.017328
2019-12-23 17:34:12:654,2.289836,3.022764
2019-12-23 17:34:12:695,2.275101,3.029581
2019-12-23 17:34:12:740,2.255647,3.043526
2019-12-23 17:34:12:785,2.247388,3.05143
2019-12-23 17:34:12:826,2.240047,3.057207
2019-12-23 17:34:12:863,2.23367,3.062681
2019-12-23 17:34:12:900,2.225423,3.072469
2019-12-23 17:34:12:954,2.222513,3.078023
2019-12-23 17:34:12:993,2.220754,3.081402
2019-12-23 17:34:13:040,2.218921,3.090242
2019-12-23 17:34:13:089,2.219191,3.093425
2019-12-23 17:34:13:153,2.220757,3.102315
2019-12-23 17:34:13:191,2.222066,3.10731
2019-12-23 17:34:13:234,2.225148,3.113329
2019-12-23 17:34:13:270,2.231771,3.125254
2019-12-23 17:34:13:321,2.235969,3.132019
2019-12-23 17:34:13:360,2.238924,3.138081
2019-12-23 17:34:13:397,2.240596,3.143072
2019-12-23 17:34:13:438,2.242824,3.150305
2019-12-23 17:34:13:474,2.246341,3.162593
2019-12-23 17:34:13:519,2.24667,3.16732
2019-12-23 17:34:13:561,2.246938,3.172762
2019-12-23 17:34:13:596,2.247688,3.182354
2019-12-23 17:34:13:634,2.24839,3.189767
2019-12-23 17:34:13:668,2.248682,3.192132
2019-12-23 17:34:13:707,2.249851,3.195915
2019-12-23 17:34:13:752,2.250575,3.198705
2019-12-23 17:34:13:788,2.250679,3.199665
2019-12-23 17:34:13:830,2.251396,3.201319
2019-12-23 17:34:13:863,2.252902,3.202379
2019-12-23 17:34:13:894,2.253098,3.202486
2019-12-23 17:34:13:927,2.253098,3.202486
2019-12-23 17:34:13:966,2.253238,3.202465
2019-12-23 17:34:14:002,2.253994,3.202303
2019-12-23 17:34:14:025,2.253994,3.202303
2019-12-23 17:34:14:062,2.254629,3.202247
2019-12-23 17:34:14:096,2.254843,3.201906
2019-12-23 17:34:14:139,2.254994,3.200926
2019-12-23 17:34:14:175,2.254959,3.200097
2019-12-23 17:34:14:234,2.255033,3.19995
2019-12-23 17:34:14:271,2.255071,3.19878
2019-12-23 17:34:14:320,2.254858,3.198234
2019-12-23 17:34:14:355,2.254653,3.196839
2019-12-23 17:34:14:392,2.254739,3.19651
2019-12-23 17:34:14:434,2.254693,3.196211
2019-12-23 17:34:14:467,2.254797,3.194757
2019-12-23 17:34:14:499,2.254645,3.19455
2019-12-23 17:34:14:537,2.254413,3.194009
2019-12-23 17:34:14:571,2.253956,3.193171
2019-12-23 17:34:14:604,2.253543,3.193038
2019-12-23 17:34:14:641,2.253431,3.192788
2019-12-23 17:34:14:673,2.253294,3.19267
2019-12-23 17:34:14:705,2.253087,3.192527
2019-12-23 17:34:14:738,2.252723,3.192146
2019-12-23 17:34:14:771,2.25233,3.191923
2019-12-23 17:34:14:803,2.252209,3.191711
2019-12-23 17:34:14:838,2.25187,3.191634
2019-12-23 17:34:14:872,2.251801,3.191602
2019-12-23 17:34:14:906,2.251532,3.191372
2019-12-23 17:34:14:939,2.251256,3.191044
2019-12-23 17:34:14:985,2.251171,3.190815
2019-12-23 17:34:15:019,2.251123,3.190815
2019-12-23 17:34:15:054,2.250874,3.190432
2019-12-23 17:34:15:086,2.250589,3.190207
2019-12-23 17:34:15:118,2.250517,3.189977
2019-12-23 17:34:15:152,2.25052,3.189782
2019-12-23 17:34:15:194,2.250521,3.18944
2019-12-23 17:34:15:230,2.250917,3.188724
2019-12-23 17:34:15:275,2.250426,3.187395
2019-12-23 17:34:15:324,2.250469,3.187145
2019-12-23 17:34:15:364,2.250762,3.186553
2019-12-23 17:34:15:401,2.250762,3.185025
2019-12-23 17:34:15:439,2.250716,3.184037
