2019-12-23 17:34:00:111, no_human
2019-12-23 17:34:00:122, no_human
2019-12-23 17:34:00:350, no_human
2019-12-23 17:34:00:416, no_human
2019-12-23 17:34:00:431, no_human
2019-12-23 17:34:00:448, no_human
2019-12-23 17:34:00:465, no_human
2019-12-23 17:34:00:482, no_human
2019-12-23 17:34:00:499, no_human
2019-12-23 17:34:00:516, no_human
2019-12-23 17:34:00:533, no_human
2019-12-23 17:34:00:550, no_human
2019-12-23 17:34:00:567, no_human
2019-12-23 17:34:00:605, no_human
2019-12-23 17:34:00:610, no_human
2019-12-23 17:34:00:636, no_human
2019-12-23 17:34:00:644, no_human
2019-12-23 17:34:00:671, no_human
2019-12-23 17:34:00:680, no_human
2019-12-23 17:34:00:694, no_human
2019-12-23 17:34:00:713, no_human
2019-12-23 17:34:00:729, no_human
2019-12-23 17:34:00:745, no_human
2019-12-23 17:34:00:782, no_human
2019-12-23 17:34:00:820, no_human
2019-12-23 17:34:00:854, no_human
2019-12-23 17:34:00:886, no_human
2019-12-23 17:34:00:919, no_human
2019-12-23 17:34:00:954, no_human
2019-12-23 17:34:00:985, no_human
2019-12-23 17:34:01:021, no_human
2019-12-23 17:34:01:052, no_human
2019-12-23 17:34:01:088, no_human
2019-12-23 17:34:01:119, no_human
2019-12-23 17:34:01:151, no_human
2019-12-23 17:34:01:184, no_human
2019-12-23 17:34:01:218, no_human
2019-12-23 17:34:01:251, no_human
2019-12-23 17:34:01:287, no_human
2019-12-23 17:34:01:319, no_human
2019-12-23 17:34:01:352, no_human
2019-12-23 17:34:01:385, no_human
2019-12-23 17:34:01:419, no_human
2019-12-23 17:34:01:453, no_human
2019-12-23 17:34:01:496,-0.03998646,1.6777412.65355
2019-12-23 17:34:01:530,-0.04097264,1.6777492.654493
2019-12-23 17:34:01:564,-0.04529241,1.6792012.655328
2019-12-23 17:34:01:597,-0.05132712,1.6803812.65347
2019-12-23 17:34:01:629,-0.05132712,1.6803812.65347
2019-12-23 17:34:01:660,-0.05749671,1.68072.651998
2019-12-23 17:34:01:694,-0.06270143,1.6814922.650882
2019-12-23 17:34:01:727,-0.06772176,1.6832682.650158
2019-12-23 17:34:01:763,-0.07176454,1.6839382.64894
2019-12-23 17:34:01:806,-0.07863779,1.6865942.64659
2019-12-23 17:34:01:887,-0.08257806,1.6891332.644711
2019-12-23 17:34:01:923,-0.08403385,1.6901852.643033
2019-12-23 17:34:01:956,-0.08506732,1.6910582.641414
2019-12-23 17:34:01:991,-0.08540905,1.6915782.640221
2019-12-23 17:34:02:026,-0.08519413,1.6926622.637175
2019-12-23 17:34:02:060,-0.0838927,1.6934932.633593
2019-12-23 17:34:02:093,-0.08043122,1.6936562.627623
2019-12-23 17:34:02:127,-0.07631449,1.6930072.621478
2019-12-23 17:34:02:160,-0.07118761,1.6935012.616218
2019-12-23 17:34:02:193,-0.06359804,1.6929752.60808
2019-12-23 17:34:02:227,-0.05467987,1.6922332.60031
2019-12-23 17:34:02:263,-0.03373959,1.6913762.580783
2019-12-23 17:34:02:296,-0.02419263,1.6903182.573289
2019-12-23 17:34:02:329,-0.01229018,1.689092.564891
2019-12-23 17:34:02:362,-0.01229018,1.689092.564891
2019-12-23 17:34:02:394,-0.0001535039,1.6866182.556113
2019-12-23 17:34:02:428,0.01320922,1.684042.54632
2019-12-23 17:34:02:461,0.02618851,1.6834592.539841
2019-12-23 17:34:02:493,0.03821389,1.6824592.533388
2019-12-23 17:34:02:527,0.05172146,1.6842342.526349
2019-12-23 17:34:02:561,0.06394156,1.6863772.520275
2019-12-23 17:34:02:593,0.07375733,1.689432.514719
2019-12-23 17:34:02:627,0.08071439,1.6900472.508822
2019-12-23 17:34:02:660,0.08968119,1.6917412.501129
2019-12-23 17:34:02:693,0.09756973,1.6946992.49352
2019-12-23 17:34:02:727,0.1041921,1.6967372.48429
2019-12-23 17:34:02:761,0.1100153,1.6999372.473965
2019-12-23 17:34:02:793,0.1152941,1.7020512.464315
2019-12-23 17:34:02:828,0.1204837,1.7046992.453766
2019-12-23 17:34:02:861,0.1255062,1.7072732.444231
2019-12-23 17:34:02:899,0.1314463,1.7094282.432273
2019-12-23 17:34:02:955,0.1472668,1.7125872.405505
2019-12-23 17:34:02:996,0.1555912,1.7120222.390617
2019-12-23 17:34:03:028,0.1650966,1.7116142.375952
2019-12-23 17:34:03:060,0.1761739,1.7117262.361567
2019-12-23 17:34:03:093,0.1902865,1.7097132.343473
2019-12-23 17:34:03:127,0.203576,1.7033482.327483
2019-12-23 17:34:03:160,0.2151094,1.7005812.314767
2019-12-23 17:34:03:194,0.2242243,1.6955662.298625
2019-12-23 17:34:03:228,0.2304442,1.6928072.28212
2019-12-23 17:34:03:261,0.2343923,1.6942312.266583
2019-12-23 17:34:03:293,0.2410469,1.6992552.253686
2019-12-23 17:34:03:328,0.2513091,1.707182.238566
2019-12-23 17:34:03:361,0.251017,1.7242822.223071
2019-12-23 17:34:03:395,0.2562223,1.7350352.21027
2019-12-23 17:34:03:429,0.2715687,1.7323352.195514
2019-12-23 17:34:03:463,0.2833529,1.7330152.183208
2019-12-23 17:34:03:496,0.302033,1.7361952.160117
2019-12-23 17:34:03:529,0.302033,1.7361952.160117
2019-12-23 17:34:03:561,0.3124134,1.7371482.150354
2019-12-23 17:34:03:595,0.3228241,1.7394242.142292
2019-12-23 17:34:03:631,0.334887,1.7426272.132059
2019-12-23 17:34:03:669,0.3615399,1.7450352.117979
2019-12-23 17:34:03:702,0.3768669,1.7463042.113472
2019-12-23 17:34:03:734,0.394816,1.7446182.108816
2019-12-23 17:34:03:753,0.394816,1.7446182.108816
2019-12-23 17:34:03:788,0.4149039,1.7432962.105637
2019-12-23 17:34:03:821,0.4341863,1.744572.105441
2019-12-23 17:34:03:852,0.4586054,1.7393222.105473
2019-12-23 17:34:03:884,0.4758309,1.7471382.107572
2019-12-23 17:34:03:918,0.4781074,1.770182.10695
2019-12-23 17:34:03:951,0.4893381,1.7840642.109019
2019-12-23 17:34:03:984,0.5109032,1.7893962.11326
2019-12-23 17:34:04:031,0.5251371,1.7998292.114514
2019-12-23 17:34:04:073,0.5604114,1.8062932.115369
2019-12-23 17:34:04:109,0.5858858,1.8022752.118218
2019-12-23 17:34:04:145,0.5967225,1.8086362.119696
2019-12-23 17:34:04:185,0.6341305,1.7984572.11925
2019-12-23 17:34:04:218,0.6455899,1.8060772.119405
