2019-12-23 17:34:00:111, no_human
2019-12-23 17:34:00:122, no_human
2019-12-23 17:34:00:350, no_human
2019-12-23 17:34:00:416, no_human
2019-12-23 17:34:00:431, no_human
2019-12-23 17:34:00:448, no_human
2019-12-23 17:34:00:465, no_human
2019-12-23 17:34:00:482, no_human
2019-12-23 17:34:00:499, no_human
2019-12-23 17:34:00:516, no_human
2019-12-23 17:34:00:533, no_human
2019-12-23 17:34:00:550, no_human
2019-12-23 17:34:00:567, no_human
2019-12-23 17:34:00:605, no_human
2019-12-23 17:34:00:610, no_human
2019-12-23 17:34:00:636, no_human
2019-12-23 17:34:00:644, no_human
2019-12-23 17:34:00:671, no_human
2019-12-23 17:34:00:680, no_human
2019-12-23 17:34:00:694, no_human
2019-12-23 17:34:00:713, no_human
2019-12-23 17:34:00:729, no_human
2019-12-23 17:34:00:745, no_human
2019-12-23 17:34:00:782, no_human
2019-12-23 17:34:00:820, no_human
2019-12-23 17:34:00:854, no_human
2019-12-23 17:34:00:886, no_human
2019-12-23 17:34:00:919, no_human
2019-12-23 17:34:00:954, no_human
2019-12-23 17:34:00:985, no_human
2019-12-23 17:34:01:021, no_human
2019-12-23 17:34:01:052, no_human
2019-12-23 17:34:01:088, no_human
2019-12-23 17:34:01:119, no_human
2019-12-23 17:34:01:151, no_human
2019-12-23 17:34:01:184, no_human
2019-12-23 17:34:01:218, no_human
2019-12-23 17:34:01:251, no_human
2019-12-23 17:34:01:287, no_human
2019-12-23 17:34:01:319, no_human
2019-12-23 17:34:01:352, no_human
2019-12-23 17:34:01:385, no_human
2019-12-23 17:34:01:419, no_human
2019-12-23 17:34:01:453, no_human
2019-12-23 17:34:01:496,-0.03348398,0.8929003,2.372881,-0.05988302,1.213927,2.367269,-0.08515078,1.524814,2.347881,-0.03998646,1.677741,2.33355,-0.2528797,1.405657,2.295177,-0.3168861,1.141255,2.278999,-0.2981857,0.9061053,2.221582,-0.2880905,0.8388675,2.215914,0.1050373,1.403427,2.381429,0.1759433,1.154215,2.392531,0.2086535,0.9365075,2.286181,0.1983325,0.8773416,2.267769,-0.1148095,0.8966199,2.318221,-0.1057548,0.4259805,2.280565,-0.2020973,0.6574879,2.266564,-0.2513104,0.6339141,2.215414,0.04887003,0.8958148,2.351522,0.1088647,0.5605292,2.241321,0.05397779,-0.0226773,2.199014,-0.06139274,-0.009977818,2.173625,-0.07900089,1.448494,2.355133,-0.2687559,0.770907,2.214216,-0.2368823,0.8640813,2.206273,0.2189268,0.8001171,2.242598,0.2250063,1.093622,2.230846
2019-12-23 17:34:01:530,-0.02747539,0.8821373,2.330606,-0.05919136,1.210961,2.356631,-0.08543844,1.524827,2.348455,-0.04097264,1.677749,2.334493,-0.2531961,1.40602,2.295836,-0.3169482,1.140258,2.279161,-0.2982334,0.9060201,2.221874,-0.2885083,0.8377788,2.216069,0.1049597,1.403535,2.382093,0.1754944,1.153826,2.392977,0.2085604,0.9369059,2.286665,0.1948251,0.8773091,2.263503,-0.1090032,0.8867512,2.275632,-0.1048676,0.4250056,2.273962,-0.1955082,0.6423875,2.261336,-0.214378,0.6324646,2.225958,0.05491304,0.8847063,2.308677,0.1093652,0.5472342,2.257579,0.1555782,0.144806,2.342123,0.04015378,0.1155712,2.266057,-0.07937256,1.448197,2.354801,-0.2661116,0.7668618,2.209969,-0.2364953,0.8640839,2.205445,0.2128211,0.8012131,2.235626,0.2242585,1.095401,2.22877
2019-12-23 17:34:01:564,-0.0301717,0.8556437,2.320024,-0.06179164,1.199377,2.344639,-0.08805387,1.525746,2.348089,-0.04529241,1.679201,2.335328,-0.2573754,1.406236,2.294587,-0.3172979,1.139688,2.279896,-0.2985625,0.9063864,2.222679,-0.2923632,0.8376806,2.21197,0.1053912,1.403084,2.383575,0.174012,1.147569,2.390872,0.2026772,0.9312877,2.27963,0.1926118,0.8761728,2.253211,-0.1117395,0.8600874,2.260074,-0.1054611,0.3979373,2.27268,-0.0863356,-0.1005915,2.18134,-0.2224297,-0.142502,2.168951,0.05235716,0.8593495,2.300771,0.09347489,0.5190131,2.27442,0.1170066,-0.03804564,2.22346,-0.0245119,-0.07582891,2.18443,-0.08219557,1.447117,2.351829,-0.2808697,0.7668363,2.205688,-0.2356685,0.8660125,2.196733,0.2030306,0.8052069,2.227303,0.2207274,1.096328,2.214516
2019-12-23 17:34:01:597,-0.03083549,0.8542451,2.319691,-0.06217838,1.198088,2.343742,-0.08848814,1.525777,2.348187,-0.05132712,1.680381,2.33347,-0.2599019,1.405532,2.293169,-0.3173968,1.139297,2.279462,-0.299233,0.9068189,2.222265,-0.294791,0.838292,2.208884,0.1053327,1.403133,2.383816,0.1730402,1.146653,2.389821,0.2008684,0.9326664,2.278355,0.1909875,0.8769499,2.249115,-0.1124707,0.8585989,2.259458,-0.105038,0.396367,2.273985,-0.08466025,-0.1324443,2.174093,-0.2217299,-0.1418809,2.168648,0.05180709,0.8581976,2.300361,0.09114117,0.517456,2.275247,0.1039813,-0.08759546,2.233413,-0.03926385,-0.08805072,2.190393,-0.08268007,1.446686,2.351372,-0.2813212,0.767125,2.201975,-0.2371972,0.8721581,2.199667,0.1958327,0.8013818,2.221586,0.2188282,1.090249,2.209513
2019-12-23 17:34:01:629,-0.03083549,0.8542451,2.319691,-0.06217838,1.198088,2.343742,-0.08848814,1.525777,2.348187,-0.05132712,1.680381,2.33347,-0.2599019,1.405532,2.293169,-0.3173968,1.139297,2.279462,-0.299233,0.9068189,2.222265,-0.294791,0.838292,2.208884,0.1053327,1.403133,2.383816,0.1730402,1.146653,2.389821,0.2008684,0.9326664,2.278355,0.1909875,0.8769499,2.249115,-0.1124707,0.8585989,2.259458,-0.105038,0.396367,2.273985,-0.08466025,-0.1324443,2.174093,-0.2217299,-0.1418809,2.168648,0.05180709,0.8581976,2.300361,0.09114117,0.517456,2.275247,0.1039813,-0.08759546,2.233413,-0.03926385,-0.08805072,2.190393,-0.08268007,1.446686,2.351372,-0.2813212,0.767125,2.201975,-0.2371972,0.8721581,2.199667,0.1958327,0.8013818,2.221586,0.2188282,1.090249,2.209513
2019-12-23 17:34:01:660,-0.0314676,0.8531415,2.319008,-0.06270281,1.197124,2.342899,-0.08922866,1.525754,2.348145,-0.05749671,1.6807,2.331998,-0.2622003,1.405204,2.291679,-0.3177314,1.138018,2.277814,-0.2998296,0.9074264,2.221068,-0.2971147,0.8393848,2.202637,0.1050953,1.403257,2.383819,0.171834,1.146085,2.38853,0.1991246,0.9324849,2.277044,0.1885755,0.8777225,2.248346,-0.1132418,0.8573447,2.258275,-0.1043087,0.3952671,2.275369,-0.08414765,-0.176622,2.168064,-0.2236298,-0.1425787,2.169264,0.05133581,0.8573413,2.299875,0.08931935,0.5163382,2.275822,0.08091448,-0.09602976,2.2186,-0.06248926,-0.09820879,2.181884,-0.08337415,1.446275,2.35088,-0.280463,0.7686672,2.193602,-0.2494969,0.8669629,2.21975,0.1891298,0.7978886,2.218946,0.2185482,1.088926,2.206907
2019-12-23 17:34:01:694,-0.03231147,0.852103,2.318233,-0.06329943,1.196325,2.342184,-0.08993095,1.525716,2.348088,-0.06270143,1.681492,2.330882,-0.2653288,1.40433,2.290399,-0.3182814,1.134968,2.273934,-0.3009963,0.9078979,2.217103,-0.2970003,0.8393297,2.195579,0.1045627,1.403336,2.383258,0.1706048,1.145525,2.387563,0.1977634,0.9344767,2.275906,0.1886178,0.8789952,2.244784,-0.1143793,0.8560408,2.256798,-0.1018194,0.3925186,2.276669,-0.1033765,-0.1888715,2.177219,-0.2423747,-0.1492763,2.173127,0.05078002,0.8566198,2.299488,0.08840402,0.5141729,2.275826,0.07364162,-0.1189923,2.21508,-0.07016643,-0.1047202,2.180632,-0.08402957,1.445921,2.350467,-0.2736613,0.7659978,2.185899,-0.2540532,0.8622787,2.224929,0.1953351,0.8007151,2.220491,0.216507,1.084246,2.202537
2019-12-23 17:34:01:727,-0.03350881,0.8515735,2.317427,-0.06432732,1.19592,2.341268,-0.09130116,1.525933,2.347582,-0.06772176,1.683268,2.330158,-0.267945,1.403923,2.289074,-0.3186541,1.135435,2.271727,-0.3025334,0.9091517,2.211892,-0.2994316,0.8403131,2.183434,0.1040318,1.403546,2.38279,0.1697371,1.145457,2.386523,0.1970538,0.9356877,2.275255,0.1884775,0.8776926,2.244681,-0.1155044,0.8555443,2.256493,-0.1020462,0.391386,2.276704,-0.1031703,-0.1885225,2.177045,-0.2423846,-0.148797,2.172668,0.04953704,0.8561122,2.297836,0.08718242,0.5131289,2.274009,0.07362182,-0.1325352,2.211197,-0.07087912,-0.108664,2.178838,-0.08523749,1.445818,2.349624,-0.2676333,0.7673951,2.173347,-0.2485602,0.8664929,2.212454,0.1977591,0.8016326,2.225027,0.2195085,1.094549,2.208164
2019-12-23 17:34:01:763,-0.03474126,0.8507969,2.316558,-0.06511073,1.195404,2.340524,-0.09199554,1.52596,2.347318,-0.07176454,1.683938,2.32894,-0.2705751,1.403685,2.288113,-0.3192968,1.135451,2.270325,-0.3035961,0.9109555,2.206279,-0.2999131,0.843074,2.173648,0.1034887,1.403768,2.382396,0.1691434,1.145726,2.385801,0.1964524,0.9374295,2.274654,0.1881945,0.8789969,2.245529,-0.1167668,0.8547996,2.256199,-0.1021745,0.3901193,2.276803,-0.1031186,-0.188632,2.177189,-0.2425636,-0.1488479,2.172732,0.04835657,0.8553366,2.296101,0.08579028,0.5117084,2.269797,0.070473,-0.1368873,2.207136,-0.07469661,-0.112239,2.176587,-0.08592306,1.445619,2.349092,-0.2686043,0.7688257,2.164012,-0.2450598,0.8618261,2.1946,0.1983706,0.8077698,2.220506,0.2195764,1.092003,2.208272
2019-12-23 17:34:01:806,-0.03873192,0.8556681,2.31469,-0.0718206,1.19874,2.336039,-0.1038511,1.528746,2.340485,-0.07863779,1.686594,2.32659,-0.273817,1.403482,2.286365,-0.3206801,1.136392,2.264434,-0.3048218,0.9141672,2.186466,-0.2986949,0.8425889,2.148341,0.09664583,1.407427,2.37505,0.1685567,1.147196,2.384638,0.196121,0.9403375,2.273636,0.1868235,0.8797745,2.248602,-0.1200659,0.8576289,2.255345,-0.101871,0.3899149,2.277068,-0.08518457,-0.1550096,2.165941,-0.2233057,-0.1416968,2.168005,0.04382011,0.8626913,2.293097,0.08700785,0.51651,2.250451,0.06930896,-0.1360381,2.209533,-0.07637285,-0.1124946,2.177615,-0.09614868,1.448172,2.342336,-0.2560969,0.7687011,2.140325,-0.2710924,0.8686007,2.129767,0.1981842,0.8065904,2.224999,0.2231408,1.074592,2.206267
