2019-12-23 17:34:00:111, no_human
2019-12-23 17:34:00:122, no_human
2019-12-23 17:34:00:350, no_human
2019-12-23 17:34:00:416, no_human
2019-12-23 17:34:00:431, no_human
2019-12-23 17:34:00:448, no_human
2019-12-23 17:34:00:465, no_human
2019-12-23 17:34:00:482, no_human
2019-12-23 17:34:00:499, no_human
2019-12-23 17:34:00:516, no_human
2019-12-23 17:34:00:533, no_human
2019-12-23 17:34:00:550, no_human
2019-12-23 17:34:00:567, no_human
2019-12-23 17:34:00:605, no_human
2019-12-23 17:34:00:610, no_human
2019-12-23 17:34:00:636, no_human
2019-12-23 17:34:00:644, no_human
2019-12-23 17:34:00:671, no_human
2019-12-23 17:34:00:680, no_human
2019-12-23 17:34:00:694, no_human
2019-12-23 17:34:00:713, no_human
2019-12-23 17:34:00:729, no_human
2019-12-23 17:34:00:745, no_human
2019-12-23 17:34:00:782, no_human
2019-12-23 17:34:00:820, no_human
2019-12-23 17:34:00:854, no_human
2019-12-23 17:34:00:886, no_human
2019-12-23 17:34:00:919, no_human
2019-12-23 17:34:00:954, no_human
2019-12-23 17:34:00:985, no_human
2019-12-23 17:34:01:021, no_human
2019-12-23 17:34:01:052, no_human
2019-12-23 17:34:01:088, no_human
2019-12-23 17:34:01:119, no_human
2019-12-23 17:34:01:151, no_human
2019-12-23 17:34:01:184, no_human
2019-12-23 17:34:01:218, no_human
2019-12-23 17:34:01:251, no_human
2019-12-23 17:34:01:287, no_human
2019-12-23 17:34:01:319, no_human
2019-12-23 17:34:01:352, no_human
2019-12-23 17:34:01:385, no_human
2019-12-23 17:34:01:419, no_human
2019-12-23 17:34:01:453, no_human
2019-12-23 17:34:01:496,-0.216516,1.9071,-0.5328806,-0.190117,1.586073,-0.5272685,-0.1648492,1.275186,-0.5078807,-0.2100135,1.122259,-0.4935496,0.002879679,1.394343,-0.4551769,0.06688607,1.658745,-0.4389988,0.04818568,1.893895,-0.3815818,0.03809053,1.961133,-0.3759144,-0.3550373,1.396573,-0.5414289,-0.4259433,1.645785,-0.5525306,-0.4586535,1.863493,-0.4461809,-0.4483325,1.922658,-0.4277685,-0.1351905,1.90338,-0.4782205,-0.1442452,2.37402,-0.4405652,-0.04790272,2.142512,-0.4265643,0.001310438,2.166086,-0.3754135,-0.29887,1.904185,-0.5115224,-0.3588647,2.239471,-0.4013208,-0.3039778,2.822677,-0.3590143,-0.1886073,2.809978,-0.3336254,-0.1709991,1.351506,-0.515133,0.01875585,2.029093,-0.3742157,-0.0131177,1.935919,-0.3662727,-0.4689268,1.999883,-0.4025982,-0.4750063,2.006378,-0.06084618,
2019-12-23 17:34:01:530,-0.2225246,1.917863,-0.4906057,-0.1908086,1.589039,-0.5166312,-0.1645616,1.275174,-0.5084549,-0.2090274,1.122251,-0.4944931,0.00319609,1.39398,-0.4558356,0.06694824,1.659742,-0.4391614,0.04823342,1.89398,-0.3818741,0.03850827,1.962221,-0.3760694,-0.3549598,1.396465,-0.5420931,-0.4254944,1.646174,-0.5529767,-0.4585604,1.863094,-0.4466649,-0.4448251,1.922691,-0.4235032,-0.1409968,1.913249,-0.4356323,-0.1451324,2.374995,-0.4339615,-0.05449176,2.157613,-0.4213355,-0.035622,2.167535,-0.3859575,-0.304913,1.915294,-0.4686773,-0.3593652,2.252766,-0.4175792,-0.4055782,2.655194,-0.5021225,-0.2901538,2.684429,-0.4260569,-0.1706274,1.351803,-0.5148011,0.01611158,2.033138,-0.369969,-0.01350468,1.935916,-0.3654447,-0.4628211,1.998787,-0.3956264,-0.4742585,2.004599,-0.05877027,
2019-12-23 17:34:01:564,-0.2198283,1.944356,-0.4800237,-0.1882084,1.600623,-0.5046387,-0.1619461,1.274255,-0.5080884,-0.2047076,1.120799,-0.4953278,0.007375419,1.393764,-0.4545866,0.06729794,1.660312,-0.4398964,0.0485625,1.893614,-0.382679,0.0423632,1.962319,-0.37197,-0.3553911,1.396916,-0.5435746,-0.424012,1.652431,-0.5508719,-0.4526772,1.868712,-0.4396296,-0.4426118,1.923827,-0.4132107,-0.1382605,1.939913,-0.4200743,-0.1445389,2.402063,-0.4326797,-0.1636644,2.900592,-0.3413394,-0.02757032,2.942502,-0.3289505,-0.3023572,1.940651,-0.4607711,-0.3434749,2.280987,-0.4344202,-0.3670067,2.838046,-0.3834596,-0.2254881,2.875829,-0.3444303,-0.1678044,1.352883,-0.511829,0.03086972,2.033164,-0.3656874,-0.0143315,1.933988,-0.3567334,-0.4530306,1.994793,-0.3873027,-0.4707274,2.003672,-0.04451618,
2019-12-23 17:34:01:597,-0.2191645,1.945755,-0.4796911,-0.1878216,1.601912,-0.5037416,-0.1615119,1.274223,-0.5081871,-0.1986729,1.119619,-0.4934703,0.009901881,1.394468,-0.4531692,0.06739676,1.660703,-0.4394615,0.04923305,1.893181,-0.3822644,0.04479098,1.961708,-0.3688834,-0.3553327,1.396867,-0.5438157,-0.4230402,1.653347,-0.549821,-0.4508684,1.867334,-0.4383546,-0.4409875,1.92305,-0.4091154,-0.1375293,1.941401,-0.4194582,-0.144962,2.403633,-0.4339853,-0.1653398,2.932444,-0.3340927,-0.02827007,2.941881,-0.3286481,-0.3018071,1.941803,-0.4603606,-0.3411412,2.282544,-0.4352472,-0.3539813,2.887596,-0.3934124,-0.2107362,2.888051,-0.3503934,-0.1673199,1.353314,-0.5113719,0.03132123,2.032875,-0.3619753,-0.01280284,1.927842,-0.3596666,-0.4458327,1.998618,-0.3815859,-0.4688282,2.009751,-0.03951344,
2019-12-23 17:34:01:629,-0.2191645,1.945755,-0.4796911,-0.1878216,1.601912,-0.5037416,-0.1615119,1.274223,-0.5081871,-0.1986729,1.119619,-0.4934703,0.009901881,1.394468,-0.4531692,0.06739676,1.660703,-0.4394615,0.04923305,1.893181,-0.3822644,0.04479098,1.961708,-0.3688834,-0.3553327,1.396867,-0.5438157,-0.4230402,1.653347,-0.549821,-0.4508684,1.867334,-0.4383546,-0.4409875,1.92305,-0.4091154,-0.1375293,1.941401,-0.4194582,-0.144962,2.403633,-0.4339853,-0.1653398,2.932444,-0.3340927,-0.02827007,2.941881,-0.3286481,-0.3018071,1.941803,-0.4603606,-0.3411412,2.282544,-0.4352472,-0.3539813,2.887596,-0.3934124,-0.2107362,2.888051,-0.3503934,-0.1673199,1.353314,-0.5113719,0.03132123,2.032875,-0.3619753,-0.01280284,1.927842,-0.3596666,-0.4458327,1.998618,-0.3815859,-0.4688282,2.009751,-0.03951344,
2019-12-23 17:34:01:660,-0.2185324,1.946859,-0.479008,-0.1872972,1.602876,-0.5028988,-0.1607713,1.274246,-0.5081444,-0.1925033,1.1193,-0.4919983,0.01220033,1.394796,-0.4516788,0.06773144,1.661982,-0.4378143,0.04982963,1.892574,-0.3810681,0.04711467,1.960615,-0.3626371,-0.3550953,1.396743,-0.5438192,-0.421834,1.653916,-0.5485299,-0.4491246,1.867515,-0.437044,-0.4385755,1.922278,-0.4083455,-0.1367582,1.942655,-0.4182749,-0.1456913,2.404733,-0.4353691,-0.1658523,2.976622,-0.328064,-0.02637017,2.942579,-0.3292637,-0.3013358,1.942659,-0.4598749,-0.3393193,2.283662,-0.4358223,-0.3309145,2.89603,-0.3785997,-0.1875107,2.898209,-0.3418835,-0.1666259,1.353726,-0.5108801,0.03046298,2.031333,-0.3536022,-0.0005030632,1.933037,-0.3797501,-0.4391298,2.002111,-0.3789454,-0.4685482,2.011074,-0.03690681,
2019-12-23 17:34:01:694,-0.2176885,1.947897,-0.4782327,-0.1867006,1.603675,-0.502184,-0.160069,1.274284,-0.5080875,-0.1872986,1.118508,-0.4908815,0.01532876,1.39567,-0.450399,0.06828138,1.665032,-0.433934,0.0509963,1.892102,-0.3771029,0.04700035,1.96067,-0.3555785,-0.3545627,1.396664,-0.5432578,-0.4206048,1.654475,-0.5475629,-0.4477634,1.865523,-0.4359055,-0.4386178,1.921005,-0.4047835,-0.1356207,1.943959,-0.4167979,-0.1481806,2.407481,-0.4366685,-0.1466235,2.988872,-0.3372188,-0.007625327,2.949276,-0.3331268,-0.30078,1.94338,-0.4594875,-0.338404,2.285827,-0.4358261,-0.3236416,2.918993,-0.3750797,-0.1798336,2.90472,-0.3406315,-0.1659704,1.354079,-0.5104671,0.02366132,2.034002,-0.3458984,0.004053205,1.937721,-0.3849285,-0.4453351,1.999285,-0.3804906,-0.466507,2.015754,-0.03253683,
2019-12-23 17:34:01:727,-0.2164912,1.948427,-0.4774271,-0.1856727,1.60408,-0.5012677,-0.1586988,1.274067,-0.5075815,-0.1822782,1.116732,-0.4901577,0.01794496,1.396077,-0.4490736,0.06865415,1.664565,-0.431727,0.05253342,1.890848,-0.3718918,0.04943156,1.959687,-0.3434334,-0.3540319,1.396454,-0.5427902,-0.4197371,1.654543,-0.5465229,-0.4470538,1.864312,-0.4352546,-0.4384775,1.922307,-0.4046806,-0.1344956,1.944456,-0.4164928,-0.1479537,2.408614,-0.436704,-0.1468297,2.988523,-0.3370445,-0.007615402,2.948797,-0.3326681,-0.299537,1.943888,-0.4578362,-0.3371824,2.286871,-0.4340084,-0.3236218,2.932535,-0.3711966,-0.1791209,2.908664,-0.3388374,-0.1647625,1.354182,-0.5096238,0.01763332,2.032605,-0.3333467,-0.00143984,1.933507,-0.3724542,-0.4477592,1.998367,-0.385027,-0.4695085,2.005451,-0.03816423,
2019-12-23 17:34:01:763,-0.2152587,1.949203,-0.4765578,-0.1848893,1.604596,-0.5005239,-0.1580045,1.27404,-0.5073178,-0.1782355,1.116062,-0.4889401,0.02057508,1.396315,-0.4481125,0.06929681,1.664549,-0.4303251,0.05359614,1.889045,-0.3662792,0.04991311,1.956926,-0.3336478,-0.3534887,1.396232,-0.5423964,-0.4191434,1.654274,-0.5458012,-0.4464524,1.862571,-0.4346536,-0.4381945,1.921003,-0.4055293,-0.1332332,1.9452,-0.416199,-0.1478254,2.409881,-0.4368032,-0.1468814,2.988632,-0.3371885,-0.007436424,2.948848,-0.3327318,-0.2983566,1.944663,-0.456101,-0.3357903,2.288292,-0.4297968,-0.320473,2.936887,-0.3671361,-0.1753034,2.912239,-0.336587,-0.1640769,1.354382,-0.5090922,0.01860431,2.031174,-0.3240116,-0.004940227,1.938174,-0.3546,-0.4483706,1.99223,-0.3805059,-0.4695764,2.007998,-0.03827247,
2019-12-23 17:34:01:806,-0.2112681,1.944332,-0.47469,-0.1781794,1.60126,-0.4960392,-0.1461489,1.271254,-0.5004848,-0.1713622,1.113406,-0.48659,0.023817,1.396518,-0.4463649,0.07068014,1.663608,-0.424434,0.05482176,1.885833,-0.3464664,0.04869488,1.957411,-0.3083413,-0.3466458,1.392573,-0.53505,-0.4185567,1.652804,-0.5446382,-0.446121,1.859663,-0.4336362,-0.4368235,1.920226,-0.4086023,-0.1299341,1.942371,-0.4153448,-0.148129,2.410085,-0.4370683,-0.1648154,2.95501,-0.3259409,-0.02669428,2.941697,-0.3280054,-0.2938201,1.937309,-0.4530964,-0.3370079,2.28349,-0.4104505,-0.319309,2.936038,-0.3695329,-0.1736271,2.912495,-0.3376153,-0.1538513,1.351828,-0.5023363,0.00609687,2.031299,-0.3003252,0.02109241,1.931399,-0.2897668,-0.4481842,1.99341,-0.3849986,-0.4731408,2.025408,-0.03626689,
2019-12-23 17:34:01:887,-0.2095668,1.942162,-0.4730182,-0.1765232,1.600242,-0.4943474,-0.1445942,1.270658,-0.4987071,-0.1674219,1.110867,-0.4847105,0.0238992,1.396015,-0.4461353,0.0720377,1.655787,-0.4118686,0.05332211,1.877066,-0.3291746,0.04195821,1.946293,-0.2871702,-0.3447454,1.390627,-0.5325897,-0.4183919,1.649943,-0.5441974,-0.4459794,1.859332,-0.4335981,-0.4358836,1.917887,-0.4114371,-0.1281784,1.942398,-0.4136589,-0.1502962,2.413198,-0.4360924,-0.1618364,2.906044,-0.3145421,-0.04007834,2.921125,-0.322244,-0.2920848,1.931937,-0.4513071,-0.3470089,2.278465,-0.3825367,-0.3140099,2.937102,-0.3642536,-0.1691321,2.910582,-0.3340684,-0.1521214,1.351209,-0.5003422,-0.0002480447,2.017586,-0.2748705,0.01390508,1.922639,-0.2713919,-0.4475525,1.987225,-0.3892103,-0.4752571,2.006559,-0.05155572,
2019-12-23 17:34:01:923,-0.2091345,1.940269,-0.4715851,-0.1753307,1.598541,-0.4915779,-0.1426461,1.269233,-0.4950181,-0.1659662,1.109815,-0.4830328,0.02630582,1.395035,-0.4430073,0.07121354,1.65402,-0.406729,0.0513075,1.872044,-0.319706,0.03733361,1.94002,-0.2769008,-0.3437401,1.388394,-0.530201,-0.4185579,1.649129,-0.5440727,-0.4464956,1.855187,-0.435509,-0.4356523,1.916732,-0.4136584,-0.1276894,1.941171,-0.4123624,-0.1775586,2.416853,-0.4286066,-0.07371937,2.94486,-0.2917135,0.003003925,2.94381,-0.3298071,-0.2918398,1.929937,-0.449982,-0.3479818,2.280092,-0.373345,-0.3122609,2.936939,-0.3618298,-0.1670684,2.910273,-0.3314345,-0.1504467,1.349785,-0.4968653,-0.004658982,2.012837,-0.2644375,0.006872743,1.923124,-0.266682,-0.4475535,1.986782,-0.3963628,-0.4752581,2.00857,-0.05494437,
