2019-12-23 17:59:59:022, no_human
2019-12-23 17:59:59:033, no_human
2019-12-23 17:59:59:282, no_human
2019-12-23 17:59:59:356, no_human
2019-12-23 17:59:59:371, no_human
2019-12-23 17:59:59:388, no_human
2019-12-23 17:59:59:405, no_human
2019-12-23 17:59:59:423, no_human
2019-12-23 17:59:59:439, no_human
2019-12-23 17:59:59:457, no_human
2019-12-23 17:59:59:473, no_human
2019-12-23 17:59:59:513, no_human
2019-12-23 17:59:59:529, no_human
2019-12-23 17:59:59:538, no_human
2019-12-23 17:59:59:554, no_human
2019-12-23 17:59:59:582, no_human
2019-12-23 17:59:59:592, no_human
2019-12-23 17:59:59:608, no_human
2019-12-23 17:59:59:625, no_human
2019-12-23 17:59:59:642, no_human
2019-12-23 17:59:59:682, no_human
2019-12-23 17:59:59:711, no_human
2019-12-23 17:59:59:718, no_human
2019-12-23 17:59:59:753, no_human
2019-12-23 17:59:59:780, no_human
2019-12-23 17:59:59:810, no_human
2019-12-23 17:59:59:820, no_human
2019-12-23 17:59:59:857, no_human
2019-12-23 17:59:59:887, no_human
2019-12-23 17:59:59:915, no_human
2019-12-23 17:59:59:943, no_human
2019-12-23 17:59:59:949, no_human
2019-12-23 17:59:59:986, no_human
2019-12-23 18:00:00:017, no_human
2019-12-23 18:00:00:048, no_human
2019-12-23 18:00:00:079, no_human
2019-12-23 18:00:00:087, no_human
2019-12-23 18:00:00:122, no_human
2019-12-23 18:00:00:153, no_human
2019-12-23 18:00:00:181, no_human
2019-12-23 18:00:00:209, no_human
2019-12-23 18:00:00:217, no_human
2019-12-23 18:00:00:233, no_human
2019-12-23 18:00:00:275, no_human
2019-12-23 18:00:00:309, no_human
2019-12-23 18:00:00:341, no_human
2019-12-23 18:00:00:389,3.05755,2.266278
2019-12-23 18:00:00:429,3.057477,2.266524
2019-12-23 18:00:00:462,3.057655,2.26537
2019-12-23 18:00:00:496,3.058061,2.264212
2019-12-23 18:00:00:530,3.058446,2.263121
2019-12-23 18:00:00:567,3.06073,2.259305
2019-12-23 18:00:00:607,3.062005,2.257149
2019-12-23 18:00:00:646,3.063962,2.254826
2019-12-23 18:00:00:685,3.066562,2.252574
2019-12-23 18:00:00:727,3.069248,2.250981
2019-12-23 18:00:00:769,3.071937,2.249417
2019-12-23 18:00:00:806,3.079522,2.245274
2019-12-23 18:00:00:842,3.08428,2.243862
2019-12-23 18:00:00:968,3.103331,2.237429
2019-12-23 18:00:01:018,3.119946,2.232466
2019-12-23 18:00:01:061,3.129428,2.229624
2019-12-23 18:00:01:100,3.140079,2.226606
2019-12-23 18:00:01:140,3.164013,2.220644
2019-12-23 18:00:01:154,3.164013,2.220644
2019-12-23 18:00:01:193,3.177443,2.216719
2019-12-23 18:00:01:227,3.191701,2.213529
2019-12-23 18:00:01:268,3.217217,2.207657
2019-12-23 18:00:01:302,3.230519,2.204838
2019-12-23 18:00:01:338,3.242023,2.200963
2019-12-23 18:00:01:373,3.254311,2.196937
2019-12-23 18:00:01:386,3.254311,2.196937
2019-12-23 18:00:01:426,3.264643,2.193318
2019-12-23 18:00:01:460,3.274457,2.190594
2019-12-23 18:00:01:494,3.293778,2.184473
2019-12-23 18:00:01:528,3.293778,2.184473
2019-12-23 18:00:01:559,3.303427,2.180712
2019-12-23 18:00:01:592,3.309981,2.178291
2019-12-23 18:00:01:626,3.317737,2.174371
2019-12-23 18:00:01:658,3.324255,2.171179
2019-12-23 18:00:01:692,3.329214,2.168439
