2019-12-23 17:59:59:022, no_human
2019-12-23 17:59:59:033, no_human
2019-12-23 17:59:59:282, no_human
2019-12-23 17:59:59:356, no_human
2019-12-23 17:59:59:371, no_human
2019-12-23 17:59:59:388, no_human
2019-12-23 17:59:59:405, no_human
2019-12-23 17:59:59:423, no_human
2019-12-23 17:59:59:439, no_human
2019-12-23 17:59:59:457, no_human
2019-12-23 17:59:59:473, no_human
2019-12-23 17:59:59:513, no_human
2019-12-23 17:59:59:529, no_human
2019-12-23 17:59:59:538, no_human
2019-12-23 17:59:59:554, no_human
2019-12-23 17:59:59:582, no_human
2019-12-23 17:59:59:592, no_human
2019-12-23 17:59:59:608, no_human
2019-12-23 17:59:59:625, no_human
2019-12-23 17:59:59:642, no_human
2019-12-23 17:59:59:682, no_human
2019-12-23 17:59:59:711, no_human
2019-12-23 17:59:59:718, no_human
2019-12-23 17:59:59:753, no_human
2019-12-23 17:59:59:780, no_human
2019-12-23 17:59:59:810, no_human
2019-12-23 17:59:59:820, no_human
2019-12-23 17:59:59:857, no_human
2019-12-23 17:59:59:887, no_human
2019-12-23 17:59:59:915, no_human
2019-12-23 17:59:59:943, no_human
2019-12-23 17:59:59:949, no_human
2019-12-23 17:59:59:986, no_human
2019-12-23 18:00:00:017, no_human
2019-12-23 18:00:00:048, no_human
2019-12-23 18:00:00:079, no_human
2019-12-23 18:00:00:087, no_human
2019-12-23 18:00:00:122, no_human
2019-12-23 18:00:00:153, no_human
2019-12-23 18:00:00:181, no_human
2019-12-23 18:00:00:209, no_human
2019-12-23 18:00:00:217, no_human
2019-12-23 18:00:00:233, no_human
2019-12-23 18:00:00:275, no_human
2019-12-23 18:00:00:309, no_human
2019-12-23 18:00:00:341, no_human
2019-12-23 18:00:00:389,0.4124502,1.7688872.266278
2019-12-23 18:00:00:429,0.4125225,1.7693352.266524
2019-12-23 18:00:00:462,0.412345,1.7695792.26537
2019-12-23 18:00:00:496,0.411939,1.7697872.264212
2019-12-23 18:00:00:530,0.4115535,1.7701222.263121
2019-12-23 18:00:00:567,0.40927,1.7703722.259305
2019-12-23 18:00:00:607,0.4079948,1.7707992.257149
2019-12-23 18:00:00:646,0.406038,1.7708332.254826
2019-12-23 18:00:00:685,0.4034378,1.7709962.252574
2019-12-23 18:00:00:727,0.4007516,1.771172.250981
2019-12-23 18:00:00:769,0.3980631,1.7714342.249417
2019-12-23 18:00:00:806,0.3904777,1.772732.245274
2019-12-23 18:00:00:842,0.3857205,1.773172.243862
2019-12-23 18:00:00:968,0.3666689,1.7729612.237429
2019-12-23 18:00:01:018,0.3500545,1.7735062.232466
2019-12-23 18:00:01:061,0.3405718,1.7729812.229624
2019-12-23 18:00:01:100,0.3299212,1.7734212.226606
2019-12-23 18:00:01:140,0.3059866,1.7729062.220644
2019-12-23 18:00:01:154,0.3059866,1.7729062.220644
2019-12-23 18:00:01:193,0.2925573,1.7729342.216719
2019-12-23 18:00:01:227,0.2782989,1.7739492.213529
2019-12-23 18:00:01:268,0.2527828,1.7756542.207657
2019-12-23 18:00:01:302,0.2394812,1.7753992.204838
2019-12-23 18:00:01:338,0.2279773,1.7748482.200963
2019-12-23 18:00:01:373,0.2156892,1.7761452.196937
2019-12-23 18:00:01:386,0.2156892,1.7761452.196937
2019-12-23 18:00:01:426,0.2053567,1.7760852.193318
2019-12-23 18:00:01:460,0.1955426,1.7756292.190594
2019-12-23 18:00:01:494,0.1762219,1.7749542.184473
2019-12-23 18:00:01:528,0.1762219,1.7749542.184473
2019-12-23 18:00:01:559,0.1665726,1.774442.180712
2019-12-23 18:00:01:592,0.1600194,1.7745092.178291
2019-12-23 18:00:01:626,0.152263,1.7751392.174371
2019-12-23 18:00:01:658,0.1457452,1.7743522.171179
2019-12-23 18:00:01:692,0.1407863,1.7747952.168439
2019-12-23 18:00:01:727,0.1358593,1.7746992.165067
2019-12-23 18:00:01:759,0.1320614,1.774352.162185
2019-12-23 18:00:01:793,0.1285289,1.7741352.159179
2019-12-23 18:00:01:834,0.126078,1.7741722.155746
2019-12-23 18:00:01:884,0.1244722,1.7744972.151401
2019-12-23 18:00:01:921,0.1249699,1.7744232.148492
2019-12-23 18:00:01:958,0.1260578,1.7745122.145447
2019-12-23 18:00:01:993,0.1280499,1.7743892.142176
2019-12-23 18:00:02:029,0.1316004,1.7742162.138919
2019-12-23 18:00:02:063,0.1412016,1.773692.133275
2019-12-23 18:00:02:096,0.1482159,1.7731912.129914
2019-12-23 18:00:02:130,0.1544474,1.7728192.127648
2019-12-23 18:00:02:165,0.1615915,1.771892.125341
2019-12-23 18:00:02:198,0.1684688,1.7711432.123389
2019-12-23 18:00:02:230,0.17555,1.7710412.122314
2019-12-23 18:00:02:250,0.17555,1.7710412.122314
2019-12-23 18:00:02:283,0.1827324,1.7701192.120893
2019-12-23 18:00:02:316,0.1902991,1.7702982.120324
2019-12-23 18:00:02:350,0.1978416,1.7703012.120139
2019-12-23 18:00:02:390,0.2049449,1.7697332.119842
2019-12-23 18:00:02:430,0.2130626,1.7705382.120364
2019-12-23 18:00:02:468,0.2278958,1.7719842.122022
2019-12-23 18:00:02:507,0.234941,1.7720492.123094
2019-12-23 18:00:02:550,0.241029,1.7741112.124467
2019-12-23 18:00:02:584,0.2511614,1.7749722.128647
2019-12-23 18:00:02:619,0.2588185,1.7758352.130498
2019-12-23 18:00:02:658,0.2684723,1.7765182.135574
2019-12-23 18:00:02:693,0.2801944,1.7755322.141591
