2019-12-23 17:59:59:022, no_human
2019-12-23 17:59:59:033, no_human
2019-12-23 17:59:59:282, no_human
2019-12-23 17:59:59:356, no_human
2019-12-23 17:59:59:371, no_human
2019-12-23 17:59:59:388, no_human
2019-12-23 17:59:59:405, no_human
2019-12-23 17:59:59:423, no_human
2019-12-23 17:59:59:439, no_human
2019-12-23 17:59:59:457, no_human
2019-12-23 17:59:59:473, no_human
2019-12-23 17:59:59:513, no_human
2019-12-23 17:59:59:529, no_human
2019-12-23 17:59:59:538, no_human
2019-12-23 17:59:59:554, no_human
2019-12-23 17:59:59:582, no_human
2019-12-23 17:59:59:592, no_human
2019-12-23 17:59:59:608, no_human
2019-12-23 17:59:59:625, no_human
2019-12-23 17:59:59:642, no_human
2019-12-23 17:59:59:682, no_human
2019-12-23 17:59:59:711, no_human
2019-12-23 17:59:59:718, no_human
2019-12-23 17:59:59:753, no_human
2019-12-23 17:59:59:780, no_human
2019-12-23 17:59:59:810, no_human
2019-12-23 17:59:59:820, no_human
2019-12-23 17:59:59:857, no_human
2019-12-23 17:59:59:887, no_human
2019-12-23 17:59:59:915, no_human
2019-12-23 17:59:59:943, no_human
2019-12-23 17:59:59:949, no_human
2019-12-23 17:59:59:986, no_human
2019-12-23 18:00:00:017, no_human
2019-12-23 18:00:00:048, no_human
2019-12-23 18:00:00:079, no_human
2019-12-23 18:00:00:087, no_human
2019-12-23 18:00:00:122, no_human
2019-12-23 18:00:00:153, no_human
2019-12-23 18:00:00:181, no_human
2019-12-23 18:00:00:209, no_human
2019-12-23 18:00:00:217, no_human
2019-12-23 18:00:00:233, no_human
2019-12-23 18:00:00:275, no_human
2019-12-23 18:00:00:309, no_human
2019-12-23 18:00:00:341, no_human
2019-12-23 18:00:00:389,-0.6298639,1.845759,-0.1930745,-0.6442878,1.509035,-0.1714907,-0.6553013,1.185628,-0.1358752,-0.6624502,1.031113,-0.1062774,-0.5054805,1.270642,-0.1897827,-0.4216871,1.429591,-0.2139979,-0.6456386,1.399916,-0.1169842,-0.6991526,1.391311,-0.05111879,-0.8122904,1.32514,-0.08957559,-0.8524576,1.56712,-0.09616643,-0.6735286,1.691205,0.02508968,-0.6407562,1.765144,0.02639145,-0.5522412,1.8304,-0.1725102,-0.4672623,2.282173,-0.05647141,-0.4525544,2.812431,-0.1066752,-0.3946337,2.814802,-0.06466419,-0.692999,1.855557,-0.1360208,-0.6472119,2.226074,-0.03854924,-0.6187532,2.744578,-0.06417567,-0.6185446,2.749393,0.03348345,-0.6530991,1.26463,-0.1471338,-0.7766768,1.366166,-0.03482646,-0.704172,1.473101,-0.01334268,-0.5707015,1.832249,0.03455287,-0.572229,1.800422,0.3521904,
2019-12-23 18:00:00:429,-0.5981678,1.857586,-0.1314228,-0.6326789,1.511607,-0.1493776,-0.6554549,1.185359,-0.1357312,-0.6625224,1.030665,-0.1065243,-0.5052324,1.270942,-0.1891673,-0.4768047,1.522263,-0.1853414,-0.7113619,1.420868,-0.08944076,-0.7797326,1.371953,-0.04851657,-0.8125881,1.324745,-0.08963054,-0.852887,1.577033,-0.09687978,-0.7195843,1.751663,0.03872889,-0.6566267,1.772149,0.03161007,-0.5212038,1.84131,-0.1193509,-0.4580243,2.341681,-0.03918535,-0.4232007,2.748138,-0.03771967,-0.3842914,2.744292,0.1045192,-0.6622437,1.866365,-0.06861824,-0.6439028,2.3109,-0.04131168,-0.6186498,2.749518,-0.06294459,-0.6186308,2.754113,0.0302251,-0.6520613,1.264455,-0.1443536,-0.8610614,1.324253,-0.04670864,-0.8350652,1.43419,-0.03238446,-0.5718536,1.830748,0.03869051,-0.5875838,1.808439,0.3691598,
2019-12-23 18:00:00:462,-0.5976339,1.858057,-0.131946,-0.6305379,1.512841,-0.1459991,-0.6552919,1.18522,-0.134966,-0.662345,1.030421,-0.10537,-0.5048383,1.27163,-0.1874111,-0.4763229,1.525807,-0.1840294,-0.7143072,1.420384,-0.08713502,-0.7817624,1.373515,-0.04422718,-0.8127213,1.324743,-0.08947986,-0.8520111,1.57794,-0.09588605,-0.7215748,1.749165,0.03935999,-0.6600049,1.77098,0.0345369,-0.5201985,1.842147,-0.1192252,-0.4549983,2.34378,-0.03460497,-0.4197012,2.755049,-0.03338426,-0.3522131,2.753699,0.05623895,-0.6617341,1.866796,-0.06883281,-0.643607,2.31116,-0.04136235,-0.6183668,2.749189,-0.06142122,-0.6184688,2.754274,0.02917653,-0.6509742,1.264693,-0.1418726,-0.8601575,1.326819,-0.04097193,-0.8393751,1.434544,-0.02721637,-0.576327,1.825653,0.04112643,-0.5886,1.805816,0.3735456,
2019-12-23 18:00:00:496,-0.5974779,1.858108,-0.1322802,-0.6296582,1.513041,-0.1441708,-0.6551583,1.184946,-0.1338072,-0.661939,1.030213,-0.1042116,-0.5044402,1.271989,-0.1867839,-0.4760931,1.525825,-0.184382,-0.7161503,1.419038,-0.08569592,-0.7841202,1.371675,-0.04289502,-0.8128691,1.32477,-0.08920532,-0.8505875,1.578581,-0.09453434,-0.7225807,1.748124,0.04003102,-0.6599887,1.77015,0.035317,-0.5198532,1.842301,-0.1192195,-0.4502406,2.338349,-0.02809852,-0.4130313,2.751596,-0.0196417,-0.340063,2.743108,0.06762117,-0.6615611,1.866827,-0.06898504,-0.6435729,2.311288,-0.04151064,-0.6184419,2.749527,-0.06147927,-0.6184471,2.753487,0.0312627,-0.6503451,1.264586,-0.1398655,-0.8588096,1.323175,-0.03938299,-0.8418419,1.433692,-0.02614599,-0.5764349,1.825703,0.04246527,-0.5885008,1.805577,0.3739772,
2019-12-23 18:00:00:530,-0.5965298,1.85868,-0.1319939,-0.6288736,1.51352,-0.1431044,-0.6551781,1.18489,-0.1337764,-0.6615535,1.029878,-0.1031212,-0.5042173,1.272406,-0.1858681,-0.4749879,1.526878,-0.1857861,-0.716056,1.418951,-0.08480328,-0.7834089,1.371716,-0.03968936,-0.8127443,1.324814,-0.08856016,-0.8494413,1.57919,-0.09281892,-0.7233738,1.747804,0.0410096,-0.6575951,1.764673,0.03763813,-0.5186647,1.843118,-0.1185058,-0.4439185,2.333267,-0.01719612,-0.3770655,2.737455,0.02374989,-0.3403715,2.711877,0.1666506,-0.6605546,1.867392,-0.06835121,-0.6436318,2.311706,-0.0414502,-0.6173671,2.756428,-0.06275398,-0.6204072,2.756352,0.03675848,-0.6501328,1.264646,-0.1394668,-0.8578776,1.325096,-0.0358991,-0.8392301,1.436186,-0.0209443,-0.5712143,1.820483,0.04616064,-0.5859846,1.801777,0.3740033,
2019-12-23 18:00:00:567,-0.5944989,1.857229,-0.1297141,-0.6263928,1.512644,-0.1376178,-0.6538376,1.184162,-0.1288,-0.65927,1.029628,-0.09930462,-0.5031479,1.272224,-0.1828509,-0.4016681,1.44925,-0.2031963,-0.6542234,1.403159,-0.1004012,-0.7250169,1.370358,-0.03494734,-0.8122796,1.325135,-0.08661491,-0.8464503,1.579641,-0.088162,-0.7230066,1.747544,0.04377896,-0.653591,1.759097,0.04187065,-0.5165067,1.841571,-0.1158424,-0.4317267,2.319148,0.002142251,-0.3637313,2.723646,0.05224842,-0.3299939,2.694835,0.1932539,-0.6584553,1.866097,-0.06524616,-0.6432307,2.313022,-0.04103285,-0.6175921,2.757569,-0.06429309,-0.6218674,2.757104,0.03718764,-0.6480159,1.264037,-0.1336187,-0.812176,1.345931,-0.02163202,-0.7918026,1.435236,-0.01308364,-0.5641917,1.815589,0.05289954,-0.5817806,1.798149,0.3758443,
2019-12-23 18:00:00:607,-0.5934207,1.856378,-0.128226,-0.6251297,1.512086,-0.1353011,-0.6527014,1.183684,-0.1264762,-0.6579949,1.029201,-0.09714895,-0.5018762,1.272128,-0.1811178,-0.402916,1.448335,-0.2032283,-0.6526144,1.402081,-0.09892792,-0.7190437,1.367078,-0.03312021,-0.8092999,1.325692,-0.07933551,-0.8448341,1.580003,-0.08585113,-0.7223794,1.747517,0.04526514,-0.6529013,1.758624,0.04323477,-0.5156094,1.840719,-0.1143011,-0.4282362,2.316423,0.008899033,-0.3624072,2.72601,0.05447203,-0.3420864,2.731909,0.1474958,-0.6571891,1.865327,-0.06344408,-0.6432254,2.313105,-0.04086858,-0.6182647,2.755934,-0.06457633,-0.6217662,2.757295,0.03546613,-0.6467102,1.263592,-0.1311731,-0.8063913,1.345127,-0.01946288,-0.7999318,1.432287,-0.01661187,-0.5659373,1.812493,0.05541128,-0.5806296,1.796546,0.3776598,
2019-12-23 18:00:00:646,-0.5917184,1.85358,-0.1256444,-0.6233919,1.510983,-0.1330293,-0.6509726,1.183558,-0.1247464,-0.656038,1.029167,-0.09482616,-0.5005373,1.271729,-0.1792522,-0.4057769,1.44827,-0.2047208,-0.6529608,1.402608,-0.09724635,-0.7187856,1.367229,-0.03140253,-0.8083552,1.325716,-0.07582194,-0.8431505,1.58023,-0.0836429,-0.7219414,1.747792,0.04657108,-0.6511965,1.75527,0.04551917,-0.5140923,1.840263,-0.1115686,-0.4243538,2.311857,0.01623315,-0.3574399,2.715131,0.06805283,-0.3224918,2.682719,0.2073705,-0.6550932,1.858843,-0.06039363,-0.6431816,2.312841,-0.04035431,-0.6183213,2.755649,-0.06445557,-0.6225207,2.757711,0.03538877,-0.6448872,1.263295,-0.1292712,-0.8060876,1.345319,-0.01844758,-0.7940102,1.431972,-0.01188904,-0.5654218,1.812312,0.05832988,-0.5814943,1.793042,0.379653,
2019-12-23 18:00:00:685,-0.5897167,1.851477,-0.1227476,-0.6214304,1.50997,-0.1303143,-0.6491764,1.183333,-0.1225989,-0.6534377,1.029004,-0.09257418,-0.4976437,1.272074,-0.1771839,-0.4140141,1.472937,-0.2075697,-0.6559725,1.410789,-0.09593171,-0.7242678,1.370242,-0.02916235,-0.8065001,1.325241,-0.07349354,-0.8417454,1.580606,-0.08219224,-0.7195926,1.74646,0.04791683,-0.6494085,1.754954,0.04733473,-0.5120969,1.840029,-0.1087307,-0.4221824,2.307483,0.02175802,-0.346176,2.691916,0.08257729,-0.3118832,2.653567,0.2206665,-0.653221,1.855039,-0.05725867,-0.6430695,2.312623,-0.03992516,-0.6186012,2.75609,-0.06336349,-0.6241603,2.760066,0.03414661,-0.6429818,1.262927,-0.1269522,-0.8099031,1.331458,-0.01565427,-0.7988511,1.433014,-0.01107639,-0.5641227,1.811701,0.05996913,-0.5808535,1.792116,0.3832304,
2019-12-23 18:00:00:727,-0.5876193,1.849852,-0.1204359,-0.6192071,1.509071,-0.12806,-0.6469067,1.183033,-0.1206649,-0.6507516,1.02883,-0.09098047,-0.492965,1.273162,-0.1756967,-0.4175026,1.532248,-0.2088583,-0.6510433,1.435489,-0.09778363,-0.7134703,1.385067,-0.02664798,-0.804774,1.325249,-0.0716663,-0.8396167,1.580382,-0.08037823,-0.7165791,1.745755,0.05013579,-0.6467296,1.753971,0.04942793,-0.510124,1.840129,-0.1065753,-0.4196816,2.305182,0.02596492,-0.3448059,2.696076,0.08453208,-0.3108886,2.659167,0.2223709,-0.6510541,1.851734,-0.05464655,-0.6428258,2.312622,-0.03939515,-0.6186122,2.755774,-0.06313413,-0.6245827,2.760962,0.03314584,-0.6406731,1.262509,-0.1249188,-0.7987599,1.33761,-0.0143953,-0.7914786,1.441893,-0.01224214,-0.5603682,1.807945,0.06284851,-0.5764866,1.791929,0.3847546,
