2019-12-23 17:51:44:247, no_human
2019-12-23 17:51:44:257, no_human
2019-12-23 17:51:44:487, no_human
2019-12-23 17:51:44:552, no_human
2019-12-23 17:51:44:569, no_human
2019-12-23 17:51:44:586, no_human
2019-12-23 17:51:44:602, no_human
2019-12-23 17:51:44:619, no_human
2019-12-23 17:51:44:636, no_human
2019-12-23 17:51:44:653, no_human
2019-12-23 17:51:44:670, no_human
2019-12-23 17:51:44:687, no_human
2019-12-23 17:51:44:704, no_human
2019-12-23 17:51:44:744, no_human
2019-12-23 17:51:44:752, no_human
2019-12-23 17:51:44:776, no_human
2019-12-23 17:51:44:785, no_human
2019-12-23 17:51:44:811, no_human
2019-12-23 17:51:44:818, no_human
2019-12-23 17:51:44:834, no_human
2019-12-23 17:51:44:851, no_human
2019-12-23 17:51:44:890, no_human
2019-12-23 17:51:44:922, no_human
2019-12-23 17:51:44:955, no_human
2019-12-23 17:51:44:985, no_human
2019-12-23 17:51:45:011, no_human
2019-12-23 17:51:45:018, no_human
2019-12-23 17:51:45:052, no_human
2019-12-23 17:51:45:077, no_human
2019-12-23 17:51:45:083, no_human
2019-12-23 17:51:45:120, no_human
2019-12-23 17:51:45:150, no_human
2019-12-23 17:51:45:177, no_human
2019-12-23 17:51:45:184, no_human
2019-12-23 17:51:45:221, no_human
2019-12-23 17:51:45:246, no_human
2019-12-23 17:51:45:276, no_human
2019-12-23 17:51:45:283, no_human
2019-12-23 17:51:45:320, no_human
2019-12-23 17:51:45:346, no_human
2019-12-23 17:51:45:356, no_human
2019-12-23 17:51:45:393, no_human
2019-12-23 17:51:45:425, no_human
2019-12-23 17:51:45:458, no_human
2019-12-23 17:51:45:491, no_human
2019-12-23 17:51:45:520, no_human
2019-12-23 17:51:45:568,2.045548,2.786003
2019-12-23 17:51:45:607,2.040775,2.78524
2019-12-23 17:51:45:645,2.035436,2.783112
2019-12-23 17:51:45:680,2.027371,2.780008
2019-12-23 17:51:45:714,2.022705,2.778253
2019-12-23 17:51:45:753,2.017421,2.775687
2019-12-23 17:51:45:794,2.010998,2.7709
2019-12-23 17:51:45:837,2.005651,2.768434
2019-12-23 17:51:45:886,2.0006,2.763465
2019-12-23 17:51:45:927,1.997959,2.760131
2019-12-23 17:51:45:968,1.996556,2.757328
2019-12-23 17:51:46:009,1.996143,2.748428
2019-12-23 17:51:46:052,1.996965,2.746111
2019-12-23 17:51:46:106,1.998406,2.744555
2019-12-23 17:51:46:156,2.007444,2.738022
2019-12-23 17:51:46:197,2.013842,2.73566
2019-12-23 17:51:46:244,2.029566,2.735056
2019-12-23 17:51:46:295,2.037424,2.734577
2019-12-23 17:51:46:355,2.06004,2.735692
2019-12-23 17:51:46:395,2.071697,2.736425
2019-12-23 17:51:46:444,2.098503,2.741413
2019-12-23 17:51:46:485,2.112134,2.743127
2019-12-23 17:51:46:524,2.126635,2.746738
2019-12-23 17:51:46:559,2.137924,2.750215
2019-12-23 17:51:46:591,2.153324,2.751922
2019-12-23 17:51:46:625,2.164758,2.755064
2019-12-23 17:51:46:659,2.174542,2.758933
2019-12-23 17:51:46:693,2.187012,2.764687
2019-12-23 17:51:46:728,2.197316,2.767135
2019-12-23 17:51:46:761,2.203277,2.768857
2019-12-23 17:51:46:795,2.219693,2.773805
2019-12-23 17:51:46:827,2.219693,2.773805
2019-12-23 17:51:46:860,2.228797,2.776558
2019-12-23 17:51:46:893,2.235593,2.779065
2019-12-23 17:51:46:930,2.243526,2.783326
2019-12-23 17:51:46:968,2.25841,2.789488
2019-12-23 17:51:47:006,2.267049,2.792978
2019-12-23 17:51:47:039,2.273762,2.795106
2019-12-23 17:51:47:083,2.279968,2.797122
2019-12-23 17:51:47:116,2.287219,2.801943
2019-12-23 17:51:47:153,2.291964,2.805166
2019-12-23 17:51:47:193,2.29725,2.808124
2019-12-23 17:51:47:234,2.308087,2.816198
2019-12-23 17:51:47:284,2.311646,2.819593
2019-12-23 17:51:47:317,2.315647,2.823086
